GUID,Inicio,Fim,Contador
1c14-81,2020-10-11 13:31:58.389815,2020-10-11 13:34:58.389815,3
1c14-93,2020-10-11 13:31:59.422272,2020-10-11 13:34:59.422272,4
1c14-1,2020-10-11 13:31:58.330465,2020-10-11 13:34:58.330465,4
1c14-49,2020-10-11 13:31:58.386126,2020-10-11 13:34:58.386126,5
1c14-64,2020-10-11 13:31:58.390925,2020-10-11 13:34:58.390925,4
1c14-34,2020-10-11 13:31:58.369109,2020-10-11 13:34:58.369109,4
1c14-63,2020-10-11 13:31:58.382751,2020-10-11 13:34:58.382751,4
1c14-52,2020-10-11 13:31:58.387988,2020-10-11 13:34:58.387988,3
1c14-26,2020-10-11 13:31:58.376837,2020-10-11 13:34:58.376837,4
1c14-97,2020-10-11 13:31:58.408124,2020-10-11 13:34:58.408124,4
1c14-32,2020-10-11 13:31:58.372481,2020-10-11 13:34:58.372481,4
1c14-59,2020-10-11 13:31:58.379687,2020-10-11 13:34:58.379687,4
1c14-13,2020-10-11 13:31:58.369326,2020-10-11 13:34:58.369326,5
1c14-79,2020-10-11 13:31:58.397873,2020-10-11 13:34:58.397873,5
1c14-62,2020-10-11 13:31:58.383597,2020-10-11 13:34:58.383597,5
1c14-72,2020-10-11 13:31:58.392667,2020-10-11 13:34:58.392667,6
1c14-56,2020-10-11 13:31:58.375023,2020-10-11 13:34:58.375023,6
1c14-85,2020-10-11 13:31:58.405393,2020-10-11 13:34:58.405393,5
1c14-76,2020-10-11 13:31:58.397654,2020-10-11 13:34:58.397654,3
1c14-38,2020-10-11 13:31:58.369669,2020-10-11 13:34:58.369669,3
1c14-16,2020-10-11 13:31:58.360508,2020-10-11 13:34:58.360508,3
1c14-86,2020-10-11 13:31:58.413705,2020-10-11 13:34:58.413705,4
1c14-10,2020-10-11 13:31:58.361687,2020-10-11 13:34:58.361687,4
1c14-95,2020-10-11 13:31:58.397519,2020-10-11 13:34:58.397519,4
1c14-66,2020-10-11 13:31:58.391541,2020-10-11 13:34:58.391541,3
1c14-68,2020-10-11 13:31:58.383860,2020-10-11 13:34:58.383860,4
1c14-39,2020-10-11 13:31:58.376581,2020-10-11 13:34:58.376581,4
1c14-27,2020-10-11 13:31:58.354606,2020-10-11 13:34:58.354606,3
1c14-96,2020-10-11 13:31:58.396693,2020-10-11 13:34:58.396693,5
1c14-2,2020-10-11 13:31:58.352275,2020-10-11 13:34:58.352275,3
1c14-40,2020-10-11 13:31:58.372797,2020-10-11 13:34:58.372797,4
1c14-18,2020-10-11 13:31:58.368932,2020-10-11 13:34:58.368932,4
1c14-92,2020-10-11 13:31:58.410983,2020-10-11 13:34:58.410983,4
1c14-8,2020-10-11 13:31:58.369584,2020-10-11 13:34:58.369584,6
1c14-24,2020-10-11 13:31:58.348822,2020-10-11 13:34:58.348822,7
1c14-11,2020-10-11 13:31:58.358059,2020-10-11 13:34:58.358059,6
1c14-80,2020-10-11 13:31:58.397906,2020-10-11 13:34:58.397906,5
1c14-57,2020-10-11 13:31:58.388223,2020-10-11 13:34:58.388223,5
1c14-6,2020-10-11 13:31:58.338249,2020-10-11 13:34:58.338249,4
1c14-9,2020-10-11 13:31:58.360103,2020-10-11 13:34:58.360103,5
1c14-53,2020-10-11 13:31:58.385251,2020-10-11 13:34:58.385251,5
1c14-5,2020-10-11 13:31:58.359959,2020-10-11 13:34:58.359959,4
1c14-51,2020-10-11 13:31:58.383328,2020-10-11 13:34:58.383328,5
1c14-21,2020-10-11 13:31:58.359685,2020-10-11 13:34:58.359685,4
1c14-43,2020-10-11 13:31:58.368840,2020-10-11 13:34:58.368840,5
1c14-94,2020-10-11 13:31:58.397482,2020-10-11 13:34:58.397482,4
1c14-0,2020-10-11 13:31:58.360963,2020-10-11 13:34:58.360963,3
1c14-98,2020-10-11 13:31:58.396990,2020-10-11 13:34:58.396990,5
1c14-58,2020-10-11 13:31:58.380894,2020-10-11 13:34:58.380894,4
1c14-73,2020-10-11 13:31:58.391505,2020-10-11 13:34:58.391505,4
1c14-35,2020-10-11 13:31:58.380247,2020-10-11 13:34:58.380247,4
1c14-44,2020-10-11 13:31:58.377739,2020-10-11 13:34:58.377739,4
1c14-45,2020-10-11 13:31:58.385363,2020-10-11 13:34:58.385363,6
1c14-89,2020-10-11 13:31:58.405167,2020-10-11 13:34:58.405167,4
1c14-23,2020-10-11 13:31:58.373661,2020-10-11 13:34:58.373661,5
1c14-75,2020-10-11 13:31:58.388847,2020-10-11 13:34:58.388847,4
1c14-47,2020-10-11 13:31:58.380203,2020-10-11 13:34:58.380203,5
1c14-55,2020-10-11 13:31:58.380610,2020-10-11 13:34:58.380610,4
