GUID,Inicio,Fim,Contador
6db8-23,2020-10-11 13:31:59.241455,2020-10-11 13:34:59.241455,7
6db8-50,2020-10-11 13:31:59.273439,2020-10-11 13:34:59.273439,5
6db8-21,2020-10-11 13:31:59.258606,2020-10-11 13:34:59.258606,4
6db8-27,2020-10-11 13:31:59.265111,2020-10-11 13:34:59.265111,5
6db8-79,2020-10-11 13:31:59.296925,2020-10-11 13:34:59.296925,3
6db8-35,2020-10-11 13:31:59.269515,2020-10-11 13:34:59.269515,4
6db8-95,2020-10-11 13:31:59.298474,2020-10-11 13:34:59.298474,3
6db8-11,2020-10-11 13:31:59.231648,2020-10-11 13:34:59.231648,4
6db8-1,2020-10-11 13:31:59.254326,2020-10-11 13:34:59.254326,5
6db8-69,2020-10-11 13:31:59.286926,2020-10-11 13:34:59.286926,4
6db8-65,2020-10-11 13:31:59.285914,2020-10-11 13:34:59.285914,4
6db8-90,2020-10-11 13:31:59.295381,2020-10-11 13:34:59.295381,4
6db8-53,2020-10-11 13:31:59.293108,2020-10-11 13:34:59.293108,6
6db8-73,2020-10-11 13:31:59.287559,2020-10-11 13:34:59.287559,5
6db8-61,2020-10-11 13:31:59.283246,2020-10-11 13:34:59.283246,4
6db8-82,2020-10-11 13:31:59.287522,2020-10-11 13:34:59.287522,3
6db8-85,2020-10-11 13:31:59.298124,2020-10-11 13:34:59.298124,4
6db8-92,2020-10-11 13:31:59.297915,2020-10-11 13:34:59.297915,4
6db8-47,2020-10-11 13:31:59.271753,2020-10-11 13:34:59.271753,3
6db8-70,2020-10-11 13:31:59.294984,2020-10-11 13:34:59.294984,6
6db8-19,2020-10-11 13:31:59.272793,2020-10-11 13:34:59.272793,4
6db8-84,2020-10-11 13:31:59.293760,2020-10-11 13:34:59.293760,4
6db8-3,2020-10-11 13:31:59.268490,2020-10-11 13:34:59.268490,4
6db8-39,2020-10-11 13:31:59.280188,2020-10-11 13:34:59.280188,3
6db8-94,2020-10-11 13:31:59.295843,2020-10-11 13:34:59.295843,6
6db8-31,2020-10-11 13:31:59.262266,2020-10-11 13:34:59.262266,4
6db8-30,2020-10-11 13:31:59.244694,2020-10-11 13:34:59.244694,4
6db8-2,2020-10-11 13:31:59.272419,2020-10-11 13:34:59.272419,4
6db8-7,2020-10-11 13:31:59.266678,2020-10-11 13:34:59.266678,4
6db8-57,2020-10-11 13:31:59.272301,2020-10-11 13:34:59.272301,4
6db8-55,2020-10-11 13:31:59.292571,2020-10-11 13:34:59.292571,3
6db8-63,2020-10-11 13:31:59.275172,2020-10-11 13:34:59.275172,4
6db8-5,2020-10-11 13:31:59.225395,2020-10-11 13:34:59.225395,6
6db8-29,2020-10-11 13:31:59.290438,2020-10-11 13:34:59.290438,5
6db8-24,2020-10-11 13:31:59.281532,2020-10-11 13:34:59.281532,4
6db8-26,2020-10-11 13:31:59.280608,2020-10-11 13:34:59.280608,4
6db8-9,2020-10-11 13:31:59.228802,2020-10-11 13:34:59.228802,4
6db8-68,2020-10-11 13:31:59.298274,2020-10-11 13:34:59.298274,5
6db8-28,2020-10-11 13:31:59.281319,2020-10-11 13:34:59.281319,5
6db8-33,2020-10-11 13:31:59.274083,2020-10-11 13:34:59.274083,5
6db8-10,2020-10-11 13:31:59.276996,2020-10-11 13:34:59.276996,5
6db8-36,2020-10-11 13:31:59.262201,2020-10-11 13:34:59.262201,6
6db8-48,2020-10-11 13:31:59.265042,2020-10-11 13:34:59.265042,5
6db8-71,2020-10-11 13:31:59.288621,2020-10-11 13:34:59.288621,5
6db8-58,2020-10-11 13:31:59.275566,2020-10-11 13:34:59.275566,4
6db8-49,2020-10-11 13:31:59.276427,2020-10-11 13:34:59.276427,5
6db8-15,2020-10-11 13:31:59.247717,2020-10-11 13:34:59.247717,5
6db8-96,2020-10-11 13:31:59.297288,2020-10-11 13:34:59.297288,5
6db8-59,2020-10-11 13:31:59.294815,2020-10-11 13:34:59.294815,5
6db8-22,2020-10-11 13:31:59.271547,2020-10-11 13:34:59.271547,5
6db8-25,2020-10-11 13:31:59.265525,2020-10-11 13:34:59.265525,6
6db8-0,2020-10-11 13:31:59.232873,2020-10-11 13:34:59.232873,5
6db8-40,2020-10-11 13:31:59.283817,2020-10-11 13:34:59.283817,5
6db8-51,2020-10-11 13:31:59.277896,2020-10-11 13:34:59.277896,4
6db8-34,2020-10-11 13:31:59.259802,2020-10-11 13:34:59.259802,4
6db8-78,2020-10-11 13:31:59.293454,2020-10-11 13:34:59.293454,5
6db8-81,2020-10-11 13:31:59.281946,2020-10-11 13:34:59.281946,5
6db8-60,2020-10-11 13:31:59.291755,2020-10-11 13:34:59.291755,4
6db8-87,2020-10-11 13:31:59.296989,2020-10-11 13:34:59.296989,4
6db8-64,2020-10-11 13:31:59.282569,2020-10-11 13:34:59.282569,5
6db8-56,2020-10-11 13:31:59.282354,2020-10-11 13:34:59.282354,7
6db8-8,2020-10-11 13:31:59.270425,2020-10-11 13:34:59.270425,5
6db8-46,2020-10-11 13:31:59.260759,2020-10-11 13:34:59.260759,5
6db8-99,2020-10-11 13:31:59.298393,2020-10-11 13:34:59.298393,4
6db8-20,2020-10-11 13:31:59.275733,2020-10-11 13:34:59.275733,5
6db8-86,2020-10-11 13:31:59.291330,2020-10-11 13:34:59.291330,4
6db8-72,2020-10-11 13:31:59.279755,2020-10-11 13:34:59.279755,5
6db8-18,2020-10-11 13:31:59.286340,2020-10-11 13:34:59.286340,5
6db8-13,2020-10-11 13:31:59.210496,2020-10-11 13:34:59.210496,5
6db8-12,2020-10-11 13:31:59.269703,2020-10-11 13:34:59.269703,4
6db8-88,2020-10-11 13:31:59.286970,2020-10-11 13:34:59.286970,5
6db8-77,2020-10-11 13:31:59.289252,2020-10-11 13:34:59.289252,5
6db8-54,2020-10-11 13:31:59.292027,2020-10-11 13:34:59.292027,5
6db8-37,2020-10-11 13:31:59.271070,2020-10-11 13:34:59.271070,4
6db8-97,2020-10-11 13:31:59.293291,2020-10-11 13:34:59.293291,4
6db8-44,2020-10-11 13:31:59.271654,2020-10-11 13:34:59.271654,4
6db8-75,2020-10-11 13:31:59.293414,2020-10-11 13:34:59.293414,4
6db8-16,2020-10-11 13:31:59.214783,2020-10-11 13:34:59.214783,4
6db8-98,2020-10-11 13:31:59.294185,2020-10-11 13:34:59.294185,4
6db8-38,2020-10-11 13:31:59.283131,2020-10-11 13:34:59.283131,4
6db8-43,2020-10-11 13:31:59.289959,2020-10-11 13:34:59.289959,5
6db8-4,2020-10-11 13:31:59.225776,2020-10-11 13:34:59.225776,6
6db8-45,2020-10-11 13:31:59.293665,2020-10-11 13:34:59.293665,4
6db8-93,2020-10-11 13:31:59.295760,2020-10-11 13:34:59.295760,5
6db8-41,2020-10-11 13:31:59.287483,2020-10-11 13:34:59.287483,4
6db8-89,2020-10-11 13:31:59.294615,2020-10-11 13:34:59.294615,5
6db8-83,2020-10-11 13:31:59.295273,2020-10-11 13:34:59.295273,5
6db8-32,2020-10-11 13:31:59.253397,2020-10-11 13:34:59.253397,5
6db8-52,2020-10-11 13:31:59.284651,2020-10-11 13:34:59.284651,5
6db8-42,2020-10-11 13:31:59.261966,2020-10-11 13:34:59.261966,4
6db8-66,2020-10-11 13:31:59.284532,2020-10-11 13:34:59.284532,5
6db8-14,2020-10-11 13:31:59.225120,2020-10-11 13:34:59.225120,4
6db8-91,2020-10-11 13:32:00.285156,2020-10-11 13:35:00.285156,5
6db8-74,2020-10-11 13:31:59.282311,2020-10-11 13:34:59.282311,5
6db8-80,2020-10-11 13:31:59.294714,2020-10-11 13:34:59.294714,4
6db8-17,2020-10-11 13:31:59.259358,2020-10-11 13:34:59.259358,4
6db8-67,2020-10-11 13:31:59.274758,2020-10-11 13:34:59.274758,6
6db8-76,2020-10-11 13:31:59.290932,2020-10-11 13:34:59.290932,6
6db8-62,2020-10-11 13:31:59.285479,2020-10-11 13:34:59.285479,6
6db8-6,2020-10-11 13:31:59.287969,2020-10-11 13:34:59.287969,7
TOTAL,,,462
