GUID,Inicio,Fim,Contador
a3d8-77,2020-10-11 13:31:57.472206,2020-10-11 13:34:57.472206,4
a3d8-58,2020-10-11 13:31:57.471221,2020-10-11 13:34:57.471221,3
a3d8-24,2020-10-11 13:31:57.440259,2020-10-11 13:34:57.440259,3
a3d8-86,2020-10-11 13:31:57.486892,2020-10-11 13:34:57.486892,5
a3d8-21,2020-10-11 13:31:57.466777,2020-10-11 13:34:57.466777,5
a3d8-27,2020-10-11 13:31:57.449021,2020-10-11 13:34:57.449021,3
a3d8-74,2020-10-11 13:31:57.481660,2020-10-11 13:34:57.481660,4
a3d8-29,2020-10-11 13:31:57.456400,2020-10-11 13:34:57.456400,4
a3d8-97,2020-10-11 13:31:57.482945,2020-10-11 13:34:57.482945,4
a3d8-69,2020-10-11 13:31:57.485646,2020-10-11 13:34:57.485646,4
a3d8-63,2020-10-11 13:31:57.484024,2020-10-11 13:34:57.484024,3
a3d8-42,2020-10-11 13:31:57.473333,2020-10-11 13:34:57.473333,3
a3d8-66,2020-10-11 13:31:57.459138,2020-10-11 13:34:57.459138,3
a3d8-93,2020-10-11 13:31:57.484838,2020-10-11 13:34:57.484838,4
a3d8-54,2020-10-11 13:31:57.475007,2020-10-11 13:34:57.475007,4
a3d8-64,2020-10-11 13:31:57.462706,2020-10-11 13:34:57.462706,4
a3d8-43,2020-10-11 13:31:57.467645,2020-10-11 13:34:57.467645,5
a3d8-96,2020-10-11 13:31:57.489005,2020-10-11 13:34:57.489005,4
a3d8-76,2020-10-11 13:31:57.488261,2020-10-11 13:34:57.488261,6
a3d8-52,2020-10-11 13:31:57.473687,2020-10-11 13:34:57.473687,5
a3d8-71,2020-10-11 13:31:57.464600,2020-10-11 13:34:57.464600,4
a3d8-28,2020-10-11 13:31:57.434910,2020-10-11 13:34:57.434910,4
a3d8-75,2020-10-11 13:31:57.483277,2020-10-11 13:34:57.483277,4
a3d8-22,2020-10-11 13:31:57.462750,2020-10-11 13:34:57.462750,4
a3d8-89,2020-10-11 13:31:58.559505,2020-10-11 13:34:58.559505,4
a3d8-94,2020-10-11 13:31:57.489139,2020-10-11 13:34:57.489139,4
a3d8-95,2020-10-11 13:31:57.473921,2020-10-11 13:34:57.473921,3
a3d8-12,2020-10-11 13:31:57.440175,2020-10-11 13:34:57.440175,4
a3d8-11,2020-10-11 13:31:57.445312,2020-10-11 13:34:57.445312,4
a3d8-80,2020-10-11 13:31:57.482390,2020-10-11 13:34:57.482390,5
a3d8-13,2020-10-11 13:31:57.450294,2020-10-11 13:34:57.450294,6
a3d8-82,2020-10-11 13:31:57.473605,2020-10-11 13:34:57.473605,4
a3d8-85,2020-10-11 13:31:57.482600,2020-10-11 13:34:57.482600,3
a3d8-99,2020-10-11 13:31:57.486189,2020-10-11 13:34:57.486189,4
a3d8-79,2020-10-11 13:31:57.462933,2020-10-11 13:34:57.462933,6
a3d8-88,2020-10-11 13:31:57.488928,2020-10-11 13:34:57.488928,6
a3d8-30,2020-10-11 13:31:57.450486,2020-10-11 13:34:57.450486,4
a3d8-53,2020-10-11 13:31:57.464362,2020-10-11 13:34:57.464362,5
a3d8-3,2020-10-11 13:31:57.392073,2020-10-11 13:34:57.392073,5
a3d8-16,2020-10-11 13:31:57.449136,2020-10-11 13:34:57.449136,5
a3d8-40,2020-10-11 13:31:57.464906,2020-10-11 13:34:57.464906,4
a3d8-47,2020-10-11 13:31:57.447958,2020-10-11 13:34:57.447958,6
a3d8-23,2020-10-11 13:31:57.452590,2020-10-11 13:34:57.452590,5
a3d8-10,2020-10-11 13:31:57.480881,2020-10-11 13:34:57.480881,6
a3d8-14,2020-10-11 13:31:57.447873,2020-10-11 13:34:57.447873,4
a3d8-92,2020-10-11 13:31:57.485320,2020-10-11 13:34:57.485320,5
a3d8-49,2020-10-11 13:31:57.451114,2020-10-11 13:34:57.451114,5
a3d8-73,2020-10-11 13:31:57.472536,2020-10-11 13:34:57.472536,6
a3d8-9,2020-10-11 13:31:57.427535,2020-10-11 13:34:57.427535,4
a3d8-41,2020-10-11 13:31:57.450239,2020-10-11 13:34:57.450239,4
a3d8-19,2020-10-11 13:31:57.445594,2020-10-11 13:34:57.445594,4
a3d8-65,2020-10-11 13:31:57.468789,2020-10-11 13:34:57.468789,6
a3d8-98,2020-10-11 13:31:57.486498,2020-10-11 13:34:57.486498,6
a3d8-2,2020-10-11 13:31:57.469307,2020-10-11 13:34:57.469307,5
a3d8-7,2020-10-11 13:31:57.398907,2020-10-11 13:34:57.398907,5
a3d8-39,2020-10-11 13:31:57.464446,2020-10-11 13:34:57.464446,5
a3d8-26,2020-10-11 13:31:57.455577,2020-10-11 13:34:57.455577,4
a3d8-50,2020-10-11 13:31:57.452923,2020-10-11 13:34:57.452923,5
a3d8-90,2020-10-11 13:31:57.485455,2020-10-11 13:34:57.485455,4
a3d8-17,2020-10-11 13:31:57.438558,2020-10-11 13:34:57.438558,4
a3d8-8,2020-10-11 13:31:57.455365,2020-10-11 13:34:57.455365,4
a3d8-38,2020-10-11 13:31:57.461859,2020-10-11 13:34:57.461859,5
a3d8-31,2020-10-11 13:31:57.460616,2020-10-11 13:34:57.460616,6
a3d8-83,2020-10-11 13:31:57.486143,2020-10-11 13:34:57.486143,5
a3d8-70,2020-10-11 13:31:57.483515,2020-10-11 13:34:57.483515,5
a3d8-36,2020-10-11 13:31:57.473964,2020-10-11 13:34:57.473964,5
a3d8-25,2020-10-11 13:31:57.458559,2020-10-11 13:34:57.458559,6
a3d8-32,2020-10-11 13:31:57.444252,2020-10-11 13:34:57.444252,5
a3d8-44,2020-10-11 13:31:57.466722,2020-10-11 13:34:57.466722,6
a3d8-48,2020-10-11 13:31:57.453044,2020-10-11 13:34:57.453044,5
a3d8-51,2020-10-11 13:31:57.472315,2020-10-11 13:34:57.472315,5
a3d8-61,2020-10-11 13:31:57.473124,2020-10-11 13:34:57.473124,5
a3d8-37,2020-10-11 13:31:57.440721,2020-10-11 13:34:57.440721,6
a3d8-55,2020-10-11 13:31:57.483980,2020-10-11 13:34:57.483980,4
a3d8-62,2020-10-11 13:31:57.464249,2020-10-11 13:34:57.464249,6
a3d8-57,2020-10-11 13:31:57.475949,2020-10-11 13:34:57.475949,5
a3d8-91,2020-10-11 13:31:57.486058,2020-10-11 13:34:57.486058,4
a3d8-15,2020-10-11 13:31:57.455850,2020-10-11 13:34:57.455850,4
a3d8-87,2020-10-11 13:31:57.480964,2020-10-11 13:34:57.480964,4
a3d8-81,2020-10-11 13:31:57.486550,2020-10-11 13:34:57.486550,5
a3d8-72,2020-10-11 13:31:57.470751,2020-10-11 13:34:57.470751,4
a3d8-45,2020-10-11 13:31:57.463587,2020-10-11 13:34:57.463587,4
a3d8-5,2020-10-11 13:31:57.392314,2020-10-11 13:34:57.392314,4
a3d8-78,2020-10-11 13:31:57.463123,2020-10-11 13:34:57.463123,5
a3d8-67,2020-10-11 13:31:57.474919,2020-10-11 13:34:57.474919,5
a3d8-68,2020-10-11 13:31:57.485411,2020-10-11 13:34:57.485411,5
a3d8-20,2020-10-11 13:31:57.439418,2020-10-11 13:34:57.439418,5
a3d8-33,2020-10-11 13:31:57.464315,2020-10-11 13:34:57.464315,5
a3d8-84,2020-10-11 13:31:57.471173,2020-10-11 13:34:57.471173,4
a3d8-4,2020-10-11 13:31:57.454244,2020-10-11 13:34:57.454244,4
a3d8-59,2020-10-11 13:31:57.469166,2020-10-11 13:34:57.469166,4
a3d8-18,2020-10-11 13:31:57.461062,2020-10-11 13:34:57.461062,4
a3d8-6,2020-10-11 13:31:57.401631,2020-10-11 13:34:57.401631,6
a3d8-46,2020-10-11 13:31:57.453855,2020-10-11 13:34:57.453855,5
a3d8-35,2020-10-11 13:31:57.463416,2020-10-11 13:34:57.463416,5
a3d8-60,2020-10-11 13:31:57.472928,2020-10-11 13:34:57.472928,5
a3d8-1,2020-10-11 13:31:57.401396,2020-10-11 13:34:57.401396,5
a3d8-34,2020-10-11 13:31:57.457673,2020-10-11 13:34:57.457673,5
a3d8-56,2020-10-11 13:31:57.471010,2020-10-11 13:34:57.471010,5
a3d8-0,2020-10-11 13:31:57.429570,2020-10-11 13:34:57.429570,5
TOTAL,,,459
