GUID,Inicio,Fim,Contador
bf0d-26,2020-10-11 13:31:58.672537,2020-10-11 13:34:58.672537,5
bf0d-17,2020-10-11 13:31:58.675087,2020-10-11 13:34:58.675087,4
bf0d-6,2020-10-11 13:31:58.619012,2020-10-11 13:34:58.619012,4
bf0d-56,2020-10-11 13:31:58.692724,2020-10-11 13:34:58.692724,6
bf0d-60,2020-10-11 13:31:58.700851,2020-10-11 13:34:58.700851,4
bf0d-50,2020-10-11 13:31:58.682797,2020-10-11 13:34:58.682797,5
bf0d-98,2020-10-11 13:31:58.718654,2020-10-11 13:34:58.718654,4
bf0d-36,2020-10-11 13:31:58.683468,2020-10-11 13:34:58.683468,5
bf0d-77,2020-10-11 13:31:58.706529,2020-10-11 13:34:58.706529,5
bf0d-53,2020-10-11 13:31:58.688572,2020-10-11 13:34:58.688572,5
bf0d-68,2020-10-11 13:31:58.695753,2020-10-11 13:34:58.695753,5
bf0d-87,2020-10-11 13:31:58.705341,2020-10-11 13:34:58.705341,4
bf0d-5,2020-10-11 13:31:58.617844,2020-10-11 13:34:58.617844,3
bf0d-90,2020-10-11 13:31:59.727098,2020-10-11 13:34:59.727098,4
bf0d-14,2020-10-11 13:31:58.633739,2020-10-11 13:34:58.633739,4
bf0d-37,2020-10-11 13:31:58.687772,2020-10-11 13:34:58.687772,3
bf0d-83,2020-10-11 13:31:58.696412,2020-10-11 13:34:58.696412,4
bf0d-86,2020-10-11 13:31:58.710313,2020-10-11 13:34:58.710313,5
bf0d-46,2020-10-11 13:31:58.688028,2020-10-11 13:34:58.688028,4
bf0d-29,2020-10-11 13:31:58.683416,2020-10-11 13:34:58.683416,5
bf0d-21,2020-10-11 13:31:58.678743,2020-10-11 13:34:58.678743,3
bf0d-48,2020-10-11 13:31:58.689613,2020-10-11 13:34:58.689613,5
bf0d-42,2020-10-11 13:31:58.686590,2020-10-11 13:34:58.686590,4
bf0d-10,2020-10-11 13:31:58.631063,2020-10-11 13:34:58.631063,5
bf0d-7,2020-10-11 13:31:58.672159,2020-10-11 13:34:58.672159,4
bf0d-70,2020-10-11 13:31:58.697569,2020-10-11 13:34:58.697569,6
bf0d-96,2020-10-11 13:31:58.708521,2020-10-11 13:34:58.708521,4
bf0d-18,2020-10-11 13:31:58.654962,2020-10-11 13:34:58.654962,5
bf0d-75,2020-10-11 13:31:58.705555,2020-10-11 13:34:58.705555,4
bf0d-72,2020-10-11 13:31:58.700484,2020-10-11 13:34:58.700484,5
bf0d-91,2020-10-11 13:31:58.700722,2020-10-11 13:34:58.700722,5
bf0d-0,2020-10-11 13:31:58.654633,2020-10-11 13:34:58.654633,5
bf0d-93,2020-10-11 13:31:58.714994,2020-10-11 13:34:58.714994,5
bf0d-13,2020-10-11 13:31:58.644445,2020-10-11 13:34:58.644445,4
bf0d-51,2020-10-11 13:31:58.692310,2020-10-11 13:34:58.692310,5
bf0d-47,2020-10-11 13:31:58.688651,2020-10-11 13:34:58.688651,3
bf0d-9,2020-10-11 13:31:58.616110,2020-10-11 13:34:58.616110,5
