GUID,Inicio,Fim,Contador
09e8-104,2020-10-11 14:35:07.149320,2020-10-11 14:38:07.149320,5
09e8-202,2020-10-11 14:35:07.278863,2020-10-11 14:38:07.278863,3
09e8-174,2020-10-11 14:35:07.223866,2020-10-11 14:38:07.223866,5
09e8-54,2020-10-11 14:35:07.092233,2020-10-11 14:38:07.092233,4
09e8-49,2020-10-11 14:35:07.078998,2020-10-11 14:38:07.078998,4
09e8-381,2020-10-11 14:35:07.685459,2020-10-11 14:38:07.685459,2
09e8-132,2020-10-11 14:35:07.192698,2020-10-11 14:38:07.192698,5
09e8-376,2020-10-11 14:35:07.654548,2020-10-11 14:38:07.654548,0
09e8-249,2020-10-11 14:35:07.326013,2020-10-11 14:38:07.326013,5
09e8-423,2020-10-11 14:35:07.743665,2020-10-11 14:38:07.743665,1
09e8-222,2020-10-11 14:35:07.291344,2020-10-11 14:38:07.291344,4
09e8-484,2020-10-11 14:35:07.855591,2020-10-11 14:38:07.855591,1
09e8-495,2020-10-11 14:35:07.897523,2020-10-11 14:38:07.897523,0
09e8-499,2020-10-11 14:35:07.904164,2020-10-11 14:38:07.904164,1
09e8-101,2020-10-11 14:35:07.157744,2020-10-11 14:38:07.157744,4
09e8-236,2020-10-11 14:35:07.308599,2020-10-11 14:38:07.308599,3
09e8-41,2020-10-11 14:35:07.067595,2020-10-11 14:38:07.067595,3
09e8-319,2020-10-11 14:35:07.499958,2020-10-11 14:38:07.499958,5
09e8-401,2020-10-11 14:35:08.759226,2020-10-11 14:38:08.759226,2
09e8-489,2020-10-11 14:35:07.881648,2020-10-11 14:38:07.881648,0
09e8-417,2020-10-11 14:35:07.726222,2020-10-11 14:38:07.726222,1
09e8-438,2020-10-11 14:35:07.757776,2020-10-11 14:38:07.757776,0
09e8-264,2020-10-11 14:35:07.331540,2020-10-11 14:38:07.331540,4
09e8-276,2020-10-11 14:35:07.367349,2020-10-11 14:38:07.367349,4
09e8-163,2020-10-11 14:35:07.231629,2020-10-11 14:38:07.231629,5
09e8-131,2020-10-11 14:35:07.191453,2020-10-11 14:38:07.191453,5
09e8-145,2020-10-11 14:35:07.207648,2020-10-11 14:38:07.207648,4
09e8-310,2020-10-11 14:35:07.483575,2020-10-11 14:38:07.483575,4
09e8-173,2020-10-11 14:35:07.235209,2020-10-11 14:38:07.235209,5
09e8-205,2020-10-11 14:35:07.264480,2020-10-11 14:38:07.264480,3
09e8-12,2020-10-11 14:35:07.033288,2020-10-11 14:38:07.033288,4
09e8-263,2020-10-11 14:35:07.336991,2020-10-11 14:38:07.336991,4
09e8-375,2020-10-11 14:35:07.666893,2020-10-11 14:38:07.666893,1
09e8-201,2020-10-11 14:35:07.267434,2020-10-11 14:38:07.267434,5
09e8-304,2020-10-11 14:35:07.466087,2020-10-11 14:38:07.466087,3
09e8-359,2020-10-11 14:35:07.636218,2020-10-11 14:38:07.636218,1
09e8-248,2020-10-11 14:35:07.329981,2020-10-11 14:38:07.329981,5
09e8-275,2020-10-11 14:35:07.378305,2020-10-11 14:38:07.378305,4
09e8-106,2020-10-11 14:35:07.143730,2020-10-11 14:38:07.143730,4
09e8-164,2020-10-11 14:35:07.230675,2020-10-11 14:38:07.230675,5
09e8-204,2020-10-11 14:35:07.273758,2020-10-11 14:38:07.273758,5
09e8-112,2020-10-11 14:35:07.163077,2020-10-11 14:38:07.163077,3
09e8-127,2020-10-11 14:35:07.182423,2020-10-11 14:38:07.182423,4
09e8-85,2020-10-11 14:35:07.125518,2020-10-11 14:38:07.125518,5
09e8-259,2020-10-11 14:35:07.327427,2020-10-11 14:38:07.327427,5
09e8-103,2020-10-11 14:35:07.148872,2020-10-11 14:38:07.148872,4
09e8-196,2020-10-11 14:35:07.249087,2020-10-11 14:38:07.249087,5
09e8-172,2020-10-11 14:35:07.223194,2020-10-11 14:38:07.223194,4
09e8-113,2020-10-11 14:35:07.154264,2020-10-11 14:38:07.154264,3
09e8-136,2020-10-11 14:35:07.183873,2020-10-11 14:38:07.183873,4
09e8-406,2020-10-11 14:35:07.704337,2020-10-11 14:38:07.704337,0
09e8-84,2020-10-11 14:35:07.139286,2020-10-11 14:38:07.139286,4
09e8-467,2020-10-11 14:35:07.834568,2020-10-11 14:38:07.834568,0
09e8-487,2020-10-11 14:35:07.881612,2020-10-11 14:38:07.881612,1
09e8-461,2020-10-11 14:35:07.803969,2020-10-11 14:38:07.803969,1
09e8-44,2020-10-11 14:35:07.091106,2020-10-11 14:38:07.091106,4
09e8-53,2020-10-11 14:35:07.093910,2020-10-11 14:38:07.093910,4
09e8-385,2020-10-11 14:35:07.690511,2020-10-11 14:38:07.690511,1
09e8-68,2020-10-11 14:35:07.116671,2020-10-11 14:38:07.116671,3
09e8-71,2020-10-11 14:35:07.120103,2020-10-11 14:38:07.120103,4
