GUID,Inicio,Fim,Contador
7fbc-345,2020-10-11 14:35:08.546264,2020-10-11 14:38:08.546264,1
7fbc-253,2020-10-11 14:35:08.466826,2020-10-11 14:38:08.466826,4
7fbc-133,2020-10-11 14:35:08.377504,2020-10-11 14:38:08.377504,4
7fbc-469,2020-10-11 14:35:08.662296,2020-10-11 14:38:08.662296,3
7fbc-47,2020-10-11 14:35:08.289447,2020-10-11 14:38:08.289447,5
7fbc-105,2020-10-11 14:35:08.363075,2020-10-11 14:38:08.363075,3
7fbc-327,2020-10-11 14:35:08.538489,2020-10-11 14:38:08.538489,5
7fbc-385,2020-10-11 14:35:08.590746,2020-10-11 14:38:08.590746,0
7fbc-358,2020-10-11 14:35:09.357850,2020-10-11 14:38:09.357850,0
7fbc-151,2020-10-11 14:35:09.239518,2020-10-11 14:38:09.239518,5
7fbc-420,2020-10-11 14:35:08.636123,2020-10-11 14:38:08.636123,1
7fbc-442,2020-10-11 14:35:09.415654,2020-10-11 14:38:09.415654,2
7fbc-202,2020-10-11 14:35:08.437183,2020-10-11 14:38:08.437183,3
7fbc-201,2020-10-11 14:35:11.230118,2020-10-11 14:38:11.230118,4
7fbc-46,2020-10-11 14:35:11.111255,2020-10-11 14:38:11.111255,3
7fbc-74,2020-10-11 14:35:08.313540,2020-10-11 14:38:08.313540,4
7fbc-294,2020-10-11 14:35:11.301636,2020-10-11 14:38:11.301636,4
7fbc-270,2020-10-11 14:35:11.228605,2020-10-11 14:38:11.228605,3
7fbc-353,2020-10-11 14:35:08.560432,2020-10-11 14:38:08.560432,0
7fbc-454,2020-10-11 14:35:09.418300,2020-10-11 14:38:09.418300,0
7fbc-459,2020-10-11 14:35:09.415582,2020-10-11 14:38:09.415582,0
7fbc-370,2020-10-11 14:35:08.566571,2020-10-11 14:38:08.566571,1
7fbc-363,2020-10-11 14:35:11.296199,2020-10-11 14:38:11.296199,0
7fbc-146,2020-10-11 14:35:08.391402,2020-10-11 14:38:08.391402,3
7fbc-89,2020-10-11 14:35:11.181149,2020-10-11 14:38:11.181149,4
7fbc-129,2020-10-11 14:35:11.187539,2020-10-11 14:38:11.187539,4
7fbc-88,2020-10-11 14:35:08.318479,2020-10-11 14:38:08.318479,4
7fbc-262,2020-10-11 14:35:08.481948,2020-10-11 14:38:08.481948,5
7fbc-103,2020-10-11 14:35:09.245209,2020-10-11 14:38:09.245209,4
7fbc-331,2020-10-11 14:35:08.532795,2020-10-11 14:38:08.532795,5
7fbc-318,2020-10-11 14:35:11.285359,2020-10-11 14:38:11.285359,3
7fbc-243,2020-10-11 14:35:11.243006,2020-10-11 14:38:11.243006,4
7fbc-207,2020-10-11 14:35:08.423121,2020-10-11 14:38:08.423121,4
7fbc-276,2020-10-11 14:35:08.480900,2020-10-11 14:38:08.480900,3
7fbc-407,2020-10-11 14:35:08.608841,2020-10-11 14:38:08.608841,0
7fbc-70,2020-10-11 14:35:08.309698,2020-10-11 14:38:08.309698,5
7fbc-484,2020-10-11 14:35:11.420278,2020-10-11 14:38:11.420278,0
7fbc-334,2020-10-11 14:35:08.546148,2020-10-11 14:38:08.546148,5
7fbc-425,2020-10-11 14:35:08.649141,2020-10-11 14:38:08.649141,1
7fbc-191,2020-10-11 14:35:11.231578,2020-10-11 14:38:11.231578,5
7fbc-73,2020-10-11 14:35:08.309741,2020-10-11 14:38:08.309741,4
7fbc-388,2020-10-11 14:35:11.348957,2020-10-11 14:38:11.348957,0
7fbc-238,2020-10-11 14:35:11.217850,2020-10-11 14:38:11.217850,4
7fbc-453,2020-10-11 14:35:11.368145,2020-10-11 14:38:11.368145,0
7fbc-288,2020-10-11 14:35:08.507125,2020-10-11 14:38:08.507125,5
7fbc-408,2020-10-11 14:35:09.429218,2020-10-11 14:38:09.429218,0
7fbc-386,2020-10-11 14:35:08.585664,2020-10-11 14:38:08.585664,1
7fbc-320,2020-10-11 14:35:08.539067,2020-10-11 14:38:08.539067,6
7fbc-112,2020-10-11 14:35:08.340429,2020-10-11 14:38:08.340429,5
7fbc-33,2020-10-11 14:35:08.283044,2020-10-11 14:38:08.283044,5
7fbc-411,2020-10-11 14:35:11.364199,2020-10-11 14:38:11.364199,0
7fbc-366,2020-10-11 14:35:08.560390,2020-10-11 14:38:08.560390,1
7fbc-241,2020-10-11 14:35:08.461301,2020-10-11 14:38:08.461301,3
7fbc-2,2020-10-11 14:35:08.272072,2020-10-11 14:38:08.272072,4
7fbc-174,2020-10-11 14:35:08.397253,2020-10-11 14:38:08.397253,4
7fbc-268,2020-10-11 14:35:11.220420,2020-10-11 14:38:11.220420,5
7fbc-64,2020-10-11 14:35:08.295753,2020-10-11 14:38:08.295753,3
7fbc-113,2020-10-11 14:35:08.340372,2020-10-11 14:38:08.340372,4
7fbc-192,2020-10-11 14:35:08.409815,2020-10-11 14:38:08.409815,3
7fbc-214,2020-10-11 14:35:11.233137,2020-10-11 14:38:11.233137,5
7fbc-348,2020-10-11 14:35:08.560052,2020-10-11 14:38:08.560052,0
7fbc-337,2020-10-11 14:35:11.298116,2020-10-11 14:38:11.298116,5
7fbc-343,2020-10-11 14:35:11.297556,2020-10-11 14:38:11.297556,1
7fbc-274,2020-10-11 14:35:11.233186,2020-10-11 14:38:11.233186,4
7fbc-312,2020-10-11 14:35:08.514027,2020-10-11 14:38:08.514027,3
7fbc-181,2020-10-11 14:35:08.397012,2020-10-11 14:38:08.397012,4
7fbc-228,2020-10-11 14:35:08.454518,2020-10-11 14:38:08.454518,3
7fbc-369,2020-10-11 14:35:08.585211,2020-10-11 14:38:08.585211,1
7fbc-359,2020-10-11 14:35:11.282257,2020-10-11 14:38:11.282257,0
7fbc-35,2020-10-11 14:35:08.278151,2020-10-11 14:38:08.278151,4
7fbc-77,2020-10-11 14:35:08.302776,2020-10-11 14:38:08.302776,4
7fbc-165,2020-10-11 14:35:11.220375,2020-10-11 14:38:11.220375,3
7fbc-371,2020-10-11 14:35:08.580147,2020-10-11 14:38:08.580147,0
7fbc-159,2020-10-11 14:35:09.224477,2020-10-11 14:38:09.224477,4
7fbc-76,2020-10-11 14:35:11.174508,2020-10-11 14:38:11.174508,4
7fbc-132,2020-10-11 14:35:08.359248,2020-10-11 14:38:08.359248,5
7fbc-406,2020-10-11 14:35:08.608990,2020-10-11 14:38:08.608990,1
7fbc-402,2020-10-11 14:35:08.609128,2020-10-11 14:38:08.609128,1
7fbc-427,2020-10-11 14:35:09.418586,2020-10-11 14:38:09.418586,0
7fbc-381,2020-10-11 14:35:11.368517,2020-10-11 14:38:11.368517,0
7fbc-264,2020-10-11 14:35:11.232417,2020-10-11 14:38:11.232417,3
7fbc-217,2020-10-11 14:35:08.443631,2020-10-11 14:38:08.443631,4
7fbc-203,2020-10-11 14:35:08.427813,2020-10-11 14:38:08.427813,5
7fbc-200,2020-10-11 14:35:11.227878,2020-10-11 14:38:11.227878,4
7fbc-63,2020-10-11 14:35:11.105350,2020-10-11 14:38:11.105350,5
7fbc-13,2020-10-11 14:35:11.110575,2020-10-11 14:38:11.110575,6
7fbc-360,2020-10-11 14:35:09.364130,2020-10-11 14:38:09.364130,0
7fbc-449,2020-10-11 14:35:08.649197,2020-10-11 14:38:08.649197,1
7fbc-170,2020-10-11 14:35:08.404035,2020-10-11 14:38:08.404035,3
7fbc-299,2020-10-11 14:35:09.364066,2020-10-11 14:38:09.364066,4
7fbc-233,2020-10-11 14:35:11.227214,2020-10-11 14:38:11.227214,4
7fbc-17,2020-10-11 14:35:08.258711,2020-10-11 14:38:08.258711,4
7fbc-436,2020-10-11 14:35:09.418644,2020-10-11 14:38:09.418644,0
7fbc-92,2020-10-11 14:35:11.169847,2020-10-11 14:38:11.169847,4
7fbc-324,2020-10-11 14:35:08.525217,2020-10-11 14:38:08.525217,4
7fbc-116,2020-10-11 14:35:23.626457,2020-10-11 14:38:23.626457,4
7fbc-405,2020-10-11 14:35:23.679347,2020-10-11 14:38:23.679347,2
7fbc-382,2020-10-11 14:35:11.355384,2020-10-11 14:38:11.355384,0
7fbc-290,2020-10-11 14:35:23.585101,2020-10-11 14:38:23.585101,4
7fbc-305,2020-10-11 14:35:08.519815,2020-10-11 14:38:08.519815,5
7fbc-189,2020-10-11 14:35:11.220456,2020-10-11 14:38:11.220456,3
7fbc-285,2020-10-11 14:35:11.282518,2020-10-11 14:38:11.282518,5
7fbc-498,2020-10-11 14:35:08.686411,2020-10-11 14:38:08.686411,1
7fbc-273,2020-10-11 14:35:23.653027,2020-10-11 14:38:23.653027,5
7fbc-281,2020-10-11 14:35:08.502409,2020-10-11 14:38:08.502409,4
7fbc-393,2020-10-11 14:35:23.643371,2020-10-11 14:38:23.643371,1
7fbc-373,2020-10-11 14:35:08.566248,2020-10-11 14:38:08.566248,0
7fbc-287,2020-10-11 14:35:11.278589,2020-10-11 14:38:11.278589,5
7fbc-289,2020-10-11 14:35:23.601946,2020-10-11 14:38:23.601946,5
7fbc-283,2020-10-11 14:35:08.502457,2020-10-11 14:38:08.502457,4
7fbc-120,2020-10-11 14:35:08.353667,2020-10-11 14:38:08.353667,5
7fbc-479,2020-10-11 14:35:23.644225,2020-10-11 14:38:23.644225,0
7fbc-468,2020-10-11 14:35:23.596920,2020-10-11 14:38:23.596920,0
7fbc-475,2020-10-11 14:35:23.688338,2020-10-11 14:38:23.688338,0
7fbc-429,2020-10-11 14:35:23.605464,2020-10-11 14:38:23.605464,0
7fbc-106,2020-10-11 14:35:08.354099,2020-10-11 14:38:08.354099,4
7fbc-39,2020-10-11 14:35:08.277385,2020-10-11 14:38:08.277385,6
7fbc-101,2020-10-11 14:35:23.683879,2020-10-11 14:38:23.683879,3
7fbc-124,2020-10-11 14:35:23.640450,2020-10-11 14:38:23.640450,4
7fbc-147,2020-10-11 14:35:23.620263,2020-10-11 14:38:23.620263,5
7fbc-319,2020-10-11 14:35:11.290182,2020-10-11 14:38:11.290182,3
7fbc-198,2020-10-11 14:35:23.689225,2020-10-11 14:38:23.689225,5
7fbc-219,2020-10-11 14:35:11.224628,2020-10-11 14:38:11.224628,4
7fbc-41,2020-10-11 14:35:08.283418,2020-10-11 14:38:08.283418,5
7fbc-256,2020-10-11 14:35:08.460387,2020-10-11 14:38:08.460387,4
7fbc-463,2020-10-11 14:35:23.661823,2020-10-11 14:38:23.661823,1
7fbc-1,2020-10-11 14:35:23.619825,2020-10-11 14:38:23.619825,5
7fbc-473,2020-10-11 14:35:23.609968,2020-10-11 14:38:23.609968,0
7fbc-277,2020-10-11 14:35:08.496084,2020-10-11 14:38:08.496084,4
7fbc-247,2020-10-11 14:35:08.466455,2020-10-11 14:38:08.466455,7
7fbc-168,2020-10-11 14:35:11.231799,2020-10-11 14:38:11.231799,3
7fbc-244,2020-10-11 14:35:23.643026,2020-10-11 14:38:23.643026,4
7fbc-216,2020-10-11 14:35:11.224830,2020-10-11 14:38:11.224830,4
7fbc-38,2020-10-11 14:35:23.668435,2020-10-11 14:38:23.668435,3
7fbc-375,2020-10-11 14:35:11.374077,2020-10-11 14:38:11.374077,0
7fbc-8,2020-10-11 14:35:11.102526,2020-10-11 14:38:11.102526,5
7fbc-433,2020-10-11 14:35:23.665662,2020-10-11 14:38:23.665662,0
7fbc-224,2020-10-11 14:35:08.437556,2020-10-11 14:38:08.437556,5
7fbc-251,2020-10-11 14:35:08.473969,2020-10-11 14:38:08.473969,4
7fbc-212,2020-10-11 14:35:08.443255,2020-10-11 14:38:08.443255,4
7fbc-339,2020-10-11 14:35:09.355735,2020-10-11 14:38:09.355735,1
7fbc-104,2020-10-11 14:35:23.686816,2020-10-11 14:38:23.686816,4
7fbc-54,2020-10-11 14:35:11.118896,2020-10-11 14:38:11.118896,5
7fbc-352,2020-10-11 14:35:08.546322,2020-10-11 14:38:08.546322,1
7fbc-330,2020-10-11 14:35:23.591767,2020-10-11 14:38:23.591767,4
7fbc-295,2020-10-11 14:35:08.495016,2020-10-11 14:38:08.495016,5
7fbc-301,2020-10-11 14:35:11.278670,2020-10-11 14:38:11.278670,3
7fbc-480,2020-10-11 14:35:23.681614,2020-10-11 14:38:23.681614,0
7fbc-376,2020-10-11 14:35:11.368482,2020-10-11 14:38:11.368482,0
7fbc-391,2020-10-11 14:35:23.585740,2020-10-11 14:38:23.585740,1
7fbc-220,2020-10-11 14:35:11.232454,2020-10-11 14:38:11.232454,4
7fbc-5,2020-10-11 14:35:23.673979,2020-10-11 14:38:23.673979,5
7fbc-161,2020-10-11 14:35:11.189117,2020-10-11 14:38:11.189117,5
7fbc-250,2020-10-11 14:35:23.634825,2020-10-11 14:38:23.634825,4
7fbc-357,2020-10-11 14:35:08.560470,2020-10-11 14:38:08.560470,1
