GUID,Inicio,Fim,Contador
9a39-76,2020-10-11 14:35:08.936754,2020-10-11 14:38:08.936754,3
9a39-64,2020-10-11 14:35:08.931194,2020-10-11 14:38:08.931194,4
9a39-315,2020-10-11 14:35:09.035994,2020-10-11 14:38:09.035994,4
9a39-317,2020-10-11 14:35:09.048903,2020-10-11 14:38:09.048903,5
9a39-124,2020-10-11 14:35:08.965506,2020-10-11 14:38:08.965506,4
9a39-335,2020-10-11 14:35:09.049242,2020-10-11 14:38:09.049242,4
9a39-128,2020-10-11 14:35:08.968040,2020-10-11 14:38:08.968040,4
9a39-239,2020-10-11 14:35:09.018287,2020-10-11 14:38:09.018287,4
9a39-51,2020-10-11 14:35:08.936384,2020-10-11 14:38:08.936384,3
9a39-454,2020-10-11 14:35:10.049905,2020-10-11 14:38:10.049905,0
9a39-108,2020-10-11 14:35:08.970692,2020-10-11 14:38:08.970692,5
9a39-389,2020-10-11 14:35:09.947924,2020-10-11 14:38:09.947924,0
9a39-244,2020-10-11 14:35:09.890913,2020-10-11 14:38:09.890913,3
9a39-130,2020-10-11 14:35:08.976254,2020-10-11 14:38:08.976254,5
9a39-488,2020-10-11 14:35:10.091171,2020-10-11 14:38:10.091171,2
9a39-288,2020-10-11 14:35:09.031139,2020-10-11 14:38:09.031139,4
9a39-483,2020-10-11 14:35:10.088074,2020-10-11 14:38:10.088074,0
9a39-90,2020-10-11 14:35:08.951526,2020-10-11 14:38:08.951526,5
9a39-197,2020-10-11 14:35:09.791198,2020-10-11 14:38:09.791198,4
9a39-204,2020-10-11 14:35:09.001782,2020-10-11 14:38:09.001782,6
9a39-363,2020-10-11 14:35:09.069167,2020-10-11 14:38:09.069167,2
9a39-296,2020-10-11 14:35:09.030202,2020-10-11 14:38:09.030202,4
9a39-333,2020-10-11 14:35:09.057228,2020-10-11 14:38:09.057228,3
9a39-175,2020-10-11 14:35:09.786655,2020-10-11 14:38:09.786655,4
9a39-357,2020-10-11 14:35:09.080519,2020-10-11 14:38:09.080519,0
9a39-303,2020-10-11 14:35:09.040680,2020-10-11 14:38:09.040680,5
9a39-447,2020-10-11 14:35:10.048695,2020-10-11 14:38:10.048695,0
9a39-392,2020-10-11 14:35:10.068012,2020-10-11 14:38:10.068012,0
9a39-474,2020-10-11 14:35:09.172809,2020-10-11 14:38:09.172809,0
9a39-158,2020-10-11 14:35:09.809916,2020-10-11 14:38:09.809916,3
9a39-359,2020-10-11 14:35:09.951684,2020-10-11 14:38:09.951684,0
9a39-257,2020-10-11 14:35:09.019346,2020-10-11 14:38:09.019346,5
9a39-212,2020-10-11 14:35:09.910637,2020-10-11 14:38:09.910637,3
9a39-35,2020-10-11 14:35:09.717484,2020-10-11 14:38:09.717484,6
9a39-404,2020-10-11 14:35:10.051624,2020-10-11 14:38:10.051624,0
9a39-443,2020-10-11 14:35:10.068968,2020-10-11 14:38:10.068968,0
9a39-77,2020-10-11 14:35:08.951482,2020-10-11 14:38:08.951482,4
9a39-279,2020-10-11 14:35:09.023475,2020-10-11 14:38:09.023475,3
9a39-273,2020-10-11 14:35:09.026224,2020-10-11 14:38:09.026224,5
9a39-299,2020-10-11 14:35:09.905596,2020-10-11 14:38:09.905596,3
9a39-458,2020-10-11 14:35:10.004483,2020-10-11 14:38:10.004483,0
9a39-123,2020-10-11 14:35:08.976209,2020-10-11 14:38:08.976209,7
9a39-414,2020-10-11 14:35:09.117605,2020-10-11 14:38:09.117605,0
9a39-413,2020-10-11 14:35:09.123636,2020-10-11 14:38:09.123636,0
9a39-266,2020-10-11 14:35:09.023259,2020-10-11 14:38:09.023259,4
9a39-165,2020-10-11 14:35:08.990414,2020-10-11 14:38:08.990414,4
9a39-208,2020-10-11 14:35:09.003350,2020-10-11 14:38:09.003350,5
9a39-444,2020-10-11 14:35:09.155564,2020-10-11 14:38:09.155564,0
9a39-254,2020-10-11 14:35:09.896308,2020-10-11 14:38:09.896308,5
9a39-291,2020-10-11 14:35:09.898317,2020-10-11 14:38:09.898317,4
9a39-261,2020-10-11 14:35:09.909522,2020-10-11 14:38:09.909522,4
9a39-272,2020-10-11 14:35:09.026593,2020-10-11 14:38:09.026593,4
9a39-442,2020-10-11 14:35:09.149089,2020-10-11 14:38:09.149089,0
9a39-234,2020-10-11 14:35:11.836615,2020-10-11 14:38:11.836615,6
9a39-477,2020-10-11 14:35:09.172328,2020-10-11 14:38:09.172328,0
9a39-308,2020-10-11 14:35:09.042195,2020-10-11 14:38:09.042195,4
9a39-94,2020-10-11 14:35:09.699481,2020-10-11 14:38:09.699481,4
9a39-112,2020-10-11 14:35:09.787122,2020-10-11 14:38:09.787122,3
9a39-41,2020-10-11 14:35:11.661498,2020-10-11 14:38:11.661498,4
9a39-183,2020-10-11 14:35:09.771111,2020-10-11 14:38:09.771111,4
9a39-286,2020-10-11 14:35:09.922526,2020-10-11 14:38:09.922526,4
9a39-189,2020-10-11 14:35:08.996180,2020-10-11 14:38:08.996180,5
9a39-131,2020-10-11 14:35:09.798007,2020-10-11 14:38:09.798007,3
9a39-54,2020-10-11 14:35:09.716895,2020-10-11 14:38:09.716895,4
9a39-200,2020-10-11 14:35:08.999234,2020-10-11 14:38:08.999234,3
9a39-459,2020-10-11 14:35:09.163252,2020-10-11 14:38:09.163252,0
9a39-298,2020-10-11 14:35:09.923566,2020-10-11 14:38:09.923566,5
