GUID,Inicio,Fim,Contador
a327-203,2020-10-11 14:35:09.214903,2020-10-11 14:38:09.214903,4
a327-94,2020-10-11 14:35:09.163403,2020-10-11 14:38:09.163403,3
a327-304,2020-10-11 14:35:09.250596,2020-10-11 14:38:09.250596,5
a327-214,2020-10-11 14:35:09.227710,2020-10-11 14:38:09.227710,5
a327-298,2020-10-11 14:35:09.234677,2020-10-11 14:38:09.234677,4
a327-199,2020-10-11 14:35:10.104809,2020-10-11 14:38:10.104809,4
a327-168,2020-10-11 14:35:09.218147,2020-10-11 14:38:09.218147,3
a327-331,2020-10-11 14:35:10.311402,2020-10-11 14:38:10.311402,3
a327-242,2020-10-11 14:35:09.227266,2020-10-11 14:38:09.227266,5
a327-354,2020-10-11 14:35:09.269268,2020-10-11 14:38:09.269268,2
a327-133,2020-10-11 14:35:09.180342,2020-10-11 14:38:09.180342,7
a327-85,2020-10-11 14:35:10.047720,2020-10-11 14:38:10.047720,5
a327-447,2020-10-11 14:35:10.351362,2020-10-11 14:38:10.351362,1
a327-72,2020-10-11 14:35:10.062076,2020-10-11 14:38:10.062076,6
a327-374,2020-10-11 14:35:10.342069,2020-10-11 14:38:10.342069,1
a327-480,2020-10-11 14:35:09.396383,2020-10-11 14:38:09.396383,1
a327-4,2020-10-11 14:35:09.925529,2020-10-11 14:38:09.925529,4
a327-156,2020-10-11 14:35:09.204046,2020-10-11 14:38:09.204046,4
a327-13,2020-10-11 14:35:09.946356,2020-10-11 14:38:09.946356,4
a327-321,2020-10-11 14:35:09.253462,2020-10-11 14:38:09.253462,5
a327-419,2020-10-11 14:35:09.319662,2020-10-11 14:38:09.319662,1
a327-202,2020-10-11 14:35:10.108659,2020-10-11 14:38:10.108659,4
a327-355,2020-10-11 14:35:09.275616,2020-10-11 14:38:09.275616,0
a327-332,2020-10-11 14:35:09.245300,2020-10-11 14:38:09.245300,4
a327-226,2020-10-11 14:35:10.172319,2020-10-11 14:38:10.172319,4
a327-8,2020-10-11 14:35:09.093487,2020-10-11 14:38:09.093487,5
a327-319,2020-10-11 14:35:10.303113,2020-10-11 14:38:10.303113,6
a327-228,2020-10-11 14:35:09.224738,2020-10-11 14:38:09.224738,4
a327-246,2020-10-11 14:35:10.147624,2020-10-11 14:38:10.147624,3
a327-99,2020-10-11 14:35:09.169686,2020-10-11 14:38:09.169686,4
a327-126,2020-10-11 14:35:09.174566,2020-10-11 14:38:09.174566,5
a327-434,2020-10-11 14:35:09.317556,2020-10-11 14:38:09.317556,1
a327-234,2020-10-11 14:35:10.169755,2020-10-11 14:38:10.169755,4
a327-464,2020-10-11 14:35:09.366832,2020-10-11 14:38:09.366832,0
a327-286,2020-10-11 14:35:09.232099,2020-10-11 14:38:09.232099,4
a327-19,2020-10-11 14:35:09.938554,2020-10-11 14:38:09.938554,4
a327-1,2020-10-11 14:35:09.944621,2020-10-11 14:38:09.944621,6
a327-105,2020-10-11 14:35:09.160076,2020-10-11 14:38:09.160076,3
a327-80,2020-10-11 14:35:09.152477,2020-10-11 14:38:09.152477,4
a327-88,2020-10-11 14:35:10.057084,2020-10-11 14:38:10.057084,3
a327-7,2020-10-11 14:35:09.937691,2020-10-11 14:38:09.937691,5
a327-111,2020-10-11 14:35:09.179145,2020-10-11 14:38:09.179145,6
a327-113,2020-10-11 14:35:09.162366,2020-10-11 14:38:09.162366,4
a327-369,2020-10-11 14:35:09.264006,2020-10-11 14:38:09.264006,2
a327-137,2020-10-11 14:35:09.197771,2020-10-11 14:38:09.197771,5
a327-384,2020-10-11 14:35:09.288394,2020-10-11 14:38:09.288394,0
a327-179,2020-10-11 14:35:09.223040,2020-10-11 14:38:09.223040,5
a327-276,2020-10-11 14:35:10.169708,2020-10-11 14:38:10.169708,3
a327-395,2020-10-11 14:35:09.296470,2020-10-11 14:38:09.296470,1
a327-462,2020-10-11 14:35:10.352167,2020-10-11 14:38:10.352167,0
a327-359,2020-10-11 14:35:10.312878,2020-10-11 14:38:10.312878,0
a327-120,2020-10-11 14:35:10.109993,2020-10-11 14:38:10.109993,4
a327-222,2020-10-11 14:35:10.165806,2020-10-11 14:38:10.165806,5
a327-324,2020-10-11 14:35:09.259020,2020-10-11 14:38:09.259020,4
a327-465,2020-10-11 14:35:10.361320,2020-10-11 14:38:10.361320,0
a327-115,2020-10-11 14:35:09.177681,2020-10-11 14:38:09.177681,4
a327-139,2020-10-11 14:35:10.102811,2020-10-11 14:38:10.102811,6
a327-290,2020-10-11 14:35:10.195279,2020-10-11 14:38:10.195279,3
a327-360,2020-10-11 14:35:10.326033,2020-10-11 14:38:10.326033,1
a327-449,2020-10-11 14:35:12.285266,2020-10-11 14:38:12.285266,1
a327-275,2020-10-11 14:35:10.179186,2020-10-11 14:38:10.179186,5
a327-412,2020-10-11 14:35:10.303058,2020-10-11 14:38:10.303058,0
a327-259,2020-10-11 14:35:09.227673,2020-10-11 14:38:09.227673,4
a327-210,2020-10-11 14:35:09.221823,2020-10-11 14:38:09.221823,4
a327-379,2020-10-11 14:35:10.296304,2020-10-11 14:38:10.296304,0
a327-335,2020-10-11 14:35:09.266163,2020-10-11 14:38:09.266163,4
a327-162,2020-10-11 14:35:09.189424,2020-10-11 14:38:09.189424,5
a327-28,2020-10-11 14:35:10.061654,2020-10-11 14:38:10.061654,5
a327-163,2020-10-11 14:35:10.101988,2020-10-11 14:38:10.101988,4
a327-495,2020-10-11 14:35:09.402408,2020-10-11 14:38:09.402408,2
a327-399,2020-10-11 14:35:09.301511,2020-10-11 14:38:09.301511,1
a327-0,2020-10-11 14:35:09.946557,2020-10-11 14:38:09.946557,4
a327-349,2020-10-11 14:35:10.334362,2020-10-11 14:38:10.334362,0
a327-487,2020-10-11 14:35:09.402268,2020-10-11 14:38:09.402268,0
a327-153,2020-10-11 14:35:10.081190,2020-10-11 14:38:10.081190,4
a327-424,2020-10-11 14:35:10.355006,2020-10-11 14:38:10.355006,0
a327-303,2020-10-11 14:35:09.234976,2020-10-11 14:38:09.234976,5
a327-32,2020-10-11 14:35:09.096346,2020-10-11 14:38:09.096346,4
a327-470,2020-10-11 14:35:10.360524,2020-10-11 14:38:10.360524,1
a327-352,2020-10-11 14:35:10.314593,2020-10-11 14:38:10.314593,0
a327-138,2020-10-11 14:35:09.179445,2020-10-11 14:38:09.179445,3
a327-73,2020-10-11 14:35:09.154729,2020-10-11 14:38:09.154729,3
a327-186,2020-10-11 14:35:10.112271,2020-10-11 14:38:10.112271,5
a327-17,2020-10-11 14:35:11.900490,2020-10-11 14:38:11.900490,5
a327-427,2020-10-11 14:35:09.314473,2020-10-11 14:38:09.314473,0
a327-251,2020-10-11 14:35:10.181040,2020-10-11 14:38:10.181040,4
a327-116,2020-10-11 14:35:10.096094,2020-10-11 14:38:10.096094,5
a327-378,2020-10-11 14:35:10.310793,2020-10-11 14:38:10.310793,1
a327-215,2020-10-11 14:35:09.219606,2020-10-11 14:38:09.219606,4
a327-177,2020-10-11 14:35:10.074943,2020-10-11 14:38:10.074943,4
a327-292,2020-10-11 14:35:09.242485,2020-10-11 14:38:09.242485,6
a327-468,2020-10-11 14:35:10.360695,2020-10-11 14:38:10.360695,0
a327-282,2020-10-11 14:35:10.166226,2020-10-11 14:38:10.166226,4
a327-327,2020-10-11 14:35:09.246009,2020-10-11 14:38:09.246009,4
a327-294,2020-10-11 14:35:09.233163,2020-10-11 14:38:09.233163,5
a327-307,2020-10-11 14:35:09.238798,2020-10-11 14:38:09.238798,4
a327-172,2020-10-11 14:35:09.189747,2020-10-11 14:38:09.189747,5
a327-84,2020-10-11 14:35:10.006473,2020-10-11 14:38:10.006473,3
a327-54,2020-10-11 14:35:10.045977,2020-10-11 14:38:10.045977,5
a327-35,2020-10-11 14:35:09.109414,2020-10-11 14:38:09.109414,4
a327-128,2020-10-11 14:35:10.110976,2020-10-11 14:38:10.110976,4
a327-121,2020-10-11 14:35:10.111728,2020-10-11 14:38:10.111728,4
a327-61,2020-10-11 14:35:10.050656,2020-10-11 14:38:10.050656,5
a327-478,2020-10-11 14:35:09.398012,2020-10-11 14:38:09.398012,0
a327-471,2020-10-11 14:35:12.294980,2020-10-11 14:38:12.294980,1
a327-117,2020-10-11 14:35:10.110085,2020-10-11 14:38:10.110085,3
a327-100,2020-10-11 14:35:10.051785,2020-10-11 14:38:10.051785,5
a327-149,2020-10-11 14:35:09.183968,2020-10-11 14:38:09.183968,5
a327-39,2020-10-11 14:35:10.061208,2020-10-11 14:38:10.061208,3
a327-453,2020-10-11 14:35:10.359403,2020-10-11 14:38:10.359403,0
a327-353,2020-10-11 14:35:10.325922,2020-10-11 14:38:10.325922,2
a327-71,2020-10-11 14:35:10.062759,2020-10-11 14:38:10.062759,3
a327-51,2020-10-11 14:35:10.044676,2020-10-11 14:38:10.044676,6
a327-253,2020-10-11 14:35:10.171891,2020-10-11 14:38:10.171891,6
a327-158,2020-10-11 14:35:09.202290,2020-10-11 14:38:09.202290,5
a327-418,2020-10-11 14:35:10.363067,2020-10-11 14:38:10.363067,0
a327-342,2020-10-11 14:35:09.250682,2020-10-11 14:38:09.250682,0
a327-161,2020-10-11 14:35:10.112085,2020-10-11 14:38:10.112085,4
a327-151,2020-10-11 14:35:10.108071,2020-10-11 14:38:10.108071,4
a327-232,2020-10-11 14:35:10.178233,2020-10-11 14:38:10.178233,4
a327-36,2020-10-11 14:35:09.114701,2020-10-11 14:38:09.114701,3
a327-165,2020-10-11 14:35:10.104012,2020-10-11 14:38:10.104012,4
a327-213,2020-10-11 14:35:10.178389,2020-10-11 14:38:10.178389,4
a327-204,2020-10-11 14:35:09.225633,2020-10-11 14:38:09.225633,4
a327-293,2020-10-11 14:35:09.249080,2020-10-11 14:38:09.249080,4
a327-481,2020-10-11 14:35:09.399971,2020-10-11 14:38:09.399971,0
a327-187,2020-10-11 14:35:09.205944,2020-10-11 14:38:09.205944,5
a327-92,2020-10-11 14:35:09.152844,2020-10-11 14:38:09.152844,6
a327-180,2020-10-11 14:35:09.196410,2020-10-11 14:38:09.196410,7
a327-444,2020-10-11 14:35:09.351963,2020-10-11 14:38:09.351963,0
a327-268,2020-10-11 14:35:09.229413,2020-10-11 14:38:09.229413,4
a327-78,2020-10-11 14:35:10.045026,2020-10-11 14:38:10.045026,5
a327-388,2020-10-11 14:35:09.277234,2020-10-11 14:38:09.277234,0
a327-496,2020-10-11 14:35:10.362007,2020-10-11 14:38:10.362007,0
a327-484,2020-10-11 14:35:12.305238,2020-10-11 14:38:12.305238,2
a327-41,2020-10-11 14:35:10.063863,2020-10-11 14:38:10.063863,4
a327-315,2020-10-11 14:35:09.252735,2020-10-11 14:38:09.252735,4
a327-132,2020-10-11 14:35:09.190473,2020-10-11 14:38:09.190473,5
a327-263,2020-10-11 14:35:10.178708,2020-10-11 14:38:10.178708,4
a327-69,2020-10-11 14:35:10.064194,2020-10-11 14:38:10.064194,4
a327-62,2020-10-11 14:35:10.055074,2020-10-11 14:38:10.055074,4
a327-190,2020-10-11 14:35:09.198797,2020-10-11 14:38:09.198797,4
a327-417,2020-10-11 14:35:10.356073,2020-10-11 14:38:10.356073,1
a327-159,2020-10-11 14:35:09.187238,2020-10-11 14:38:09.187238,5
a327-265,2020-10-11 14:35:10.148685,2020-10-11 14:38:10.148685,4
a327-451,2020-10-11 14:35:09.351197,2020-10-11 14:38:09.351197,0
a327-38,2020-10-11 14:35:10.063260,2020-10-11 14:38:10.063260,5
a327-81,2020-10-11 14:35:09.154829,2020-10-11 14:38:09.154829,5
a327-169,2020-10-11 14:35:10.088244,2020-10-11 14:38:10.088244,5
a327-75,2020-10-11 14:35:09.137328,2020-10-11 14:38:09.137328,5
a327-405,2020-10-11 14:35:09.307724,2020-10-11 14:38:09.307724,0
a327-297,2020-10-11 14:35:09.245684,2020-10-11 14:38:09.245684,5
a327-461,2020-10-11 14:35:09.361194,2020-10-11 14:38:09.361194,1
a327-323,2020-10-11 14:35:10.337944,2020-10-11 14:38:10.337944,6
a327-357,2020-10-11 14:35:10.293248,2020-10-11 14:38:10.293248,0
a327-340,2020-10-11 14:35:10.341588,2020-10-11 14:38:10.341588,1
a327-56,2020-10-11 14:35:10.034843,2020-10-11 14:38:10.034843,6
a327-58,2020-10-11 14:35:10.052759,2020-10-11 14:38:10.052759,5
a327-192,2020-10-11 14:35:10.109675,2020-10-11 14:38:10.109675,5
a327-21,2020-10-11 14:35:09.921661,2020-10-11 14:38:09.921661,4
a327-229,2020-10-11 14:35:10.190342,2020-10-11 14:38:10.190342,4
a327-316,2020-10-11 14:35:09.239391,2020-10-11 14:38:09.239391,4
a327-260,2020-10-11 14:35:10.182454,2020-10-11 14:38:10.182454,3
a327-362,2020-10-11 14:35:09.275575,2020-10-11 14:38:09.275575,0
a327-254,2020-10-11 14:35:10.195018,2020-10-11 14:38:10.195018,5
a327-114,2020-10-11 14:35:09.180479,2020-10-11 14:38:09.180479,4
a327-197,2020-10-11 14:35:09.219812,2020-10-11 14:38:09.219812,4
a327-485,2020-10-11 14:35:09.395445,2020-10-11 14:38:09.395445,0
a327-358,2020-10-11 14:35:09.259735,2020-10-11 14:38:09.259735,0
a327-391,2020-10-11 14:35:09.277793,2020-10-11 14:38:09.277793,1
a327-285,2020-10-11 14:35:09.237569,2020-10-11 14:38:09.237569,4
a327-160,2020-10-11 14:35:10.102145,2020-10-11 14:38:10.102145,4
a327-273,2020-10-11 14:35:09.230871,2020-10-11 14:38:09.230871,3
a327-119,2020-10-11 14:35:09.182450,2020-10-11 14:38:09.182450,4
a327-140,2020-10-11 14:35:10.094747,2020-10-11 14:38:10.094747,5
a327-129,2020-10-11 14:35:09.174793,2020-10-11 14:38:09.174793,4
a327-372,2020-10-11 14:35:09.263687,2020-10-11 14:38:09.263687,1
a327-441,2020-10-11 14:35:09.326217,2020-10-11 14:38:09.326217,2
a327-127,2020-10-11 14:35:09.188036,2020-10-11 14:38:09.188036,7
a327-18,2020-10-11 14:35:09.101873,2020-10-11 14:38:09.101873,4
a327-448,2020-10-11 14:35:09.334420,2020-10-11 14:38:09.334420,0
a327-16,2020-10-11 14:35:09.088110,2020-10-11 14:38:09.088110,3
a327-219,2020-10-11 14:35:09.228855,2020-10-11 14:38:09.228855,5
a327-240,2020-10-11 14:35:09.232054,2020-10-11 14:38:09.232054,4
a327-477,2020-10-11 14:35:10.359032,2020-10-11 14:38:10.359032,0
a327-155,2020-10-11 14:35:10.092363,2020-10-11 14:38:10.092363,6
a327-200,2020-10-11 14:35:09.226272,2020-10-11 14:38:09.226272,5
a327-443,2020-10-11 14:35:09.349054,2020-10-11 14:38:09.349054,1
a327-245,2020-10-11 14:35:10.147553,2020-10-11 14:38:10.147553,5
a327-436,2020-10-11 14:35:10.349232,2020-10-11 14:38:10.349232,1
a327-46,2020-10-11 14:35:10.062935,2020-10-11 14:38:10.062935,6
a327-390,2020-10-11 14:35:10.258445,2020-10-11 14:38:10.258445,1
a327-383,2020-10-11 14:35:10.268492,2020-10-11 14:38:10.268492,0
a327-287,2020-10-11 14:35:10.164527,2020-10-11 14:38:10.164527,4
a327-76,2020-10-11 14:35:10.062481,2020-10-11 14:38:10.062481,5
a327-423,2020-10-11 14:35:09.321258,2020-10-11 14:38:09.321258,2
a327-74,2020-10-11 14:35:10.041139,2020-10-11 14:38:10.041139,4
a327-322,2020-10-11 14:35:09.259478,2020-10-11 14:38:09.259478,6
a327-104,2020-10-11 14:35:09.169197,2020-10-11 14:38:09.169197,5
a327-284,2020-10-11 14:35:09.238531,2020-10-11 14:38:09.238531,4
a327-382,2020-10-11 14:35:09.285856,2020-10-11 14:38:09.285856,1
a327-87,2020-10-11 14:35:09.156780,2020-10-11 14:38:09.156780,3
a327-267,2020-10-11 14:35:10.177875,2020-10-11 14:38:10.177875,4
a327-277,2020-10-11 14:35:10.180526,2020-10-11 14:38:10.180526,5
a327-144,2020-10-11 14:35:10.096808,2020-10-11 14:38:10.096808,6
