GUID,Inicio,Fim,Contador
bda1-60,2020-10-11 14:35:08.648068,2020-10-11 14:38:08.648068,4
bda1-334,2020-10-11 14:35:08.876313,2020-10-11 14:38:08.876313,4
bda1-471,2020-10-11 14:35:08.970166,2020-10-11 14:38:08.970166,2
bda1-448,2020-10-11 14:35:08.961681,2020-10-11 14:38:08.961681,0
bda1-141,2020-10-11 14:35:08.716053,2020-10-11 14:38:08.716053,4
bda1-486,2020-10-11 14:35:08.977367,2020-10-11 14:38:08.977367,0
bda1-346,2020-10-11 14:35:08.889085,2020-10-11 14:38:08.889085,1
bda1-451,2020-10-11 14:35:08.958619,2020-10-11 14:38:08.958619,2
bda1-165,2020-10-11 14:35:11.417760,2020-10-11 14:38:11.417760,5
bda1-356,2020-10-11 14:35:11.652182,2020-10-11 14:38:11.652182,0
bda1-333,2020-10-11 14:35:08.880805,2020-10-11 14:38:08.880805,4
bda1-259,2020-10-11 14:35:08.802545,2020-10-11 14:38:08.802545,3
bda1-15,2020-10-11 14:35:08.608674,2020-10-11 14:38:08.608674,4
bda1-152,2020-10-11 14:35:11.420442,2020-10-11 14:38:11.420442,4
bda1-127,2020-10-11 14:35:11.417447,2020-10-11 14:38:11.417447,3
bda1-485,2020-10-11 14:35:09.790931,2020-10-11 14:38:09.790931,0
bda1-432,2020-10-11 14:35:09.713200,2020-10-11 14:38:09.713200,0
bda1-338,2020-10-11 14:35:09.645054,2020-10-11 14:38:09.645054,0
bda1-134,2020-10-11 14:35:08.699087,2020-10-11 14:38:08.699087,4
bda1-96,2020-10-11 14:35:08.681205,2020-10-11 14:38:08.681205,5
bda1-437,2020-10-11 14:35:08.951416,2020-10-11 14:38:08.951416,1
bda1-32,2020-10-11 14:35:08.628360,2020-10-11 14:38:08.628360,5
bda1-61,2020-10-11 14:35:08.661594,2020-10-11 14:38:08.661594,4
bda1-391,2020-10-11 14:35:11.661482,2020-10-11 14:38:11.661482,0
bda1-172,2020-10-11 14:35:11.487453,2020-10-11 14:38:11.487453,5
bda1-150,2020-10-11 14:35:11.436477,2020-10-11 14:38:11.436477,5
bda1-298,2020-10-11 14:35:08.837793,2020-10-11 14:38:08.837793,5
bda1-477,2020-10-11 14:35:09.801235,2020-10-11 14:38:09.801235,0
bda1-143,2020-10-11 14:35:08.715612,2020-10-11 14:38:08.715612,5
bda1-222,2020-10-11 14:35:08.764919,2020-10-11 14:38:08.764919,3
bda1-202,2020-10-11 14:35:11.504967,2020-10-11 14:38:11.504967,4
bda1-452,2020-10-11 14:35:09.791650,2020-10-11 14:38:09.791650,0
bda1-282,2020-10-11 14:35:11.567595,2020-10-11 14:38:11.567595,4
bda1-176,2020-10-11 14:35:08.733982,2020-10-11 14:38:08.733982,4
bda1-162,2020-10-11 14:35:09.493898,2020-10-11 14:38:09.493898,4
bda1-344,2020-10-11 14:35:11.597922,2020-10-11 14:38:11.597922,0
bda1-70,2020-10-11 14:35:08.674371,2020-10-11 14:38:08.674371,4
bda1-484,2020-10-11 14:35:09.795317,2020-10-11 14:38:09.795317,0
bda1-370,2020-10-11 14:35:08.910951,2020-10-11 14:38:08.910951,1
bda1-375,2020-10-11 14:35:09.723385,2020-10-11 14:38:09.723385,0
bda1-163,2020-10-11 14:35:08.734839,2020-10-11 14:38:08.734839,4
bda1-330,2020-10-11 14:35:11.585042,2020-10-11 14:38:11.585042,6
bda1-0,2020-10-11 14:35:08.598097,2020-10-11 14:38:08.598097,4
bda1-2,2020-10-11 14:35:08.597459,2020-10-11 14:38:08.597459,5
bda1-488,2020-10-11 14:35:08.976732,2020-10-11 14:38:08.976732,0
bda1-76,2020-10-11 14:35:09.519263,2020-10-11 14:38:09.519263,3
bda1-343,2020-10-11 14:35:09.632569,2020-10-11 14:38:09.632569,0
bda1-16,2020-10-11 14:35:11.343776,2020-10-11 14:38:11.343776,6
bda1-481,2020-10-11 14:35:08.977675,2020-10-11 14:38:08.977675,1
bda1-479,2020-10-11 14:35:09.776754,2020-10-11 14:38:09.776754,0
bda1-473,2020-10-11 14:35:09.800807,2020-10-11 14:38:09.800807,0
bda1-237,2020-10-11 14:35:08.775974,2020-10-11 14:38:08.775974,6
bda1-449,2020-10-11 14:35:09.795194,2020-10-11 14:38:09.795194,1
bda1-476,2020-10-11 14:35:08.977503,2020-10-11 14:38:08.977503,2
bda1-248,2020-10-11 14:35:09.564425,2020-10-11 14:38:09.564425,4
bda1-462,2020-10-11 14:35:09.773549,2020-10-11 14:38:09.773549,0
bda1-170,2020-10-11 14:35:08.726852,2020-10-11 14:38:08.726852,3
bda1-309,2020-10-11 14:35:08.863450,2020-10-11 14:38:08.863450,3
bda1-429,2020-10-11 14:35:11.663188,2020-10-11 14:38:11.663188,0
bda1-295,2020-10-11 14:35:09.653031,2020-10-11 14:38:09.653031,4
bda1-131,2020-10-11 14:35:08.699370,2020-10-11 14:38:08.699370,4
bda1-14,2020-10-11 14:35:08.598613,2020-10-11 14:38:08.598613,3
bda1-279,2020-10-11 14:35:08.832169,2020-10-11 14:38:08.832169,6
bda1-3,2020-10-11 14:35:11.342050,2020-10-11 14:38:11.342050,4
bda1-151,2020-10-11 14:35:11.422086,2020-10-11 14:38:11.422086,4
bda1-98,2020-10-11 14:35:08.687348,2020-10-11 14:38:08.687348,5
bda1-17,2020-10-11 14:35:08.602654,2020-10-11 14:38:08.602654,4
bda1-168,2020-10-11 14:35:09.491873,2020-10-11 14:38:09.491873,4
bda1-100,2020-10-11 14:35:08.687758,2020-10-11 14:38:08.687758,5
bda1-414,2020-10-11 14:35:09.722658,2020-10-11 14:38:09.722658,0
bda1-363,2020-10-11 14:35:08.905709,2020-10-11 14:38:08.905709,0
bda1-367,2020-10-11 14:35:09.712640,2020-10-11 14:38:09.712640,0
bda1-294,2020-10-11 14:35:11.580397,2020-10-11 14:38:11.580397,4
bda1-291,2020-10-11 14:35:08.842085,2020-10-11 14:38:08.842085,5
bda1-191,2020-10-11 14:35:11.504179,2020-10-11 14:38:11.504179,4
bda1-308,2020-10-11 14:35:08.856560,2020-10-11 14:38:08.856560,4
bda1-185,2020-10-11 14:35:08.753358,2020-10-11 14:38:08.753358,3
bda1-115,2020-10-11 14:35:11.418032,2020-10-11 14:38:11.418032,4
bda1-120,2020-10-11 14:35:08.687391,2020-10-11 14:38:08.687391,5
bda1-415,2020-10-11 14:35:09.714175,2020-10-11 14:38:09.714175,1
bda1-27,2020-10-11 14:35:08.622247,2020-10-11 14:38:08.622247,5
bda1-34,2020-10-11 14:35:08.615846,2020-10-11 14:38:08.615846,4
bda1-304,2020-10-11 14:35:09.657298,2020-10-11 14:38:09.657298,5
bda1-434,2020-10-11 14:35:11.673719,2020-10-11 14:38:11.673719,0
bda1-332,2020-10-11 14:35:08.889317,2020-10-11 14:38:08.889317,5
bda1-47,2020-10-11 14:35:08.642837,2020-10-11 14:38:08.642837,5
bda1-310,2020-10-11 14:35:11.586114,2020-10-11 14:38:11.586114,6
bda1-280,2020-10-11 14:35:08.837599,2020-10-11 14:38:08.837599,5
bda1-44,2020-10-11 14:35:09.432070,2020-10-11 14:38:09.432070,4
bda1-121,2020-10-11 14:35:09.561842,2020-10-11 14:38:09.561842,4
bda1-270,2020-10-11 14:35:09.659076,2020-10-11 14:38:09.659076,4
bda1-45,2020-10-11 14:35:09.438092,2020-10-11 14:38:09.438092,7
bda1-403,2020-10-11 14:35:08.939404,2020-10-11 14:38:08.939404,0
bda1-106,2020-10-11 14:35:08.693365,2020-10-11 14:38:08.693365,4
bda1-284,2020-10-11 14:35:08.826929,2020-10-11 14:38:08.826929,6
bda1-347,2020-10-11 14:35:11.592810,2020-10-11 14:38:11.592810,0
bda1-441,2020-10-11 14:35:09.722728,2020-10-11 14:38:09.722728,0
bda1-159,2020-10-11 14:35:08.717979,2020-10-11 14:38:08.717979,4
bda1-395,2020-10-11 14:35:09.717879,2020-10-11 14:38:09.717879,0
bda1-301,2020-10-11 14:35:11.594262,2020-10-11 14:38:11.594262,3
bda1-450,2020-10-11 14:35:08.964503,2020-10-11 14:38:08.964503,0
bda1-385,2020-10-11 14:35:08.926778,2020-10-11 14:38:08.926778,1
bda1-83,2020-10-11 14:35:23.590778,2020-10-11 14:38:23.590778,5
bda1-234,2020-10-11 14:35:11.500578,2020-10-11 14:38:11.500578,4
bda1-469,2020-10-11 14:35:09.796311,2020-10-11 14:38:09.796311,0
bda1-189,2020-10-11 14:35:08.740139,2020-10-11 14:38:08.740139,5
bda1-56,2020-10-11 14:35:09.432429,2020-10-11 14:38:09.432429,4
bda1-418,2020-10-11 14:35:11.664238,2020-10-11 14:38:11.664238,1
bda1-439,2020-10-11 14:35:08.958769,2020-10-11 14:38:08.958769,0
bda1-240,2020-10-11 14:35:11.516823,2020-10-11 14:38:11.516823,4
bda1-353,2020-10-11 14:35:08.901451,2020-10-11 14:38:08.901451,1
bda1-269,2020-10-11 14:35:08.832013,2020-10-11 14:38:08.832013,5
bda1-371,2020-10-11 14:35:11.667704,2020-10-11 14:38:11.667704,1
bda1-480,2020-10-11 14:35:09.777916,2020-10-11 14:38:09.777916,0
bda1-48,2020-10-11 14:35:23.595803,2020-10-11 14:38:23.595803,3
bda1-445,2020-10-11 14:35:08.956140,2020-10-11 14:38:08.956140,0
bda1-38,2020-10-11 14:35:08.621923,2020-10-11 14:38:08.621923,5
bda1-290,2020-10-11 14:35:11.595587,2020-10-11 14:38:11.595587,4
bda1-144,2020-10-11 14:35:23.592853,2020-10-11 14:38:23.592853,4
bda1-491,2020-10-11 14:35:08.981883,2020-10-11 14:38:08.981883,1
bda1-483,2020-10-11 14:35:09.774218,2020-10-11 14:38:09.774218,0
bda1-68,2020-10-11 14:35:09.490890,2020-10-11 14:38:09.490890,4
bda1-7,2020-10-11 14:35:11.365904,2020-10-11 14:38:11.365904,4
bda1-54,2020-10-11 14:35:09.414933,2020-10-11 14:38:09.414933,4
bda1-424,2020-10-11 14:35:11.674080,2020-10-11 14:38:11.674080,0
bda1-381,2020-10-11 14:35:09.711230,2020-10-11 14:38:09.711230,1
bda1-81,2020-10-11 14:35:09.477047,2020-10-11 14:38:09.477047,4
bda1-352,2020-10-11 14:35:11.589594,2020-10-11 14:38:11.589594,0
