GUID,Inicio,Fim,Contador
ea5b-54,2020-10-11 14:35:06.335253,2020-10-11 14:38:06.335253,4
ea5b-158,2020-10-11 14:35:06.431392,2020-10-11 14:38:06.431392,5
ea5b-74,2020-10-11 14:35:06.345553,2020-10-11 14:38:06.345553,4
ea5b-53,2020-10-11 14:35:06.340988,2020-10-11 14:38:06.340988,5
ea5b-96,2020-10-11 14:35:06.381180,2020-10-11 14:38:06.381180,5
ea5b-237,2020-10-11 14:35:06.528475,2020-10-11 14:38:06.528475,6
ea5b-24,2020-10-11 14:35:06.314950,2020-10-11 14:38:06.314950,3
ea5b-344,2020-10-11 14:35:06.781569,2020-10-11 14:38:06.781569,1
ea5b-316,2020-10-11 14:35:06.714259,2020-10-11 14:38:06.714259,4
ea5b-498,2020-10-11 14:35:07.016251,2020-10-11 14:38:07.016251,0
ea5b-224,2020-10-11 14:35:06.494259,2020-10-11 14:38:06.494259,5
ea5b-208,2020-10-11 14:35:06.489103,2020-10-11 14:38:06.489103,4
ea5b-203,2020-10-11 14:35:06.483290,2020-10-11 14:38:06.483290,3
ea5b-174,2020-10-11 14:35:06.446623,2020-10-11 14:38:06.446623,4
ea5b-335,2020-10-11 14:35:06.789608,2020-10-11 14:38:06.789608,4
ea5b-289,2020-10-11 14:35:06.665898,2020-10-11 14:38:06.665898,3
ea5b-297,2020-10-11 14:35:06.685314,2020-10-11 14:38:06.685314,5
ea5b-408,2020-10-11 14:35:06.856984,2020-10-11 14:38:06.856984,2
ea5b-245,2020-10-11 14:35:06.526544,2020-10-11 14:38:06.526544,6
ea5b-476,2020-10-11 14:35:06.942600,2020-10-11 14:38:06.942600,1
ea5b-238,2020-10-11 14:35:06.524951,2020-10-11 14:38:06.524951,4
ea5b-106,2020-10-11 14:35:06.387642,2020-10-11 14:38:06.387642,4
ea5b-326,2020-10-11 14:35:06.765674,2020-10-11 14:38:06.765674,4
ea5b-207,2020-10-11 14:35:06.484392,2020-10-11 14:38:06.484392,5
ea5b-118,2020-10-11 14:35:06.387407,2020-10-11 14:38:06.387407,5
ea5b-262,2020-10-11 14:35:06.594556,2020-10-11 14:38:06.594556,4
ea5b-436,2020-10-11 14:35:06.892841,2020-10-11 14:38:06.892841,1
ea5b-454,2020-10-11 14:35:06.925475,2020-10-11 14:38:06.925475,2
ea5b-252,2020-10-11 14:35:06.554931,2020-10-11 14:38:06.554931,4
ea5b-140,2020-10-11 14:35:06.417513,2020-10-11 14:38:06.417513,4
ea5b-295,2020-10-11 14:35:06.693031,2020-10-11 14:38:06.693031,5
ea5b-305,2020-10-11 14:35:06.708285,2020-10-11 14:38:06.708285,4
ea5b-474,2020-10-11 14:35:06.942939,2020-10-11 14:38:06.942939,0
ea5b-388,2020-10-11 14:35:06.820756,2020-10-11 14:38:06.820756,1
ea5b-442,2020-10-11 14:35:06.917658,2020-10-11 14:38:06.917658,0
ea5b-266,2020-10-11 14:35:06.598346,2020-10-11 14:38:06.598346,4
ea5b-329,2020-10-11 14:35:06.752468,2020-10-11 14:38:06.752468,6
ea5b-287,2020-10-11 14:35:06.663701,2020-10-11 14:38:06.663701,5
ea5b-45,2020-10-11 14:35:06.330351,2020-10-11 14:38:06.330351,5
ea5b-107,2020-10-11 14:35:06.386397,2020-10-11 14:38:06.386397,4
ea5b-296,2020-10-11 14:35:06.672642,2020-10-11 14:38:06.672642,4
ea5b-15,2020-10-11 14:35:06.287348,2020-10-11 14:38:06.287348,5
ea5b-302,2020-10-11 14:35:06.686754,2020-10-11 14:38:06.686754,5
ea5b-101,2020-10-11 14:35:06.388114,2020-10-11 14:38:06.388114,6
ea5b-251,2020-10-11 14:35:06.569055,2020-10-11 14:38:06.569055,4
ea5b-398,2020-10-11 14:35:06.841881,2020-10-11 14:38:06.841881,1
ea5b-178,2020-10-11 14:35:06.456691,2020-10-11 14:38:06.456691,4
ea5b-192,2020-10-11 14:35:06.462976,2020-10-11 14:38:06.462976,6
ea5b-470,2020-10-11 14:35:06.951404,2020-10-11 14:38:06.951404,2
ea5b-395,2020-10-11 14:35:06.852270,2020-10-11 14:38:06.852270,1
ea5b-481,2020-10-11 14:35:06.972949,2020-10-11 14:38:06.972949,2
ea5b-155,2020-10-11 14:35:06.441111,2020-10-11 14:38:06.441111,4
ea5b-69,2020-10-11 14:35:06.353598,2020-10-11 14:38:06.353598,4
ea5b-411,2020-10-11 14:35:06.884962,2020-10-11 14:38:06.884962,1
ea5b-318,2020-10-11 14:35:06.733572,2020-10-11 14:38:06.733572,3
ea5b-336,2020-10-11 14:35:06.776163,2020-10-11 14:38:06.776163,3
ea5b-448,2020-10-11 14:35:06.925354,2020-10-11 14:38:06.925354,0
ea5b-247,2020-10-11 14:35:06.538766,2020-10-11 14:38:06.538766,4
ea5b-182,2020-10-11 14:35:06.445614,2020-10-11 14:38:06.445614,6
ea5b-403,2020-10-11 14:35:06.844642,2020-10-11 14:38:06.844642,0
ea5b-268,2020-10-11 14:35:06.595101,2020-10-11 14:38:06.595101,3
ea5b-190,2020-10-11 14:35:06.451421,2020-10-11 14:38:06.451421,3
ea5b-337,2020-10-11 14:35:06.784059,2020-10-11 14:38:06.784059,4
ea5b-276,2020-10-11 14:35:06.613239,2020-10-11 14:38:06.613239,5
ea5b-278,2020-10-11 14:35:06.603510,2020-10-11 14:38:06.603510,5
ea5b-90,2020-10-11 14:35:06.368170,2020-10-11 14:38:06.368170,4
ea5b-38,2020-10-11 14:35:06.313372,2020-10-11 14:38:06.313372,4
ea5b-119,2020-10-11 14:35:06.392221,2020-10-11 14:38:06.392221,5
ea5b-480,2020-10-11 14:35:06.972429,2020-10-11 14:38:06.972429,0
ea5b-386,2020-10-11 14:35:06.828401,2020-10-11 14:38:06.828401,0
ea5b-347,2020-10-11 14:35:06.789730,2020-10-11 14:38:06.789730,1
ea5b-340,2020-10-11 14:35:06.765858,2020-10-11 14:38:06.765858,1
ea5b-308,2020-10-11 14:35:06.709245,2020-10-11 14:38:06.709245,6
ea5b-384,2020-10-11 14:35:06.815531,2020-10-11 14:38:06.815531,1
ea5b-241,2020-10-11 14:35:06.529672,2020-10-11 14:38:06.529672,4
ea5b-319,2020-10-11 14:35:06.724996,2020-10-11 14:38:06.724996,5
ea5b-39,2020-10-11 14:35:06.320362,2020-10-11 14:38:06.320362,3
ea5b-479,2020-10-11 14:35:06.960757,2020-10-11 14:38:06.960757,0
ea5b-482,2020-10-11 14:35:06.952427,2020-10-11 14:38:06.952427,1
ea5b-393,2020-10-11 14:35:06.852198,2020-10-11 14:38:06.852198,2
ea5b-456,2020-10-11 14:35:06.931494,2020-10-11 14:38:06.931494,2
ea5b-46,2020-10-11 14:35:06.323527,2020-10-11 14:38:06.323527,6
