GUID,Inicio,Fim,Contador
f36d-289,2020-10-11 14:35:08.174977,2020-10-11 14:38:08.174977,4
f36d-418,2020-10-11 14:35:08.278551,2020-10-11 14:38:08.278551,1
f36d-292,2020-10-11 14:35:08.175144,2020-10-11 14:38:08.175144,5
f36d-177,2020-10-11 14:35:09.054343,2020-10-11 14:38:09.054343,5
f36d-381,2020-10-11 14:35:08.234654,2020-10-11 14:38:08.234654,0
f36d-225,2020-10-11 14:35:08.124133,2020-10-11 14:38:08.124133,4
f36d-69,2020-10-11 14:35:07.997633,2020-10-11 14:38:07.997633,4
f36d-376,2020-10-11 14:35:08.229913,2020-10-11 14:38:08.229913,0
f36d-261,2020-10-11 14:35:08.147661,2020-10-11 14:38:08.147661,5
f36d-432,2020-10-11 14:35:08.278679,2020-10-11 14:38:08.278679,0
f36d-357,2020-10-11 14:35:08.205665,2020-10-11 14:38:08.205665,0
f36d-428,2020-10-11 14:35:09.186657,2020-10-11 14:38:09.186657,0
f36d-184,2020-10-11 14:35:08.103093,2020-10-11 14:38:08.103093,4
f36d-87,2020-10-11 14:35:08.027167,2020-10-11 14:38:08.027167,4
f36d-340,2020-10-11 14:35:08.204843,2020-10-11 14:38:08.204843,0
f36d-142,2020-10-11 14:35:08.065580,2020-10-11 14:38:08.065580,4
f36d-414,2020-10-11 14:35:08.266722,2020-10-11 14:38:08.266722,1
f36d-302,2020-10-11 14:35:11.052021,2020-10-11 14:38:11.052021,4
f36d-245,2020-10-11 14:35:10.987282,2020-10-11 14:38:10.987282,3
f36d-309,2020-10-11 14:35:08.175623,2020-10-11 14:38:08.175623,3
f36d-253,2020-10-11 14:35:08.157177,2020-10-11 14:38:08.157177,5
f36d-127,2020-10-11 14:35:09.016125,2020-10-11 14:38:09.016125,4
f36d-195,2020-10-11 14:35:08.101486,2020-10-11 14:38:08.101486,4
f36d-185,2020-10-11 14:35:11.011169,2020-10-11 14:38:11.011169,4
f36d-92,2020-10-11 14:35:10.905316,2020-10-11 14:38:10.905316,5
f36d-27,2020-10-11 14:35:10.819344,2020-10-11 14:38:10.819344,4
f36d-264,2020-10-11 14:35:11.052815,2020-10-11 14:38:11.052815,5
f36d-374,2020-10-11 14:35:08.231329,2020-10-11 14:38:08.231329,2
f36d-452,2020-10-11 14:35:08.308919,2020-10-11 14:38:08.308919,0
f36d-492,2020-10-11 14:35:11.179872,2020-10-11 14:38:11.179872,0
f36d-369,2020-10-11 14:35:11.100235,2020-10-11 14:38:11.100235,0
f36d-484,2020-10-11 14:35:11.176463,2020-10-11 14:38:11.176463,0
f36d-120,2020-10-11 14:35:10.906226,2020-10-11 14:38:10.906226,5
f36d-13,2020-10-11 14:35:10.826097,2020-10-11 14:38:10.826097,5
f36d-310,2020-10-11 14:35:08.187477,2020-10-11 14:38:08.187477,4
f36d-3,2020-10-11 14:35:10.827664,2020-10-11 14:38:10.827664,4
f36d-457,2020-10-11 14:35:11.174689,2020-10-11 14:38:11.174689,1
f36d-58,2020-10-11 14:35:07.962954,2020-10-11 14:38:07.962954,4
f36d-368,2020-10-11 14:35:08.231202,2020-10-11 14:38:08.231202,0
f36d-91,2020-10-11 14:35:10.910590,2020-10-11 14:38:10.910590,3
f36d-456,2020-10-11 14:35:08.313986,2020-10-11 14:38:08.313986,1
f36d-391,2020-10-11 14:35:11.102969,2020-10-11 14:38:11.102969,0
f36d-128,2020-10-11 14:35:08.058641,2020-10-11 14:38:08.058641,4
f36d-268,2020-10-11 14:35:11.035322,2020-10-11 14:38:11.035322,6
f36d-53,2020-10-11 14:35:07.974197,2020-10-11 14:38:07.974197,5
f36d-380,2020-10-11 14:35:08.252543,2020-10-11 14:38:08.252543,0
f36d-83,2020-10-11 14:35:10.909083,2020-10-11 14:38:10.909083,4
