GUID,Inicio,Fim,Contador
08fe-29,2020-10-11 18:33:04.414459,2020-10-11 18:36:04.414459,6
08fe-92,2020-10-11 18:33:04.546666,2020-10-11 18:36:04.546666,5
08fe-12,2020-10-11 18:33:04.400743,2020-10-11 18:36:04.400743,3
08fe-28,2020-10-11 18:33:04.419628,2020-10-11 18:36:04.419628,4
08fe-10,2020-10-11 18:33:04.413475,2020-10-11 18:36:04.413475,3
08fe-48,2020-10-11 18:33:04.451553,2020-10-11 18:36:04.451553,5
08fe-56,2020-10-11 18:33:04.458484,2020-10-11 18:36:04.458484,4
08fe-55,2020-10-11 18:33:04.459352,2020-10-11 18:36:04.459352,5
08fe-21,2020-10-11 18:33:04.410894,2020-10-11 18:36:04.410894,5
08fe-89,2020-10-11 18:33:04.537757,2020-10-11 18:36:04.537757,4
08fe-82,2020-10-11 18:33:04.550778,2020-10-11 18:36:04.550778,4
08fe-39,2020-10-11 18:33:04.442207,2020-10-11 18:36:04.442207,4
08fe-66,2020-10-11 18:33:04.461048,2020-10-11 18:36:04.461048,6
08fe-19,2020-10-11 18:33:04.431102,2020-10-11 18:36:04.431102,3
08fe-76,2020-10-11 18:33:04.470601,2020-10-11 18:36:04.470601,5
08fe-49,2020-10-11 18:33:04.449363,2020-10-11 18:36:04.449363,3
08fe-9,2020-10-11 18:33:04.413897,2020-10-11 18:36:04.413897,4
08fe-0,2020-10-11 18:33:04.397768,2020-10-11 18:36:04.397768,4
08fe-59,2020-10-11 18:33:04.537605,2020-10-11 18:36:04.537605,5
08fe-84,2020-10-11 18:33:04.547287,2020-10-11 18:36:04.547287,5
08fe-99,2020-10-11 18:33:04.522610,2020-10-11 18:36:04.522610,5
08fe-46,2020-10-11 18:33:04.444809,2020-10-11 18:36:04.444809,6
08fe-63,2020-10-11 18:33:04.457204,2020-10-11 18:36:04.457204,4
08fe-15,2020-10-11 18:33:04.402757,2020-10-11 18:36:04.402757,3
08fe-6,2020-10-11 18:33:04.410627,2020-10-11 18:36:04.410627,3
08fe-72,2020-10-11 18:33:04.462974,2020-10-11 18:36:04.462974,4
08fe-16,2020-10-11 18:33:04.419018,2020-10-11 18:36:04.419018,4
08fe-70,2020-10-11 18:33:04.550563,2020-10-11 18:36:04.550563,3
08fe-57,2020-10-11 18:33:04.463872,2020-10-11 18:36:04.463872,4
08fe-97,2020-10-11 18:33:04.551019,2020-10-11 18:36:04.551019,5
08fe-77,2020-10-11 18:33:04.513356,2020-10-11 18:36:04.513356,4
