GUID,Inicio,Fim,Contador
9f1f-44,2020-10-11 18:33:03.825440,2020-10-11 18:36:03.825440,4
9f1f-3,2020-10-11 18:33:03.802387,2020-10-11 18:36:03.802387,5
9f1f-67,2020-10-11 18:33:03.852207,2020-10-11 18:36:03.852207,4
9f1f-4,2020-10-11 18:33:03.803088,2020-10-11 18:36:03.803088,5
9f1f-70,2020-10-11 18:33:03.842611,2020-10-11 18:36:03.842611,3
9f1f-62,2020-10-11 18:33:03.847912,2020-10-11 18:36:03.847912,4
9f1f-51,2020-10-11 18:33:03.834755,2020-10-11 18:36:03.834755,4
9f1f-47,2020-10-11 18:33:03.835264,2020-10-11 18:36:03.835264,4
9f1f-48,2020-10-11 18:33:03.837568,2020-10-11 18:36:03.837568,5
9f1f-91,2020-10-11 18:33:03.860148,2020-10-11 18:36:03.860148,4
9f1f-59,2020-10-11 18:33:03.830885,2020-10-11 18:36:03.830885,4
9f1f-6,2020-10-11 18:33:03.801559,2020-10-11 18:36:03.801559,3
9f1f-7,2020-10-11 18:33:03.799410,2020-10-11 18:36:03.799410,4
9f1f-64,2020-10-11 18:33:03.852416,2020-10-11 18:36:03.852416,4
9f1f-22,2020-10-11 18:33:03.796388,2020-10-11 18:36:03.796388,4
9f1f-21,2020-10-11 18:33:03.809787,2020-10-11 18:36:03.809787,4
9f1f-50,2020-10-11 18:33:03.830395,2020-10-11 18:36:03.830395,4
9f1f-17,2020-10-11 18:33:03.795358,2020-10-11 18:36:03.795358,4
9f1f-96,2020-10-11 18:33:04.917558,2020-10-11 18:36:04.917558,3
9f1f-73,2020-10-11 18:33:03.843401,2020-10-11 18:36:03.843401,5
9f1f-30,2020-10-11 18:33:03.820485,2020-10-11 18:36:03.820485,5
9f1f-9,2020-10-11 18:33:03.788649,2020-10-11 18:36:03.788649,4
9f1f-28,2020-10-11 18:33:03.802744,2020-10-11 18:36:03.802744,4
9f1f-36,2020-10-11 18:33:03.824115,2020-10-11 18:36:03.824115,4
9f1f-68,2020-10-11 18:33:03.837612,2020-10-11 18:36:03.837612,5
9f1f-89,2020-10-11 18:33:03.868220,2020-10-11 18:36:03.868220,4
9f1f-56,2020-10-11 18:33:03.844429,2020-10-11 18:36:03.844429,6
9f1f-13,2020-10-11 18:33:03.803508,2020-10-11 18:36:03.803508,5
9f1f-57,2020-10-11 18:33:03.831382,2020-10-11 18:36:03.831382,4
9f1f-23,2020-10-11 18:33:03.798506,2020-10-11 18:36:03.798506,3
9f1f-54,2020-10-11 18:33:03.826632,2020-10-11 18:36:03.826632,5
9f1f-53,2020-10-11 18:33:03.838728,2020-10-11 18:36:03.838728,5
9f1f-31,2020-10-11 18:33:03.821300,2020-10-11 18:36:03.821300,4
9f1f-88,2020-10-11 18:33:03.874379,2020-10-11 18:36:03.874379,5
9f1f-14,2020-10-11 18:33:03.791289,2020-10-11 18:36:03.791289,3
9f1f-10,2020-10-11 18:33:03.790291,2020-10-11 18:36:03.790291,3
9f1f-25,2020-10-11 18:33:03.817681,2020-10-11 18:36:03.817681,4
9f1f-71,2020-10-11 18:33:03.861202,2020-10-11 18:36:03.861202,4
9f1f-75,2020-10-11 18:33:03.856740,2020-10-11 18:36:03.856740,4
9f1f-92,2020-10-11 18:33:03.868459,2020-10-11 18:36:03.868459,5
9f1f-69,2020-10-11 18:33:03.840521,2020-10-11 18:36:03.840521,4
9f1f-55,2020-10-11 18:33:03.842806,2020-10-11 18:36:03.842806,4
