GUID,Inicio,Fim,Contador
09ba-172,2020-10-11 14:24:09.522305,2020-10-11 14:27:09.522305,4
09ba-196,2020-10-11 14:24:09.528251,2020-10-11 14:27:09.528251,4
09ba-28,2020-10-11 14:24:09.404908,2020-10-11 14:27:09.404908,4
09ba-300,2020-10-11 14:24:09.664099,2020-10-11 14:27:09.664099,4
09ba-23,2020-10-11 14:24:09.398021,2020-10-11 14:27:09.398021,3
09ba-342,2020-10-11 14:24:09.692625,2020-10-11 14:27:09.692625,2
09ba-192,2020-10-11 14:24:09.538422,2020-10-11 14:27:09.538422,4
09ba-406,2020-10-11 14:24:09.788417,2020-10-11 14:27:09.788417,0
09ba-337,2020-10-11 14:24:09.703603,2020-10-11 14:27:09.703603,1
09ba-66,2020-10-11 14:24:09.418653,2020-10-11 14:27:09.418653,5
09ba-296,2020-10-11 14:24:09.654899,2020-10-11 14:27:09.654899,5
09ba-234,2020-10-11 14:24:09.567359,2020-10-11 14:27:09.567359,5
09ba-147,2020-10-11 14:24:09.507553,2020-10-11 14:27:09.507553,4
09ba-87,2020-10-11 14:24:09.436824,2020-10-11 14:27:09.436824,4
09ba-255,2020-10-11 14:24:09.585311,2020-10-11 14:27:09.585311,5
09ba-265,2020-10-11 14:24:09.599712,2020-10-11 14:27:09.599712,4
09ba-311,2020-10-11 14:24:09.664958,2020-10-11 14:27:09.664958,5
09ba-63,2020-10-11 14:24:09.429746,2020-10-11 14:27:09.429746,4
09ba-163,2020-10-11 14:24:09.524268,2020-10-11 14:27:09.524268,4
09ba-390,2020-10-11 14:24:09.772575,2020-10-11 14:27:09.772575,2
09ba-71,2020-10-11 14:24:09.429789,2020-10-11 14:27:09.429789,5
09ba-57,2020-10-11 14:24:09.435047,2020-10-11 14:27:09.435047,5
09ba-321,2020-10-11 14:24:09.686229,2020-10-11 14:27:09.686229,4
09ba-49,2020-10-11 14:24:09.417381,2020-10-11 14:27:09.417381,3
09ba-497,2020-10-11 14:24:09.966222,2020-10-11 14:27:09.966222,0
09ba-464,2020-10-11 14:24:09.883354,2020-10-11 14:27:09.883354,1
09ba-88,2020-10-11 14:24:09.447326,2020-10-11 14:27:09.447326,4
09ba-397,2020-10-11 14:24:12.712715,2020-10-11 14:27:12.712715,0
09ba-210,2020-10-11 14:24:12.546891,2020-10-11 14:27:12.546891,4
09ba-131,2020-10-11 14:24:09.488769,2020-10-11 14:27:09.488769,4
09ba-374,2020-10-11 14:24:09.753912,2020-10-11 14:27:09.753912,1
09ba-312,2020-10-11 14:24:09.674295,2020-10-11 14:27:09.674295,4
09ba-195,2020-10-11 14:24:09.542437,2020-10-11 14:27:09.542437,5
09ba-97,2020-10-11 14:24:09.460718,2020-10-11 14:27:09.460718,5
09ba-286,2020-10-11 14:24:09.632818,2020-10-11 14:27:09.632818,5
09ba-451,2020-10-11 14:24:12.827666,2020-10-11 14:27:12.827666,0
09ba-82,2020-10-11 14:24:09.433143,2020-10-11 14:27:09.433143,4
09ba-346,2020-10-11 14:24:12.714106,2020-10-11 14:27:12.714106,0
09ba-459,2020-10-11 14:24:09.872932,2020-10-11 14:27:09.872932,2
09ba-171,2020-10-11 14:24:09.524612,2020-10-11 14:27:09.524612,4
09ba-401,2020-10-11 14:24:09.782110,2020-10-11 14:27:09.782110,1
09ba-96,2020-10-11 14:24:12.557449,2020-10-11 14:27:12.557449,4
09ba-99,2020-10-11 14:24:09.448233,2020-10-11 14:27:09.448233,4
09ba-263,2020-10-11 14:24:09.579176,2020-10-11 14:27:09.579176,6
09ba-81,2020-10-11 14:24:12.536734,2020-10-11 14:27:12.536734,5
09ba-77,2020-10-11 14:24:09.430778,2020-10-11 14:27:09.430778,3
09ba-48,2020-10-11 14:24:09.408187,2020-10-11 14:27:09.408187,3
09ba-100,2020-10-11 14:24:12.585585,2020-10-11 14:27:12.585585,4
09ba-358,2020-10-11 14:24:09.733717,2020-10-11 14:27:09.733717,1
09ba-249,2020-10-11 14:24:09.567160,2020-10-11 14:27:09.567160,5
09ba-142,2020-10-11 14:24:09.494825,2020-10-11 14:27:09.494825,3
09ba-179,2020-10-11 14:24:12.577258,2020-10-11 14:27:12.577258,4
09ba-60,2020-10-11 14:24:09.415766,2020-10-11 14:27:09.415766,5
09ba-247,2020-10-11 14:24:09.579936,2020-10-11 14:27:09.579936,5
09ba-129,2020-10-11 14:24:09.496153,2020-10-11 14:27:09.496153,5
09ba-450,2020-10-11 14:24:09.855995,2020-10-11 14:27:09.855995,0
09ba-349,2020-10-11 14:24:09.716543,2020-10-11 14:27:09.716543,1
09ba-477,2020-10-11 14:24:12.827824,2020-10-11 14:27:12.827824,0
09ba-276,2020-10-11 14:24:12.648131,2020-10-11 14:27:12.648131,6
09ba-74,2020-10-11 14:24:09.438981,2020-10-11 14:27:09.438981,4
09ba-359,2020-10-11 14:24:09.721250,2020-10-11 14:27:09.721250,0
09ba-266,2020-10-11 14:24:09.579973,2020-10-11 14:27:09.579973,4
09ba-382,2020-10-11 14:24:09.741765,2020-10-11 14:27:09.741765,0
09ba-413,2020-10-11 14:24:09.794862,2020-10-11 14:27:09.794862,0
09ba-409,2020-10-11 14:24:10.832573,2020-10-11 14:27:10.832573,3
09ba-360,2020-10-11 14:24:09.716098,2020-10-11 14:27:09.716098,1
09ba-387,2020-10-11 14:24:09.772327,2020-10-11 14:27:09.772327,2
09ba-18,2020-10-11 14:24:12.523727,2020-10-11 14:27:12.523727,5
09ba-138,2020-10-11 14:24:09.487339,2020-10-11 14:27:09.487339,5
09ba-393,2020-10-11 14:24:12.719871,2020-10-11 14:27:12.719871,0
09ba-214,2020-10-11 14:24:09.552098,2020-10-11 14:27:09.552098,4
09ba-361,2020-10-11 14:24:12.710186,2020-10-11 14:27:12.710186,0
09ba-43,2020-10-11 14:24:09.415176,2020-10-11 14:27:09.415176,5
09ba-334,2020-10-11 14:24:09.698469,2020-10-11 14:27:09.698469,4
09ba-84,2020-10-11 14:24:09.445902,2020-10-11 14:27:09.445902,5
09ba-285,2020-10-11 14:24:09.627863,2020-10-11 14:27:09.627863,5
09ba-236,2020-10-11 14:24:12.645499,2020-10-11 14:27:12.645499,4
09ba-400,2020-10-11 14:24:12.718428,2020-10-11 14:27:12.718428,0
09ba-10,2020-10-11 14:24:12.522671,2020-10-11 14:27:12.522671,4
09ba-284,2020-10-11 14:24:09.628263,2020-10-11 14:27:09.628263,4
09ba-325,2020-10-11 14:24:09.663850,2020-10-11 14:27:09.663850,4
09ba-438,2020-10-11 14:24:12.758862,2020-10-11 14:27:12.758862,1
09ba-39,2020-10-11 14:24:09.411409,2020-10-11 14:27:09.411409,4
09ba-309,2020-10-11 14:24:12.662136,2020-10-11 14:27:12.662136,4
09ba-36,2020-10-11 14:24:12.521839,2020-10-11 14:27:12.521839,5
09ba-208,2020-10-11 14:24:09.548685,2020-10-11 14:27:09.548685,4
09ba-452,2020-10-11 14:24:09.861544,2020-10-11 14:27:09.861544,3
09ba-128,2020-10-11 14:24:10.802193,2020-10-11 14:27:10.802193,4
09ba-345,2020-10-11 14:24:09.721784,2020-10-11 14:27:09.721784,3
09ba-313,2020-10-11 14:24:12.717400,2020-10-11 14:27:12.717400,3
09ba-394,2020-10-11 14:24:09.762599,2020-10-11 14:27:09.762599,1
09ba-8,2020-10-11 14:24:09.398889,2020-10-11 14:27:09.398889,5
09ba-174,2020-10-11 14:24:09.532631,2020-10-11 14:27:09.532631,5
09ba-237,2020-10-11 14:24:09.561729,2020-10-11 14:27:09.561729,4
09ba-198,2020-10-11 14:24:12.587214,2020-10-11 14:27:12.587214,5
09ba-115,2020-10-11 14:24:09.465163,2020-10-11 14:27:09.465163,4
09ba-481,2020-10-11 14:24:09.913129,2020-10-11 14:27:09.913129,2
09ba-93,2020-10-11 14:24:09.441329,2020-10-11 14:27:09.441329,4
09ba-58,2020-10-11 14:24:09.430742,2020-10-11 14:27:09.430742,4
09ba-442,2020-10-11 14:24:12.825707,2020-10-11 14:27:12.825707,0
09ba-250,2020-10-11 14:24:09.570265,2020-10-11 14:27:09.570265,5
09ba-40,2020-10-11 14:24:09.424203,2020-10-11 14:27:09.424203,4
09ba-351,2020-10-11 14:24:09.709224,2020-10-11 14:27:09.709224,2
09ba-261,2020-10-11 14:24:09.590992,2020-10-11 14:27:09.590992,5
09ba-35,2020-10-11 14:24:12.526246,2020-10-11 14:27:12.526246,4
09ba-191,2020-10-11 14:24:09.537916,2020-10-11 14:27:09.537916,3
09ba-416,2020-10-11 14:24:12.815888,2020-10-11 14:27:12.815888,0
09ba-61,2020-10-11 14:24:09.430380,2020-10-11 14:27:09.430380,4
09ba-398,2020-10-11 14:24:12.716089,2020-10-11 14:27:12.716089,0
09ba-176,2020-10-11 14:24:12.564117,2020-10-11 14:27:12.564117,7
09ba-32,2020-10-11 14:24:10.705938,2020-10-11 14:27:10.705938,4
09ba-143,2020-10-11 14:24:12.570513,2020-10-11 14:27:12.570513,4
09ba-410,2020-10-11 14:24:09.782289,2020-10-11 14:27:09.782289,0
09ba-270,2020-10-11 14:24:12.662954,2020-10-11 14:27:12.662954,4
09ba-2,2020-10-11 14:24:09.384698,2020-10-11 14:27:09.384698,4
09ba-271,2020-10-11 14:24:09.613500,2020-10-11 14:27:09.613500,5
09ba-213,2020-10-11 14:24:09.542525,2020-10-11 14:27:09.542525,5
09ba-30,2020-10-11 14:24:09.405028,2020-10-11 14:27:09.405028,4
09ba-289,2020-10-11 14:24:12.677512,2020-10-11 14:27:12.677512,3
09ba-80,2020-10-11 14:24:09.443064,2020-10-11 14:27:09.443064,6
09ba-197,2020-10-11 14:24:09.530335,2020-10-11 14:27:09.530335,6
09ba-343,2020-10-11 14:24:12.711690,2020-10-11 14:27:12.711690,0
09ba-130,2020-10-11 14:24:12.590679,2020-10-11 14:27:12.590679,5
09ba-216,2020-10-11 14:24:12.639538,2020-10-11 14:27:12.639538,5
09ba-221,2020-10-11 14:24:09.549211,2020-10-11 14:27:09.549211,6
09ba-47,2020-10-11 14:24:09.403959,2020-10-11 14:27:09.403959,4
09ba-458,2020-10-11 14:24:12.833275,2020-10-11 14:27:12.833275,0
09ba-332,2020-10-11 14:24:09.669222,2020-10-11 14:27:09.669222,5
09ba-22,2020-10-11 14:24:09.400334,2020-10-11 14:27:09.400334,5
09ba-439,2020-10-11 14:24:12.821105,2020-10-11 14:27:12.821105,0
09ba-203,2020-10-11 14:24:09.552148,2020-10-11 14:27:09.552148,3
09ba-244,2020-10-11 14:24:09.579486,2020-10-11 14:27:09.579486,4
09ba-145,2020-10-11 14:24:09.487179,2020-10-11 14:27:09.487179,3
09ba-241,2020-10-11 14:24:10.705985,2020-10-11 14:27:10.705985,5
09ba-287,2020-10-11 14:24:09.632061,2020-10-11 14:27:09.632061,5
09ba-177,2020-10-11 14:24:12.590110,2020-10-11 14:27:12.590110,5
09ba-449,2020-10-11 14:24:09.871270,2020-10-11 14:27:09.871270,0
09ba-123,2020-10-11 14:24:12.585504,2020-10-11 14:27:12.585504,4
09ba-27,2020-10-11 14:24:09.404352,2020-10-11 14:27:09.404352,4
09ba-344,2020-10-11 14:24:09.685886,2020-10-11 14:27:09.685886,0
09ba-352,2020-10-11 14:24:09.721737,2020-10-11 14:27:09.721737,2
09ba-469,2020-10-11 14:24:12.842638,2020-10-11 14:27:12.842638,0
09ba-222,2020-10-11 14:24:09.562206,2020-10-11 14:27:09.562206,4
09ba-44,2020-10-11 14:24:09.407319,2020-10-11 14:27:09.407319,4
09ba-29,2020-10-11 14:24:09.403572,2020-10-11 14:27:09.403572,4
09ba-463,2020-10-11 14:24:12.830620,2020-10-11 14:27:12.830620,0
09ba-139,2020-10-11 14:24:12.578499,2020-10-11 14:27:12.578499,4
09ba-59,2020-10-11 14:24:09.428184,2020-10-11 14:27:09.428184,4
09ba-293,2020-10-11 14:24:09.605837,2020-10-11 14:27:09.605837,4
09ba-322,2020-10-11 14:24:12.711764,2020-10-11 14:27:12.711764,5
09ba-251,2020-10-11 14:24:09.585549,2020-10-11 14:27:09.585549,4
09ba-151,2020-10-11 14:24:09.493351,2020-10-11 14:27:09.493351,4
09ba-460,2020-10-11 14:24:25.038382,2020-10-11 14:27:25.038382,1
09ba-404,2020-10-11 14:24:10.839539,2020-10-11 14:27:10.839539,1
09ba-365,2020-10-11 14:24:12.718155,2020-10-11 14:27:12.718155,0
09ba-443,2020-10-11 14:24:12.819812,2020-10-11 14:27:12.819812,0
09ba-333,2020-10-11 14:24:09.698506,2020-10-11 14:27:09.698506,3
09ba-437,2020-10-11 14:24:11.026867,2020-10-11 14:27:11.026867,0
09ba-420,2020-10-11 14:24:09.817732,2020-10-11 14:27:09.817732,0
09ba-376,2020-10-11 14:24:09.738256,2020-10-11 14:27:09.738256,2
09ba-169,2020-10-11 14:24:09.526940,2020-10-11 14:27:09.526940,5
09ba-106,2020-10-11 14:24:09.454442,2020-10-11 14:27:09.454442,3
09ba-415,2020-10-11 14:24:12.711885,2020-10-11 14:27:12.711885,0
09ba-64,2020-10-11 14:24:09.417594,2020-10-11 14:27:09.417594,4
09ba-440,2020-10-11 14:24:09.843283,2020-10-11 14:27:09.843283,0
09ba-379,2020-10-11 14:24:12.712948,2020-10-11 14:27:12.712948,0
09ba-6,2020-10-11 14:24:09.398924,2020-10-11 14:27:09.398924,4
09ba-269,2020-10-11 14:24:12.659675,2020-10-11 14:27:12.659675,5
09ba-496,2020-10-11 14:24:09.969779,2020-10-11 14:27:09.969779,1
09ba-230,2020-10-11 14:24:09.553471,2020-10-11 14:27:09.553471,5
09ba-389,2020-10-11 14:24:09.754619,2020-10-11 14:27:09.754619,0
09ba-423,2020-10-11 14:24:12.815619,2020-10-11 14:27:12.815619,0
09ba-444,2020-10-11 14:24:12.814625,2020-10-11 14:27:12.814625,0
09ba-141,2020-10-11 14:24:12.575252,2020-10-11 14:27:12.575252,4
09ba-140,2020-10-11 14:24:12.588960,2020-10-11 14:27:12.588960,4
09ba-474,2020-10-11 14:24:12.832891,2020-10-11 14:27:12.832891,0
09ba-319,2020-10-11 14:24:09.692579,2020-10-11 14:27:09.692579,4
09ba-306,2020-10-11 14:24:09.663421,2020-10-11 14:27:09.663421,5
09ba-492,2020-10-11 14:24:09.942054,2020-10-11 14:27:09.942054,0
09ba-13,2020-10-11 14:24:09.396446,2020-10-11 14:27:09.396446,3
09ba-388,2020-10-11 14:24:09.754996,2020-10-11 14:27:09.754996,2
09ba-323,2020-10-11 14:24:09.655600,2020-10-11 14:27:09.655600,4
09ba-228,2020-10-11 14:24:09.570304,2020-10-11 14:27:09.570304,5
09ba-245,2020-10-11 14:24:09.575147,2020-10-11 14:27:09.575147,5
09ba-347,2020-10-11 14:24:09.721813,2020-10-11 14:27:09.721813,1
09ba-405,2020-10-11 14:24:12.687862,2020-10-11 14:27:12.687862,0
09ba-482,2020-10-11 14:24:12.828842,2020-10-11 14:27:12.828842,2
09ba-487,2020-10-11 14:24:09.941863,2020-10-11 14:27:09.941863,2
09ba-243,2020-10-11 14:24:12.685317,2020-10-11 14:27:12.685317,6
09ba-189,2020-10-11 14:24:12.583061,2020-10-11 14:27:12.583061,4
09ba-136,2020-10-11 14:24:09.498322,2020-10-11 14:27:09.498322,4
09ba-493,2020-10-11 14:24:25.054336,2020-10-11 14:27:25.054336,1
09ba-188,2020-10-11 14:24:09.524480,2020-10-11 14:27:09.524480,4
09ba-110,2020-10-11 14:24:09.468206,2020-10-11 14:27:09.468206,3
09ba-353,2020-10-11 14:24:09.720751,2020-10-11 14:27:09.720751,2
09ba-435,2020-10-11 14:24:12.807504,2020-10-11 14:27:12.807504,0
09ba-326,2020-10-11 14:24:12.702733,2020-10-11 14:27:12.702733,4
09ba-399,2020-10-11 14:24:09.767115,2020-10-11 14:27:09.767115,0
09ba-235,2020-10-11 14:24:09.572731,2020-10-11 14:27:09.572731,5
09ba-90,2020-10-11 14:24:09.453109,2020-10-11 14:27:09.453109,5
09ba-246,2020-10-11 14:24:09.567118,2020-10-11 14:27:09.567118,4
09ba-441,2020-10-11 14:24:10.893447,2020-10-11 14:27:10.893447,2
09ba-25,2020-10-11 14:24:10.710440,2020-10-11 14:27:10.710440,5
09ba-105,2020-10-11 14:24:09.471051,2020-10-11 14:27:09.471051,5
09ba-193,2020-10-11 14:24:12.572290,2020-10-11 14:27:12.572290,7
09ba-102,2020-10-11 14:24:09.475510,2020-10-11 14:27:09.475510,6
09ba-161,2020-10-11 14:24:09.508116,2020-10-11 14:27:09.508116,5
09ba-201,2020-10-11 14:24:09.534962,2020-10-11 14:27:09.534962,4
09ba-122,2020-10-11 14:24:12.560216,2020-10-11 14:27:12.560216,6
09ba-154,2020-10-11 14:24:09.513543,2020-10-11 14:27:09.513543,4
09ba-370,2020-10-11 14:24:09.733654,2020-10-11 14:27:09.733654,1
09ba-190,2020-10-11 14:24:16.548372,2020-10-11 14:27:16.548372,6
09ba-3,2020-10-11 14:24:09.397612,2020-10-11 14:27:09.397612,4
09ba-73,2020-10-11 14:24:09.431446,2020-10-11 14:27:09.431446,4
09ba-299,2020-10-11 14:24:12.650365,2020-10-11 14:27:12.650365,3
09ba-282,2020-10-11 14:24:12.654364,2020-10-11 14:27:12.654364,4
09ba-24,2020-10-11 14:24:12.517934,2020-10-11 14:27:12.517934,4
09ba-260,2020-10-11 14:24:09.590544,2020-10-11 14:27:09.590544,6
09ba-336,2020-10-11 14:24:09.697449,2020-10-11 14:27:09.697449,5
09ba-207,2020-10-11 14:24:12.687004,2020-10-11 14:27:12.687004,4
09ba-21,2020-10-11 14:24:09.403173,2020-10-11 14:27:09.403173,6
09ba-248,2020-10-11 14:24:09.567319,2020-10-11 14:27:09.567319,4
09ba-392,2020-10-11 14:24:12.719662,2020-10-11 14:27:12.719662,0
09ba-94,2020-10-11 14:24:09.443016,2020-10-11 14:27:09.443016,4
09ba-310,2020-10-11 14:24:12.720299,2020-10-11 14:27:12.720299,4
09ba-288,2020-10-11 14:24:09.637031,2020-10-11 14:27:09.637031,5
09ba-178,2020-10-11 14:24:09.529657,2020-10-11 14:27:09.529657,5
09ba-26,2020-10-11 14:24:25.040976,2020-10-11 14:27:25.040976,5
09ba-225,2020-10-11 14:24:12.661757,2020-10-11 14:27:12.661757,5
09ba-369,2020-10-11 14:24:09.754666,2020-10-11 14:27:09.754666,1
09ba-186,2020-10-11 14:24:09.526033,2020-10-11 14:27:09.526033,4
09ba-315,2020-10-11 14:24:09.674067,2020-10-11 14:27:09.674067,5
09ba-159,2020-10-11 14:24:09.501345,2020-10-11 14:27:09.501345,4
09ba-262,2020-10-11 14:24:12.660116,2020-10-11 14:27:12.660116,5
09ba-446,2020-10-11 14:24:25.039208,2020-10-11 14:27:25.039208,2
09ba-158,2020-10-11 14:24:09.514286,2020-10-11 14:27:09.514286,4
09ba-252,2020-10-11 14:24:09.585061,2020-10-11 14:27:09.585061,5
09ba-149,2020-10-11 14:24:09.505414,2020-10-11 14:27:09.505414,4
09ba-232,2020-10-11 14:24:09.565175,2020-10-11 14:27:09.565175,4
09ba-380,2020-10-11 14:24:09.742114,2020-10-11 14:27:09.742114,1
09ba-341,2020-10-11 14:24:09.728401,2020-10-11 14:27:09.728401,1
09ba-495,2020-10-11 14:24:12.823292,2020-10-11 14:27:12.823292,0
09ba-153,2020-10-11 14:24:16.536716,2020-10-11 14:27:16.536716,3
09ba-223,2020-10-11 14:24:09.548205,2020-10-11 14:27:09.548205,5
09ba-476,2020-10-11 14:24:09.913018,2020-10-11 14:27:09.913018,1
09ba-386,2020-10-11 14:24:09.747521,2020-10-11 14:27:09.747521,1
09ba-364,2020-10-11 14:24:09.766977,2020-10-11 14:27:09.766977,1
