GUID,Inicio,Fim,Contador
5a5d-408,2020-10-11 14:24:08.940961,2020-10-11 14:27:08.940961,2
5a5d-439,2020-10-11 14:24:08.997792,2020-10-11 14:27:08.997792,2
5a5d-100,2020-10-11 14:24:08.421081,2020-10-11 14:27:08.421081,4
5a5d-7,2020-10-11 14:24:08.349072,2020-10-11 14:27:08.349072,5
5a5d-147,2020-10-11 14:24:08.476111,2020-10-11 14:27:08.476111,5
5a5d-394,2020-10-11 14:24:08.938326,2020-10-11 14:27:08.938326,1
5a5d-135,2020-10-11 14:24:08.457898,2020-10-11 14:27:08.457898,4
5a5d-104,2020-10-11 14:24:08.435337,2020-10-11 14:27:08.435337,4
5a5d-396,2020-10-11 14:24:08.936149,2020-10-11 14:27:08.936149,0
5a5d-172,2020-10-11 14:24:08.487646,2020-10-11 14:27:08.487646,3
5a5d-213,2020-10-11 14:24:08.545077,2020-10-11 14:27:08.545077,4
5a5d-190,2020-10-11 14:24:08.509275,2020-10-11 14:27:08.509275,4
5a5d-328,2020-10-11 14:24:08.833445,2020-10-11 14:27:08.833445,4
5a5d-278,2020-10-11 14:24:08.749389,2020-10-11 14:27:08.749389,5
5a5d-292,2020-10-11 14:24:08.779057,2020-10-11 14:27:08.779057,4
5a5d-217,2020-10-11 14:24:08.563413,2020-10-11 14:27:08.563413,3
5a5d-121,2020-10-11 14:24:08.459960,2020-10-11 14:27:08.459960,4
5a5d-267,2020-10-11 14:24:08.701535,2020-10-11 14:27:08.701535,5
5a5d-119,2020-10-11 14:24:08.446406,2020-10-11 14:27:08.446406,4
5a5d-21,2020-10-11 14:24:08.348102,2020-10-11 14:27:08.348102,4
5a5d-148,2020-10-11 14:24:08.467815,2020-10-11 14:27:08.467815,6
5a5d-155,2020-10-11 14:24:08.483006,2020-10-11 14:27:08.483006,3
5a5d-124,2020-10-11 14:24:08.461113,2020-10-11 14:27:08.461113,4
5a5d-273,2020-10-11 14:24:08.750246,2020-10-11 14:27:08.750246,5
5a5d-158,2020-10-11 14:24:08.476468,2020-10-11 14:27:08.476468,4
5a5d-61,2020-10-11 14:24:08.392395,2020-10-11 14:27:08.392395,4
5a5d-235,2020-10-11 14:24:08.590409,2020-10-11 14:27:08.590409,3
5a5d-40,2020-10-11 14:24:08.371115,2020-10-11 14:27:08.371115,5
5a5d-374,2020-10-11 14:24:08.902869,2020-10-11 14:27:08.902869,1
5a5d-53,2020-10-11 14:24:08.386896,2020-10-11 14:27:08.386896,4
5a5d-223,2020-10-11 14:24:08.572855,2020-10-11 14:27:08.572855,4
5a5d-81,2020-10-11 14:24:08.421042,2020-10-11 14:27:08.421042,3
5a5d-233,2020-10-11 14:24:08.599391,2020-10-11 14:27:08.599391,5
5a5d-36,2020-10-11 14:24:08.381411,2020-10-11 14:27:08.381411,3
5a5d-471,2020-10-11 14:24:09.029081,2020-10-11 14:27:09.029081,2
5a5d-91,2020-10-11 14:24:08.427317,2020-10-11 14:27:08.427317,6
5a5d-180,2020-10-11 14:24:08.489810,2020-10-11 14:27:08.489810,3
5a5d-274,2020-10-11 14:24:08.723604,2020-10-11 14:27:08.723604,4
5a5d-120,2020-10-11 14:24:08.454127,2020-10-11 14:27:08.454127,4
5a5d-365,2020-10-11 14:24:08.888582,2020-10-11 14:27:08.888582,1
5a5d-465,2020-10-11 14:24:12.046937,2020-10-11 14:27:12.046937,0
5a5d-336,2020-10-11 14:24:08.839266,2020-10-11 14:27:08.839266,4
5a5d-25,2020-10-11 14:24:08.366187,2020-10-11 14:27:08.366187,4
5a5d-64,2020-10-11 14:24:08.407499,2020-10-11 14:27:08.407499,4
