GUID,Inicio,Fim,Contador
5fd3-99,2020-10-11 14:24:09.861037,2020-10-11 14:27:09.861037,4
5fd3-10,2020-10-11 14:24:09.795303,2020-10-11 14:27:09.795303,4
5fd3-234,2020-10-11 14:24:10.065187,2020-10-11 14:27:10.065187,3
5fd3-402,2020-10-11 14:24:10.232110,2020-10-11 14:27:10.232110,2
5fd3-18,2020-10-11 14:24:09.805878,2020-10-11 14:27:09.805878,4
5fd3-37,2020-10-11 14:24:10.866832,2020-10-11 14:27:10.866832,4
5fd3-469,2020-10-11 14:24:10.283704,2020-10-11 14:27:10.283704,0
5fd3-283,2020-10-11 14:24:10.116625,2020-10-11 14:27:10.116625,4
5fd3-239,2020-10-11 14:24:12.942138,2020-10-11 14:27:12.942138,4
5fd3-78,2020-10-11 14:24:10.901894,2020-10-11 14:27:10.901894,4
5fd3-478,2020-10-11 14:24:13.025062,2020-10-11 14:27:13.025062,2
5fd3-103,2020-10-11 14:24:09.878960,2020-10-11 14:27:09.878960,5
5fd3-205,2020-10-11 14:24:10.037672,2020-10-11 14:27:10.037672,5
5fd3-63,2020-10-11 14:24:09.831236,2020-10-11 14:27:09.831236,4
5fd3-92,2020-10-11 14:24:12.807475,2020-10-11 14:27:12.807475,4
5fd3-170,2020-10-11 14:24:09.974127,2020-10-11 14:27:09.974127,5
5fd3-95,2020-10-11 14:24:09.871309,2020-10-11 14:27:09.871309,7
5fd3-405,2020-10-11 14:24:10.220326,2020-10-11 14:27:10.220326,1
5fd3-118,2020-10-11 14:24:12.839432,2020-10-11 14:27:12.839432,3
5fd3-9,2020-10-11 14:24:12.805499,2020-10-11 14:27:12.805499,5
5fd3-163,2020-10-11 14:24:09.946522,2020-10-11 14:27:09.946522,4
5fd3-71,2020-10-11 14:24:09.844198,2020-10-11 14:27:09.844198,5
5fd3-180,2020-10-11 14:24:09.974417,2020-10-11 14:27:09.974417,4
5fd3-148,2020-10-11 14:24:09.925096,2020-10-11 14:27:09.925096,5
5fd3-35,2020-10-11 14:24:12.708983,2020-10-11 14:27:12.708983,3
5fd3-48,2020-10-11 14:24:12.823274,2020-10-11 14:27:12.823274,4
5fd3-222,2020-10-11 14:24:10.057088,2020-10-11 14:27:10.057088,4
5fd3-273,2020-10-11 14:24:12.912910,2020-10-11 14:27:12.912910,4
5fd3-210,2020-10-11 14:24:10.038130,2020-10-11 14:27:10.038130,6
5fd3-153,2020-10-11 14:24:09.945808,2020-10-11 14:27:09.945808,4
5fd3-162,2020-10-11 14:24:09.967681,2020-10-11 14:27:09.967681,4
5fd3-169,2020-10-11 14:24:09.969665,2020-10-11 14:27:09.969665,4
5fd3-138,2020-10-11 14:24:09.897374,2020-10-11 14:27:09.897374,4
5fd3-175,2020-10-11 14:24:09.981285,2020-10-11 14:27:09.981285,5
5fd3-286,2020-10-11 14:24:10.129538,2020-10-11 14:27:10.129538,4
5fd3-164,2020-10-11 14:24:11.079550,2020-10-11 14:27:11.079550,4
5fd3-82,2020-10-11 14:24:09.849187,2020-10-11 14:27:09.849187,4
5fd3-8,2020-10-11 14:24:12.824448,2020-10-11 14:27:12.824448,4
5fd3-123,2020-10-11 14:24:10.943942,2020-10-11 14:27:10.943942,5
5fd3-159,2020-10-11 14:24:09.952752,2020-10-11 14:27:09.952752,4
5fd3-188,2020-10-11 14:24:10.011719,2020-10-11 14:27:10.011719,4
5fd3-108,2020-10-11 14:24:12.847557,2020-10-11 14:27:12.847557,4
5fd3-184,2020-10-11 14:24:09.999907,2020-10-11 14:27:09.999907,5
5fd3-334,2020-10-11 14:24:10.156469,2020-10-11 14:27:10.156469,3
5fd3-21,2020-10-11 14:24:09.795087,2020-10-11 14:27:09.795087,5
5fd3-105,2020-10-11 14:24:09.878516,2020-10-11 14:27:09.878516,5
5fd3-88,2020-10-11 14:24:12.788958,2020-10-11 14:27:12.788958,5
5fd3-115,2020-10-11 14:24:09.887644,2020-10-11 14:27:09.887644,4
5fd3-347,2020-10-11 14:24:10.168380,2020-10-11 14:27:10.168380,0
5fd3-472,2020-10-11 14:24:13.036831,2020-10-11 14:27:13.036831,0
5fd3-203,2020-10-11 14:24:10.013032,2020-10-11 14:27:10.013032,4
5fd3-53,2020-10-11 14:24:12.716117,2020-10-11 14:27:12.716117,5
5fd3-229,2020-10-11 14:24:10.075552,2020-10-11 14:27:10.075552,4
5fd3-199,2020-10-11 14:24:12.908680,2020-10-11 14:27:12.908680,3
5fd3-52,2020-10-11 14:24:12.828682,2020-10-11 14:27:12.828682,4
5fd3-19,2020-10-11 14:24:12.837371,2020-10-11 14:27:12.837371,4
