GUID,Inicio,Fim,Contador
6887-53,2020-10-11 14:24:08.072313,2020-10-11 14:27:08.072313,4
6887-320,2020-10-11 14:24:08.439730,2020-10-11 14:27:08.439730,4
6887-372,2020-10-11 14:24:08.505281,2020-10-11 14:27:08.505281,1
6887-425,2020-10-11 14:24:08.614775,2020-10-11 14:27:08.614775,3
6887-86,2020-10-11 14:24:08.115900,2020-10-11 14:27:08.115900,4
6887-13,2020-10-11 14:24:08.065876,2020-10-11 14:27:08.065876,5
6887-7,2020-10-11 14:24:08.049957,2020-10-11 14:27:08.049957,4
6887-420,2020-10-11 14:24:08.596409,2020-10-11 14:27:08.596409,3
6887-172,2020-10-11 14:24:08.170364,2020-10-11 14:27:08.170364,5
6887-448,2020-10-11 14:24:08.647912,2020-10-11 14:27:08.647912,0
6887-204,2020-10-11 14:24:08.210630,2020-10-11 14:27:08.210630,4
6887-6,2020-10-11 14:24:08.039042,2020-10-11 14:27:08.039042,4
6887-269,2020-10-11 14:24:08.355913,2020-10-11 14:27:08.355913,4
6887-11,2020-10-11 14:24:08.048386,2020-10-11 14:27:08.048386,4
6887-414,2020-10-11 14:24:08.581121,2020-10-11 14:27:08.581121,2
6887-36,2020-10-11 14:24:08.067886,2020-10-11 14:27:08.067886,3
6887-162,2020-10-11 14:24:08.176477,2020-10-11 14:27:08.176477,6
6887-271,2020-10-11 14:24:08.358890,2020-10-11 14:27:08.358890,5
6887-442,2020-10-11 14:24:08.615389,2020-10-11 14:27:08.615389,0
6887-353,2020-10-11 14:24:08.491187,2020-10-11 14:27:08.491187,1
6887-93,2020-10-11 14:24:08.122596,2020-10-11 14:27:08.122596,5
6887-316,2020-10-11 14:24:08.433606,2020-10-11 14:27:08.433606,4
6887-41,2020-10-11 14:24:08.069504,2020-10-11 14:27:08.069504,5
6887-464,2020-10-11 14:24:08.673189,2020-10-11 14:27:08.673189,1
6887-326,2020-10-11 14:24:08.447727,2020-10-11 14:27:08.447727,5
6887-247,2020-10-11 14:24:08.286823,2020-10-11 14:27:08.286823,4
6887-438,2020-10-11 14:24:08.615052,2020-10-11 14:27:08.615052,0
