GUID,Inicio,Fim,Contador
cbad-93,2020-10-11 14:24:11.699364,2020-10-11 14:27:11.699364,3
cbad-397,2020-10-11 14:24:11.956470,2020-10-11 14:27:11.956470,0
cbad-382,2020-10-11 14:24:11.969791,2020-10-11 14:27:11.969791,2
cbad-459,2020-10-11 14:24:12.020993,2020-10-11 14:27:12.020993,1
cbad-56,2020-10-11 14:24:11.682290,2020-10-11 14:27:11.682290,4
cbad-276,2020-10-11 14:24:11.870183,2020-10-11 14:27:11.870183,4
cbad-23,2020-10-11 14:24:11.686515,2020-10-11 14:27:11.686515,4
cbad-216,2020-10-11 14:24:11.057505,2020-10-11 14:27:11.057505,4
cbad-151,2020-10-11 14:24:11.838233,2020-10-11 14:27:11.838233,4
cbad-71,2020-10-11 14:24:11.706718,2020-10-11 14:27:11.706718,5
cbad-303,2020-10-11 14:24:11.880141,2020-10-11 14:27:11.880141,5
cbad-136,2020-10-11 14:24:11.012149,2020-10-11 14:27:11.012149,4
cbad-477,2020-10-11 14:24:11.193539,2020-10-11 14:27:11.193539,0
cbad-88,2020-10-11 14:24:11.699962,2020-10-11 14:27:11.699962,3
cbad-486,2020-10-11 14:24:11.195903,2020-10-11 14:27:11.195903,1
cbad-444,2020-10-11 14:24:12.052514,2020-10-11 14:27:12.052514,1
cbad-105,2020-10-11 14:24:10.983588,2020-10-11 14:27:10.983588,4
cbad-438,2020-10-11 14:24:12.067877,2020-10-11 14:27:12.067877,0
cbad-442,2020-10-11 14:24:11.192047,2020-10-11 14:27:11.192047,0
cbad-135,2020-10-11 14:24:11.845311,2020-10-11 14:27:11.845311,5
cbad-394,2020-10-11 14:24:11.191121,2020-10-11 14:27:11.191121,0
cbad-470,2020-10-11 14:24:12.069833,2020-10-11 14:27:12.069833,2
cbad-125,2020-10-11 14:24:11.005597,2020-10-11 14:27:11.005597,4
cbad-189,2020-10-11 14:24:11.844620,2020-10-11 14:27:11.844620,3
cbad-137,2020-10-11 14:24:11.797495,2020-10-11 14:27:11.797495,4
cbad-104,2020-10-11 14:24:10.983627,2020-10-11 14:27:10.983627,5
cbad-385,2020-10-11 14:24:11.976366,2020-10-11 14:27:11.976366,1
cbad-376,2020-10-11 14:24:11.179544,2020-10-11 14:27:11.179544,0
cbad-372,2020-10-11 14:24:11.954457,2020-10-11 14:27:11.954457,2
cbad-116,2020-10-11 14:24:11.833915,2020-10-11 14:27:11.833915,3
cbad-195,2020-10-11 14:24:11.828265,2020-10-11 14:27:11.828265,3
cbad-19,2020-10-11 14:24:10.908989,2020-10-11 14:27:10.908989,4
cbad-467,2020-10-11 14:24:11.191487,2020-10-11 14:27:11.191487,0
cbad-22,2020-10-11 14:24:13.654824,2020-10-11 14:27:13.654824,4
cbad-339,2020-10-11 14:24:11.135954,2020-10-11 14:27:11.135954,0
cbad-119,2020-10-11 14:24:11.835140,2020-10-11 14:27:11.835140,4
