GUID,Inicio,Fim,Contador
14b0-74,2020-10-11 14:05:38.760117,2020-10-11 14:08:38.760117,4
14b0-9,2020-10-11 14:05:38.754063,2020-10-11 14:08:38.754063,5
14b0-82,2020-10-11 14:05:38.787731,2020-10-11 14:08:38.787731,5
14b0-72,2020-10-11 14:05:38.785981,2020-10-11 14:08:38.785981,4
14b0-94,2020-10-11 14:05:38.777067,2020-10-11 14:08:38.777067,4
14b0-21,2020-10-11 14:05:38.679499,2020-10-11 14:08:38.679499,3
14b0-38,2020-10-11 14:05:38.783184,2020-10-11 14:08:38.783184,5
14b0-8,2020-10-11 14:05:38.742795,2020-10-11 14:08:38.742795,5
14b0-45,2020-10-11 14:05:38.787147,2020-10-11 14:08:38.787147,5
14b0-29,2020-10-11 14:05:38.755684,2020-10-11 14:08:38.755684,5
14b0-92,2020-10-11 14:05:38.774593,2020-10-11 14:08:38.774593,5
14b0-75,2020-10-11 14:05:39.829362,2020-10-11 14:08:39.829362,3
14b0-46,2020-10-11 14:05:38.768542,2020-10-11 14:08:38.768542,3
14b0-22,2020-10-11 14:05:38.701940,2020-10-11 14:08:38.701940,4
14b0-62,2020-10-11 14:05:38.779687,2020-10-11 14:08:38.779687,4
14b0-17,2020-10-11 14:05:38.760058,2020-10-11 14:08:38.760058,4
14b0-98,2020-10-11 14:05:38.785161,2020-10-11 14:08:38.785161,3
14b0-3,2020-10-11 14:05:38.686739,2020-10-11 14:08:38.686739,4
14b0-90,2020-10-11 14:05:38.773344,2020-10-11 14:08:38.773344,4
14b0-18,2020-10-11 14:05:38.741471,2020-10-11 14:08:38.741471,3
14b0-57,2020-10-11 14:05:38.784976,2020-10-11 14:08:38.784976,5
14b0-37,2020-10-11 14:05:38.763679,2020-10-11 14:08:38.763679,4
14b0-56,2020-10-11 14:05:38.782220,2020-10-11 14:08:38.782220,5
14b0-78,2020-10-11 14:05:38.771311,2020-10-11 14:08:38.771311,3
14b0-20,2020-10-11 14:05:38.680740,2020-10-11 14:08:38.680740,5
14b0-44,2020-10-11 14:05:38.768046,2020-10-11 14:08:38.768046,5
14b0-10,2020-10-11 14:05:38.763126,2020-10-11 14:08:38.763126,4
14b0-84,2020-10-11 14:05:38.786036,2020-10-11 14:08:38.786036,4
14b0-60,2020-10-11 14:05:38.786249,2020-10-11 14:08:38.786249,4
14b0-43,2020-10-11 14:05:38.760796,2020-10-11 14:08:38.760796,3
14b0-49,2020-10-11 14:05:38.745676,2020-10-11 14:08:38.745676,5
14b0-39,2020-10-11 14:05:38.773292,2020-10-11 14:08:38.773292,5
14b0-51,2020-10-11 14:05:38.785117,2020-10-11 14:08:38.785117,5
14b0-70,2020-10-11 14:05:38.778548,2020-10-11 14:08:38.778548,4
14b0-55,2020-10-11 14:05:38.784783,2020-10-11 14:08:38.784783,5
14b0-63,2020-10-11 14:05:38.786076,2020-10-11 14:08:38.786076,5
14b0-91,2020-10-11 14:05:38.783023,2020-10-11 14:08:38.783023,5
14b0-14,2020-10-11 14:05:38.751347,2020-10-11 14:08:38.751347,5
14b0-65,2020-10-11 14:05:38.776107,2020-10-11 14:08:38.776107,4
14b0-35,2020-10-11 14:05:38.780188,2020-10-11 14:08:38.780188,4
14b0-42,2020-10-11 14:05:38.767167,2020-10-11 14:08:38.767167,5
14b0-76,2020-10-11 14:05:38.780147,2020-10-11 14:08:38.780147,4
14b0-15,2020-10-11 14:05:38.752640,2020-10-11 14:08:38.752640,5
14b0-97,2020-10-11 14:05:38.778776,2020-10-11 14:08:38.778776,4
14b0-95,2020-10-11 14:05:38.787272,2020-10-11 14:08:38.787272,5
14b0-64,2020-10-11 14:05:38.774680,2020-10-11 14:08:38.774680,5
14b0-77,2020-10-11 14:05:38.787927,2020-10-11 14:08:38.787927,7
14b0-13,2020-10-11 14:05:38.775736,2020-10-11 14:08:38.775736,6
14b0-85,2020-10-11 14:05:38.783820,2020-10-11 14:08:38.783820,4
14b0-30,2020-10-11 14:05:38.712128,2020-10-11 14:08:38.712128,4
