GUID,Inicio,Fim,Contador
256b-84,2020-10-11 14:05:38.439581,2020-10-11 14:08:38.439581,3
256b-85,2020-10-11 14:05:38.440659,2020-10-11 14:08:38.440659,4
256b-82,2020-10-11 14:05:38.446951,2020-10-11 14:08:38.446951,3
256b-26,2020-10-11 14:05:38.409222,2020-10-11 14:08:38.409222,3
256b-7,2020-10-11 14:05:38.429679,2020-10-11 14:08:38.429679,4
256b-6,2020-10-11 14:05:38.423327,2020-10-11 14:08:38.423327,5
256b-79,2020-10-11 14:05:38.439535,2020-10-11 14:08:38.439535,5
256b-49,2020-10-11 14:05:38.439880,2020-10-11 14:08:38.439880,3
256b-20,2020-10-11 14:05:38.434911,2020-10-11 14:08:38.434911,4
256b-77,2020-10-11 14:05:38.440971,2020-10-11 14:08:38.440971,5
256b-16,2020-10-11 14:05:38.445212,2020-10-11 14:08:38.445212,5
256b-93,2020-10-11 14:05:38.441936,2020-10-11 14:08:38.441936,4
256b-1,2020-10-11 14:05:38.351990,2020-10-11 14:08:38.351990,4
256b-0,2020-10-11 14:05:38.426594,2020-10-11 14:08:38.426594,4
256b-51,2020-10-11 14:05:38.430275,2020-10-11 14:08:38.430275,4
256b-67,2020-10-11 14:05:38.435664,2020-10-11 14:08:38.435664,5
256b-94,2020-10-11 14:05:38.448705,2020-10-11 14:08:38.448705,4
256b-23,2020-10-11 14:05:38.408397,2020-10-11 14:08:38.408397,3
256b-41,2020-10-11 14:05:38.428025,2020-10-11 14:08:38.428025,4
256b-60,2020-10-11 14:05:38.441472,2020-10-11 14:08:38.441472,5
256b-59,2020-10-11 14:05:38.417756,2020-10-11 14:08:38.417756,5
256b-62,2020-10-11 14:05:38.433353,2020-10-11 14:08:38.433353,4
256b-14,2020-10-11 14:05:38.385019,2020-10-11 14:08:38.385019,4
256b-72,2020-10-11 14:05:38.446831,2020-10-11 14:08:38.446831,5
256b-9,2020-10-11 14:05:38.380643,2020-10-11 14:08:38.380643,4
256b-69,2020-10-11 14:05:38.445819,2020-10-11 14:08:38.445819,4
256b-90,2020-10-11 14:05:38.447950,2020-10-11 14:08:38.447950,4
256b-30,2020-10-11 14:05:38.407105,2020-10-11 14:08:38.407105,3
256b-21,2020-10-11 14:05:38.363697,2020-10-11 14:08:38.363697,5
256b-29,2020-10-11 14:05:38.434856,2020-10-11 14:08:38.434856,6
256b-52,2020-10-11 14:05:38.412409,2020-10-11 14:08:38.412409,4
256b-38,2020-10-11 14:05:38.423402,2020-10-11 14:08:38.423402,4
256b-5,2020-10-11 14:05:38.433625,2020-10-11 14:08:38.433625,3
256b-8,2020-10-11 14:05:38.432872,2020-10-11 14:08:38.432872,5
256b-92,2020-10-11 14:05:38.447610,2020-10-11 14:08:38.447610,4
256b-71,2020-10-11 14:05:38.445744,2020-10-11 14:08:38.445744,5
256b-10,2020-10-11 14:05:38.408296,2020-10-11 14:08:38.408296,5
256b-57,2020-10-11 14:05:38.423242,2020-10-11 14:08:38.423242,4
256b-81,2020-10-11 14:05:38.448765,2020-10-11 14:08:38.448765,4
256b-25,2020-10-11 14:05:38.409092,2020-10-11 14:08:38.409092,5
256b-37,2020-10-11 14:05:38.420411,2020-10-11 14:08:38.420411,4
256b-13,2020-10-11 14:05:38.410274,2020-10-11 14:08:38.410274,3
256b-66,2020-10-11 14:05:38.420087,2020-10-11 14:08:38.420087,3
256b-40,2020-10-11 14:05:38.430952,2020-10-11 14:08:38.430952,4
256b-91,2020-10-11 14:05:38.449028,2020-10-11 14:08:38.449028,5
256b-98,2020-10-11 14:05:38.445053,2020-10-11 14:08:38.445053,5
256b-96,2020-10-11 14:05:38.448401,2020-10-11 14:08:38.448401,4
256b-45,2020-10-11 14:05:38.428527,2020-10-11 14:08:38.428527,5
256b-88,2020-10-11 14:05:38.446656,2020-10-11 14:08:38.446656,4
256b-97,2020-10-11 14:05:38.449157,2020-10-11 14:08:38.449157,4
256b-18,2020-10-11 14:05:38.436472,2020-10-11 14:08:38.436472,5
256b-87,2020-10-11 14:05:38.449070,2020-10-11 14:08:38.449070,5
256b-39,2020-10-11 14:05:38.445250,2020-10-11 14:08:38.445250,6
256b-99,2020-10-11 14:05:38.452471,2020-10-11 14:08:38.452471,4
256b-27,2020-10-11 14:05:38.448016,2020-10-11 14:08:38.448016,7
256b-31,2020-10-11 14:05:38.424789,2020-10-11 14:08:38.424789,4
256b-24,2020-10-11 14:05:38.419816,2020-10-11 14:08:38.419816,4
256b-54,2020-10-11 14:05:38.442200,2020-10-11 14:08:38.442200,5
256b-80,2020-10-11 14:05:38.445366,2020-10-11 14:08:38.445366,4
256b-35,2020-10-11 14:05:38.429735,2020-10-11 14:08:38.429735,4
256b-34,2020-10-11 14:05:38.415445,2020-10-11 14:08:38.415445,4
256b-86,2020-10-11 14:05:38.444502,2020-10-11 14:08:38.444502,7
256b-50,2020-10-11 14:05:38.426485,2020-10-11 14:08:38.426485,6
256b-53,2020-10-11 14:05:38.446606,2020-10-11 14:08:38.446606,5
256b-17,2020-10-11 14:05:38.398899,2020-10-11 14:08:38.398899,6
256b-22,2020-10-11 14:05:38.411954,2020-10-11 14:08:38.411954,4
256b-76,2020-10-11 14:05:38.444834,2020-10-11 14:08:38.444834,5
256b-46,2020-10-11 14:05:38.431772,2020-10-11 14:08:38.431772,6
256b-43,2020-10-11 14:05:38.433283,2020-10-11 14:08:38.433283,5
256b-3,2020-10-11 14:05:38.426543,2020-10-11 14:08:38.426543,5
256b-32,2020-10-11 14:05:38.443225,2020-10-11 14:08:38.443225,5
256b-89,2020-10-11 14:05:38.447912,2020-10-11 14:08:38.447912,6
256b-70,2020-10-11 14:05:38.445158,2020-10-11 14:08:38.445158,5
256b-68,2020-10-11 14:05:38.445285,2020-10-11 14:08:38.445285,5
256b-44,2020-10-11 14:05:38.431818,2020-10-11 14:08:38.431818,6
256b-47,2020-10-11 14:05:38.419187,2020-10-11 14:08:38.419187,5
256b-48,2020-10-11 14:05:38.446988,2020-10-11 14:08:38.446988,5
256b-74,2020-10-11 14:05:38.448987,2020-10-11 14:08:38.448987,4
256b-75,2020-10-11 14:05:38.444054,2020-10-11 14:08:38.444054,6
256b-61,2020-10-11 14:05:38.433850,2020-10-11 14:08:38.433850,6
256b-63,2020-10-11 14:05:38.437532,2020-10-11 14:08:38.437532,5
256b-33,2020-10-11 14:05:38.397672,2020-10-11 14:08:38.397672,5
256b-19,2020-10-11 14:05:38.448662,2020-10-11 14:08:38.448662,5
256b-73,2020-10-11 14:05:38.445322,2020-10-11 14:08:38.445322,5
256b-78,2020-10-11 14:05:38.446120,2020-10-11 14:08:38.446120,4
256b-4,2020-10-11 14:05:38.384668,2020-10-11 14:08:38.384668,5
256b-95,2020-10-11 14:05:38.446871,2020-10-11 14:08:38.446871,6
