GUID,Inicio,Fim,Contador
dcba-88,2020-10-11 14:05:38.123755,2020-10-11 14:08:38.123755,3
dcba-18,2020-10-11 14:05:38.041832,2020-10-11 14:08:38.041832,3
dcba-56,2020-10-11 14:05:38.122073,2020-10-11 14:08:38.122073,4
dcba-39,2020-10-11 14:05:38.127837,2020-10-11 14:08:38.127837,3
dcba-87,2020-10-11 14:05:38.115703,2020-10-11 14:08:38.115703,4
dcba-59,2020-10-11 14:05:38.118878,2020-10-11 14:08:38.118878,4
dcba-64,2020-10-11 14:05:38.115952,2020-10-11 14:08:38.115952,4
dcba-83,2020-10-11 14:05:38.133802,2020-10-11 14:08:38.133802,4
dcba-42,2020-10-11 14:05:38.127450,2020-10-11 14:08:38.127450,4
dcba-27,2020-10-11 14:05:38.116979,2020-10-11 14:08:38.116979,4
dcba-48,2020-10-11 14:05:38.129739,2020-10-11 14:08:38.129739,5
dcba-20,2020-10-11 14:05:38.104067,2020-10-11 14:08:38.104067,5
dcba-40,2020-10-11 14:05:38.102674,2020-10-11 14:08:38.102674,4
dcba-86,2020-10-11 14:05:38.132546,2020-10-11 14:08:38.132546,4
dcba-7,2020-10-11 14:05:38.102421,2020-10-11 14:08:38.102421,3
dcba-17,2020-10-11 14:05:38.098828,2020-10-11 14:08:38.098828,4
dcba-69,2020-10-11 14:05:38.120236,2020-10-11 14:08:38.120236,3
dcba-96,2020-10-11 14:05:38.137817,2020-10-11 14:08:38.137817,3
dcba-4,2020-10-11 14:05:38.042935,2020-10-11 14:08:38.042935,4
dcba-47,2020-10-11 14:05:38.101818,2020-10-11 14:08:38.101818,6
dcba-93,2020-10-11 14:05:38.132474,2020-10-11 14:08:38.132474,4
dcba-55,2020-10-11 14:05:38.137867,2020-10-11 14:08:38.137867,4
dcba-80,2020-10-11 14:05:38.137630,2020-10-11 14:08:38.137630,5
dcba-8,2020-10-11 14:05:38.128831,2020-10-11 14:08:38.128831,6
dcba-34,2020-10-11 14:05:38.088345,2020-10-11 14:08:38.088345,4
dcba-1,2020-10-11 14:05:38.039594,2020-10-11 14:08:38.039594,5
dcba-35,2020-10-11 14:05:38.128556,2020-10-11 14:08:38.128556,7
dcba-51,2020-10-11 14:05:38.131229,2020-10-11 14:08:38.131229,5
dcba-76,2020-10-11 14:05:38.131694,2020-10-11 14:08:38.131694,4
dcba-90,2020-10-11 14:05:38.138018,2020-10-11 14:08:38.138018,4
dcba-99,2020-10-11 14:05:38.132976,2020-10-11 14:08:38.132976,5
dcba-22,2020-10-11 14:05:38.069253,2020-10-11 14:08:38.069253,4
dcba-45,2020-10-11 14:05:38.129612,2020-10-11 14:08:38.129612,5
dcba-61,2020-10-11 14:05:38.117396,2020-10-11 14:08:38.117396,6
dcba-21,2020-10-11 14:05:38.093371,2020-10-11 14:08:38.093371,5
dcba-54,2020-10-11 14:05:39.084494,2020-10-11 14:08:39.084494,5
dcba-30,2020-10-11 14:05:38.105510,2020-10-11 14:08:38.105510,4
