GUID,Inicio,Fim,Contador
e8ce-40,2020-10-11 14:05:36.760002,2020-10-11 14:08:36.760002,4
e8ce-66,2020-10-11 14:05:36.826842,2020-10-11 14:08:36.826842,5
e8ce-55,2020-10-11 14:05:36.794677,2020-10-11 14:08:36.794677,4
e8ce-67,2020-10-11 14:05:36.822680,2020-10-11 14:08:36.822680,4
e8ce-89,2020-10-11 14:05:36.831521,2020-10-11 14:08:36.831521,4
e8ce-92,2020-10-11 14:05:36.829432,2020-10-11 14:08:36.829432,4
e8ce-27,2020-10-11 14:05:36.822642,2020-10-11 14:08:36.822642,3
e8ce-47,2020-10-11 14:05:36.783221,2020-10-11 14:08:36.783221,4
e8ce-62,2020-10-11 14:05:36.823633,2020-10-11 14:08:36.823633,4
e8ce-78,2020-10-11 14:05:36.817815,2020-10-11 14:08:36.817815,4
e8ce-98,2020-10-11 14:05:36.825705,2020-10-11 14:08:36.825705,3
e8ce-53,2020-10-11 14:05:36.819729,2020-10-11 14:08:36.819729,5
e8ce-90,2020-10-11 14:05:36.829397,2020-10-11 14:08:36.829397,4
e8ce-63,2020-10-11 14:05:36.815892,2020-10-11 14:08:36.815892,4
e8ce-95,2020-10-11 14:05:36.831132,2020-10-11 14:08:36.831132,4
e8ce-61,2020-10-11 14:05:36.822221,2020-10-11 14:08:36.822221,4
e8ce-14,2020-10-11 14:05:36.761685,2020-10-11 14:08:36.761685,3
e8ce-2,2020-10-11 14:05:36.742427,2020-10-11 14:08:36.742427,3
e8ce-12,2020-10-11 14:05:36.751317,2020-10-11 14:08:36.751317,3
e8ce-9,2020-10-11 14:05:36.734346,2020-10-11 14:08:36.734346,6
e8ce-48,2020-10-11 14:05:36.813400,2020-10-11 14:08:36.813400,5
e8ce-34,2020-10-11 14:05:36.826877,2020-10-11 14:08:36.826877,3
e8ce-51,2020-10-11 14:05:36.802397,2020-10-11 14:08:36.802397,5
e8ce-29,2020-10-11 14:05:36.827478,2020-10-11 14:08:36.827478,4
e8ce-7,2020-10-11 14:05:36.764766,2020-10-11 14:08:36.764766,5
e8ce-25,2020-10-11 14:05:36.797301,2020-10-11 14:08:36.797301,5
e8ce-79,2020-10-11 14:05:36.830764,2020-10-11 14:08:36.830764,4
e8ce-42,2020-10-11 14:05:36.821243,2020-10-11 14:08:36.821243,4
e8ce-22,2020-10-11 14:05:36.806718,2020-10-11 14:08:36.806718,3
e8ce-88,2020-10-11 14:05:36.826291,2020-10-11 14:08:36.826291,5
e8ce-41,2020-10-11 14:05:36.799682,2020-10-11 14:08:36.799682,5
e8ce-18,2020-10-11 14:05:36.745546,2020-10-11 14:08:36.745546,7
e8ce-1,2020-10-11 14:05:36.739723,2020-10-11 14:08:36.739723,4
e8ce-84,2020-10-11 14:05:36.830624,2020-10-11 14:08:36.830624,5
e8ce-94,2020-10-11 14:05:36.831232,2020-10-11 14:08:36.831232,5
e8ce-39,2020-10-11 14:05:36.817646,2020-10-11 14:08:36.817646,4
e8ce-52,2020-10-11 14:05:36.823560,2020-10-11 14:08:36.823560,5
e8ce-15,2020-10-11 14:05:36.734082,2020-10-11 14:08:36.734082,6
e8ce-38,2020-10-11 14:05:36.798778,2020-10-11 14:08:36.798778,4
e8ce-97,2020-10-11 14:05:36.830474,2020-10-11 14:08:36.830474,4
e8ce-8,2020-10-11 14:05:36.734035,2020-10-11 14:08:36.734035,5
e8ce-58,2020-10-11 14:05:36.810008,2020-10-11 14:08:36.810008,5
e8ce-93,2020-10-11 14:05:36.831668,2020-10-11 14:08:36.831668,3
