GUID,Inicio,Fim,Contador
ebac-19,2020-10-11 14:05:39.367029,2020-10-11 14:08:39.367029,4
ebac-79,2020-10-11 14:05:39.353012,2020-10-11 14:08:39.353012,5
ebac-22,2020-10-11 14:05:39.369509,2020-10-11 14:08:39.369509,3
ebac-30,2020-10-11 14:05:39.372472,2020-10-11 14:08:39.372472,4
ebac-26,2020-10-11 14:05:39.375211,2020-10-11 14:08:39.375211,3
ebac-38,2020-10-11 14:05:39.359785,2020-10-11 14:08:39.359785,5
ebac-90,2020-10-11 14:05:39.380346,2020-10-11 14:08:39.380346,5
ebac-88,2020-10-11 14:05:39.379648,2020-10-11 14:08:39.379648,4
ebac-51,2020-10-11 14:05:39.378987,2020-10-11 14:08:39.378987,4
ebac-71,2020-10-11 14:05:39.376231,2020-10-11 14:08:39.376231,4
ebac-61,2020-10-11 14:05:39.366930,2020-10-11 14:08:39.366930,3
ebac-7,2020-10-11 14:05:39.365363,2020-10-11 14:08:39.365363,6
ebac-17,2020-10-11 14:05:39.360658,2020-10-11 14:08:39.360658,4
ebac-67,2020-10-11 14:05:39.370585,2020-10-11 14:08:39.370585,4
ebac-45,2020-10-11 14:05:39.376946,2020-10-11 14:08:39.376946,4
ebac-11,2020-10-11 14:05:39.351198,2020-10-11 14:08:39.351198,5
ebac-24,2020-10-11 14:05:39.361730,2020-10-11 14:08:39.361730,5
ebac-2,2020-10-11 14:05:39.303838,2020-10-11 14:08:39.303838,4
ebac-31,2020-10-11 14:05:39.374195,2020-10-11 14:08:39.374195,3
ebac-14,2020-10-11 14:05:39.331223,2020-10-11 14:08:39.331223,4
ebac-81,2020-10-11 14:05:39.380025,2020-10-11 14:08:39.380025,6
ebac-99,2020-10-11 14:05:39.375133,2020-10-11 14:08:39.375133,5
ebac-94,2020-10-11 14:05:39.379327,2020-10-11 14:08:39.379327,4
ebac-56,2020-10-11 14:05:39.355633,2020-10-11 14:08:39.355633,3
ebac-37,2020-10-11 14:05:39.368569,2020-10-11 14:08:39.368569,3
ebac-36,2020-10-11 14:05:39.377524,2020-10-11 14:08:39.377524,4
ebac-12,2020-10-11 14:05:39.303550,2020-10-11 14:08:39.303550,4
ebac-97,2020-10-11 14:05:39.378432,2020-10-11 14:08:39.378432,6
ebac-87,2020-10-11 14:05:39.372297,2020-10-11 14:08:39.372297,4
ebac-6,2020-10-11 14:05:39.306306,2020-10-11 14:08:39.306306,4
ebac-15,2020-10-11 14:05:39.365148,2020-10-11 14:08:39.365148,5
ebac-21,2020-10-11 14:05:39.353529,2020-10-11 14:08:39.353529,4
ebac-98,2020-10-11 14:05:39.380315,2020-10-11 14:08:39.380315,4
ebac-23,2020-10-11 14:05:39.366463,2020-10-11 14:08:39.366463,4
ebac-89,2020-10-11 14:05:39.370727,2020-10-11 14:08:39.370727,5
ebac-40,2020-10-11 14:05:39.344789,2020-10-11 14:08:39.344789,6
ebac-25,2020-10-11 14:05:39.343673,2020-10-11 14:08:39.343673,4
ebac-16,2020-10-11 14:05:39.332058,2020-10-11 14:08:39.332058,4
ebac-9,2020-10-11 14:05:39.338260,2020-10-11 14:08:39.338260,5
ebac-65,2020-10-11 14:05:39.379137,2020-10-11 14:08:39.379137,6
ebac-58,2020-10-11 14:05:39.375098,2020-10-11 14:08:39.375098,3
ebac-4,2020-10-11 14:05:39.365401,2020-10-11 14:08:39.365401,4
ebac-54,2020-10-11 14:05:39.372336,2020-10-11 14:08:39.372336,6
ebac-5,2020-10-11 14:05:39.379753,2020-10-11 14:08:39.379753,5
ebac-92,2020-10-11 14:05:39.380284,2020-10-11 14:08:39.380284,7
ebac-73,2020-10-11 14:05:39.374454,2020-10-11 14:08:39.374454,6
ebac-13,2020-10-11 14:05:39.349048,2020-10-11 14:08:39.349048,4
ebac-27,2020-10-11 14:05:39.318113,2020-10-11 14:08:39.318113,5
ebac-95,2020-10-11 14:05:39.380377,2020-10-11 14:08:39.380377,4
ebac-85,2020-10-11 14:05:39.377558,2020-10-11 14:08:39.377558,5
ebac-44,2020-10-11 14:05:39.364093,2020-10-11 14:08:39.364093,4
ebac-64,2020-10-11 14:05:39.378783,2020-10-11 14:08:39.378783,4
ebac-46,2020-10-11 14:05:39.376658,2020-10-11 14:08:39.376658,4
ebac-42,2020-10-11 14:05:39.328818,2020-10-11 14:08:39.328818,5
ebac-32,2020-10-11 14:05:39.336122,2020-10-11 14:08:39.336122,5
ebac-29,2020-10-11 14:05:39.371136,2020-10-11 14:08:39.371136,6
ebac-62,2020-10-11 14:05:39.370257,2020-10-11 14:08:39.370257,4
ebac-70,2020-10-11 14:05:39.372837,2020-10-11 14:08:39.372837,6
ebac-80,2020-10-11 14:05:39.360308,2020-10-11 14:08:39.360308,5
ebac-28,2020-10-11 14:05:39.361673,2020-10-11 14:08:39.361673,6
ebac-48,2020-10-11 14:05:39.359002,2020-10-11 14:08:39.359002,4
ebac-60,2020-10-11 14:05:39.377908,2020-10-11 14:08:39.377908,5
ebac-3,2020-10-11 14:05:39.343947,2020-10-11 14:08:39.343947,6
ebac-96,2020-10-11 14:05:39.379173,2020-10-11 14:08:39.379173,5
ebac-39,2020-10-11 14:05:39.370764,2020-10-11 14:08:39.370764,6
ebac-72,2020-10-11 14:05:39.379718,2020-10-11 14:08:39.379718,4
ebac-91,2020-10-11 14:05:39.364286,2020-10-11 14:08:39.364286,6
ebac-33,2020-10-11 14:05:39.375398,2020-10-11 14:08:39.375398,6
ebac-41,2020-10-11 14:05:39.367185,2020-10-11 14:08:39.367185,5
ebac-47,2020-10-11 14:05:39.373070,2020-10-11 14:08:39.373070,5
ebac-35,2020-10-11 14:05:39.375568,2020-10-11 14:08:39.375568,4
ebac-18,2020-10-11 14:05:39.379359,2020-10-11 14:08:39.379359,4
ebac-1,2020-10-11 14:05:39.343371,2020-10-11 14:08:39.343371,4
ebac-53,2020-10-11 14:05:39.378554,2020-10-11 14:08:39.378554,4
ebac-76,2020-10-11 14:05:39.379615,2020-10-11 14:08:39.379615,4
ebac-78,2020-10-11 14:05:39.373934,2020-10-11 14:08:39.373934,4
ebac-68,2020-10-11 14:05:39.372767,2020-10-11 14:08:39.372767,5
