GUID,Inicio,Fim,Contador
1dfc-171,2020-10-11 14:12:51.585871,2020-10-11 14:15:51.585871,4
1dfc-243,2020-10-11 14:12:51.629114,2020-10-11 14:15:51.629114,4
1dfc-459,2020-10-11 14:12:51.826484,2020-10-11 14:15:51.826484,0
1dfc-484,2020-10-11 14:12:51.851510,2020-10-11 14:15:51.851510,1
1dfc-341,2020-10-11 14:12:51.700165,2020-10-11 14:15:51.700165,0
1dfc-183,2020-10-11 14:12:51.580507,2020-10-11 14:15:51.580507,4
1dfc-274,2020-10-11 14:12:51.636740,2020-10-11 14:15:51.636740,4
1dfc-261,2020-10-11 14:12:51.635979,2020-10-11 14:15:51.635979,5
1dfc-299,2020-10-11 14:12:51.672516,2020-10-11 14:15:51.672516,5
1dfc-268,2020-10-11 14:12:51.641261,2020-10-11 14:15:51.641261,3
1dfc-287,2020-10-11 14:12:51.662360,2020-10-11 14:15:51.662360,3
1dfc-238,2020-10-11 14:12:51.609481,2020-10-11 14:15:51.609481,4
1dfc-463,2020-10-11 14:12:51.826314,2020-10-11 14:15:51.826314,0
1dfc-158,2020-10-11 14:12:51.560289,2020-10-11 14:15:51.560289,4
1dfc-462,2020-10-11 14:12:54.646780,2020-10-11 14:15:54.646780,1
1dfc-86,2020-10-11 14:12:54.357790,2020-10-11 14:15:54.357790,3
1dfc-116,2020-10-11 14:12:51.523893,2020-10-11 14:15:51.523893,4
1dfc-83,2020-10-11 14:12:54.356672,2020-10-11 14:15:54.356672,4
1dfc-422,2020-10-11 14:12:51.794660,2020-10-11 14:15:51.794660,1
1dfc-400,2020-10-11 14:12:51.753943,2020-10-11 14:15:51.753943,1
1dfc-465,2020-10-11 14:12:51.831737,2020-10-11 14:15:51.831737,0
1dfc-496,2020-10-11 14:12:51.864160,2020-10-11 14:15:51.864160,1
1dfc-66,2020-10-11 14:12:51.464079,2020-10-11 14:15:51.464079,5
1dfc-252,2020-10-11 14:12:54.485451,2020-10-11 14:15:54.485451,4
1dfc-349,2020-10-11 14:12:51.711716,2020-10-11 14:15:51.711716,1
