GUID,Inicio,Fim,Contador
1f0d-403,2020-10-11 14:12:52.611921,2020-10-11 14:15:52.611921,1
1f0d-372,2020-10-11 14:12:52.586213,2020-10-11 14:15:52.586213,1
1f0d-295,2020-10-11 14:12:52.550633,2020-10-11 14:15:52.550633,4
1f0d-216,2020-10-11 14:12:52.506196,2020-10-11 14:15:52.506196,5
1f0d-135,2020-10-11 14:12:52.461407,2020-10-11 14:15:52.461407,3
1f0d-383,2020-10-11 14:12:52.613840,2020-10-11 14:15:52.613840,0
1f0d-413,2020-10-11 14:12:53.560292,2020-10-11 14:15:53.560292,0
1f0d-395,2020-10-11 14:12:52.622353,2020-10-11 14:15:52.622353,0
1f0d-421,2020-10-11 14:12:53.544128,2020-10-11 14:15:53.544128,0
1f0d-205,2020-10-11 14:12:52.502866,2020-10-11 14:15:52.502866,4
1f0d-113,2020-10-11 14:12:52.466629,2020-10-11 14:15:52.466629,4
1f0d-310,2020-10-11 14:12:52.559044,2020-10-11 14:15:52.559044,3
1f0d-320,2020-10-11 14:12:53.449490,2020-10-11 14:15:53.449490,3
1f0d-391,2020-10-11 14:12:52.615815,2020-10-11 14:15:52.615815,3
1f0d-442,2020-10-11 14:12:53.550938,2020-10-11 14:15:53.550938,1
1f0d-369,2020-10-11 14:12:52.586124,2020-10-11 14:15:52.586124,0
1f0d-220,2020-10-11 14:12:53.391751,2020-10-11 14:15:53.391751,4
1f0d-475,2020-10-11 14:12:52.650688,2020-10-11 14:15:52.650688,0
1f0d-230,2020-10-11 14:12:52.512970,2020-10-11 14:15:52.512970,4
1f0d-326,2020-10-11 14:12:53.452481,2020-10-11 14:15:53.452481,3
1f0d-343,2020-10-11 14:12:53.462449,2020-10-11 14:15:53.462449,0
1f0d-188,2020-10-11 14:12:53.395621,2020-10-11 14:15:53.395621,4
1f0d-336,2020-10-11 14:12:53.448369,2020-10-11 14:15:53.448369,4
1f0d-144,2020-10-11 14:12:52.474113,2020-10-11 14:15:52.474113,4
1f0d-479,2020-10-11 14:12:53.571580,2020-10-11 14:15:53.571580,2
1f0d-250,2020-10-11 14:12:52.514860,2020-10-11 14:15:52.514860,4
1f0d-330,2020-10-11 14:12:53.449649,2020-10-11 14:15:53.449649,4
1f0d-24,2020-10-11 14:12:52.416965,2020-10-11 14:15:52.416965,4
