GUID,Inicio,Fim,Contador
2f0b-265,2020-10-11 14:12:52.732887,2020-10-11 14:15:52.732887,4
2f0b-423,2020-10-11 14:12:52.865233,2020-10-11 14:15:52.865233,1
2f0b-204,2020-10-11 14:12:52.726403,2020-10-11 14:15:52.726403,4
2f0b-239,2020-10-11 14:12:52.731440,2020-10-11 14:15:52.731440,3
2f0b-141,2020-10-11 14:12:52.676862,2020-10-11 14:15:52.676862,6
2f0b-284,2020-10-11 14:12:52.747947,2020-10-11 14:15:52.747947,6
2f0b-170,2020-10-11 14:12:52.701159,2020-10-11 14:15:52.701159,4
2f0b-272,2020-10-11 14:12:53.753092,2020-10-11 14:15:53.753092,5
2f0b-406,2020-10-11 14:12:53.861348,2020-10-11 14:15:53.861348,2
2f0b-238,2020-10-11 14:12:53.766798,2020-10-11 14:15:53.766798,3
2f0b-20,2020-10-11 14:12:53.537517,2020-10-11 14:15:53.537517,5
2f0b-82,2020-10-11 14:12:52.665265,2020-10-11 14:15:52.665265,4
2f0b-359,2020-10-11 14:12:52.800999,2020-10-11 14:15:52.800999,0
2f0b-32,2020-10-11 14:12:52.643580,2020-10-11 14:15:52.643580,5
2f0b-183,2020-10-11 14:12:53.759218,2020-10-11 14:15:53.759218,5
2f0b-472,2020-10-11 14:12:53.957645,2020-10-11 14:15:53.957645,1
2f0b-276,2020-10-11 14:12:53.764900,2020-10-11 14:15:53.764900,4
2f0b-39,2020-10-11 14:12:53.558668,2020-10-11 14:15:53.558668,4
2f0b-350,2020-10-11 14:12:53.785739,2020-10-11 14:15:53.785739,2
2f0b-319,2020-10-11 14:12:52.781867,2020-10-11 14:15:52.781867,4
2f0b-408,2020-10-11 14:12:52.854746,2020-10-11 14:15:52.854746,0
2f0b-269,2020-10-11 14:12:53.675478,2020-10-11 14:15:53.675478,5
2f0b-356,2020-10-11 14:12:53.769628,2020-10-11 14:15:53.769628,0
2f0b-54,2020-10-11 14:12:53.548412,2020-10-11 14:15:53.548412,5
2f0b-446,2020-10-11 14:12:54.783631,2020-10-11 14:15:54.783631,0
2f0b-326,2020-10-11 14:12:52.786703,2020-10-11 14:15:52.786703,4
2f0b-288,2020-10-11 14:12:52.743499,2020-10-11 14:15:52.743499,3
2f0b-236,2020-10-11 14:12:53.754334,2020-10-11 14:15:53.754334,4
2f0b-74,2020-10-11 14:12:53.527673,2020-10-11 14:15:53.527673,3
2f0b-299,2020-10-11 14:12:53.801390,2020-10-11 14:15:53.801390,3
2f0b-179,2020-10-11 14:12:53.677664,2020-10-11 14:15:53.677664,3
2f0b-18,2020-10-11 14:12:52.620808,2020-10-11 14:15:52.620808,4
2f0b-165,2020-10-11 14:12:55.589533,2020-10-11 14:15:55.589533,4
2f0b-496,2020-10-11 14:12:55.895438,2020-10-11 14:15:55.895438,0
2f0b-248,2020-10-11 14:12:53.761959,2020-10-11 14:15:53.761959,5
2f0b-112,2020-10-11 14:12:53.614843,2020-10-11 14:15:53.614843,4
2f0b-211,2020-10-11 14:12:52.729106,2020-10-11 14:15:52.729106,5
2f0b-260,2020-10-11 14:12:52.737332,2020-10-11 14:15:52.737332,4
2f0b-454,2020-10-11 14:12:52.886967,2020-10-11 14:15:52.886967,0
2f0b-245,2020-10-11 14:12:52.729919,2020-10-11 14:15:52.729919,4
2f0b-108,2020-10-11 14:12:53.583956,2020-10-11 14:15:53.583956,5
2f0b-377,2020-10-11 14:12:52.825138,2020-10-11 14:15:52.825138,0
2f0b-474,2020-10-11 14:12:52.912704,2020-10-11 14:15:52.912704,0
2f0b-487,2020-10-11 14:12:55.898700,2020-10-11 14:15:55.898700,0
2f0b-17,2020-10-11 14:12:53.570270,2020-10-11 14:15:53.570270,4
2f0b-380,2020-10-11 14:12:52.817277,2020-10-11 14:15:52.817277,2
2f0b-163,2020-10-11 14:12:53.597876,2020-10-11 14:15:53.597876,4
2f0b-10,2020-10-11 14:12:53.541203,2020-10-11 14:15:53.541203,4
2f0b-388,2020-10-11 14:12:53.881892,2020-10-11 14:15:53.881892,0
2f0b-81,2020-10-11 14:12:52.669349,2020-10-11 14:15:52.669349,4
2f0b-405,2020-10-11 14:12:53.882292,2020-10-11 14:15:53.882292,0
2f0b-309,2020-10-11 14:12:53.835709,2020-10-11 14:15:53.835709,4
2f0b-70,2020-10-11 14:12:53.569034,2020-10-11 14:15:53.569034,3
2f0b-439,2020-10-11 14:12:53.871784,2020-10-11 14:15:53.871784,0
2f0b-479,2020-10-11 14:12:52.912746,2020-10-11 14:15:52.912746,0
2f0b-373,2020-10-11 14:12:55.753815,2020-10-11 14:15:55.753815,0
2f0b-481,2020-10-11 14:12:53.986175,2020-10-11 14:15:53.986175,1
2f0b-305,2020-10-11 14:12:52.758360,2020-10-11 14:15:52.758360,3
2f0b-478,2020-10-11 14:12:52.915292,2020-10-11 14:15:52.915292,0
2f0b-75,2020-10-11 14:12:52.660885,2020-10-11 14:15:52.660885,6
2f0b-225,2020-10-11 14:12:53.674871,2020-10-11 14:15:53.674871,5
2f0b-174,2020-10-11 14:12:53.712563,2020-10-11 14:15:53.712563,5
2f0b-294,2020-10-11 14:12:52.762812,2020-10-11 14:15:52.762812,5
2f0b-445,2020-10-11 14:12:53.874932,2020-10-11 14:15:53.874932,0
2f0b-416,2020-10-11 14:12:52.864867,2020-10-11 14:15:52.864867,2
2f0b-241,2020-10-11 14:12:52.729086,2020-10-11 14:15:52.729086,4
2f0b-44,2020-10-11 14:12:52.638064,2020-10-11 14:15:52.638064,5
2f0b-151,2020-10-11 14:12:53.584656,2020-10-11 14:15:53.584656,3
2f0b-62,2020-10-11 14:12:52.649723,2020-10-11 14:15:52.649723,5
2f0b-123,2020-10-11 14:12:52.680536,2020-10-11 14:15:52.680536,5
2f0b-218,2020-10-11 14:12:53.742651,2020-10-11 14:15:53.742651,3
2f0b-194,2020-10-11 14:12:53.766623,2020-10-11 14:15:53.766623,4
2f0b-171,2020-10-11 14:12:52.697381,2020-10-11 14:15:52.697381,4
2f0b-323,2020-10-11 14:12:52.786447,2020-10-11 14:15:52.786447,5
2f0b-437,2020-10-11 14:12:52.871875,2020-10-11 14:15:52.871875,1
2f0b-426,2020-10-11 14:12:52.878276,2020-10-11 14:15:52.878276,0
2f0b-271,2020-10-11 14:12:52.740245,2020-10-11 14:15:52.740245,4
2f0b-227,2020-10-11 14:12:53.676204,2020-10-11 14:15:53.676204,4
2f0b-243,2020-10-11 14:12:53.765918,2020-10-11 14:15:53.765918,7
2f0b-430,2020-10-11 14:12:53.875658,2020-10-11 14:15:53.875658,0
2f0b-101,2020-10-11 14:12:53.611599,2020-10-11 14:15:53.611599,7
2f0b-220,2020-10-11 14:12:52.727598,2020-10-11 14:15:52.727598,3
2f0b-468,2020-10-11 14:12:53.985190,2020-10-11 14:15:53.985190,1
2f0b-421,2020-10-11 14:12:53.877970,2020-10-11 14:15:53.877970,1
2f0b-360,2020-10-11 14:12:55.738249,2020-10-11 14:15:55.738249,2
2f0b-488,2020-10-11 14:12:52.912641,2020-10-11 14:15:52.912641,0
2f0b-49,2020-10-11 14:12:52.638292,2020-10-11 14:15:52.638292,4
2f0b-394,2020-10-11 14:12:53.873537,2020-10-11 14:15:53.873537,0
2f0b-149,2020-10-11 14:12:53.588693,2020-10-11 14:15:53.588693,4
2f0b-147,2020-10-11 14:12:52.695730,2020-10-11 14:15:52.695730,5
2f0b-193,2020-10-11 14:12:52.717338,2020-10-11 14:15:52.717338,5
2f0b-280,2020-10-11 14:12:53.765053,2020-10-11 14:15:53.765053,4
2f0b-21,2020-10-11 14:12:53.561213,2020-10-11 14:15:53.561213,3
2f0b-91,2020-10-11 14:12:53.610270,2020-10-11 14:15:53.610270,3
2f0b-233,2020-10-11 14:12:53.752902,2020-10-11 14:15:53.752902,5
2f0b-268,2020-10-11 14:12:52.732928,2020-10-11 14:15:52.732928,5
2f0b-480,2020-10-11 14:12:52.907763,2020-10-11 14:15:52.907763,0
2f0b-28,2020-10-11 14:12:52.623881,2020-10-11 14:15:52.623881,6
2f0b-329,2020-10-11 14:12:55.758167,2020-10-11 14:15:55.758167,4
2f0b-107,2020-10-11 14:12:52.676956,2020-10-11 14:15:52.676956,4
2f0b-195,2020-10-11 14:12:52.732403,2020-10-11 14:15:52.732403,4
2f0b-366,2020-10-11 14:12:53.791985,2020-10-11 14:15:53.791985,1
2f0b-64,2020-10-11 14:12:53.534042,2020-10-11 14:15:53.534042,6
2f0b-83,2020-10-11 14:12:53.572451,2020-10-11 14:15:53.572451,5
2f0b-314,2020-10-11 14:12:52.778061,2020-10-11 14:15:52.778061,6
2f0b-346,2020-10-11 14:12:53.794122,2020-10-11 14:15:53.794122,1
2f0b-312,2020-10-11 14:12:52.763193,2020-10-11 14:15:52.763193,4
2f0b-234,2020-10-11 14:12:53.752363,2020-10-11 14:15:53.752363,4
2f0b-116,2020-10-11 14:12:52.681518,2020-10-11 14:15:52.681518,4
2f0b-453,2020-10-11 14:12:52.897990,2020-10-11 14:15:52.897990,0
