GUID,Inicio,Fim,Contador
b61e-255,2020-10-11 14:12:50.805168,2020-10-11 14:15:50.805168,4
b61e-3,2020-10-11 14:12:50.548383,2020-10-11 14:15:50.548383,4
b61e-121,2020-10-11 14:12:50.702888,2020-10-11 14:15:50.702888,4
b61e-378,2020-10-11 14:12:50.990373,2020-10-11 14:15:50.990373,2
b61e-218,2020-10-11 14:12:50.768033,2020-10-11 14:15:50.768033,4
b61e-348,2020-10-11 14:12:50.965900,2020-10-11 14:15:50.965900,0
b61e-221,2020-10-11 14:12:50.778974,2020-10-11 14:15:50.778974,5
b61e-150,2020-10-11 14:12:50.713255,2020-10-11 14:15:50.713255,4
b61e-291,2020-10-11 14:12:50.887734,2020-10-11 14:15:50.887734,4
b61e-33,2020-10-11 14:12:50.567378,2020-10-11 14:15:50.567378,4
b61e-282,2020-10-11 14:12:50.860525,2020-10-11 14:15:50.860525,5
b61e-490,2020-10-11 14:12:51.178748,2020-10-11 14:15:51.178748,0
b61e-346,2020-10-11 14:12:50.935612,2020-10-11 14:15:50.935612,1
b61e-65,2020-10-11 14:12:50.628442,2020-10-11 14:15:50.628442,4
b61e-186,2020-10-11 14:12:50.752279,2020-10-11 14:15:50.752279,4
b61e-258,2020-10-11 14:12:50.810016,2020-10-11 14:15:50.810016,5
b61e-13,2020-10-11 14:12:51.884176,2020-10-11 14:15:51.884176,4
b61e-90,2020-10-11 14:12:50.671278,2020-10-11 14:15:50.671278,4
b61e-102,2020-10-11 14:12:50.673352,2020-10-11 14:15:50.673352,4
b61e-380,2020-10-11 14:12:51.000683,2020-10-11 14:15:51.000683,0
b61e-262,2020-10-11 14:12:50.833436,2020-10-11 14:15:50.833436,5
b61e-432,2020-10-11 14:12:52.142300,2020-10-11 14:15:52.142300,0
b61e-268,2020-10-11 14:12:50.830702,2020-10-11 14:15:50.830702,4
b61e-217,2020-10-11 14:12:50.768225,2020-10-11 14:15:50.768225,5
b61e-101,2020-10-11 14:12:50.676332,2020-10-11 14:15:50.676332,4
b61e-224,2020-10-11 14:12:50.785186,2020-10-11 14:15:50.785186,3
b61e-493,2020-10-11 14:12:51.196019,2020-10-11 14:15:51.196019,1
b61e-433,2020-10-11 14:12:51.102866,2020-10-11 14:15:51.102866,1
b61e-297,2020-10-11 14:12:50.872877,2020-10-11 14:15:50.872877,4
b61e-66,2020-10-11 14:12:53.697673,2020-10-11 14:15:53.697673,4
b61e-273,2020-10-11 14:12:50.848781,2020-10-11 14:15:50.848781,4
b61e-143,2020-10-11 14:12:50.719692,2020-10-11 14:15:50.719692,4
b61e-44,2020-10-11 14:12:50.603774,2020-10-11 14:15:50.603774,4
b61e-67,2020-10-11 14:12:50.621673,2020-10-11 14:15:50.621673,5
b61e-183,2020-10-11 14:12:50.745702,2020-10-11 14:15:50.745702,4
b61e-87,2020-10-11 14:12:50.669708,2020-10-11 14:15:50.669708,4
b61e-28,2020-10-11 14:12:50.575412,2020-10-11 14:15:50.575412,4
b61e-173,2020-10-11 14:12:50.741013,2020-10-11 14:15:50.741013,3
b61e-22,2020-10-11 14:12:53.548108,2020-10-11 14:15:53.548108,5
b61e-14,2020-10-11 14:12:50.545208,2020-10-11 14:15:50.545208,4
b61e-12,2020-10-11 14:12:50.543605,2020-10-11 14:15:50.543605,5
b61e-2,2020-10-11 14:12:50.531061,2020-10-11 14:15:50.531061,5
b61e-118,2020-10-11 14:12:50.700200,2020-10-11 14:15:50.700200,5
b61e-246,2020-10-11 14:12:50.805066,2020-10-11 14:15:50.805066,6
b61e-50,2020-10-11 14:12:50.607410,2020-10-11 14:15:50.607410,3
b61e-71,2020-10-11 14:12:50.632689,2020-10-11 14:15:50.632689,6
b61e-98,2020-10-11 14:12:50.663177,2020-10-11 14:15:50.663177,5
b61e-252,2020-10-11 14:12:50.815967,2020-10-11 14:15:50.815967,4
b61e-458,2020-10-11 14:12:51.131086,2020-10-11 14:15:51.131086,0
b61e-41,2020-10-11 14:12:50.590373,2020-10-11 14:15:50.590373,4
b61e-195,2020-10-11 14:12:50.758101,2020-10-11 14:15:50.758101,4
b61e-82,2020-10-11 14:12:50.661719,2020-10-11 14:15:50.661719,3
b61e-99,2020-10-11 14:12:50.679303,2020-10-11 14:15:50.679303,4
b61e-120,2020-10-11 14:12:53.794268,2020-10-11 14:15:53.794268,6
b61e-226,2020-10-11 14:12:50.780068,2020-10-11 14:15:50.780068,3
b61e-236,2020-10-11 14:12:50.789979,2020-10-11 14:15:50.789979,4
b61e-97,2020-10-11 14:12:50.665829,2020-10-11 14:15:50.665829,3
b61e-321,2020-10-11 14:12:50.891828,2020-10-11 14:15:50.891828,3
b61e-253,2020-10-11 14:12:50.815338,2020-10-11 14:15:50.815338,5
b61e-146,2020-10-11 14:12:50.723180,2020-10-11 14:15:50.723180,4
b61e-446,2020-10-11 14:12:51.101685,2020-10-11 14:15:51.101685,1
b61e-439,2020-10-11 14:12:51.097160,2020-10-11 14:15:51.097160,0
