GUID,Inicio,Fim,Contador
c4f8-352,2020-10-11 14:12:52.081492,2020-10-11 14:15:52.081492,0
c4f8-435,2020-10-11 14:12:52.149227,2020-10-11 14:15:52.149227,1
c4f8-439,2020-10-11 14:12:52.171414,2020-10-11 14:15:52.171414,0
c4f8-346,2020-10-11 14:12:52.073659,2020-10-11 14:15:52.073659,1
c4f8-267,2020-10-11 14:12:51.988908,2020-10-11 14:15:51.988908,3
c4f8-343,2020-10-11 14:12:52.055475,2020-10-11 14:15:52.055475,1
c4f8-44,2020-10-11 14:12:51.807322,2020-10-11 14:15:51.807322,4
c4f8-60,2020-10-11 14:12:51.817959,2020-10-11 14:15:51.817959,4
c4f8-40,2020-10-11 14:12:51.775699,2020-10-11 14:15:51.775699,5
c4f8-322,2020-10-11 14:12:52.037132,2020-10-11 14:15:52.037132,4
c4f8-445,2020-10-11 14:12:52.940933,2020-10-11 14:15:52.940933,0
c4f8-6,2020-10-11 14:12:54.635030,2020-10-11 14:15:54.635030,3
c4f8-304,2020-10-11 14:12:52.880773,2020-10-11 14:15:52.880773,3
c4f8-367,2020-10-11 14:12:52.096233,2020-10-11 14:15:52.096233,0
c4f8-77,2020-10-11 14:12:51.837751,2020-10-11 14:15:51.837751,5
c4f8-359,2020-10-11 14:12:52.075441,2020-10-11 14:15:52.075441,1
c4f8-408,2020-10-11 14:12:54.898735,2020-10-11 14:15:54.898735,1
c4f8-319,2020-10-11 14:12:52.871160,2020-10-11 14:15:52.871160,3
c4f8-139,2020-10-11 14:12:51.891138,2020-10-11 14:15:51.891138,4
c4f8-225,2020-10-11 14:12:54.750523,2020-10-11 14:15:54.750523,5
c4f8-420,2020-10-11 14:12:54.919907,2020-10-11 14:15:54.919907,1
c4f8-106,2020-10-11 14:12:51.871459,2020-10-11 14:15:51.871459,5
c4f8-344,2020-10-11 14:12:54.815413,2020-10-11 14:15:54.815413,0
c4f8-80,2020-10-11 14:12:51.844879,2020-10-11 14:15:51.844879,5
c4f8-246,2020-10-11 14:12:54.772494,2020-10-11 14:15:54.772494,4
c4f8-422,2020-10-11 14:12:52.943054,2020-10-11 14:15:52.943054,1
c4f8-421,2020-10-11 14:12:54.899062,2020-10-11 14:15:54.899062,0
c4f8-213,2020-10-11 14:12:54.773347,2020-10-11 14:15:54.773347,4
c4f8-453,2020-10-11 14:12:54.921601,2020-10-11 14:15:54.921601,3
c4f8-14,2020-10-11 14:12:54.630211,2020-10-11 14:15:54.630211,5
c4f8-220,2020-10-11 14:12:54.759593,2020-10-11 14:15:54.759593,4
c4f8-27,2020-10-11 14:12:51.781587,2020-10-11 14:15:51.781587,5
c4f8-441,2020-10-11 14:12:52.177059,2020-10-11 14:15:52.177059,0
c4f8-451,2020-10-11 14:12:54.927666,2020-10-11 14:15:54.927666,1
c4f8-282,2020-10-11 14:12:52.006306,2020-10-11 14:15:52.006306,5
c4f8-217,2020-10-11 14:12:54.742711,2020-10-11 14:15:54.742711,4
c4f8-485,2020-10-11 14:12:52.207866,2020-10-11 14:15:52.207866,0
c4f8-228,2020-10-11 14:12:51.967509,2020-10-11 14:15:51.967509,5
c4f8-342,2020-10-11 14:12:52.874546,2020-10-11 14:15:52.874546,1
c4f8-464,2020-10-11 14:12:54.942832,2020-10-11 14:15:54.942832,1
c4f8-388,2020-10-11 14:12:52.117077,2020-10-11 14:15:52.117077,0
c4f8-13,2020-10-11 14:12:51.750270,2020-10-11 14:15:51.750270,4
c4f8-223,2020-10-11 14:12:54.761102,2020-10-11 14:15:54.761102,4
c4f8-466,2020-10-11 14:12:53.014844,2020-10-11 14:15:53.014844,0
c4f8-407,2020-10-11 14:12:54.919999,2020-10-11 14:15:54.919999,0
c4f8-138,2020-10-11 14:12:54.705010,2020-10-11 14:15:54.705010,4
c4f8-170,2020-10-11 14:12:52.833776,2020-10-11 14:15:52.833776,4
c4f8-397,2020-10-11 14:12:52.122776,2020-10-11 14:15:52.122776,1
c4f8-284,2020-10-11 14:12:54.810945,2020-10-11 14:15:54.810945,5
c4f8-155,2020-10-11 14:12:51.925929,2020-10-11 14:15:51.925929,5
c4f8-163,2020-10-11 14:12:52.836205,2020-10-11 14:15:52.836205,6
