GUID,Inicio,Fim,Contador
c537-15,2020-10-11 14:12:50.110824,2020-10-11 14:15:50.110824,3
c537-7,2020-10-11 14:12:50.125839,2020-10-11 14:15:50.125839,4
c537-10,2020-10-11 14:12:50.105379,2020-10-11 14:15:50.105379,4
c537-14,2020-10-11 14:12:50.108812,2020-10-11 14:15:50.108812,4
c537-41,2020-10-11 14:12:50.148360,2020-10-11 14:15:50.148360,7
c537-85,2020-10-11 14:12:50.212347,2020-10-11 14:15:50.212347,4
c537-166,2020-10-11 14:12:50.275905,2020-10-11 14:15:50.275905,4
c537-21,2020-10-11 14:12:50.125803,2020-10-11 14:15:50.125803,4
c537-73,2020-10-11 14:12:50.174840,2020-10-11 14:15:50.174840,4
c537-421,2020-10-11 14:12:50.759720,2020-10-11 14:15:50.759720,1
c537-125,2020-10-11 14:12:50.246558,2020-10-11 14:15:50.246558,4
c537-364,2020-10-11 14:12:50.690881,2020-10-11 14:15:50.690881,0
c537-164,2020-10-11 14:12:50.261897,2020-10-11 14:15:50.261897,4
c537-470,2020-10-11 14:12:50.828693,2020-10-11 14:15:50.828693,1
c537-100,2020-10-11 14:12:50.224379,2020-10-11 14:15:50.224379,5
c537-157,2020-10-11 14:12:50.269698,2020-10-11 14:15:50.269698,4
c537-322,2020-10-11 14:12:50.589526,2020-10-11 14:15:50.589526,3
c537-496,2020-10-11 14:12:50.867923,2020-10-11 14:15:50.867923,1
c537-258,2020-10-11 14:12:50.414886,2020-10-11 14:15:50.414886,4
c537-479,2020-10-11 14:12:50.854092,2020-10-11 14:15:50.854092,1
c537-124,2020-10-11 14:12:50.226448,2020-10-11 14:15:50.226448,4
c537-463,2020-10-11 14:12:50.802017,2020-10-11 14:15:50.802017,2
c537-256,2020-10-11 14:12:50.398235,2020-10-11 14:15:50.398235,4
c537-110,2020-10-11 14:12:50.237922,2020-10-11 14:15:50.237922,4
c537-320,2020-10-11 14:12:50.606742,2020-10-11 14:15:50.606742,4
c537-185,2020-10-11 14:12:50.296835,2020-10-11 14:15:50.296835,4
c537-202,2020-10-11 14:12:50.319496,2020-10-11 14:15:50.319496,3
c537-326,2020-10-11 14:12:50.589742,2020-10-11 14:15:50.589742,3
c537-57,2020-10-11 14:12:50.172535,2020-10-11 14:15:50.172535,3
c537-142,2020-10-11 14:12:50.254347,2020-10-11 14:15:50.254347,4
c537-69,2020-10-11 14:12:50.197861,2020-10-11 14:15:50.197861,4
c537-406,2020-10-11 14:12:50.742183,2020-10-11 14:15:50.742183,2
c537-89,2020-10-11 14:12:50.219897,2020-10-11 14:15:50.219897,5
c537-180,2020-10-11 14:12:50.292080,2020-10-11 14:15:50.292080,4
c537-319,2020-10-11 14:12:50.577158,2020-10-11 14:15:50.577158,4
c537-395,2020-10-11 14:12:51.858869,2020-10-11 14:15:51.858869,0
c537-429,2020-10-11 14:12:50.757604,2020-10-11 14:15:50.757604,1
c537-325,2020-10-11 14:12:50.625759,2020-10-11 14:15:50.625759,5
c537-433,2020-10-11 14:12:50.763638,2020-10-11 14:15:50.763638,1
c537-227,2020-10-11 14:12:50.356435,2020-10-11 14:15:50.356435,5
c537-234,2020-10-11 14:12:50.378681,2020-10-11 14:15:50.378681,4
c537-233,2020-10-11 14:12:50.365526,2020-10-11 14:15:50.365526,5
c537-271,2020-10-11 14:12:50.463168,2020-10-11 14:15:50.463168,4
c537-250,2020-10-11 14:12:50.397740,2020-10-11 14:15:50.397740,3
c537-45,2020-10-11 14:12:50.161619,2020-10-11 14:15:50.161619,5
c537-35,2020-10-11 14:12:50.145867,2020-10-11 14:15:50.145867,3
c537-91,2020-10-11 14:12:50.204935,2020-10-11 14:15:50.204935,4
c537-321,2020-10-11 14:12:50.635719,2020-10-11 14:15:50.635719,6
c537-290,2020-10-11 14:12:50.515886,2020-10-11 14:15:50.515886,4
c537-138,2020-10-11 14:12:50.242735,2020-10-11 14:15:50.242735,4
c537-203,2020-10-11 14:12:50.323756,2020-10-11 14:15:50.323756,4
c537-174,2020-10-11 14:12:50.273233,2020-10-11 14:15:50.273233,5
c537-318,2020-10-11 14:12:50.571747,2020-10-11 14:15:50.571747,5
c537-279,2020-10-11 14:12:50.480690,2020-10-11 14:15:50.480690,4
c537-312,2020-10-11 14:12:51.870628,2020-10-11 14:15:51.870628,4
c537-188,2020-10-11 14:12:50.295895,2020-10-11 14:15:50.295895,3
c537-348,2020-10-11 14:12:50.655276,2020-10-11 14:15:50.655276,0
c537-240,2020-10-11 14:12:50.375345,2020-10-11 14:15:50.375345,3
c537-16,2020-10-11 14:12:50.126536,2020-10-11 14:15:50.126536,4
c537-295,2020-10-11 14:12:50.529245,2020-10-11 14:15:50.529245,3
c537-407,2020-10-11 14:12:50.732630,2020-10-11 14:15:50.732630,3
c537-329,2020-10-11 14:12:50.631087,2020-10-11 14:15:50.631087,5
c537-286,2020-10-11 14:12:50.510860,2020-10-11 14:15:50.510860,5
c537-328,2020-10-11 14:12:50.594123,2020-10-11 14:15:50.594123,5
c537-431,2020-10-11 14:12:50.757947,2020-10-11 14:15:50.757947,3
c537-199,2020-10-11 14:12:50.297797,2020-10-11 14:15:50.297797,5
c537-356,2020-10-11 14:12:50.675070,2020-10-11 14:15:50.675070,1
c537-141,2020-10-11 14:12:50.246647,2020-10-11 14:15:50.246647,5
c537-184,2020-10-11 14:12:50.295957,2020-10-11 14:15:50.295957,4
c537-497,2020-10-11 14:12:50.877303,2020-10-11 14:15:50.877303,0
c537-172,2020-10-11 14:12:50.287598,2020-10-11 14:15:50.287598,5
c537-370,2020-10-11 14:12:50.712735,2020-10-11 14:15:50.712735,0
c537-178,2020-10-11 14:12:50.286748,2020-10-11 14:15:50.286748,4
c537-477,2020-10-11 14:12:50.845989,2020-10-11 14:15:50.845989,0
c537-200,2020-10-11 14:12:50.312672,2020-10-11 14:15:50.312672,4
c537-66,2020-10-11 14:12:50.200391,2020-10-11 14:15:50.200391,3
c537-434,2020-10-11 14:12:50.768973,2020-10-11 14:15:50.768973,1
c537-77,2020-10-11 14:12:50.197294,2020-10-11 14:15:50.197294,4
c537-389,2020-10-11 14:12:50.719298,2020-10-11 14:15:50.719298,0
c537-140,2020-10-11 14:12:50.255868,2020-10-11 14:15:50.255868,4
c537-472,2020-10-11 14:12:50.830744,2020-10-11 14:15:50.830744,1
c537-197,2020-10-11 14:12:50.308691,2020-10-11 14:15:50.308691,5
c537-32,2020-10-11 14:12:50.144152,2020-10-11 14:15:50.144152,4
c537-404,2020-10-11 14:12:50.737992,2020-10-11 14:15:50.737992,0
c537-339,2020-10-11 14:12:50.655323,2020-10-11 14:15:50.655323,1
c537-409,2020-10-11 14:12:50.745323,2020-10-11 14:15:50.745323,1
c537-135,2020-10-11 14:12:50.248212,2020-10-11 14:15:50.248212,5
c537-379,2020-10-11 14:12:57.752080,2020-10-11 14:15:57.752080,0
c537-244,2020-10-11 14:12:50.396179,2020-10-11 14:15:50.396179,4
c537-158,2020-10-11 14:12:50.267748,2020-10-11 14:15:50.267748,5
c537-245,2020-10-11 14:12:50.394303,2020-10-11 14:15:50.394303,4
c537-219,2020-10-11 14:12:50.344364,2020-10-11 14:15:50.344364,5
c537-331,2020-10-11 14:12:50.635268,2020-10-11 14:15:50.635268,5
c537-3,2020-10-11 14:12:50.115092,2020-10-11 14:15:50.115092,3
c537-71,2020-10-11 14:12:50.166943,2020-10-11 14:15:50.166943,3
c537-263,2020-10-11 14:12:50.413998,2020-10-11 14:15:50.413998,3
c537-335,2020-10-11 14:12:50.631201,2020-10-11 14:15:50.631201,4
c537-30,2020-10-11 14:12:50.145304,2020-10-11 14:15:50.145304,4
c537-251,2020-10-11 14:12:50.401264,2020-10-11 14:15:50.401264,5
c537-27,2020-10-11 14:12:50.128331,2020-10-11 14:15:50.128331,4
c537-285,2020-10-11 14:12:50.493089,2020-10-11 14:15:50.493089,4
c537-8,2020-10-11 14:12:50.123596,2020-10-11 14:15:50.123596,4
c537-20,2020-10-11 14:12:50.137523,2020-10-11 14:15:50.137523,4
c537-324,2020-10-11 14:12:50.608317,2020-10-11 14:15:50.608317,4
c537-177,2020-10-11 14:12:50.289215,2020-10-11 14:15:50.289215,4
c537-121,2020-10-11 14:12:50.236740,2020-10-11 14:15:50.236740,4
c537-462,2020-10-11 14:12:50.806987,2020-10-11 14:15:50.806987,2
