GUID,Inicio,Fim,Contador
04ef-22,2020-10-09 23:19:58.687056,2020-10-09 23:22:58.687056,4
04ef-10,2020-10-09 23:19:58.657398,2020-10-09 23:22:58.657398,4
04ef-29,2020-10-09 23:19:58.655817,2020-10-09 23:22:58.655817,3
04ef-68,2020-10-09 23:19:58.677591,2020-10-09 23:22:58.677591,5
04ef-23,2020-10-09 23:19:58.659068,2020-10-09 23:22:58.659068,4
04ef-97,2020-10-09 23:19:58.704353,2020-10-09 23:22:58.704353,6
04ef-57,2020-10-09 23:19:58.681386,2020-10-09 23:22:58.681386,5
04ef-18,2020-10-09 23:19:58.661284,2020-10-09 23:22:58.661284,4
04ef-78,2020-10-09 23:19:58.702738,2020-10-09 23:22:58.702738,4
04ef-45,2020-10-09 23:19:58.685834,2020-10-09 23:22:58.685834,5
04ef-72,2020-10-09 23:19:58.699304,2020-10-09 23:22:58.699304,5
04ef-53,2020-10-09 23:19:58.687698,2020-10-09 23:22:58.687698,4
04ef-1,2020-10-09 23:19:58.657304,2020-10-09 23:22:58.657304,4
04ef-48,2020-10-09 23:19:58.664426,2020-10-09 23:22:58.664426,5
04ef-42,2020-10-09 23:19:58.657541,2020-10-09 23:22:58.657541,5
04ef-8,2020-10-09 23:19:58.647662,2020-10-09 23:22:58.647662,4
04ef-75,2020-10-09 23:19:58.701691,2020-10-09 23:22:58.701691,5
04ef-59,2020-10-09 23:19:58.699640,2020-10-09 23:22:58.699640,6
04ef-73,2020-10-09 23:19:58.701739,2020-10-09 23:22:58.701739,5
04ef-36,2020-10-09 23:19:58.689264,2020-10-09 23:22:58.689264,8
04ef-89,2020-10-09 23:19:58.717572,2020-10-09 23:22:58.717572,4
04ef-79,2020-10-09 23:19:58.700772,2020-10-09 23:22:58.700772,4
04ef-99,2020-10-09 23:19:58.704147,2020-10-09 23:22:58.704147,6
04ef-77,2020-10-09 23:19:58.705508,2020-10-09 23:22:58.705508,7
04ef-81,2020-10-09 23:19:58.693465,2020-10-09 23:22:58.693465,6
04ef-80,2020-10-09 23:19:58.691298,2020-10-09 23:22:58.691298,4
04ef-35,2020-10-09 23:19:58.699204,2020-10-09 23:22:58.699204,5
04ef-28,2020-10-09 23:19:58.679269,2020-10-09 23:22:58.679269,5
04ef-74,2020-10-09 23:19:58.686210,2020-10-09 23:22:58.686210,4
04ef-61,2020-10-09 23:19:58.699589,2020-10-09 23:22:58.699589,4
04ef-63,2020-10-09 23:19:58.698091,2020-10-09 23:22:58.698091,4
04ef-83,2020-10-09 23:19:58.693275,2020-10-09 23:22:58.693275,3
04ef-31,2020-10-09 23:19:58.684499,2020-10-09 23:22:58.684499,4
04ef-86,2020-10-09 23:19:58.713662,2020-10-09 23:22:58.713662,4
04ef-84,2020-10-09 23:19:58.714940,2020-10-09 23:22:58.714940,4
04ef-16,2020-10-09 23:19:58.637229,2020-10-09 23:22:58.637229,5
04ef-51,2020-10-09 23:19:58.696856,2020-10-09 23:22:58.696856,3
04ef-33,2020-10-09 23:19:58.697430,2020-10-09 23:22:58.697430,4
04ef-60,2020-10-09 23:19:58.688214,2020-10-09 23:22:58.688214,6
04ef-82,2020-10-09 23:19:58.705581,2020-10-09 23:22:58.705581,5
04ef-88,2020-10-09 23:19:58.713119,2020-10-09 23:22:58.713119,5
04ef-69,2020-10-09 23:19:58.704096,2020-10-09 23:22:58.704096,4
04ef-92,2020-10-09 23:19:58.713332,2020-10-09 23:22:58.713332,4
04ef-67,2020-10-09 23:19:58.706377,2020-10-09 23:22:58.706377,3
04ef-43,2020-10-09 23:19:58.694712,2020-10-09 23:22:58.694712,3
04ef-38,2020-10-09 23:19:58.669822,2020-10-09 23:22:58.669822,5
04ef-21,2020-10-09 23:19:58.667666,2020-10-09 23:22:58.667666,3
04ef-93,2020-10-09 23:19:58.712592,2020-10-09 23:22:58.712592,4
04ef-44,2020-10-09 23:19:58.678854,2020-10-09 23:22:58.678854,4
04ef-58,2020-10-09 23:19:58.680624,2020-10-09 23:22:58.680624,6
