GUID,Inicio,Fim,Contador
c75c-32,2020-10-09 23:19:59.901873,2020-10-09 23:22:59.901873,4
c75c-59,2020-10-09 23:19:59.875003,2020-10-09 23:22:59.875003,4
c75c-36,2020-10-09 23:19:59.894679,2020-10-09 23:22:59.894679,4
c75c-75,2020-10-09 23:19:59.857447,2020-10-09 23:22:59.857447,3
c75c-55,2020-10-09 23:19:59.885509,2020-10-09 23:22:59.885509,3
c75c-58,2020-10-09 23:19:59.875804,2020-10-09 23:22:59.875804,4
c75c-88,2020-10-09 23:19:59.883252,2020-10-09 23:22:59.883252,4
c75c-67,2020-10-09 23:19:59.876320,2020-10-09 23:22:59.876320,4
c75c-64,2020-10-09 23:19:59.906671,2020-10-09 23:22:59.906671,3
c75c-45,2020-10-09 23:19:59.914546,2020-10-09 23:22:59.914546,4
c75c-86,2020-10-09 23:19:59.901450,2020-10-09 23:22:59.901450,6
c75c-41,2020-10-09 23:19:59.876855,2020-10-09 23:22:59.876855,4
c75c-65,2020-10-09 23:19:59.871835,2020-10-09 23:22:59.871835,4
c75c-77,2020-10-09 23:19:59.875062,2020-10-09 23:22:59.875062,4
c75c-23,2020-10-09 23:19:59.878489,2020-10-09 23:22:59.878489,5
c75c-73,2020-10-09 23:19:59.909649,2020-10-09 23:22:59.909649,4
c75c-37,2020-10-09 23:19:59.853959,2020-10-09 23:22:59.853959,6
c75c-8,2020-10-09 23:19:59.832825,2020-10-09 23:22:59.832825,6
c75c-85,2020-10-09 23:19:59.886132,2020-10-09 23:22:59.886132,4
c75c-4,2020-10-09 23:19:59.827363,2020-10-09 23:22:59.827363,4
c75c-19,2020-10-09 23:19:59.856458,2020-10-09 23:22:59.856458,5
c75c-89,2020-10-09 23:19:59.913357,2020-10-09 23:22:59.913357,4
c75c-70,2020-10-09 23:19:59.901963,2020-10-09 23:22:59.901963,4
c75c-47,2020-10-09 23:19:59.896785,2020-10-09 23:22:59.896785,4
c75c-54,2020-10-09 23:19:59.890367,2020-10-09 23:22:59.890367,5
c75c-5,2020-10-09 23:19:59.832125,2020-10-09 23:22:59.832125,4
c75c-56,2020-10-09 23:19:59.873076,2020-10-09 23:22:59.873076,4
c75c-87,2020-10-09 23:19:59.862447,2020-10-09 23:22:59.862447,4
c75c-69,2020-10-09 23:19:59.914944,2020-10-09 23:22:59.914944,4
c75c-10,2020-10-09 23:19:59.834612,2020-10-09 23:22:59.834612,3
c75c-91,2020-10-09 23:19:59.906341,2020-10-09 23:22:59.906341,4
c75c-61,2020-10-09 23:19:59.887250,2020-10-09 23:22:59.887250,6
c75c-3,2020-10-09 23:19:59.819337,2020-10-09 23:22:59.819337,5
c75c-92,2020-10-09 23:19:59.896626,2020-10-09 23:22:59.896626,4
c75c-49,2020-10-09 23:19:59.871560,2020-10-09 23:22:59.871560,6
c75c-30,2020-10-09 23:19:59.915176,2020-10-09 23:22:59.915176,4
c75c-39,2020-10-09 23:19:59.904253,2020-10-09 23:22:59.904253,3
c75c-80,2020-10-09 23:19:59.907372,2020-10-09 23:22:59.907372,4
c75c-46,2020-10-09 23:19:59.896827,2020-10-09 23:22:59.896827,4
c75c-63,2020-10-09 23:19:59.891150,2020-10-09 23:22:59.891150,6
c75c-74,2020-10-09 23:19:59.890772,2020-10-09 23:22:59.890772,4
c75c-25,2020-10-09 23:19:59.914642,2020-10-09 23:22:59.914642,5
c75c-0,2020-10-09 23:19:59.817578,2020-10-09 23:22:59.817578,4
c75c-11,2020-10-09 23:19:59.836540,2020-10-09 23:22:59.836540,5
c75c-96,2020-10-09 23:19:59.914158,2020-10-09 23:22:59.914158,6
c75c-60,2020-10-09 23:19:59.914691,2020-10-09 23:22:59.914691,6
c75c-99,2020-10-09 23:19:59.911049,2020-10-09 23:22:59.911049,4
c75c-2,2020-10-09 23:19:59.817826,2020-10-09 23:22:59.817826,6
c75c-29,2020-10-09 23:19:59.884485,2020-10-09 23:22:59.884485,4
c75c-57,2020-10-09 23:19:59.903504,2020-10-09 23:22:59.903504,6
c75c-95,2020-10-09 23:19:59.865944,2020-10-09 23:22:59.865944,5
c75c-42,2020-10-09 23:19:59.911001,2020-10-09 23:22:59.911001,4
c75c-6,2020-10-09 23:19:59.838903,2020-10-09 23:22:59.838903,4
c75c-26,2020-10-09 23:19:59.876549,2020-10-09 23:22:59.876549,4
