GUID,Inicio,Fim,Contador
cd55-29,2020-10-09 23:19:58.103030,2020-10-09 23:22:58.103030,4
cd55-72,2020-10-09 23:19:58.121323,2020-10-09 23:22:58.121323,4
cd55-79,2020-10-09 23:19:58.143137,2020-10-09 23:22:58.143137,7
cd55-92,2020-10-09 23:19:58.154039,2020-10-09 23:22:58.154039,6
cd55-30,2020-10-09 23:19:58.123714,2020-10-09 23:22:58.123714,4
cd55-41,2020-10-09 23:19:58.108271,2020-10-09 23:22:58.108271,4
cd55-15,2020-10-09 23:19:58.073715,2020-10-09 23:22:58.073715,3
cd55-32,2020-10-09 23:19:58.101122,2020-10-09 23:22:58.101122,3
cd55-40,2020-10-09 23:19:58.119239,2020-10-09 23:22:58.119239,4
cd55-47,2020-10-09 23:19:58.120845,2020-10-09 23:22:58.120845,5
cd55-95,2020-10-09 23:19:58.155548,2020-10-09 23:22:58.155548,5
cd55-0,2020-10-09 23:19:58.074109,2020-10-09 23:22:58.074109,7
cd55-44,2020-10-09 23:19:58.109715,2020-10-09 23:22:58.109715,4
cd55-76,2020-10-09 23:19:58.132785,2020-10-09 23:22:58.132785,4
cd55-20,2020-10-09 23:19:58.099619,2020-10-09 23:22:58.099619,5
cd55-62,2020-10-09 23:19:58.130618,2020-10-09 23:22:58.130618,5
cd55-50,2020-10-09 23:19:58.100057,2020-10-09 23:22:58.100057,4
cd55-33,2020-10-09 23:19:58.131165,2020-10-09 23:22:58.131165,5
cd55-99,2020-10-09 23:19:58.154601,2020-10-09 23:22:58.154601,3
cd55-36,2020-10-09 23:19:58.100929,2020-10-09 23:22:58.100929,5
cd55-97,2020-10-09 23:19:58.155306,2020-10-09 23:22:58.155306,5
cd55-21,2020-10-09 23:19:58.110747,2020-10-09 23:22:58.110747,5
cd55-37,2020-10-09 23:19:58.102650,2020-10-09 23:22:58.102650,3
cd55-9,2020-10-09 23:19:58.066175,2020-10-09 23:22:58.066175,4
cd55-74,2020-10-09 23:19:58.122592,2020-10-09 23:22:58.122592,3
cd55-77,2020-10-09 23:19:58.127473,2020-10-09 23:22:58.127473,5
cd55-2,2020-10-09 23:19:58.068939,2020-10-09 23:22:58.068939,4
cd55-34,2020-10-09 23:19:58.101358,2020-10-09 23:22:58.101358,4
cd55-39,2020-10-09 23:19:58.115622,2020-10-09 23:22:58.115622,4
cd55-42,2020-10-09 23:19:58.117739,2020-10-09 23:22:58.117739,5
cd55-3,2020-10-09 23:19:58.062794,2020-10-09 23:22:58.062794,4
cd55-82,2020-10-09 23:19:58.140851,2020-10-09 23:22:58.140851,4
cd55-53,2020-10-09 23:19:58.091344,2020-10-09 23:22:58.091344,4
cd55-49,2020-10-09 23:19:58.106079,2020-10-09 23:22:58.106079,4
cd55-48,2020-10-09 23:19:58.125419,2020-10-09 23:22:58.125419,6
