GUID,Inicio,Fim,Contador
eb05-83,2020-10-09 23:19:59.306457,2020-10-09 23:22:59.306457,4
eb05-69,2020-10-09 23:19:59.270141,2020-10-09 23:22:59.270141,4
eb05-78,2020-10-09 23:19:59.308943,2020-10-09 23:22:59.308943,4
eb05-51,2020-10-09 23:19:59.284420,2020-10-09 23:22:59.284420,4
eb05-60,2020-10-09 23:19:59.265747,2020-10-09 23:22:59.265747,3
eb05-53,2020-10-09 23:19:59.277412,2020-10-09 23:22:59.277412,3
eb05-2,2020-10-09 23:19:59.232459,2020-10-09 23:22:59.232459,5
eb05-10,2020-10-09 23:19:59.221304,2020-10-09 23:22:59.221304,5
eb05-56,2020-10-09 23:19:59.294950,2020-10-09 23:22:59.294950,4
eb05-95,2020-10-09 23:19:59.318234,2020-10-09 23:22:59.318234,4
eb05-90,2020-10-09 23:19:59.306553,2020-10-09 23:22:59.306553,5
eb05-12,2020-10-09 23:19:59.233460,2020-10-09 23:22:59.233460,5
eb05-49,2020-10-09 23:19:59.290494,2020-10-09 23:22:59.290494,4
eb05-16,2020-10-09 23:19:59.239652,2020-10-09 23:22:59.239652,5
eb05-41,2020-10-09 23:19:59.272297,2020-10-09 23:22:59.272297,4
eb05-59,2020-10-09 23:19:59.281836,2020-10-09 23:22:59.281836,3
eb05-6,2020-10-09 23:19:59.215866,2020-10-09 23:22:59.215866,4
eb05-75,2020-10-09 23:19:59.293953,2020-10-09 23:22:59.293953,3
eb05-24,2020-10-09 23:19:59.266193,2020-10-09 23:22:59.266193,5
eb05-46,2020-10-09 23:19:59.266641,2020-10-09 23:22:59.266641,4
eb05-25,2020-10-09 23:19:59.272779,2020-10-09 23:22:59.272779,4
eb05-99,2020-10-09 23:19:59.312388,2020-10-09 23:22:59.312388,5
eb05-97,2020-10-09 23:19:59.309006,2020-10-09 23:22:59.309006,5
eb05-52,2020-10-09 23:19:59.272529,2020-10-09 23:22:59.272529,4
eb05-11,2020-10-09 23:19:59.235333,2020-10-09 23:22:59.235333,5
eb05-77,2020-10-09 23:19:59.301386,2020-10-09 23:22:59.301386,5
eb05-58,2020-10-09 23:19:59.298193,2020-10-09 23:22:59.298193,6
eb05-17,2020-10-09 23:19:59.238323,2020-10-09 23:22:59.238323,4
eb05-79,2020-10-09 23:19:59.305311,2020-10-09 23:22:59.305311,4
eb05-74,2020-10-09 23:19:59.290566,2020-10-09 23:22:59.290566,5
eb05-72,2020-10-09 23:19:59.296680,2020-10-09 23:22:59.296680,5
eb05-82,2020-10-09 23:19:59.307772,2020-10-09 23:22:59.307772,4
eb05-42,2020-10-09 23:19:59.258124,2020-10-09 23:22:59.258124,3
eb05-43,2020-10-09 23:19:59.274844,2020-10-09 23:22:59.274844,4
eb05-26,2020-10-09 23:19:59.271141,2020-10-09 23:22:59.271141,4
eb05-23,2020-10-09 23:19:59.255543,2020-10-09 23:22:59.255543,4
eb05-68,2020-10-09 23:19:59.283962,2020-10-09 23:22:59.283962,4
eb05-88,2020-10-09 23:19:59.302617,2020-10-09 23:22:59.302617,3
eb05-28,2020-10-09 23:19:59.273627,2020-10-09 23:22:59.273627,4
eb05-19,2020-10-09 23:19:59.240602,2020-10-09 23:22:59.240602,5
eb05-96,2020-10-09 23:19:59.316645,2020-10-09 23:22:59.316645,6
eb05-20,2020-10-09 23:19:59.267673,2020-10-09 23:22:59.267673,4
eb05-61,2020-10-09 23:19:59.294167,2020-10-09 23:22:59.294167,4
eb05-50,2020-10-09 23:19:59.280178,2020-10-09 23:22:59.280178,5
eb05-27,2020-10-09 23:19:59.290545,2020-10-09 23:22:59.290545,4
eb05-29,2020-10-09 23:19:59.299318,2020-10-09 23:22:59.299318,4
eb05-1,2020-10-09 23:19:59.228472,2020-10-09 23:22:59.228472,4
eb05-0,2020-10-09 23:19:59.216363,2020-10-09 23:22:59.216363,6
eb05-18,2020-10-09 23:19:59.236387,2020-10-09 23:22:59.236387,4
eb05-44,2020-10-09 23:19:59.270789,2020-10-09 23:22:59.270789,5
eb05-91,2020-10-09 23:19:59.306493,2020-10-09 23:22:59.306493,4
eb05-47,2020-10-09 23:19:59.274398,2020-10-09 23:22:59.274398,5
eb05-86,2020-10-09 23:19:59.309116,2020-10-09 23:22:59.309116,5
eb05-30,2020-10-09 23:19:59.273214,2020-10-09 23:22:59.273214,5
eb05-55,2020-10-09 23:19:59.302966,2020-10-09 23:22:59.302966,3
eb05-39,2020-10-09 23:19:59.294285,2020-10-09 23:22:59.294285,5
eb05-31,2020-10-09 23:19:59.284283,2020-10-09 23:22:59.284283,5
eb05-21,2020-10-09 23:19:59.295367,2020-10-09 23:22:59.295367,4
eb05-14,2020-10-09 23:19:59.224690,2020-10-09 23:22:59.224690,5
eb05-5,2020-10-09 23:19:59.237760,2020-10-09 23:22:59.237760,6
eb05-71,2020-10-09 23:19:59.287111,2020-10-09 23:22:59.287111,5
eb05-92,2020-10-09 23:19:59.307342,2020-10-09 23:22:59.307342,5
eb05-94,2020-10-09 23:19:59.321243,2020-10-09 23:22:59.321243,3
eb05-73,2020-10-09 23:19:59.286571,2020-10-09 23:22:59.286571,4
eb05-89,2020-10-09 23:19:59.312028,2020-10-09 23:22:59.312028,6
eb05-15,2020-10-09 23:19:59.239333,2020-10-09 23:22:59.239333,3
eb05-98,2020-10-09 23:19:59.307197,2020-10-09 23:22:59.307197,3
eb05-9,2020-10-09 23:19:59.235140,2020-10-09 23:22:59.235140,5
eb05-34,2020-10-09 23:19:59.293687,2020-10-09 23:22:59.293687,6
eb05-93,2020-10-09 23:19:59.308324,2020-10-09 23:22:59.308324,4
eb05-22,2020-10-09 23:19:59.263598,2020-10-09 23:22:59.263598,4
eb05-64,2020-10-09 23:19:59.281480,2020-10-09 23:22:59.281480,4
eb05-57,2020-10-09 23:19:59.271027,2020-10-09 23:22:59.271027,4
eb05-36,2020-10-09 23:19:59.272241,2020-10-09 23:22:59.272241,4
eb05-45,2020-10-09 23:19:59.276307,2020-10-09 23:22:59.276307,5
eb05-37,2020-10-09 23:19:59.286222,2020-10-09 23:22:59.286222,4
eb05-32,2020-10-09 23:19:59.286174,2020-10-09 23:22:59.286174,4
eb05-3,2020-10-09 23:19:59.231246,2020-10-09 23:22:59.231246,5
eb05-8,2020-10-09 23:19:59.232015,2020-10-09 23:22:59.232015,5
eb05-85,2020-10-09 23:19:59.307719,2020-10-09 23:22:59.307719,6
eb05-76,2020-10-09 23:19:59.299117,2020-10-09 23:22:59.299117,5
eb05-33,2020-10-09 23:19:59.290699,2020-10-09 23:22:59.290699,5
eb05-84,2020-10-09 23:19:59.308136,2020-10-09 23:22:59.308136,5
eb05-48,2020-10-09 23:19:59.297703,2020-10-09 23:22:59.297703,4
eb05-54,2020-10-09 23:19:59.275046,2020-10-09 23:22:59.275046,4
eb05-38,2020-10-09 23:19:59.257307,2020-10-09 23:22:59.257307,5
eb05-13,2020-10-09 23:19:59.224904,2020-10-09 23:22:59.224904,5
eb05-63,2020-10-09 23:19:59.260110,2020-10-09 23:22:59.260110,4
eb05-40,2020-10-09 23:19:59.287772,2020-10-09 23:22:59.287772,5
eb05-35,2020-10-09 23:19:59.285920,2020-10-09 23:22:59.285920,5
eb05-87,2020-10-09 23:19:59.309382,2020-10-09 23:22:59.309382,5
eb05-4,2020-10-09 23:19:59.216111,2020-10-09 23:22:59.216111,5
eb05-80,2020-10-09 23:19:59.288622,2020-10-09 23:22:59.288622,4
eb05-65,2020-10-09 23:19:59.293777,2020-10-09 23:22:59.293777,5
eb05-81,2020-10-09 23:19:59.293384,2020-10-09 23:22:59.293384,4
eb05-70,2020-10-09 23:19:59.291436,2020-10-09 23:22:59.291436,4
eb05-7,2020-10-09 23:19:59.227307,2020-10-09 23:22:59.227307,6
eb05-67,2020-10-09 23:19:59.280241,2020-10-09 23:22:59.280241,5
eb05-66,2020-10-09 23:19:59.294527,2020-10-09 23:22:59.294527,4
eb05-62,2020-10-09 23:19:59.276563,2020-10-09 23:22:59.276563,5
TOTAL,,,445
