GUID,Inicio,Fim,Contador
f1e3-63,2020-10-09 23:19:58.976597,2020-10-09 23:22:58.976597,4
f1e3-28,2020-10-09 23:19:58.986310,2020-10-09 23:22:58.986310,4
f1e3-71,2020-10-09 23:19:59.019144,2020-10-09 23:22:59.019144,5
f1e3-52,2020-10-09 23:19:59.013264,2020-10-09 23:22:59.013264,4
f1e3-49,2020-10-09 23:19:58.987131,2020-10-09 23:22:58.987131,5
f1e3-89,2020-10-09 23:19:58.979307,2020-10-09 23:22:58.979307,4
f1e3-40,2020-10-09 23:19:58.970957,2020-10-09 23:22:58.970957,5
f1e3-47,2020-10-09 23:19:58.970365,2020-10-09 23:22:58.970365,4
f1e3-88,2020-10-09 23:19:58.979147,2020-10-09 23:22:58.979147,4
f1e3-64,2020-10-09 23:19:58.985693,2020-10-09 23:22:58.985693,4
f1e3-93,2020-10-09 23:19:58.985641,2020-10-09 23:22:58.985641,4
f1e3-98,2020-10-09 23:19:59.017998,2020-10-09 23:22:59.017998,4
f1e3-11,2020-10-09 23:19:58.931247,2020-10-09 23:22:58.931247,4
f1e3-56,2020-10-09 23:19:58.978664,2020-10-09 23:22:58.978664,5
f1e3-18,2020-10-09 23:19:58.942761,2020-10-09 23:22:58.942761,3
f1e3-22,2020-10-09 23:19:59.008220,2020-10-09 23:22:59.008220,4
f1e3-79,2020-10-09 23:19:58.989036,2020-10-09 23:22:58.989036,5
f1e3-9,2020-10-09 23:19:58.940949,2020-10-09 23:22:58.940949,4
f1e3-86,2020-10-09 23:19:59.018499,2020-10-09 23:22:59.018499,4
f1e3-83,2020-10-09 23:19:59.008292,2020-10-09 23:22:59.008292,5
f1e3-33,2020-10-09 23:19:58.996984,2020-10-09 23:22:58.996984,5
f1e3-41,2020-10-09 23:19:58.992751,2020-10-09 23:22:58.992751,3
f1e3-46,2020-10-09 23:19:59.019232,2020-10-09 23:22:59.019232,5
f1e3-62,2020-10-09 23:19:58.985580,2020-10-09 23:22:58.985580,6
f1e3-42,2020-10-09 23:19:58.988236,2020-10-09 23:22:58.988236,4
f1e3-58,2020-10-09 23:19:59.009476,2020-10-09 23:22:59.009476,4
f1e3-55,2020-10-09 23:19:59.013314,2020-10-09 23:22:59.013314,3
f1e3-10,2020-10-09 23:19:58.930835,2020-10-09 23:22:58.930835,6
f1e3-70,2020-10-09 23:19:58.987417,2020-10-09 23:22:58.987417,5
f1e3-68,2020-10-09 23:19:58.970582,2020-10-09 23:22:58.970582,4
f1e3-34,2020-10-09 23:19:58.986389,2020-10-09 23:22:58.986389,5
f1e3-67,2020-10-09 23:19:59.014087,2020-10-09 23:22:59.014087,4
f1e3-94,2020-10-09 23:19:58.966878,2020-10-09 23:22:58.966878,4
f1e3-78,2020-10-09 23:19:59.017631,2020-10-09 23:22:59.017631,4
f1e3-43,2020-10-09 23:19:58.993087,2020-10-09 23:22:58.993087,5
f1e3-27,2020-10-09 23:19:58.997817,2020-10-09 23:22:58.997817,6
f1e3-73,2020-10-09 23:19:58.977316,2020-10-09 23:22:58.977316,5
f1e3-48,2020-10-09 23:19:58.987874,2020-10-09 23:22:58.987874,5
f1e3-15,2020-10-09 23:19:58.933871,2020-10-09 23:22:58.933871,4
f1e3-85,2020-10-09 23:19:59.014709,2020-10-09 23:22:59.014709,5
f1e3-8,2020-10-09 23:19:58.938376,2020-10-09 23:22:58.938376,5
f1e3-2,2020-10-09 23:19:58.926653,2020-10-09 23:22:58.926653,6
f1e3-44,2020-10-09 23:19:59.007555,2020-10-09 23:22:59.007555,4
f1e3-6,2020-10-09 23:19:58.938871,2020-10-09 23:22:58.938871,6
f1e3-74,2020-10-09 23:19:59.008169,2020-10-09 23:22:59.008169,4
f1e3-32,2020-10-09 23:19:59.014032,2020-10-09 23:22:59.014032,5
f1e3-35,2020-10-09 23:19:59.017609,2020-10-09 23:22:59.017609,6
f1e3-76,2020-10-09 23:19:58.981576,2020-10-09 23:22:58.981576,4
f1e3-21,2020-10-09 23:19:58.980327,2020-10-09 23:22:58.980327,5
f1e3-24,2020-10-09 23:19:58.989828,2020-10-09 23:22:58.989828,4
f1e3-97,2020-10-09 23:19:58.989550,2020-10-09 23:22:58.989550,4
f1e3-82,2020-10-09 23:19:59.014523,2020-10-09 23:22:59.014523,6
f1e3-31,2020-10-09 23:19:58.984805,2020-10-09 23:22:58.984805,5
f1e3-53,2020-10-09 23:19:59.003554,2020-10-09 23:22:59.003554,5
f1e3-84,2020-10-09 23:19:59.008615,2020-10-09 23:22:59.008615,5
f1e3-45,2020-10-09 23:19:58.987180,2020-10-09 23:22:58.987180,4
f1e3-77,2020-10-09 23:19:59.013016,2020-10-09 23:22:59.013016,6
f1e3-92,2020-10-09 23:19:59.006625,2020-10-09 23:22:59.006625,6
f1e3-1,2020-10-09 23:19:58.927983,2020-10-09 23:22:58.927983,4
f1e3-7,2020-10-09 23:19:58.948816,2020-10-09 23:22:58.948816,4
f1e3-66,2020-10-09 23:19:59.008049,2020-10-09 23:22:59.008049,6
f1e3-87,2020-10-09 23:19:58.977088,2020-10-09 23:22:58.977088,6
f1e3-12,2020-10-09 23:19:58.947300,2020-10-09 23:22:58.947300,5
f1e3-54,2020-10-09 23:19:59.016616,2020-10-09 23:22:59.016616,5
f1e3-69,2020-10-09 23:19:59.014337,2020-10-09 23:22:59.014337,4
f1e3-16,2020-10-09 23:19:58.933818,2020-10-09 23:22:58.933818,4
f1e3-19,2020-10-09 23:19:58.978716,2020-10-09 23:22:58.978716,4
f1e3-57,2020-10-09 23:19:59.016561,2020-10-09 23:22:59.016561,4
f1e3-14,2020-10-09 23:19:58.947519,2020-10-09 23:22:58.947519,4
f1e3-59,2020-10-09 23:19:58.980800,2020-10-09 23:22:58.980800,5
f1e3-20,2020-10-09 23:19:58.971965,2020-10-09 23:22:58.971965,4
