GUID,Inicio,Fim,Contador
f68f-61,2020-10-09 23:20:00.171757,2020-10-09 23:23:00.171757,4
f68f-38,2020-10-09 23:20:00.186071,2020-10-09 23:23:00.186071,4
f68f-84,2020-10-09 23:20:00.174792,2020-10-09 23:23:00.174792,5
f68f-37,2020-10-09 23:20:00.184953,2020-10-09 23:23:00.184953,4
f68f-22,2020-10-09 23:20:00.191300,2020-10-09 23:23:00.191300,5
f68f-58,2020-10-09 23:20:00.191616,2020-10-09 23:23:00.191616,4
f68f-94,2020-10-09 23:20:00.170631,2020-10-09 23:23:00.170631,5
f68f-80,2020-10-09 23:20:00.164591,2020-10-09 23:23:00.164591,4
f68f-99,2020-10-09 23:20:00.174022,2020-10-09 23:23:00.174022,4
f68f-51,2020-10-09 23:20:00.167445,2020-10-09 23:23:00.167445,5
f68f-92,2020-10-09 23:20:00.185007,2020-10-09 23:23:00.185007,4
f68f-7,2020-10-09 23:20:00.126170,2020-10-09 23:23:00.126170,3
f68f-75,2020-10-09 23:20:00.188207,2020-10-09 23:23:00.188207,4
f68f-30,2020-10-09 23:20:00.194621,2020-10-09 23:23:00.194621,6
f68f-91,2020-10-09 23:20:00.188584,2020-10-09 23:23:00.188584,4
f68f-69,2020-10-09 23:20:00.187645,2020-10-09 23:23:00.187645,3
f68f-95,2020-10-09 23:20:00.199172,2020-10-09 23:23:00.199172,6
f68f-20,2020-10-09 23:20:00.162344,2020-10-09 23:23:00.162344,5
f68f-59,2020-10-09 23:20:00.173970,2020-10-09 23:23:00.173970,4
f68f-81,2020-10-09 23:20:00.177485,2020-10-09 23:23:00.177485,5
f68f-17,2020-10-09 23:20:00.184224,2020-10-09 23:23:00.184224,5
f68f-82,2020-10-09 23:20:00.200309,2020-10-09 23:23:00.200309,3
f68f-13,2020-10-09 23:20:00.131267,2020-10-09 23:23:00.131267,4
f68f-76,2020-10-09 23:20:00.179938,2020-10-09 23:23:00.179938,4
f68f-33,2020-10-09 23:20:00.191227,2020-10-09 23:23:00.191227,5
f68f-10,2020-10-09 23:20:00.118865,2020-10-09 23:23:00.118865,5
f68f-63,2020-10-09 23:20:00.197545,2020-10-09 23:23:00.197545,6
f68f-4,2020-10-09 23:20:00.114363,2020-10-09 23:23:00.114363,3
f68f-62,2020-10-09 23:20:00.177934,2020-10-09 23:23:00.177934,5
f68f-85,2020-10-09 23:20:00.176763,2020-10-09 23:23:00.176763,4
f68f-50,2020-10-09 23:20:00.184455,2020-10-09 23:23:00.184455,6
f68f-60,2020-10-09 23:20:00.182685,2020-10-09 23:23:00.182685,4
f68f-79,2020-10-09 23:20:00.160051,2020-10-09 23:23:00.160051,3
f68f-49,2020-10-09 23:20:00.190927,2020-10-09 23:23:00.190927,4
f68f-9,2020-10-09 23:20:00.131322,2020-10-09 23:23:00.131322,4
f68f-89,2020-10-09 23:20:00.177039,2020-10-09 23:23:00.177039,4
f68f-18,2020-10-09 23:20:00.155172,2020-10-09 23:23:00.155172,4
f68f-46,2020-10-09 23:20:00.174076,2020-10-09 23:23:00.174076,4
f68f-52,2020-10-09 23:20:00.178793,2020-10-09 23:23:00.178793,4
f68f-3,2020-10-09 23:20:00.114454,2020-10-09 23:23:00.114454,6
f68f-36,2020-10-09 23:20:00.172716,2020-10-09 23:23:00.172716,4
f68f-93,2020-10-09 23:20:00.193517,2020-10-09 23:23:00.193517,5
f68f-97,2020-10-09 23:20:00.172286,2020-10-09 23:23:00.172286,4
f68f-47,2020-10-09 23:20:00.172124,2020-10-09 23:23:00.172124,4
f68f-42,2020-10-09 23:20:00.178203,2020-10-09 23:23:00.178203,5
f68f-24,2020-10-09 23:20:00.192529,2020-10-09 23:23:00.192529,6
f68f-40,2020-10-09 23:20:00.195177,2020-10-09 23:23:00.195177,5
f68f-66,2020-10-09 23:20:00.191519,2020-10-09 23:23:00.191519,5
f68f-78,2020-10-09 23:20:00.163237,2020-10-09 23:23:00.163237,5
f68f-87,2020-10-09 23:20:00.172850,2020-10-09 23:23:00.172850,4
f68f-14,2020-10-09 23:20:00.120274,2020-10-09 23:23:00.120274,4
f68f-98,2020-10-09 23:20:00.200133,2020-10-09 23:23:00.200133,5
f68f-74,2020-10-09 23:20:00.175353,2020-10-09 23:23:00.175353,4
f68f-0,2020-10-09 23:20:00.111253,2020-10-09 23:23:00.111253,3
f68f-73,2020-10-09 23:20:00.166836,2020-10-09 23:23:00.166836,5
f68f-67,2020-10-09 23:20:00.164559,2020-10-09 23:23:00.164559,5
f68f-72,2020-10-09 23:20:00.160699,2020-10-09 23:23:00.160699,5
f68f-29,2020-10-09 23:20:00.175563,2020-10-09 23:23:00.175563,5
f68f-28,2020-10-09 23:20:00.193083,2020-10-09 23:23:00.193083,5
f68f-48,2020-10-09 23:20:00.193627,2020-10-09 23:23:00.193627,4
f68f-34,2020-10-09 23:20:00.172697,2020-10-09 23:23:00.172697,4
f68f-19,2020-10-09 23:20:00.167467,2020-10-09 23:23:00.167467,5
f68f-45,2020-10-09 23:20:00.191249,2020-10-09 23:23:00.191249,5
f68f-65,2020-10-09 23:20:00.199565,2020-10-09 23:23:00.199565,4
f68f-11,2020-10-09 23:20:00.127484,2020-10-09 23:23:00.127484,4
f68f-53,2020-10-09 23:20:00.169024,2020-10-09 23:23:00.169024,6
f68f-77,2020-10-09 23:20:00.160076,2020-10-09 23:23:00.160076,4
f68f-26,2020-10-09 23:20:00.193136,2020-10-09 23:23:00.193136,5
f68f-83,2020-10-09 23:20:00.176463,2020-10-09 23:23:00.176463,4
f68f-55,2020-10-09 23:20:00.200520,2020-10-09 23:23:00.200520,5
f68f-2,2020-10-09 23:20:00.113014,2020-10-09 23:23:00.113014,5
f68f-70,2020-10-09 23:20:00.193448,2020-10-09 23:23:00.193448,4
f68f-68,2020-10-09 23:20:00.184039,2020-10-09 23:23:00.184039,5
f68f-39,2020-10-09 23:20:00.188266,2020-10-09 23:23:00.188266,5
f68f-41,2020-10-09 23:20:00.166785,2020-10-09 23:23:00.166785,5
f68f-96,2020-10-09 23:20:00.186459,2020-10-09 23:23:00.186459,4
f68f-54,2020-10-09 23:20:00.182723,2020-10-09 23:23:00.182723,5
f68f-1,2020-10-09 23:20:00.110943,2020-10-09 23:23:00.110943,5
f68f-21,2020-10-09 23:20:00.183980,2020-10-09 23:23:00.183980,4
f68f-31,2020-10-09 23:20:00.188439,2020-10-09 23:23:00.188439,6
f68f-16,2020-10-09 23:20:00.123427,2020-10-09 23:23:00.123427,5
f68f-86,2020-10-09 23:20:00.169080,2020-10-09 23:23:00.169080,4
f68f-64,2020-10-09 23:20:00.195586,2020-10-09 23:23:00.195586,4
f68f-6,2020-10-09 23:20:00.127922,2020-10-09 23:23:00.127922,6
f68f-56,2020-10-09 23:20:00.194387,2020-10-09 23:23:00.194387,5
f68f-35,2020-10-09 23:20:00.188919,2020-10-09 23:23:00.188919,6
f68f-25,2020-10-09 23:20:00.192680,2020-10-09 23:23:00.192680,4
f68f-44,2020-10-09 23:20:00.173919,2020-10-09 23:23:00.173919,4
f68f-90,2020-10-09 23:20:00.167714,2020-10-09 23:23:00.167714,7
f68f-57,2020-10-09 23:20:00.180297,2020-10-09 23:23:00.180297,4
f68f-15,2020-10-09 23:20:00.120436,2020-10-09 23:23:00.120436,5
f68f-8,2020-10-09 23:20:00.113306,2020-10-09 23:23:00.113306,4
f68f-71,2020-10-09 23:20:00.196443,2020-10-09 23:23:00.196443,4
f68f-23,2020-10-09 23:20:00.185601,2020-10-09 23:23:00.185601,4
f68f-27,2020-10-09 23:20:00.197073,2020-10-09 23:23:00.197073,6
f68f-32,2020-10-09 23:20:00.170683,2020-10-09 23:23:00.170683,5
f68f-5,2020-10-09 23:20:00.110162,2020-10-09 23:23:00.110162,4
f68f-43,2020-10-09 23:20:00.197266,2020-10-09 23:23:00.197266,4
f68f-12,2020-10-09 23:20:00.115973,2020-10-09 23:23:00.115973,5
f68f-88,2020-10-09 23:20:00.196860,2020-10-09 23:23:00.196860,6
TOTAL,,,457
