GUID,Inicio,Fim,Contador
ad79-232,2020-10-10 00:07:28.106557,2020-10-10 00:10:28.106557,4
ad79-211,2020-10-10 00:07:28.094989,2020-10-10 00:10:28.094989,5
ad79-239,2020-10-10 00:07:28.122315,2020-10-10 00:10:28.122315,4
ad79-55,2020-10-10 00:07:28.876684,2020-10-10 00:10:28.876684,3
ad79-459,2020-10-10 00:07:28.291242,2020-10-10 00:10:28.291242,0
ad79-19,2020-10-10 00:07:28.825376,2020-10-10 00:10:28.825376,5
ad79-244,2020-10-10 00:07:29.022949,2020-10-10 00:10:29.022949,3
ad79-191,2020-10-10 00:07:29.030999,2020-10-10 00:10:29.030999,3
ad79-255,2020-10-10 00:07:29.281441,2020-10-10 00:10:29.281441,5
ad79-148,2020-10-10 00:07:29.733908,2020-10-10 00:10:29.733908,4
ad79-246,2020-10-10 00:07:28.127722,2020-10-10 00:10:28.127722,3
ad79-240,2020-10-10 00:07:29.285338,2020-10-10 00:10:29.285338,5
ad79-245,2020-10-10 00:07:29.007721,2020-10-10 00:10:29.007721,3
ad79-312,2020-10-10 00:07:29.311608,2020-10-10 00:10:29.311608,4
ad79-166,2020-10-10 00:07:29.198496,2020-10-10 00:10:29.198496,5
ad79-134,2020-10-10 00:07:29.447476,2020-10-10 00:10:29.447476,4
ad79-380,2020-10-10 00:07:28.224429,2020-10-10 00:10:28.224429,0
ad79-343,2020-10-10 00:07:29.916918,2020-10-10 00:10:29.916918,0
ad79-357,2020-10-10 00:07:29.648577,2020-10-10 00:10:29.648577,1
ad79-475,2020-10-10 00:07:29.458642,2020-10-10 00:10:29.458642,0
ad79-50,2020-10-10 00:07:29.961059,2020-10-10 00:10:29.961059,5
ad79-406,2020-10-10 00:07:29.136532,2020-10-10 00:10:29.136532,0
ad79-97,2020-10-10 00:07:28.890576,2020-10-10 00:10:28.890576,5
ad79-309,2020-10-10 00:07:31.026215,2020-10-10 00:10:31.026215,4
ad79-226,2020-10-10 00:07:28.994533,2020-10-10 00:10:28.994533,5
ad79-414,2020-10-10 00:07:29.143086,2020-10-10 00:10:29.143086,0
ad79-342,2020-10-10 00:07:28.223354,2020-10-10 00:10:28.223354,0
ad79-72,2020-10-10 00:07:30.244324,2020-10-10 00:10:30.244324,4
ad79-461,2020-10-10 00:07:29.181006,2020-10-10 00:10:29.181006,0
ad79-318,2020-10-10 00:07:29.048728,2020-10-10 00:10:29.048728,3
ad79-162,2020-10-10 00:07:28.929772,2020-10-10 00:10:28.929772,3
ad79-321,2020-10-10 00:07:28.177496,2020-10-10 00:10:28.177496,4
ad79-197,2020-10-10 00:07:29.555339,2020-10-10 00:10:29.555339,4
ad79-172,2020-10-10 00:07:28.994080,2020-10-10 00:10:28.994080,4
ad79-398,2020-10-10 00:07:29.134633,2020-10-10 00:10:29.134633,0
ad79-361,2020-10-10 00:07:29.107820,2020-10-10 00:10:29.107820,0
ad79-411,2020-10-10 00:07:29.137254,2020-10-10 00:10:29.137254,0
ad79-173,2020-10-10 00:07:29.234941,2020-10-10 00:10:29.234941,6
ad79-323,2020-10-10 00:07:29.327433,2020-10-10 00:10:29.327433,4
ad79-204,2020-10-10 00:07:28.988788,2020-10-10 00:10:28.988788,3
ad79-293,2020-10-10 00:07:29.032272,2020-10-10 00:10:29.032272,0
ad79-119,2020-10-10 00:07:29.703302,2020-10-10 00:10:29.703302,4
ad79-68,2020-10-10 00:07:28.050953,2020-10-10 00:10:28.050953,6
ad79-253,2020-10-10 00:07:29.516359,2020-10-10 00:10:29.516359,3
ad79-4,2020-10-10 00:07:30.816617,2020-10-10 00:10:30.816617,3
ad79-37,2020-10-10 00:07:28.901187,2020-10-10 00:10:28.901187,3
ad79-389,2020-10-10 00:07:28.253751,2020-10-10 00:10:28.253751,0
ad79-270,2020-10-10 00:07:28.106127,2020-10-10 00:10:28.106127,3
ad79-388,2020-10-10 00:07:30.188294,2020-10-10 00:10:30.188294,0
ad79-297,2020-10-10 00:07:29.835777,2020-10-10 00:10:29.835777,6
ad79-257,2020-10-10 00:07:29.265272,2020-10-10 00:10:29.265272,3
