GUID,Inicio,Fim,Contador
adde-462,2020-10-10 00:07:27.221648,2020-10-10 00:10:27.221648,1
adde-182,2020-10-10 00:07:27.050419,2020-10-10 00:10:27.050419,4
adde-257,2020-10-10 00:07:27.091128,2020-10-10 00:10:27.091128,6
adde-194,2020-10-10 00:07:27.057402,2020-10-10 00:10:27.057402,3
adde-255,2020-10-10 00:07:27.074370,2020-10-10 00:10:27.074370,4
adde-295,2020-10-10 00:07:27.111712,2020-10-10 00:10:27.111712,3
adde-8,2020-10-10 00:07:26.897058,2020-10-10 00:10:26.897058,6
adde-230,2020-10-10 00:07:27.058428,2020-10-10 00:10:27.058428,4
adde-423,2020-10-10 00:07:27.980521,2020-10-10 00:10:27.980521,1
adde-218,2020-10-10 00:07:27.858493,2020-10-10 00:10:27.858493,3
adde-482,2020-10-10 00:07:27.267789,2020-10-10 00:10:27.267789,2
adde-383,2020-10-10 00:07:28.396820,2020-10-10 00:10:28.396820,0
adde-170,2020-10-10 00:07:28.816821,2020-10-10 00:10:28.816821,4
adde-213,2020-10-10 00:07:28.255153,2020-10-10 00:10:28.255153,6
adde-7,2020-10-10 00:07:28.120583,2020-10-10 00:10:28.120583,3
adde-132,2020-10-10 00:07:27.001439,2020-10-10 00:10:27.001439,6
adde-228,2020-10-10 00:07:28.033137,2020-10-10 00:10:28.033137,3
adde-381,2020-10-10 00:07:27.176310,2020-10-10 00:10:27.176310,1
adde-128,2020-10-10 00:07:28.478384,2020-10-10 00:10:28.478384,3
adde-142,2020-10-10 00:07:28.012708,2020-10-10 00:10:28.012708,3
adde-429,2020-10-10 00:07:28.153043,2020-10-10 00:10:28.153043,0
adde-361,2020-10-10 00:07:27.931348,2020-10-10 00:10:27.931348,0
adde-321,2020-10-10 00:07:27.900670,2020-10-10 00:10:27.900670,4
adde-380,2020-10-10 00:07:27.189127,2020-10-10 00:10:27.189127,1
adde-409,2020-10-10 00:07:28.394187,2020-10-10 00:10:28.394187,0
adde-403,2020-10-10 00:07:27.179563,2020-10-10 00:10:27.179563,2
adde-422,2020-10-10 00:07:27.183375,2020-10-10 00:10:27.183375,2
adde-131,2020-10-10 00:07:26.985653,2020-10-10 00:10:26.985653,5
adde-341,2020-10-10 00:07:29.396350,2020-10-10 00:10:29.396350,0
adde-35,2020-10-10 00:07:27.000984,2020-10-10 00:10:27.000984,4
adde-42,2020-10-10 00:07:28.434782,2020-10-10 00:10:28.434782,5
adde-401,2020-10-10 00:07:28.109707,2020-10-10 00:10:28.109707,0
adde-319,2020-10-10 00:07:31.001422,2020-10-10 00:10:31.001422,4
adde-271,2020-10-10 00:07:27.873318,2020-10-10 00:10:27.873318,5
adde-378,2020-10-10 00:07:27.940078,2020-10-10 00:10:27.940078,0
adde-215,2020-10-10 00:07:27.043465,2020-10-10 00:10:27.043465,6
adde-72,2020-10-10 00:07:28.001183,2020-10-10 00:10:28.001183,0
adde-226,2020-10-10 00:07:27.032080,2020-10-10 00:10:27.032080,6
adde-95,2020-10-10 00:07:26.973140,2020-10-10 00:10:26.973140,5
adde-158,2020-10-10 00:07:27.018311,2020-10-10 00:10:27.018311,4
adde-442,2020-10-10 00:07:27.993088,2020-10-10 00:10:27.993088,0
adde-146,2020-10-10 00:07:30.875263,2020-10-10 00:10:30.875263,4
adde-133,2020-10-10 00:07:30.856310,2020-10-10 00:10:30.856310,4
adde-446,2020-10-10 00:07:31.080531,2020-10-10 00:10:31.080531,0
adde-214,2020-10-10 00:07:28.041676,2020-10-10 00:10:28.041676,5
adde-141,2020-10-10 00:07:33.254654,2020-10-10 00:10:33.254654,3
adde-314,2020-10-10 00:07:28.081030,2020-10-10 00:10:28.081030,4
adde-155,2020-10-10 00:07:27.018442,2020-10-10 00:10:27.018442,4
adde-460,2020-10-10 00:07:29.303480,2020-10-10 00:10:29.303480,0
adde-163,2020-10-10 00:07:33.254712,2020-10-10 00:10:33.254712,5
adde-303,2020-10-10 00:07:30.980822,2020-10-10 00:10:30.980822,4
adde-1,2020-10-10 00:07:30.776609,2020-10-10 00:10:30.776609,4
adde-91,2020-10-10 00:07:28.481538,2020-10-10 00:10:28.481538,6
adde-107,2020-10-10 00:07:26.947054,2020-10-10 00:10:26.947054,6
adde-330,2020-10-10 00:07:30.996187,2020-10-10 00:10:30.996187,4
adde-390,2020-10-10 00:07:27.164191,2020-10-10 00:10:27.164191,0
adde-479,2020-10-10 00:07:28.018101,2020-10-10 00:10:28.018101,0
adde-471,2020-10-10 00:07:29.909879,2020-10-10 00:10:29.909879,0
adde-34,2020-10-10 00:07:27.789620,2020-10-10 00:10:27.789620,5
adde-357,2020-10-10 00:07:28.685390,2020-10-10 00:10:28.685390,0
adde-299,2020-10-10 00:07:30.985922,2020-10-10 00:10:30.985922,3
adde-115,2020-10-10 00:07:26.979341,2020-10-10 00:10:26.979341,4
adde-205,2020-10-10 00:07:27.036740,2020-10-10 00:10:27.036740,6
adde-200,2020-10-10 00:07:27.038653,2020-10-10 00:10:27.038653,3
adde-101,2020-10-10 00:07:27.800976,2020-10-10 00:10:27.800976,4
adde-391,2020-10-10 00:07:27.946569,2020-10-10 00:10:27.946569,1
adde-371,2020-10-10 00:07:31.057788,2020-10-10 00:10:31.057788,0
adde-297,2020-10-10 00:07:29.784202,2020-10-10 00:10:29.784202,4
adde-52,2020-10-10 00:07:26.927590,2020-10-10 00:10:26.927590,2
adde-16,2020-10-10 00:07:26.884880,2020-10-10 00:10:26.884880,4
adde-167,2020-10-10 00:07:27.012359,2020-10-10 00:10:27.012359,4
adde-18,2020-10-10 00:07:28.990993,2020-10-10 00:10:28.990993,4
adde-443,2020-10-10 00:07:27.202138,2020-10-10 00:10:27.202138,0
adde-23,2020-10-10 00:07:29.620621,2020-10-10 00:10:29.620621,5
adde-320,2020-10-10 00:07:27.138821,2020-10-10 00:10:27.138821,4
adde-331,2020-10-10 00:07:27.915447,2020-10-10 00:10:27.915447,4
adde-464,2020-10-10 00:07:28.168988,2020-10-10 00:10:28.168988,0
adde-216,2020-10-10 00:07:27.041413,2020-10-10 00:10:27.041413,4
adde-309,2020-10-10 00:07:27.885047,2020-10-10 00:10:27.885047,4
adde-385,2020-10-10 00:07:28.692415,2020-10-10 00:10:28.692415,1
adde-278,2020-10-10 00:07:30.962624,2020-10-10 00:10:30.962624,4
adde-183,2020-10-10 00:07:30.953318,2020-10-10 00:10:30.953318,3
adde-313,2020-10-10 00:07:27.107883,2020-10-10 00:10:27.107883,5
adde-187,2020-10-10 00:07:27.075633,2020-10-10 00:10:27.075633,3
adde-118,2020-10-10 00:07:30.853146,2020-10-10 00:10:30.853146,4
adde-86,2020-10-10 00:07:30.835049,2020-10-10 00:10:30.835049,4
adde-366,2020-10-10 00:07:27.170341,2020-10-10 00:10:27.170341,0
adde-85,2020-10-10 00:07:28.754254,2020-10-10 00:10:28.754254,4
adde-493,2020-10-10 00:07:29.934726,2020-10-10 00:10:29.934726,0
adde-57,2020-10-10 00:07:26.955980,2020-10-10 00:10:26.955980,3
adde-241,2020-10-10 00:07:28.057345,2020-10-10 00:10:28.057345,4
adde-402,2020-10-10 00:07:28.129861,2020-10-10 00:10:28.129861,1
