GUID,Inicio,Fim,Contador
c4ed-24,2020-10-10 00:07:25.999518,2020-10-10 00:10:25.999518,3
c4ed-308,2020-10-10 00:07:26.340441,2020-10-10 00:10:26.340441,4
c4ed-178,2020-10-10 00:07:26.225342,2020-10-10 00:10:26.225342,4
c4ed-269,2020-10-10 00:07:26.249646,2020-10-10 00:10:26.249646,4
c4ed-129,2020-10-10 00:07:26.126735,2020-10-10 00:10:26.126735,4
c4ed-14,2020-10-10 00:07:25.975960,2020-10-10 00:10:25.975960,6
c4ed-105,2020-10-10 00:07:26.136720,2020-10-10 00:10:26.136720,4
c4ed-40,2020-10-10 00:07:26.024722,2020-10-10 00:10:26.024722,4
c4ed-134,2020-10-10 00:07:26.075302,2020-10-10 00:10:26.075302,5
c4ed-153,2020-10-10 00:07:26.138797,2020-10-10 00:10:26.138797,4
c4ed-65,2020-10-10 00:07:26.033865,2020-10-10 00:10:26.033865,5
c4ed-172,2020-10-10 00:07:26.236123,2020-10-10 00:10:26.236123,4
c4ed-292,2020-10-10 00:07:26.321794,2020-10-10 00:10:26.321794,5
c4ed-83,2020-10-10 00:07:26.088720,2020-10-10 00:10:26.088720,4
c4ed-30,2020-10-10 00:07:26.001109,2020-10-10 00:10:26.001109,6
c4ed-351,2020-10-10 00:07:26.690077,2020-10-10 00:10:26.690077,0
c4ed-452,2020-10-10 00:07:26.847083,2020-10-10 00:10:26.847083,1
c4ed-407,2020-10-10 00:07:26.788023,2020-10-10 00:10:26.788023,2
c4ed-381,2020-10-10 00:07:26.760412,2020-10-10 00:10:26.760412,0
c4ed-494,2020-10-10 00:07:26.914656,2020-10-10 00:10:26.914656,0
c4ed-88,2020-10-10 00:07:26.131513,2020-10-10 00:10:26.131513,4
c4ed-224,2020-10-10 00:07:27.309881,2020-10-10 00:10:27.309881,5
c4ed-18,2020-10-10 00:07:25.976589,2020-10-10 00:10:25.976589,3
c4ed-365,2020-10-10 00:07:26.621253,2020-10-10 00:10:26.621253,0
c4ed-8,2020-10-10 00:07:25.946777,2020-10-10 00:10:25.946777,4
c4ed-165,2020-10-10 00:07:26.141313,2020-10-10 00:10:26.141313,4
c4ed-281,2020-10-10 00:07:26.302420,2020-10-10 00:10:26.302420,3
c4ed-28,2020-10-10 00:07:25.999814,2020-10-10 00:10:25.999814,5
c4ed-194,2020-10-10 00:07:26.174544,2020-10-10 00:10:26.174544,5
c4ed-268,2020-10-10 00:07:26.263577,2020-10-10 00:10:26.263577,5
c4ed-16,2020-10-10 00:07:25.976782,2020-10-10 00:10:25.976782,4
c4ed-167,2020-10-10 00:07:26.180311,2020-10-10 00:10:26.180311,5
c4ed-303,2020-10-10 00:07:26.354314,2020-10-10 00:10:26.354314,4
c4ed-48,2020-10-10 00:07:26.032582,2020-10-10 00:10:26.032582,4
c4ed-275,2020-10-10 00:07:26.274480,2020-10-10 00:10:26.274480,4
c4ed-460,2020-10-10 00:07:27.922589,2020-10-10 00:10:27.922589,1
c4ed-456,2020-10-10 00:07:27.909390,2020-10-10 00:10:27.909390,0
c4ed-376,2020-10-10 00:07:29.385990,2020-10-10 00:10:29.385990,0
c4ed-311,2020-10-10 00:07:26.382210,2020-10-10 00:10:26.382210,4
c4ed-458,2020-10-10 00:07:27.921308,2020-10-10 00:10:27.921308,0
c4ed-383,2020-10-10 00:07:29.451940,2020-10-10 00:10:29.451940,0
c4ed-199,2020-10-10 00:07:26.203416,2020-10-10 00:10:26.203416,3
c4ed-196,2020-10-10 00:07:26.202746,2020-10-10 00:10:26.202746,5
c4ed-364,2020-10-10 00:07:26.613836,2020-10-10 00:10:26.613836,1
c4ed-468,2020-10-10 00:07:29.563693,2020-10-10 00:10:29.563693,0
c4ed-305,2020-10-10 00:07:26.354997,2020-10-10 00:10:26.354997,5
c4ed-396,2020-10-10 00:07:27.673120,2020-10-10 00:10:27.673120,1
c4ed-405,2020-10-10 00:07:26.795212,2020-10-10 00:10:26.795212,1
c4ed-123,2020-10-10 00:07:26.112999,2020-10-10 00:10:26.112999,5
c4ed-214,2020-10-10 00:07:26.236280,2020-10-10 00:10:26.236280,5
c4ed-139,2020-10-10 00:07:26.132143,2020-10-10 00:10:26.132143,4
c4ed-385,2020-10-10 00:07:26.773421,2020-10-10 00:10:26.773421,1
c4ed-51,2020-10-10 00:07:26.026037,2020-10-10 00:10:26.026037,3
c4ed-428,2020-10-10 00:07:30.718439,2020-10-10 00:10:30.718439,0
c4ed-242,2020-10-10 00:07:26.237388,2020-10-10 00:10:26.237388,4
c4ed-475,2020-10-10 00:07:29.554816,2020-10-10 00:10:29.554816,0
c4ed-41,2020-10-10 00:07:26.010024,2020-10-10 00:10:26.010024,5
c4ed-157,2020-10-10 00:07:26.145741,2020-10-10 00:10:26.145741,3
c4ed-245,2020-10-10 00:07:26.240070,2020-10-10 00:10:26.240070,3
c4ed-465,2020-10-10 00:07:28.664845,2020-10-10 00:10:28.664845,0
c4ed-401,2020-10-10 00:07:27.862966,2020-10-10 00:10:27.862966,0
c4ed-309,2020-10-10 00:07:26.336987,2020-10-10 00:10:26.336987,5
c4ed-329,2020-10-10 00:07:26.450460,2020-10-10 00:10:26.450460,4
c4ed-290,2020-10-10 00:07:26.343621,2020-10-10 00:10:26.343621,4
c4ed-451,2020-10-10 00:07:26.847611,2020-10-10 00:10:26.847611,0
c4ed-125,2020-10-10 00:07:26.113920,2020-10-10 00:10:26.113920,4
c4ed-122,2020-10-10 00:07:26.121504,2020-10-10 00:10:26.121504,4
c4ed-395,2020-10-10 00:07:26.787961,2020-10-10 00:10:26.787961,1
c4ed-9,2020-10-10 00:07:25.958283,2020-10-10 00:10:25.958283,5
c4ed-127,2020-10-10 00:07:26.087541,2020-10-10 00:10:26.087541,5
c4ed-280,2020-10-10 00:07:26.295837,2020-10-10 00:10:26.295837,5
c4ed-363,2020-10-10 00:07:30.610234,2020-10-10 00:10:30.610234,0
c4ed-27,2020-10-10 00:07:26.067268,2020-10-10 00:10:26.067268,4
