GUID,Inicio,Fim,Contador
ee90-14,2020-10-10 00:07:27.221639,2020-10-10 00:10:27.221639,3
ee90-54,2020-10-10 00:07:27.268320,2020-10-10 00:10:27.268320,4
ee90-329,2020-10-10 00:07:27.513948,2020-10-10 00:10:27.513948,5
ee90-365,2020-10-10 00:07:28.483873,2020-10-10 00:10:28.483873,0
ee90-81,2020-10-10 00:07:28.030260,2020-10-10 00:10:28.030260,4
ee90-60,2020-10-10 00:07:28.021524,2020-10-10 00:10:28.021524,4
ee90-88,2020-10-10 00:07:27.322409,2020-10-10 00:10:27.322409,7
ee90-69,2020-10-10 00:07:28.776236,2020-10-10 00:10:28.776236,5
ee90-259,2020-10-10 00:07:28.932912,2020-10-10 00:10:28.932912,6
ee90-353,2020-10-10 00:07:27.566366,2020-10-10 00:10:27.566366,0
ee90-293,2020-10-10 00:07:27.495048,2020-10-10 00:10:27.495048,4
ee90-330,2020-10-10 00:07:28.159249,2020-10-10 00:10:28.159249,4
ee90-164,2020-10-10 00:07:27.387676,2020-10-10 00:10:27.387676,6
ee90-8,2020-10-10 00:07:31.090973,2020-10-10 00:10:31.090973,3
ee90-100,2020-10-10 00:07:28.039163,2020-10-10 00:10:28.039163,4
ee90-66,2020-10-10 00:07:29.336467,2020-10-10 00:10:29.336467,3
ee90-155,2020-10-10 00:07:30.033864,2020-10-10 00:10:30.033864,5
ee90-310,2020-10-10 00:07:27.507259,2020-10-10 00:10:27.507259,3
ee90-291,2020-10-10 00:07:30.135541,2020-10-10 00:10:30.135541,4
ee90-162,2020-10-10 00:07:27.379709,2020-10-10 00:10:27.379709,1
ee90-244,2020-10-10 00:07:27.444481,2020-10-10 00:10:27.444481,1
ee90-212,2020-10-10 00:07:28.357718,2020-10-10 00:10:28.357718,4
ee90-485,2020-10-10 00:07:28.286047,2020-10-10 00:10:28.286047,1
ee90-364,2020-10-10 00:07:29.594830,2020-10-10 00:10:29.594830,0
ee90-229,2020-10-10 00:07:27.450262,2020-10-10 00:10:27.450262,5
ee90-216,2020-10-10 00:07:27.430163,2020-10-10 00:10:27.430163,4
ee90-367,2020-10-10 00:07:27.565822,2020-10-10 00:10:27.565822,0
ee90-150,2020-10-10 00:07:29.117580,2020-10-10 00:10:29.117580,4
ee90-302,2020-10-10 00:07:31.290424,2020-10-10 00:10:31.290424,5
