GUID,Inicio,Fim,Contador
02ab-37,2020-10-09 23:27:55.205273,2020-10-09 23:30:55.205273,4
02ab-62,2020-10-09 23:27:55.207891,2020-10-09 23:30:55.207891,4
02ab-10,2020-10-09 23:27:55.159673,2020-10-09 23:30:55.159673,5
02ab-95,2020-10-09 23:27:55.240432,2020-10-09 23:30:55.240432,5
02ab-89,2020-10-09 23:27:55.242596,2020-10-09 23:30:55.242596,5
02ab-31,2020-10-09 23:27:55.212398,2020-10-09 23:30:55.212398,3
02ab-60,2020-10-09 23:27:55.197958,2020-10-09 23:30:55.197958,4
02ab-92,2020-10-09 23:27:55.224632,2020-10-09 23:30:55.224632,4
02ab-9,2020-10-09 23:27:55.145900,2020-10-09 23:30:55.145900,4
02ab-38,2020-10-09 23:27:55.208803,2020-10-09 23:30:55.208803,4
02ab-54,2020-10-09 23:27:55.189937,2020-10-09 23:30:55.189937,4
02ab-67,2020-10-09 23:27:55.207643,2020-10-09 23:30:55.207643,4
02ab-15,2020-10-09 23:27:55.162035,2020-10-09 23:30:55.162035,6
02ab-56,2020-10-09 23:27:55.207326,2020-10-09 23:30:55.207326,5
02ab-63,2020-10-09 23:27:55.220915,2020-10-09 23:30:55.220915,3
02ab-36,2020-10-09 23:27:55.199243,2020-10-09 23:30:55.199243,5
02ab-20,2020-10-09 23:27:55.217506,2020-10-09 23:30:55.217506,4
02ab-59,2020-10-09 23:27:55.218131,2020-10-09 23:30:55.218131,4
02ab-72,2020-10-09 23:27:55.185674,2020-10-09 23:30:55.185674,5
02ab-1,2020-10-09 23:27:55.155940,2020-10-09 23:30:55.155940,5
02ab-25,2020-10-09 23:27:55.201181,2020-10-09 23:30:55.201181,4
02ab-91,2020-10-09 23:27:55.244870,2020-10-09 23:30:55.244870,4
02ab-40,2020-10-09 23:27:55.200071,2020-10-09 23:30:55.200071,3
02ab-22,2020-10-09 23:27:55.201444,2020-10-09 23:30:55.201444,5
02ab-44,2020-10-09 23:27:55.198233,2020-10-09 23:30:55.198233,4
02ab-52,2020-10-09 23:27:55.195611,2020-10-09 23:30:55.195611,4
02ab-8,2020-10-09 23:27:55.144752,2020-10-09 23:30:55.144752,5
02ab-71,2020-10-09 23:27:55.207837,2020-10-09 23:30:55.207837,4
02ab-32,2020-10-09 23:27:55.198919,2020-10-09 23:30:55.198919,4
02ab-12,2020-10-09 23:27:55.162501,2020-10-09 23:30:55.162501,4
02ab-18,2020-10-09 23:27:55.154850,2020-10-09 23:30:55.154850,4
02ab-33,2020-10-09 23:27:55.217454,2020-10-09 23:30:55.217454,4
02ab-49,2020-10-09 23:27:55.207303,2020-10-09 23:30:55.207303,4
02ab-11,2020-10-09 23:27:55.162745,2020-10-09 23:30:55.162745,6
02ab-94,2020-10-09 23:27:55.248457,2020-10-09 23:30:55.248457,5
02ab-6,2020-10-09 23:27:55.142499,2020-10-09 23:30:55.142499,4
02ab-65,2020-10-09 23:27:55.180934,2020-10-09 23:30:55.180934,4
02ab-16,2020-10-09 23:27:55.151748,2020-10-09 23:30:55.151748,4
02ab-41,2020-10-09 23:27:55.209718,2020-10-09 23:30:55.209718,5
02ab-29,2020-10-09 23:27:55.219677,2020-10-09 23:30:55.219677,5
02ab-21,2020-10-09 23:27:55.178107,2020-10-09 23:30:55.178107,5
02ab-39,2020-10-09 23:27:55.208754,2020-10-09 23:30:55.208754,3
02ab-74,2020-10-09 23:27:55.220762,2020-10-09 23:30:55.220762,5
02ab-73,2020-10-09 23:27:55.213229,2020-10-09 23:30:55.213229,4
02ab-98,2020-10-09 23:27:55.242259,2020-10-09 23:30:55.242259,4
02ab-76,2020-10-09 23:27:55.209085,2020-10-09 23:30:55.209085,4
02ab-43,2020-10-09 23:27:55.204005,2020-10-09 23:30:55.204005,4
