GUID,Inicio,Fim,Contador
6b8f-57,2020-10-09 23:27:56.457605,2020-10-09 23:30:56.457605,3
6b8f-82,2020-10-09 23:27:56.451177,2020-10-09 23:30:56.451177,4
6b8f-47,2020-10-09 23:27:56.453040,2020-10-09 23:30:56.453040,4
6b8f-80,2020-10-09 23:27:56.437864,2020-10-09 23:30:56.437864,3
6b8f-61,2020-10-09 23:27:56.450984,2020-10-09 23:30:56.450984,5
6b8f-23,2020-10-09 23:27:56.382955,2020-10-09 23:30:56.382955,4
6b8f-97,2020-10-09 23:27:56.475251,2020-10-09 23:30:56.475251,5
6b8f-95,2020-10-09 23:27:56.455282,2020-10-09 23:30:56.455282,6
6b8f-20,2020-10-09 23:27:56.384015,2020-10-09 23:30:56.384015,4
6b8f-92,2020-10-09 23:27:56.468630,2020-10-09 23:30:56.468630,4
6b8f-29,2020-10-09 23:27:56.399337,2020-10-09 23:30:56.399337,6
6b8f-3,2020-10-09 23:27:56.379762,2020-10-09 23:30:56.379762,5
6b8f-48,2020-10-09 23:27:56.476327,2020-10-09 23:30:56.476327,4
6b8f-2,2020-10-09 23:27:56.377988,2020-10-09 23:30:56.377988,5
6b8f-41,2020-10-09 23:27:56.439399,2020-10-09 23:30:56.439399,3
6b8f-32,2020-10-09 23:27:56.402760,2020-10-09 23:30:56.402760,3
6b8f-54,2020-10-09 23:27:56.430781,2020-10-09 23:30:56.430781,4
6b8f-36,2020-10-09 23:27:56.396608,2020-10-09 23:30:56.396608,3
6b8f-90,2020-10-09 23:27:56.478407,2020-10-09 23:30:56.478407,5
6b8f-28,2020-10-09 23:27:56.409062,2020-10-09 23:30:56.409062,5
6b8f-11,2020-10-09 23:27:56.381762,2020-10-09 23:30:56.381762,5
6b8f-73,2020-10-09 23:27:56.452807,2020-10-09 23:30:56.452807,5
6b8f-89,2020-10-09 23:27:56.472067,2020-10-09 23:30:56.472067,5
6b8f-96,2020-10-09 23:27:56.477864,2020-10-09 23:30:56.477864,5
6b8f-10,2020-10-09 23:27:56.377143,2020-10-09 23:30:56.377143,4
6b8f-30,2020-10-09 23:27:56.410338,2020-10-09 23:30:56.410338,5
6b8f-27,2020-10-09 23:27:56.406576,2020-10-09 23:30:56.406576,5
6b8f-87,2020-10-09 23:27:56.431776,2020-10-09 23:30:56.431776,6
6b8f-43,2020-10-09 23:27:56.431890,2020-10-09 23:30:56.431890,5
