GUID,Inicio,Fim,Contador
fa06-78,2020-10-09 23:27:53.973731,2020-10-09 23:30:53.973731,4
fa06-37,2020-10-09 23:27:53.974273,2020-10-09 23:30:53.974273,4
fa06-30,2020-10-09 23:27:53.957571,2020-10-09 23:30:53.957571,3
fa06-92,2020-10-09 23:27:53.980373,2020-10-09 23:30:53.980373,3
fa06-88,2020-10-09 23:27:53.967563,2020-10-09 23:30:53.967563,6
fa06-99,2020-10-09 23:27:53.962760,2020-10-09 23:30:53.962760,4
fa06-32,2020-10-09 23:27:53.936391,2020-10-09 23:30:53.936391,7
fa06-76,2020-10-09 23:27:53.937876,2020-10-09 23:30:53.937876,6
fa06-0,2020-10-09 23:27:53.876188,2020-10-09 23:30:53.876188,4
fa06-26,2020-10-09 23:27:53.943850,2020-10-09 23:30:53.943850,5
fa06-8,2020-10-09 23:27:53.902348,2020-10-09 23:30:53.902348,6
fa06-42,2020-10-09 23:27:53.913209,2020-10-09 23:30:53.913209,4
fa06-48,2020-10-09 23:27:53.930523,2020-10-09 23:30:53.930523,5
fa06-83,2020-10-09 23:27:53.955908,2020-10-09 23:30:53.955908,4
fa06-70,2020-10-09 23:27:53.954452,2020-10-09 23:30:53.954452,4
fa06-55,2020-10-09 23:27:53.941144,2020-10-09 23:30:53.941144,4
fa06-79,2020-10-09 23:27:53.972950,2020-10-09 23:30:53.972950,3
fa06-89,2020-10-09 23:27:53.975101,2020-10-09 23:30:53.975101,4
fa06-11,2020-10-09 23:27:53.885497,2020-10-09 23:30:53.885497,6
fa06-63,2020-10-09 23:27:53.921482,2020-10-09 23:30:53.921482,5
fa06-31,2020-10-09 23:27:53.954406,2020-10-09 23:30:53.954406,5
fa06-23,2020-10-09 23:27:53.954776,2020-10-09 23:30:53.954776,4
fa06-34,2020-10-09 23:27:53.927960,2020-10-09 23:30:53.927960,5
fa06-67,2020-10-09 23:27:53.958947,2020-10-09 23:30:53.958947,5
fa06-81,2020-10-09 23:27:53.977205,2020-10-09 23:30:53.977205,4
fa06-25,2020-10-09 23:27:53.958844,2020-10-09 23:30:53.958844,4
fa06-47,2020-10-09 23:27:53.930705,2020-10-09 23:30:53.930705,4
fa06-41,2020-10-09 23:27:53.937967,2020-10-09 23:30:53.937967,4
fa06-21,2020-10-09 23:27:53.921069,2020-10-09 23:30:53.921069,4
fa06-56,2020-10-09 23:27:53.942919,2020-10-09 23:30:53.942919,4
fa06-51,2020-10-09 23:27:53.940954,2020-10-09 23:30:53.940954,4
fa06-6,2020-10-09 23:27:53.891644,2020-10-09 23:30:53.891644,4
fa06-3,2020-10-09 23:27:53.895029,2020-10-09 23:30:53.895029,4
fa06-17,2020-10-09 23:27:53.901538,2020-10-09 23:30:53.901538,5
fa06-62,2020-10-09 23:27:53.948541,2020-10-09 23:30:53.948541,4
fa06-58,2020-10-09 23:27:53.968601,2020-10-09 23:30:53.968601,4
fa06-77,2020-10-09 23:27:53.952837,2020-10-09 23:30:53.952837,6
fa06-43,2020-10-09 23:27:53.962368,2020-10-09 23:30:53.962368,4
fa06-98,2020-10-09 23:27:53.945954,2020-10-09 23:30:53.945954,4
fa06-68,2020-10-09 23:27:53.962106,2020-10-09 23:30:53.962106,4
fa06-75,2020-10-09 23:27:53.931701,2020-10-09 23:30:53.931701,5
fa06-15,2020-10-09 23:27:53.897322,2020-10-09 23:30:53.897322,5
fa06-57,2020-10-09 23:27:53.916094,2020-10-09 23:30:53.916094,5
fa06-38,2020-10-09 23:27:53.927611,2020-10-09 23:30:53.927611,4
fa06-49,2020-10-09 23:27:53.970090,2020-10-09 23:30:53.970090,4
fa06-65,2020-10-09 23:27:53.941906,2020-10-09 23:30:53.941906,5
fa06-95,2020-10-09 23:27:53.977011,2020-10-09 23:30:53.977011,5
fa06-85,2020-10-09 23:27:53.965855,2020-10-09 23:30:53.965855,4
fa06-20,2020-10-09 23:27:53.914599,2020-10-09 23:30:53.914599,4
fa06-94,2020-10-09 23:27:53.950821,2020-10-09 23:30:53.950821,5
fa06-69,2020-10-09 23:27:53.957169,2020-10-09 23:30:53.957169,4
fa06-93,2020-10-09 23:27:53.934394,2020-10-09 23:30:53.934394,4
fa06-45,2020-10-09 23:27:53.936551,2020-10-09 23:30:53.936551,4
fa06-1,2020-10-09 23:27:53.892375,2020-10-09 23:30:53.892375,5
fa06-50,2020-10-09 23:27:53.957098,2020-10-09 23:30:53.957098,6
fa06-5,2020-10-09 23:27:53.877738,2020-10-09 23:30:53.877738,4
fa06-72,2020-10-09 23:27:53.928344,2020-10-09 23:30:53.928344,4
fa06-80,2020-10-09 23:27:53.942131,2020-10-09 23:30:53.942131,4
fa06-22,2020-10-09 23:27:53.950647,2020-10-09 23:30:53.950647,4
fa06-59,2020-10-09 23:27:53.935072,2020-10-09 23:30:53.935072,6
fa06-66,2020-10-09 23:27:53.951260,2020-10-09 23:30:53.951260,4
fa06-73,2020-10-09 23:27:53.968538,2020-10-09 23:30:53.968538,5
fa06-7,2020-10-09 23:27:53.895406,2020-10-09 23:30:53.895406,6
fa06-97,2020-10-09 23:27:53.980131,2020-10-09 23:30:53.980131,4
fa06-54,2020-10-09 23:27:53.961119,2020-10-09 23:30:53.961119,5
fa06-13,2020-10-09 23:27:53.883776,2020-10-09 23:30:53.883776,4
fa06-61,2020-10-09 23:27:53.968431,2020-10-09 23:30:53.968431,7
fa06-10,2020-10-09 23:27:53.902233,2020-10-09 23:30:53.902233,6
fa06-53,2020-10-09 23:27:53.980523,2020-10-09 23:30:53.980523,4
fa06-36,2020-10-09 23:27:53.942330,2020-10-09 23:30:53.942330,4
fa06-40,2020-10-09 23:27:53.949722,2020-10-09 23:30:53.949722,4
fa06-71,2020-10-09 23:27:53.967648,2020-10-09 23:30:53.967648,5
fa06-4,2020-10-09 23:27:53.877282,2020-10-09 23:30:53.877282,5
fa06-27,2020-10-09 23:27:53.955209,2020-10-09 23:30:53.955209,4
fa06-29,2020-10-09 23:27:53.960788,2020-10-09 23:30:53.960788,4
fa06-9,2020-10-09 23:27:53.886362,2020-10-09 23:30:53.886362,5
fa06-39,2020-10-09 23:27:53.953067,2020-10-09 23:30:53.953067,4
fa06-18,2020-10-09 23:27:53.886677,2020-10-09 23:30:53.886677,5
fa06-44,2020-10-09 23:27:53.940025,2020-10-09 23:30:53.940025,4
fa06-82,2020-10-09 23:27:53.953664,2020-10-09 23:30:53.953664,6
fa06-12,2020-10-09 23:27:53.886385,2020-10-09 23:30:53.886385,5
fa06-16,2020-10-09 23:27:53.891025,2020-10-09 23:30:53.891025,6
fa06-74,2020-10-09 23:27:53.956535,2020-10-09 23:30:53.956535,4
fa06-14,2020-10-09 23:27:53.905790,2020-10-09 23:30:53.905790,5
fa06-60,2020-10-09 23:27:53.980181,2020-10-09 23:30:53.980181,5
fa06-96,2020-10-09 23:27:53.980959,2020-10-09 23:30:53.980959,5
fa06-87,2020-10-09 23:27:53.974890,2020-10-09 23:30:53.974890,4
fa06-28,2020-10-09 23:27:53.945720,2020-10-09 23:30:53.945720,5
fa06-46,2020-10-09 23:27:53.950696,2020-10-09 23:30:53.950696,5
fa06-33,2020-10-09 23:27:53.945666,2020-10-09 23:30:53.945666,5
fa06-90,2020-10-09 23:27:53.960566,2020-10-09 23:30:53.960566,5
fa06-35,2020-10-09 23:27:53.969784,2020-10-09 23:30:53.969784,4
fa06-19,2020-10-09 23:27:53.901844,2020-10-09 23:30:53.901844,6
fa06-24,2020-10-09 23:27:53.972282,2020-10-09 23:30:53.972282,6
fa06-52,2020-10-09 23:27:53.962710,2020-10-09 23:30:53.962710,5
fa06-2,2020-10-09 23:27:53.891770,2020-10-09 23:30:53.891770,4
fa06-84,2020-10-09 23:27:53.944612,2020-10-09 23:30:53.944612,5
fa06-86,2020-10-09 23:27:53.958734,2020-10-09 23:30:53.958734,4
fa06-91,2020-10-09 23:27:53.977524,2020-10-09 23:30:53.977524,5
fa06-64,2020-10-09 23:27:53.947112,2020-10-09 23:30:53.947112,5
TOTAL,,,461
