GUID,Inicio,Fim,Contador
b888-11,2020-10-09 23:54:41.231243,2020-10-09 23:57:41.231243,4
b888-239,2020-10-09 23:54:41.496765,2020-10-09 23:57:41.496765,6
b888-236,2020-10-09 23:54:41.471708,2020-10-09 23:57:41.471708,4
b888-415,2020-10-09 23:54:41.831214,2020-10-09 23:57:41.831214,0
b888-298,2020-10-09 23:54:41.668106,2020-10-09 23:57:41.668106,3
b888-309,2020-10-09 23:54:41.707443,2020-10-09 23:57:41.707443,6
b888-126,2020-10-09 23:54:41.350561,2020-10-09 23:57:41.350561,4
b888-127,2020-10-09 23:54:41.370424,2020-10-09 23:57:41.370424,4
b888-174,2020-10-09 23:54:41.453916,2020-10-09 23:57:41.453916,4
b888-225,2020-10-09 23:54:41.455772,2020-10-09 23:57:41.455772,3
b888-395,2020-10-09 23:54:41.793701,2020-10-09 23:57:41.793701,0
b888-150,2020-10-09 23:54:41.371201,2020-10-09 23:57:41.371201,4
b888-106,2020-10-09 23:54:41.328769,2020-10-09 23:57:41.328769,4
b888-279,2020-10-09 23:54:41.571712,2020-10-09 23:57:41.571712,5
b888-465,2020-10-09 23:54:41.996942,2020-10-09 23:57:41.996942,1
b888-273,2020-10-09 23:54:41.566679,2020-10-09 23:57:41.566679,3
b888-203,2020-10-09 23:54:41.467059,2020-10-09 23:57:41.467059,5
b888-353,2020-10-09 23:54:41.786388,2020-10-09 23:57:41.786388,0
b888-426,2020-10-09 23:54:41.835634,2020-10-09 23:57:41.835634,0
b888-267,2020-10-09 23:54:41.526811,2020-10-09 23:57:41.526811,5
b888-377,2020-10-09 23:54:41.769738,2020-10-09 23:57:41.769738,0
b888-144,2020-10-09 23:54:41.374197,2020-10-09 23:57:41.374197,3
b888-115,2020-10-09 23:54:41.356972,2020-10-09 23:57:41.356972,3
b888-95,2020-10-09 23:54:41.338318,2020-10-09 23:57:41.338318,3
b888-152,2020-10-09 23:54:41.378399,2020-10-09 23:57:41.378399,3
b888-249,2020-10-09 23:54:41.508404,2020-10-09 23:57:41.508404,4
b888-292,2020-10-09 23:54:41.653556,2020-10-09 23:57:41.653556,3
b888-260,2020-10-09 23:54:41.534396,2020-10-09 23:57:41.534396,5
b888-120,2020-10-09 23:54:41.352149,2020-10-09 23:57:41.352149,4
b888-285,2020-10-09 23:54:41.625265,2020-10-09 23:57:41.625265,5
b888-401,2020-10-09 23:54:41.806418,2020-10-09 23:57:41.806418,0
b888-368,2020-10-09 23:54:41.754934,2020-10-09 23:57:41.754934,0
b888-310,2020-10-09 23:54:41.679126,2020-10-09 23:57:41.679126,4
b888-55,2020-10-09 23:54:41.334474,2020-10-09 23:57:41.334474,3
b888-87,2020-10-09 23:54:41.331108,2020-10-09 23:57:41.331108,3
b888-70,2020-10-09 23:54:41.314126,2020-10-09 23:57:41.314126,4
b888-397,2020-10-09 23:54:41.802886,2020-10-09 23:57:41.802886,0
b888-491,2020-10-09 23:54:42.061486,2020-10-09 23:57:42.061486,1
b888-297,2020-10-09 23:54:41.662510,2020-10-09 23:57:41.662510,4
b888-302,2020-10-09 23:54:41.676229,2020-10-09 23:57:41.676229,4
b888-213,2020-10-09 23:54:41.458091,2020-10-09 23:57:41.458091,4
b888-114,2020-10-09 23:54:41.361595,2020-10-09 23:57:41.361595,6
b888-460,2020-10-09 23:54:41.969837,2020-10-09 23:57:41.969837,0
b888-322,2020-10-09 23:54:41.703800,2020-10-09 23:57:41.703800,4
b888-222,2020-10-09 23:54:41.469473,2020-10-09 23:57:41.469473,4
b888-229,2020-10-09 23:54:41.448832,2020-10-09 23:57:41.448832,4
b888-485,2020-10-09 23:54:42.060120,2020-10-09 23:57:42.060120,0
b888-118,2020-10-09 23:54:41.357365,2020-10-09 23:57:41.357365,5
b888-71,2020-10-09 23:54:41.346132,2020-10-09 23:57:41.346132,4
b888-19,2020-10-09 23:54:41.270487,2020-10-09 23:57:41.270487,5
b888-223,2020-10-09 23:54:41.459464,2020-10-09 23:57:41.459464,4
b888-37,2020-10-09 23:54:41.302410,2020-10-09 23:57:41.302410,4
b888-57,2020-10-09 23:54:41.290163,2020-10-09 23:57:41.290163,4
b888-458,2020-10-09 23:54:41.923516,2020-10-09 23:57:41.923516,1
b888-451,2020-10-09 23:54:41.916646,2020-10-09 23:57:41.916646,0
b888-47,2020-10-09 23:54:41.304568,2020-10-09 23:57:41.304568,5
b888-165,2020-10-09 23:54:41.386538,2020-10-09 23:57:41.386538,4
b888-461,2020-10-09 23:54:41.987675,2020-10-09 23:57:41.987675,0
b888-348,2020-10-09 23:54:41.744692,2020-10-09 23:57:41.744692,0
b888-367,2020-10-09 23:54:41.726719,2020-10-09 23:57:41.726719,0
b888-484,2020-10-09 23:54:42.041684,2020-10-09 23:57:42.041684,1
b888-483,2020-10-09 23:54:42.057352,2020-10-09 23:57:42.057352,0
b888-477,2020-10-09 23:54:42.011068,2020-10-09 23:57:42.011068,0
b888-262,2020-10-09 23:54:41.538628,2020-10-09 23:57:41.538628,5
b888-380,2020-10-09 23:54:41.783054,2020-10-09 23:57:41.783054,0
b888-405,2020-10-09 23:54:41.805862,2020-10-09 23:57:41.805862,0
b888-188,2020-10-09 23:54:41.419216,2020-10-09 23:57:41.419216,5
b888-482,2020-10-09 23:54:42.032779,2020-10-09 23:57:42.032779,1
b888-22,2020-10-09 23:54:41.334224,2020-10-09 23:57:41.334224,5
b888-383,2020-10-09 23:54:41.794487,2020-10-09 23:57:41.794487,0
b888-388,2020-10-09 23:54:41.731075,2020-10-09 23:57:41.731075,0
b888-13,2020-10-09 23:54:41.272135,2020-10-09 23:57:41.272135,6
b888-200,2020-10-09 23:54:41.419848,2020-10-09 23:57:41.419848,4
b888-180,2020-10-09 23:54:41.420532,2020-10-09 23:57:41.420532,4
b888-1,2020-10-09 23:54:41.260532,2020-10-09 23:57:41.260532,5
b888-4,2020-10-09 23:54:41.248911,2020-10-09 23:57:41.248911,4
b888-227,2020-10-09 23:54:41.448351,2020-10-09 23:57:41.448351,5
b888-432,2020-10-09 23:54:41.872352,2020-10-09 23:57:41.872352,1
b888-6,2020-10-09 23:54:41.255403,2020-10-09 23:57:41.255403,6
b888-122,2020-10-09 23:54:41.363363,2020-10-09 23:57:41.363363,4
b888-318,2020-10-09 23:54:41.702968,2020-10-09 23:57:41.702968,6
b888-379,2020-10-09 23:54:41.758691,2020-10-09 23:57:41.758691,0
b888-81,2020-10-09 23:54:41.295975,2020-10-09 23:57:41.295975,5
b888-15,2020-10-09 23:54:41.235134,2020-10-09 23:57:41.235134,6
b888-314,2020-10-09 23:54:41.680905,2020-10-09 23:57:41.680905,4
b888-18,2020-10-09 23:54:41.276563,2020-10-09 23:57:41.276563,4
b888-356,2020-10-09 23:54:41.779507,2020-10-09 23:57:41.779507,0
b888-375,2020-10-09 23:54:41.753373,2020-10-09 23:57:41.753373,0
b888-202,2020-10-09 23:54:41.437502,2020-10-09 23:57:41.437502,4
b888-487,2020-10-09 23:54:42.051747,2020-10-09 23:57:42.051747,1
b888-83,2020-10-09 23:54:41.334666,2020-10-09 23:57:41.334666,3
b888-107,2020-10-09 23:54:41.335544,2020-10-09 23:57:41.335544,5
b888-296,2020-10-09 23:54:41.650711,2020-10-09 23:57:41.650711,3
b888-467,2020-10-09 23:54:42.019606,2020-10-09 23:57:42.019606,0
b888-493,2020-10-09 23:54:42.065968,2020-10-09 23:57:42.065968,0
b888-89,2020-10-09 23:54:41.344119,2020-10-09 23:57:41.344119,5
b888-304,2020-10-09 23:54:41.672978,2020-10-09 23:57:41.672978,4
b888-21,2020-10-09 23:54:41.281490,2020-10-09 23:57:41.281490,6
b888-91,2020-10-09 23:54:41.330321,2020-10-09 23:57:41.330321,4
b888-112,2020-10-09 23:54:41.351822,2020-10-09 23:57:41.351822,3
b888-201,2020-10-09 23:54:41.442282,2020-10-09 23:57:41.442282,5
b888-459,2020-10-09 23:54:41.956978,2020-10-09 23:57:41.956978,0
b888-393,2020-10-09 23:54:41.788578,2020-10-09 23:57:41.788578,0
b888-476,2020-10-09 23:54:42.024281,2020-10-09 23:57:42.024281,1
b888-79,2020-10-09 23:54:41.321244,2020-10-09 23:57:41.321244,5
b888-137,2020-10-09 23:54:41.362807,2020-10-09 23:57:41.362807,5
b888-358,2020-10-09 23:54:41.765005,2020-10-09 23:57:41.765005,0
b888-345,2020-10-09 23:54:41.794279,2020-10-09 23:57:41.794279,0
b888-492,2020-10-09 23:54:42.068538,2020-10-09 23:57:42.068538,1
