GUID,Inicio,Fim,Contador
dbce-132,2020-10-09 23:54:41.720297,2020-10-09 23:57:41.720297,5
dbce-168,2020-10-09 23:54:41.729238,2020-10-09 23:57:41.729238,4
dbce-319,2020-10-09 23:54:42.145885,2020-10-09 23:57:42.145885,3
dbce-422,2020-10-09 23:54:42.269607,2020-10-09 23:57:42.269607,0
dbce-177,2020-10-09 23:54:41.735057,2020-10-09 23:57:41.735057,5
dbce-405,2020-10-09 23:54:42.248980,2020-10-09 23:57:42.248980,1
dbce-376,2020-10-09 23:54:42.227410,2020-10-09 23:57:42.227410,1
dbce-331,2020-10-09 23:54:42.168112,2020-10-09 23:57:42.168112,5
dbce-80,2020-10-09 23:54:41.673360,2020-10-09 23:57:41.673360,5
dbce-377,2020-10-09 23:54:42.215599,2020-10-09 23:57:42.215599,2
dbce-257,2020-10-09 23:54:41.998271,2020-10-09 23:57:41.998271,6
dbce-223,2020-10-09 23:54:41.780838,2020-10-09 23:57:41.780838,4
dbce-457,2020-10-09 23:54:42.338486,2020-10-09 23:57:42.338486,2
dbce-372,2020-10-09 23:54:42.209425,2020-10-09 23:57:42.209425,1
dbce-2,2020-10-09 23:54:41.552506,2020-10-09 23:57:41.552506,4
dbce-414,2020-10-09 23:54:43.449808,2020-10-09 23:57:43.449808,0
dbce-490,2020-10-09 23:54:42.433063,2020-10-09 23:57:42.433063,0
dbce-440,2020-10-09 23:54:42.296741,2020-10-09 23:57:42.296741,2
dbce-188,2020-10-09 23:54:41.771436,2020-10-09 23:57:41.771436,5
dbce-328,2020-10-09 23:54:42.151896,2020-10-09 23:57:42.151896,6
dbce-367,2020-10-09 23:54:42.211081,2020-10-09 23:57:42.211081,1
dbce-446,2020-10-09 23:54:42.325300,2020-10-09 23:57:42.325300,2
dbce-324,2020-10-09 23:54:42.157247,2020-10-09 23:57:42.157247,4
dbce-417,2020-10-09 23:54:42.279882,2020-10-09 23:57:42.279882,1
dbce-131,2020-10-09 23:54:41.712701,2020-10-09 23:57:41.712701,3
dbce-392,2020-10-09 23:54:42.252985,2020-10-09 23:57:42.252985,0
dbce-220,2020-10-09 23:54:41.771325,2020-10-09 23:57:41.771325,4
dbce-144,2020-10-09 23:54:41.704699,2020-10-09 23:57:41.704699,4
dbce-413,2020-10-09 23:54:44.342546,2020-10-09 23:57:44.342546,1
dbce-432,2020-10-09 23:54:42.290902,2020-10-09 23:57:42.290902,0
dbce-487,2020-10-09 23:54:42.417439,2020-10-09 23:57:42.417439,1
dbce-259,2020-10-09 23:54:41.996928,2020-10-09 23:57:41.996928,4
dbce-338,2020-10-09 23:54:42.158914,2020-10-09 23:57:42.158914,5
dbce-106,2020-10-09 23:54:41.702119,2020-10-09 23:57:41.702119,4
dbce-304,2020-10-09 23:54:42.127010,2020-10-09 23:57:42.127010,4
dbce-243,2020-10-09 23:54:41.917722,2020-10-09 23:57:41.917722,5
dbce-163,2020-10-09 23:54:41.722570,2020-10-09 23:57:41.722570,3
dbce-231,2020-10-09 23:54:41.813847,2020-10-09 23:57:41.813847,3
dbce-397,2020-10-09 23:54:42.246354,2020-10-09 23:57:42.246354,1
dbce-494,2020-10-09 23:54:42.442902,2020-10-09 23:57:42.442902,1
dbce-327,2020-10-09 23:54:42.152491,2020-10-09 23:57:42.152491,5
dbce-232,2020-10-09 23:54:41.813661,2020-10-09 23:57:41.813661,4
dbce-84,2020-10-09 23:54:41.710815,2020-10-09 23:57:41.710815,4
dbce-357,2020-10-09 23:54:42.201829,2020-10-09 23:57:42.201829,0
dbce-407,2020-10-09 23:54:42.268488,2020-10-09 23:57:42.268488,0
dbce-23,2020-10-09 23:54:41.626915,2020-10-09 23:57:41.626915,6
dbce-96,2020-10-09 23:54:41.683198,2020-10-09 23:57:41.683198,3
