GUID,Inicio,Fim,Contador
e12a-29,2020-10-09 23:54:41.964834,2020-10-09 23:57:41.964834,4
e12a-57,2020-10-09 23:54:41.997488,2020-10-09 23:57:41.997488,4
e12a-287,2020-10-09 23:54:42.427044,2020-10-09 23:57:42.427044,4
e12a-0,2020-10-09 23:54:41.933790,2020-10-09 23:57:41.933790,5
e12a-398,2020-10-09 23:54:42.713118,2020-10-09 23:57:42.713118,0
e12a-123,2020-10-09 23:54:42.059758,2020-10-09 23:57:42.059758,4
e12a-254,2020-10-09 23:54:42.277033,2020-10-09 23:57:42.277033,4
e12a-135,2020-10-09 23:54:42.088445,2020-10-09 23:57:42.088445,4
e12a-496,2020-10-09 23:54:42.928940,2020-10-09 23:57:42.928940,1
e12a-1,2020-10-09 23:54:41.920065,2020-10-09 23:57:41.920065,5
e12a-179,2020-10-09 23:54:42.141600,2020-10-09 23:57:42.141600,5
e12a-230,2020-10-09 23:54:42.197878,2020-10-09 23:57:42.197878,4
e12a-126,2020-10-09 23:54:42.081921,2020-10-09 23:57:42.081921,3
e12a-182,2020-10-09 23:54:42.153865,2020-10-09 23:57:42.153865,4
e12a-143,2020-10-09 23:54:42.090977,2020-10-09 23:57:42.090977,4
e12a-311,2020-10-09 23:54:42.557330,2020-10-09 23:57:42.557330,4
e12a-268,2020-10-09 23:54:42.313408,2020-10-09 23:57:42.313408,3
e12a-147,2020-10-09 23:54:42.096657,2020-10-09 23:57:42.096657,3
e12a-169,2020-10-09 23:54:42.127623,2020-10-09 23:57:42.127623,5
e12a-491,2020-10-09 23:54:42.921220,2020-10-09 23:57:42.921220,0
e12a-219,2020-10-09 23:54:42.158271,2020-10-09 23:57:42.158271,4
e12a-207,2020-10-09 23:54:42.122928,2020-10-09 23:57:42.122928,3
e12a-220,2020-10-09 23:54:42.158777,2020-10-09 23:57:42.158777,4
e12a-172,2020-10-09 23:54:42.173014,2020-10-09 23:57:42.173014,4
e12a-116,2020-10-09 23:54:42.029929,2020-10-09 23:57:42.029929,4
e12a-107,2020-10-09 23:54:42.042262,2020-10-09 23:57:42.042262,5
e12a-228,2020-10-09 23:54:42.189419,2020-10-09 23:57:42.189419,4
e12a-493,2020-10-09 23:54:42.942995,2020-10-09 23:57:42.942995,1
e12a-486,2020-10-09 23:54:42.908381,2020-10-09 23:57:42.908381,1
e12a-328,2020-10-09 23:54:42.572285,2020-10-09 23:57:42.572285,3
e12a-275,2020-10-09 23:54:42.375929,2020-10-09 23:57:42.375929,3
e12a-457,2020-10-09 23:54:42.789270,2020-10-09 23:57:42.789270,1
e12a-279,2020-10-09 23:54:42.384133,2020-10-09 23:57:42.384133,3
e12a-105,2020-10-09 23:54:42.019839,2020-10-09 23:57:42.019839,3
e12a-34,2020-10-09 23:54:41.996653,2020-10-09 23:57:41.996653,4
e12a-170,2020-10-09 23:54:42.162860,2020-10-09 23:57:42.162860,4
e12a-356,2020-10-09 23:54:42.662889,2020-10-09 23:57:42.662889,0
e12a-310,2020-10-09 23:54:42.548312,2020-10-09 23:57:42.548312,3
e12a-229,2020-10-09 23:54:42.197388,2020-10-09 23:57:42.197388,4
e12a-90,2020-10-09 23:54:42.036277,2020-10-09 23:57:42.036277,4
e12a-52,2020-10-09 23:54:41.997705,2020-10-09 23:57:41.997705,4
e12a-162,2020-10-09 23:54:42.113829,2020-10-09 23:57:42.113829,3
e12a-117,2020-10-09 23:54:42.049452,2020-10-09 23:57:42.049452,3
e12a-403,2020-10-09 23:54:42.716050,2020-10-09 23:57:42.716050,0
e12a-11,2020-10-09 23:54:41.931402,2020-10-09 23:57:41.931402,5
e12a-49,2020-10-09 23:54:41.993538,2020-10-09 23:57:41.993538,5
e12a-188,2020-10-09 23:54:42.120353,2020-10-09 23:57:42.120353,4
e12a-72,2020-10-09 23:54:41.989742,2020-10-09 23:57:41.989742,4
e12a-168,2020-10-09 23:54:42.094230,2020-10-09 23:57:42.094230,4
e12a-85,2020-10-09 23:54:42.053634,2020-10-09 23:57:42.053634,4
e12a-10,2020-10-09 23:54:41.929138,2020-10-09 23:57:41.929138,4
e12a-109,2020-10-09 23:54:42.078841,2020-10-09 23:57:42.078841,3
e12a-54,2020-10-09 23:54:41.996106,2020-10-09 23:57:41.996106,4
e12a-141,2020-10-09 23:54:42.079296,2020-10-09 23:57:42.079296,4
e12a-175,2020-10-09 23:54:42.121665,2020-10-09 23:57:42.121665,4
e12a-9,2020-10-09 23:54:41.930698,2020-10-09 23:57:41.930698,4
e12a-158,2020-10-09 23:54:42.093698,2020-10-09 23:57:42.093698,5
e12a-77,2020-10-09 23:54:41.992960,2020-10-09 23:57:41.992960,4
e12a-363,2020-10-09 23:54:43.698414,2020-10-09 23:57:43.698414,1
e12a-38,2020-10-09 23:54:41.971405,2020-10-09 23:57:41.971405,6
e12a-422,2020-10-09 23:54:44.631248,2020-10-09 23:57:44.631248,0
e12a-419,2020-10-09 23:54:42.716687,2020-10-09 23:57:42.716687,0
e12a-315,2020-10-09 23:54:43.645008,2020-10-09 23:57:43.645008,5
e12a-454,2020-10-09 23:54:46.813302,2020-10-09 23:57:46.813302,1
e12a-276,2020-10-09 23:54:42.387820,2020-10-09 23:57:42.387820,3
e12a-225,2020-10-09 23:54:42.192766,2020-10-09 23:57:42.192766,3
e12a-167,2020-10-09 23:54:42.115745,2020-10-09 23:57:42.115745,5
e12a-128,2020-10-09 23:54:42.064789,2020-10-09 23:57:42.064789,5
e12a-291,2020-10-09 23:54:42.468895,2020-10-09 23:57:42.468895,3
e12a-450,2020-10-09 23:54:45.587573,2020-10-09 23:57:45.587573,0
e12a-79,2020-10-09 23:54:42.011793,2020-10-09 23:57:42.011793,4
