GUID,Inicio,Fim,Contador
781d-70,2020-10-09 23:37:11.423464,2020-10-09 23:40:11.423464,3
781d-51,2020-10-09 23:37:11.406259,2020-10-09 23:40:11.406259,4
781d-39,2020-10-09 23:37:11.389458,2020-10-09 23:40:11.389458,4
781d-16,2020-10-09 23:37:11.341754,2020-10-09 23:40:11.341754,5
781d-77,2020-10-09 23:37:11.395119,2020-10-09 23:40:11.395119,3
781d-28,2020-10-09 23:37:11.388933,2020-10-09 23:40:11.388933,3
781d-94,2020-10-09 23:37:11.416614,2020-10-09 23:40:11.416614,5
781d-92,2020-10-09 23:37:11.400746,2020-10-09 23:40:11.400746,4
781d-71,2020-10-09 23:37:11.399453,2020-10-09 23:40:11.399453,4
781d-9,2020-10-09 23:37:11.356211,2020-10-09 23:40:11.356211,4
781d-50,2020-10-09 23:37:11.391238,2020-10-09 23:40:11.391238,4
781d-47,2020-10-09 23:37:11.396399,2020-10-09 23:40:11.396399,4
781d-91,2020-10-09 23:37:11.423509,2020-10-09 23:40:11.423509,6
781d-63,2020-10-09 23:37:11.405794,2020-10-09 23:40:11.405794,3
781d-19,2020-10-09 23:37:11.380418,2020-10-09 23:40:11.380418,5
781d-27,2020-10-09 23:37:11.387070,2020-10-09 23:40:11.387070,3
781d-90,2020-10-09 23:37:11.422342,2020-10-09 23:40:11.422342,4
781d-35,2020-10-09 23:37:11.402615,2020-10-09 23:40:11.402615,4
781d-66,2020-10-09 23:37:11.400174,2020-10-09 23:40:11.400174,4
781d-10,2020-10-09 23:37:11.340079,2020-10-09 23:40:11.340079,4
781d-36,2020-10-09 23:37:11.405723,2020-10-09 23:40:11.405723,5
781d-48,2020-10-09 23:37:11.394348,2020-10-09 23:40:11.394348,4
781d-64,2020-10-09 23:37:11.426648,2020-10-09 23:40:11.426648,3
781d-73,2020-10-09 23:37:11.417930,2020-10-09 23:40:11.417930,4
781d-75,2020-10-09 23:37:11.404891,2020-10-09 23:40:11.404891,4
781d-52,2020-10-09 23:37:11.395636,2020-10-09 23:40:11.395636,4
781d-74,2020-10-09 23:37:11.386327,2020-10-09 23:40:11.386327,5
781d-59,2020-10-09 23:37:11.419722,2020-10-09 23:40:11.419722,5
781d-29,2020-10-09 23:37:11.416930,2020-10-09 23:40:11.416930,4
781d-96,2020-10-09 23:37:11.403408,2020-10-09 23:40:11.403408,5
781d-41,2020-10-09 23:37:11.402184,2020-10-09 23:40:11.402184,5
781d-83,2020-10-09 23:37:11.401857,2020-10-09 23:40:11.401857,3
781d-60,2020-10-09 23:37:11.421125,2020-10-09 23:40:11.421125,4
781d-43,2020-10-09 23:37:11.373597,2020-10-09 23:40:11.373597,4
781d-1,2020-10-09 23:37:11.352584,2020-10-09 23:40:11.352584,6
781d-30,2020-10-09 23:37:11.422641,2020-10-09 23:40:11.422641,5
781d-46,2020-10-09 23:37:11.404940,2020-10-09 23:40:11.404940,3
781d-97,2020-10-09 23:37:11.423050,2020-10-09 23:40:11.423050,4
781d-23,2020-10-09 23:37:11.407915,2020-10-09 23:40:11.407915,4
781d-32,2020-10-09 23:37:11.392245,2020-10-09 23:40:11.392245,5
781d-42,2020-10-09 23:37:11.406463,2020-10-09 23:40:11.406463,5
781d-67,2020-10-09 23:37:11.423105,2020-10-09 23:40:11.423105,6
781d-56,2020-10-09 23:37:11.396341,2020-10-09 23:40:11.396341,4
781d-98,2020-10-09 23:37:11.401446,2020-10-09 23:40:11.401446,5
781d-93,2020-10-09 23:37:11.388794,2020-10-09 23:40:11.388794,5
781d-89,2020-10-09 23:37:11.398801,2020-10-09 23:40:11.398801,4
781d-88,2020-10-09 23:37:11.421054,2020-10-09 23:40:11.421054,6
781d-57,2020-10-09 23:37:11.404305,2020-10-09 23:40:11.404305,5
781d-44,2020-10-09 23:37:11.397996,2020-10-09 23:40:11.397996,4
781d-61,2020-10-09 23:37:11.391400,2020-10-09 23:40:11.391400,4
781d-72,2020-10-09 23:37:11.425889,2020-10-09 23:40:11.425889,4
781d-20,2020-10-09 23:37:11.345605,2020-10-09 23:40:11.345605,5
781d-34,2020-10-09 23:37:11.387449,2020-10-09 23:40:11.387449,4
781d-58,2020-10-09 23:37:11.379542,2020-10-09 23:40:11.379542,4
781d-26,2020-10-09 23:37:11.365598,2020-10-09 23:40:11.365598,4
781d-81,2020-10-09 23:37:11.408330,2020-10-09 23:40:11.408330,4
781d-18,2020-10-09 23:37:11.372030,2020-10-09 23:40:11.372030,4
781d-25,2020-10-09 23:37:11.393677,2020-10-09 23:40:11.393677,4
781d-14,2020-10-09 23:37:11.342196,2020-10-09 23:40:11.342196,4
781d-80,2020-10-09 23:37:11.399081,2020-10-09 23:40:11.399081,3
781d-12,2020-10-09 23:37:11.353640,2020-10-09 23:40:11.353640,6
781d-76,2020-10-09 23:37:11.418275,2020-10-09 23:40:11.418275,4
781d-22,2020-10-09 23:37:11.369968,2020-10-09 23:40:11.369968,5
781d-68,2020-10-09 23:37:11.398590,2020-10-09 23:40:11.398590,6
781d-86,2020-10-09 23:37:11.408554,2020-10-09 23:40:11.408554,6
781d-87,2020-10-09 23:37:11.418514,2020-10-09 23:40:11.418514,5
781d-79,2020-10-09 23:37:11.420320,2020-10-09 23:40:11.420320,5
781d-85,2020-10-09 23:37:11.394875,2020-10-09 23:40:11.394875,5
