GUID,Inicio,Fim,Contador
7c3d-2,2020-10-09 23:37:10.135494,2020-10-09 23:40:10.135494,4
7c3d-95,2020-10-09 23:37:10.225152,2020-10-09 23:40:10.225152,4
7c3d-79,2020-10-09 23:37:10.212519,2020-10-09 23:40:10.212519,3
7c3d-89,2020-10-09 23:37:10.224686,2020-10-09 23:40:10.224686,3
7c3d-99,2020-10-09 23:37:10.225608,2020-10-09 23:40:10.225608,4
7c3d-50,2020-10-09 23:37:10.169750,2020-10-09 23:40:10.169750,5
7c3d-52,2020-10-09 23:37:10.170624,2020-10-09 23:40:10.170624,6
7c3d-16,2020-10-09 23:37:10.143909,2020-10-09 23:40:10.143909,4
7c3d-39,2020-10-09 23:37:10.184500,2020-10-09 23:40:10.184500,3
7c3d-57,2020-10-09 23:37:10.186358,2020-10-09 23:40:10.186358,4
7c3d-30,2020-10-09 23:37:10.189433,2020-10-09 23:40:10.189433,4
7c3d-74,2020-10-09 23:37:10.210300,2020-10-09 23:40:10.210300,4
7c3d-10,2020-10-09 23:37:10.153372,2020-10-09 23:40:10.153372,6
7c3d-72,2020-10-09 23:37:10.206767,2020-10-09 23:40:10.206767,3
7c3d-23,2020-10-09 23:37:10.195106,2020-10-09 23:40:10.195106,4
7c3d-75,2020-10-09 23:37:10.214982,2020-10-09 23:40:10.214982,5
7c3d-88,2020-10-09 23:37:10.226718,2020-10-09 23:40:10.226718,5
7c3d-5,2020-10-09 23:37:10.147141,2020-10-09 23:40:10.147141,4
7c3d-70,2020-10-09 23:37:10.201948,2020-10-09 23:40:10.201948,4
7c3d-1,2020-10-09 23:37:10.145781,2020-10-09 23:40:10.145781,5
7c3d-61,2020-10-09 23:37:10.186941,2020-10-09 23:40:10.186941,5
7c3d-42,2020-10-09 23:37:10.162257,2020-10-09 23:40:10.162257,4
7c3d-97,2020-10-09 23:37:10.232639,2020-10-09 23:40:10.232639,4
7c3d-27,2020-10-09 23:37:10.194889,2020-10-09 23:40:10.194889,6
7c3d-7,2020-10-09 23:37:10.136360,2020-10-09 23:40:10.136360,6
7c3d-8,2020-10-09 23:37:10.152794,2020-10-09 23:40:10.152794,5
7c3d-35,2020-10-09 23:37:10.178715,2020-10-09 23:40:10.178715,6
7c3d-14,2020-10-09 23:37:10.160875,2020-10-09 23:40:10.160875,5
7c3d-92,2020-10-09 23:37:10.225687,2020-10-09 23:40:10.225687,5
7c3d-38,2020-10-09 23:37:10.175395,2020-10-09 23:40:10.175395,4
7c3d-87,2020-10-09 23:37:10.224206,2020-10-09 23:40:10.224206,5
7c3d-85,2020-10-09 23:37:10.223420,2020-10-09 23:40:10.223420,6
7c3d-63,2020-10-09 23:37:10.166418,2020-10-09 23:40:10.166418,5
7c3d-82,2020-10-09 23:37:10.214584,2020-10-09 23:40:10.214584,4
7c3d-31,2020-10-09 23:37:10.182145,2020-10-09 23:40:10.182145,5
7c3d-49,2020-10-09 23:37:10.190074,2020-10-09 23:40:10.190074,4
7c3d-12,2020-10-09 23:37:10.142385,2020-10-09 23:40:10.142385,5
7c3d-0,2020-10-09 23:37:10.149578,2020-10-09 23:40:10.149578,4
7c3d-91,2020-10-09 23:37:10.225058,2020-10-09 23:40:10.225058,4
7c3d-3,2020-10-09 23:37:10.150213,2020-10-09 23:40:10.150213,4
7c3d-48,2020-10-09 23:37:10.160671,2020-10-09 23:40:10.160671,4
7c3d-64,2020-10-09 23:37:10.214681,2020-10-09 23:40:10.214681,4
7c3d-45,2020-10-09 23:37:10.191253,2020-10-09 23:40:10.191253,4
7c3d-21,2020-10-09 23:37:10.196277,2020-10-09 23:40:10.196277,4
7c3d-80,2020-10-09 23:37:10.216191,2020-10-09 23:40:10.216191,4
7c3d-53,2020-10-09 23:37:10.192523,2020-10-09 23:40:10.192523,4
7c3d-76,2020-10-09 23:37:10.211900,2020-10-09 23:40:10.211900,4
7c3d-43,2020-10-09 23:37:10.181763,2020-10-09 23:40:10.181763,6
7c3d-33,2020-10-09 23:37:10.188393,2020-10-09 23:40:10.188393,5
7c3d-44,2020-10-09 23:37:10.183209,2020-10-09 23:40:10.183209,5
7c3d-77,2020-10-09 23:37:10.197922,2020-10-09 23:40:10.197922,4
7c3d-94,2020-10-09 23:37:10.215606,2020-10-09 23:40:10.215606,5
7c3d-47,2020-10-09 23:37:10.159283,2020-10-09 23:40:10.159283,5
7c3d-96,2020-10-09 23:37:10.228833,2020-10-09 23:40:10.228833,4
7c3d-4,2020-10-09 23:37:10.136076,2020-10-09 23:40:10.136076,4
7c3d-24,2020-10-09 23:37:10.199743,2020-10-09 23:40:10.199743,5
7c3d-69,2020-10-09 23:37:10.202785,2020-10-09 23:40:10.202785,4
7c3d-54,2020-10-09 23:37:10.180907,2020-10-09 23:40:10.180907,4
7c3d-41,2020-10-09 23:37:10.170891,2020-10-09 23:40:10.170891,4
7c3d-11,2020-10-09 23:37:10.137965,2020-10-09 23:40:10.137965,4
7c3d-9,2020-10-09 23:37:10.152525,2020-10-09 23:40:10.152525,5
7c3d-59,2020-10-09 23:37:10.211776,2020-10-09 23:40:10.211776,6
7c3d-93,2020-10-09 23:37:10.213280,2020-10-09 23:40:10.213280,5
7c3d-40,2020-10-09 23:37:10.183441,2020-10-09 23:40:10.183441,4
7c3d-29,2020-10-09 23:37:10.170572,2020-10-09 23:40:10.170572,5
