GUID,Inicio,Fim,Contador
8d2b-55,2020-10-09 23:37:08.750338,2020-10-09 23:40:08.750338,4
8d2b-17,2020-10-09 23:37:08.715634,2020-10-09 23:40:08.715634,3
8d2b-49,2020-10-09 23:37:08.765317,2020-10-09 23:40:08.765317,5
8d2b-27,2020-10-09 23:37:08.752158,2020-10-09 23:40:08.752158,4
8d2b-6,2020-10-09 23:37:08.685019,2020-10-09 23:40:08.685019,4
8d2b-57,2020-10-09 23:37:08.746646,2020-10-09 23:40:08.746646,4
8d2b-81,2020-10-09 23:37:08.758486,2020-10-09 23:40:08.758486,5
8d2b-58,2020-10-09 23:37:08.768366,2020-10-09 23:40:08.768366,4
8d2b-69,2020-10-09 23:37:08.769465,2020-10-09 23:40:08.769465,4
8d2b-32,2020-10-09 23:37:08.752464,2020-10-09 23:40:08.752464,4
8d2b-71,2020-10-09 23:37:08.738992,2020-10-09 23:40:08.738992,3
8d2b-40,2020-10-09 23:37:08.770363,2020-10-09 23:40:08.770363,4
8d2b-59,2020-10-09 23:37:08.730199,2020-10-09 23:40:08.730199,3
8d2b-54,2020-10-09 23:37:08.762452,2020-10-09 23:40:08.762452,5
8d2b-37,2020-10-09 23:37:08.770955,2020-10-09 23:40:08.770955,6
8d2b-50,2020-10-09 23:37:08.746515,2020-10-09 23:40:08.746515,4
8d2b-46,2020-10-09 23:37:08.749925,2020-10-09 23:40:08.749925,5
8d2b-79,2020-10-09 23:37:08.771183,2020-10-09 23:40:08.771183,4
8d2b-25,2020-10-09 23:37:08.763670,2020-10-09 23:40:08.763670,5
8d2b-85,2020-10-09 23:37:08.751314,2020-10-09 23:40:08.751314,4
8d2b-93,2020-10-09 23:37:08.753915,2020-10-09 23:40:08.753915,5
8d2b-56,2020-10-09 23:37:08.741220,2020-10-09 23:40:08.741220,4
8d2b-78,2020-10-09 23:37:08.757967,2020-10-09 23:40:08.757967,5
8d2b-64,2020-10-09 23:37:08.767838,2020-10-09 23:40:08.767838,4
8d2b-66,2020-10-09 23:37:08.732790,2020-10-09 23:40:08.732790,4
8d2b-2,2020-10-09 23:37:08.687268,2020-10-09 23:40:08.687268,3
8d2b-39,2020-10-09 23:37:08.770894,2020-10-09 23:40:08.770894,5
8d2b-87,2020-10-09 23:37:08.758252,2020-10-09 23:40:08.758252,4
8d2b-80,2020-10-09 23:37:08.767484,2020-10-09 23:40:08.767484,3
8d2b-10,2020-10-09 23:37:08.687168,2020-10-09 23:40:08.687168,3
8d2b-33,2020-10-09 23:37:08.745493,2020-10-09 23:40:08.745493,4
8d2b-43,2020-10-09 23:37:08.771119,2020-10-09 23:40:08.771119,6
8d2b-31,2020-10-09 23:37:08.769884,2020-10-09 23:40:08.769884,4
8d2b-3,2020-10-09 23:37:08.682876,2020-10-09 23:40:08.682876,4
8d2b-92,2020-10-09 23:37:08.763617,2020-10-09 23:40:08.763617,6
8d2b-8,2020-10-09 23:37:08.686351,2020-10-09 23:40:08.686351,5
8d2b-7,2020-10-09 23:37:08.674928,2020-10-09 23:40:08.674928,4
8d2b-20,2020-10-09 23:37:08.716574,2020-10-09 23:40:08.716574,4
8d2b-12,2020-10-09 23:37:08.690456,2020-10-09 23:40:08.690456,3
8d2b-18,2020-10-09 23:37:08.699082,2020-10-09 23:40:08.699082,4
8d2b-99,2020-10-09 23:37:08.752442,2020-10-09 23:40:08.752442,4
8d2b-91,2020-10-09 23:37:08.767099,2020-10-09 23:40:08.767099,5
8d2b-26,2020-10-09 23:37:08.740657,2020-10-09 23:40:08.740657,5
8d2b-77,2020-10-09 23:37:08.745451,2020-10-09 23:40:08.745451,5
8d2b-67,2020-10-09 23:37:08.765435,2020-10-09 23:40:08.765435,4
8d2b-28,2020-10-09 23:37:08.769189,2020-10-09 23:40:08.769189,4
8d2b-44,2020-10-09 23:37:08.750964,2020-10-09 23:40:08.750964,4
8d2b-52,2020-10-09 23:37:08.738590,2020-10-09 23:40:08.738590,4
8d2b-75,2020-10-09 23:37:08.710958,2020-10-09 23:40:08.710958,5
8d2b-4,2020-10-09 23:37:08.670910,2020-10-09 23:40:08.670910,5
8d2b-90,2020-10-09 23:37:08.769415,2020-10-09 23:40:08.769415,5
8d2b-30,2020-10-09 23:37:08.738207,2020-10-09 23:40:08.738207,4
8d2b-68,2020-10-09 23:37:08.748232,2020-10-09 23:40:08.748232,7
8d2b-21,2020-10-09 23:37:08.755221,2020-10-09 23:40:08.755221,6
8d2b-14,2020-10-09 23:37:08.692987,2020-10-09 23:40:08.692987,6
8d2b-13,2020-10-09 23:37:08.683727,2020-10-09 23:40:08.683727,6
8d2b-74,2020-10-09 23:37:08.761441,2020-10-09 23:40:08.761441,5
8d2b-22,2020-10-09 23:37:08.749054,2020-10-09 23:40:08.749054,6
8d2b-15,2020-10-09 23:37:08.693946,2020-10-09 23:40:08.693946,4
8d2b-97,2020-10-09 23:37:08.731028,2020-10-09 23:40:08.731028,4
8d2b-62,2020-10-09 23:37:08.770310,2020-10-09 23:40:08.770310,5
8d2b-72,2020-10-09 23:37:08.729235,2020-10-09 23:40:08.729235,4
