GUID,Inicio,Fim,Contador
971e-68,2020-10-09 23:37:10.797372,2020-10-09 23:40:10.797372,3
971e-3,2020-10-09 23:37:10.734348,2020-10-09 23:40:10.734348,4
971e-86,2020-10-09 23:37:10.794096,2020-10-09 23:40:10.794096,3
971e-73,2020-10-09 23:37:10.803518,2020-10-09 23:40:10.803518,4
971e-39,2020-10-09 23:37:10.819235,2020-10-09 23:40:10.819235,3
971e-88,2020-10-09 23:37:10.792386,2020-10-09 23:40:10.792386,4
971e-61,2020-10-09 23:37:10.817715,2020-10-09 23:40:10.817715,4
971e-67,2020-10-09 23:37:10.800667,2020-10-09 23:40:10.800667,4
971e-28,2020-10-09 23:37:10.800462,2020-10-09 23:40:10.800462,4
971e-27,2020-10-09 23:37:10.835373,2020-10-09 23:40:10.835373,4
971e-17,2020-10-09 23:37:10.753397,2020-10-09 23:40:10.753397,3
971e-13,2020-10-09 23:37:10.750335,2020-10-09 23:40:10.750335,3
971e-33,2020-10-09 23:37:10.804083,2020-10-09 23:40:10.804083,4
971e-99,2020-10-09 23:37:10.823000,2020-10-09 23:40:10.823000,5
971e-2,2020-10-09 23:37:10.733870,2020-10-09 23:40:10.733870,4
971e-8,2020-10-09 23:37:10.755583,2020-10-09 23:40:10.755583,4
971e-0,2020-10-09 23:37:10.743350,2020-10-09 23:40:10.743350,5
971e-10,2020-10-09 23:37:10.746354,2020-10-09 23:40:10.746354,4
971e-38,2020-10-09 23:37:10.831444,2020-10-09 23:40:10.831444,5
971e-7,2020-10-09 23:37:10.736229,2020-10-09 23:40:10.736229,3
971e-44,2020-10-09 23:37:10.783068,2020-10-09 23:40:10.783068,4
971e-92,2020-10-09 23:37:10.786504,2020-10-09 23:40:10.786504,4
971e-41,2020-10-09 23:37:10.826591,2020-10-09 23:40:10.826591,5
971e-56,2020-10-09 23:37:10.795643,2020-10-09 23:40:10.795643,6
971e-51,2020-10-09 23:37:10.834680,2020-10-09 23:40:10.834680,5
971e-98,2020-10-09 23:37:10.808247,2020-10-09 23:40:10.808247,3
971e-79,2020-10-09 23:37:10.831353,2020-10-09 23:40:10.831353,4
971e-1,2020-10-09 23:37:10.747881,2020-10-09 23:40:10.747881,4
971e-30,2020-10-09 23:37:10.815207,2020-10-09 23:40:10.815207,4
971e-36,2020-10-09 23:37:10.821185,2020-10-09 23:40:10.821185,4
971e-77,2020-10-09 23:37:10.832166,2020-10-09 23:40:10.832166,5
971e-93,2020-10-09 23:37:10.814776,2020-10-09 23:40:10.814776,5
971e-45,2020-10-09 23:37:10.806351,2020-10-09 23:40:10.806351,4
971e-58,2020-10-09 23:37:10.787439,2020-10-09 23:40:10.787439,4
971e-65,2020-10-09 23:37:10.831290,2020-10-09 23:40:10.831290,4
971e-82,2020-10-09 23:37:10.811963,2020-10-09 23:40:10.811963,5
971e-50,2020-10-09 23:37:10.830333,2020-10-09 23:40:10.830333,4
971e-62,2020-10-09 23:37:10.796787,2020-10-09 23:40:10.796787,4
971e-96,2020-10-09 23:37:10.834326,2020-10-09 23:40:10.834326,5
971e-60,2020-10-09 23:37:10.794469,2020-10-09 23:40:10.794469,4
971e-31,2020-10-09 23:37:10.818959,2020-10-09 23:40:10.818959,7
971e-4,2020-10-09 23:37:10.733098,2020-10-09 23:40:10.733098,4
971e-16,2020-10-09 23:37:10.738464,2020-10-09 23:40:10.738464,5
971e-83,2020-10-09 23:37:10.781365,2020-10-09 23:40:10.781365,4
971e-95,2020-10-09 23:37:10.825256,2020-10-09 23:40:10.825256,4
971e-72,2020-10-09 23:37:10.809656,2020-10-09 23:40:10.809656,5
971e-22,2020-10-09 23:37:10.801980,2020-10-09 23:40:10.801980,7
971e-80,2020-10-09 23:37:10.798299,2020-10-09 23:40:10.798299,4
971e-47,2020-10-09 23:37:10.806210,2020-10-09 23:40:10.806210,4
971e-54,2020-10-09 23:37:10.808821,2020-10-09 23:40:10.808821,6
971e-97,2020-10-09 23:37:10.821653,2020-10-09 23:40:10.821653,3
971e-9,2020-10-09 23:37:10.745791,2020-10-09 23:40:10.745791,4
971e-59,2020-10-09 23:37:10.820495,2020-10-09 23:40:10.820495,4
971e-32,2020-10-09 23:37:10.804452,2020-10-09 23:40:10.804452,4
971e-78,2020-10-09 23:37:10.834080,2020-10-09 23:40:10.834080,4
971e-89,2020-10-09 23:37:10.809850,2020-10-09 23:40:10.809850,5
971e-57,2020-10-09 23:37:10.833346,2020-10-09 23:40:10.833346,6
971e-35,2020-10-09 23:37:10.796310,2020-10-09 23:40:10.796310,4
971e-42,2020-10-09 23:37:10.810912,2020-10-09 23:40:10.810912,5
971e-25,2020-10-09 23:37:10.810978,2020-10-09 23:40:10.810978,5
971e-85,2020-10-09 23:37:10.799964,2020-10-09 23:40:10.799964,4
971e-18,2020-10-09 23:37:10.742296,2020-10-09 23:40:10.742296,5
971e-52,2020-10-09 23:37:10.798270,2020-10-09 23:40:10.798270,4
971e-71,2020-10-09 23:37:10.795388,2020-10-09 23:40:10.795388,5
971e-12,2020-10-09 23:37:10.739490,2020-10-09 23:40:10.739490,5
971e-20,2020-10-09 23:37:10.798775,2020-10-09 23:40:10.798775,4
971e-53,2020-10-09 23:37:10.825679,2020-10-09 23:40:10.825679,4
971e-14,2020-10-09 23:37:10.737061,2020-10-09 23:40:10.737061,5
971e-75,2020-10-09 23:37:10.784705,2020-10-09 23:40:10.784705,5
971e-81,2020-10-09 23:37:10.831975,2020-10-09 23:40:10.831975,4
971e-23,2020-10-09 23:37:10.785206,2020-10-09 23:40:10.785206,4
971e-21,2020-10-09 23:37:10.775980,2020-10-09 23:40:10.775980,5
971e-76,2020-10-09 23:37:10.798400,2020-10-09 23:40:10.798400,5
971e-24,2020-10-09 23:37:10.832013,2020-10-09 23:40:10.832013,4
971e-49,2020-10-09 23:37:10.817799,2020-10-09 23:40:10.817799,6
971e-66,2020-10-09 23:37:10.807887,2020-10-09 23:40:10.807887,4
971e-6,2020-10-09 23:37:10.735543,2020-10-09 23:40:10.735543,6
971e-94,2020-10-09 23:37:10.835613,2020-10-09 23:40:10.835613,6
971e-46,2020-10-09 23:37:10.835423,2020-10-09 23:40:10.835423,4
971e-11,2020-10-09 23:37:10.736380,2020-10-09 23:40:10.736380,5
971e-40,2020-10-09 23:37:10.826501,2020-10-09 23:40:10.826501,4
971e-70,2020-10-09 23:37:10.831830,2020-10-09 23:40:10.831830,5
971e-74,2020-10-09 23:37:10.796825,2020-10-09 23:40:10.796825,4
971e-84,2020-10-09 23:37:10.834731,2020-10-09 23:40:10.834731,5
971e-43,2020-10-09 23:37:10.828437,2020-10-09 23:40:10.828437,5
971e-87,2020-10-09 23:37:10.818627,2020-10-09 23:40:10.818627,4
971e-91,2020-10-09 23:37:10.785100,2020-10-09 23:40:10.785100,4
971e-5,2020-10-09 23:37:10.747554,2020-10-09 23:40:10.747554,5
971e-29,2020-10-09 23:37:10.786827,2020-10-09 23:40:10.786827,6
971e-48,2020-10-09 23:37:10.831079,2020-10-09 23:40:10.831079,4
971e-69,2020-10-09 23:37:10.834575,2020-10-09 23:40:10.834575,4
971e-19,2020-10-09 23:37:10.775597,2020-10-09 23:40:10.775597,5
971e-26,2020-10-09 23:37:10.804763,2020-10-09 23:40:10.804763,5
971e-64,2020-10-09 23:37:10.805756,2020-10-09 23:40:10.805756,6
971e-15,2020-10-09 23:37:10.756675,2020-10-09 23:40:10.756675,5
971e-63,2020-10-09 23:37:10.831002,2020-10-09 23:40:10.831002,5
971e-55,2020-10-09 23:37:10.831856,2020-10-09 23:40:10.831856,5
971e-34,2020-10-09 23:37:10.781632,2020-10-09 23:40:10.781632,5
971e-90,2020-10-09 23:37:10.833278,2020-10-09 23:40:10.833278,4
971e-37,2020-10-09 23:37:10.789212,2020-10-09 23:40:10.789212,5
TOTAL,,,447
