GUID,Inicio,Fim,Contador
13cd-336,2020-10-09 23:45:04.500464,2020-10-09 23:48:04.500464,6
13cd-200,2020-10-09 23:45:04.470103,2020-10-09 23:48:04.470103,2
13cd-193,2020-10-09 23:45:04.466478,2020-10-09 23:48:04.466478,3
13cd-5,2020-10-09 23:45:04.882005,2020-10-09 23:48:04.882005,3
13cd-75,2020-10-09 23:45:04.961243,2020-10-09 23:48:04.961243,4
13cd-122,2020-10-09 23:45:04.420584,2020-10-09 23:48:04.420584,4
13cd-121,2020-10-09 23:45:05.472873,2020-10-09 23:48:05.472873,5
13cd-6,2020-10-09 23:45:04.884323,2020-10-09 23:48:04.884323,4
13cd-213,2020-10-09 23:45:05.382415,2020-10-09 23:48:05.382415,5
13cd-95,2020-10-09 23:45:05.307173,2020-10-09 23:48:05.307173,3
13cd-299,2020-10-09 23:45:05.257446,2020-10-09 23:48:05.257446,4
13cd-257,2020-10-09 23:45:05.251165,2020-10-09 23:48:05.251165,4
13cd-397,2020-10-09 23:45:05.191897,2020-10-09 23:48:05.191897,0
13cd-33,2020-10-09 23:45:05.703425,2020-10-09 23:48:05.703425,5
13cd-378,2020-10-09 23:45:04.574820,2020-10-09 23:48:04.574820,0
13cd-44,2020-10-09 23:45:04.387284,2020-10-09 23:48:04.387284,5
13cd-314,2020-10-09 23:45:05.432030,2020-10-09 23:48:05.432030,3
13cd-214,2020-10-09 23:45:05.231632,2020-10-09 23:48:05.231632,4
13cd-494,2020-10-09 23:45:05.406417,2020-10-09 23:48:05.406417,0
13cd-312,2020-10-09 23:45:05.097627,2020-10-09 23:48:05.097627,4
13cd-41,2020-10-09 23:45:05.123731,2020-10-09 23:48:05.123731,5
13cd-357,2020-10-09 23:45:05.346020,2020-10-09 23:48:05.346020,0
13cd-172,2020-10-09 23:45:05.558415,2020-10-09 23:48:05.558415,4
13cd-476,2020-10-09 23:45:05.212985,2020-10-09 23:48:05.212985,2
13cd-114,2020-10-09 23:45:04.969181,2020-10-09 23:48:04.969181,4
13cd-112,2020-10-09 23:45:05.146477,2020-10-09 23:48:05.146477,4
13cd-272,2020-10-09 23:45:05.739855,2020-10-09 23:48:05.739855,4
13cd-231,2020-10-09 23:45:05.827180,2020-10-09 23:48:05.827180,4
13cd-295,2020-10-09 23:45:05.256534,2020-10-09 23:48:05.256534,5
13cd-38,2020-10-09 23:45:05.095616,2020-10-09 23:48:05.095616,4
13cd-490,2020-10-09 23:45:05.711230,2020-10-09 23:48:05.711230,0
13cd-248,2020-10-09 23:45:05.732270,2020-10-09 23:48:05.732270,5
13cd-267,2020-10-09 23:45:05.085938,2020-10-09 23:48:05.085938,5
13cd-74,2020-10-09 23:45:05.313207,2020-10-09 23:48:05.313207,5
13cd-373,2020-10-09 23:45:05.345909,2020-10-09 23:48:05.345909,0
13cd-323,2020-10-09 23:45:05.113558,2020-10-09 23:48:05.113558,6
13cd-305,2020-10-09 23:45:05.870036,2020-10-09 23:48:05.870036,1
13cd-420,2020-10-09 23:45:04.556227,2020-10-09 23:48:04.556227,0
13cd-457,2020-10-09 23:45:05.968761,2020-10-09 23:48:05.968761,0
13cd-443,2020-10-09 23:45:04.563325,2020-10-09 23:48:04.563325,0
13cd-22,2020-10-09 23:45:04.918587,2020-10-09 23:48:04.918587,4
13cd-492,2020-10-09 23:45:05.551573,2020-10-09 23:48:05.551573,2
13cd-325,2020-10-09 23:45:05.601497,2020-10-09 23:48:05.601497,5
13cd-280,2020-10-09 23:45:04.470478,2020-10-09 23:48:04.470478,4
13cd-326,2020-10-09 23:45:06.100144,2020-10-09 23:48:06.100144,4
