GUID,Inicio,Fim,Contador
34af-74,2020-10-09 23:45:02.410455,2020-10-09 23:48:02.410455,4
34af-14,2020-10-09 23:45:02.305805,2020-10-09 23:48:02.305805,3
34af-87,2020-10-09 23:45:02.484822,2020-10-09 23:48:02.484822,3
34af-275,2020-10-09 23:45:02.596304,2020-10-09 23:48:02.596304,4
34af-278,2020-10-09 23:45:02.636624,2020-10-09 23:48:02.636624,3
34af-128,2020-10-09 23:45:02.475031,2020-10-09 23:48:02.475031,3
34af-286,2020-10-09 23:45:02.640433,2020-10-09 23:48:02.640433,4
34af-163,2020-10-09 23:45:03.335749,2020-10-09 23:48:03.335749,4
34af-1,2020-10-09 23:45:02.280189,2020-10-09 23:48:02.280189,4
34af-304,2020-10-09 23:45:03.491760,2020-10-09 23:48:03.491760,4
34af-165,2020-10-09 23:45:02.510287,2020-10-09 23:48:02.510287,4
34af-60,2020-10-09 23:45:02.406345,2020-10-09 23:48:02.406345,3
34af-127,2020-10-09 23:45:02.479816,2020-10-09 23:48:02.479816,5
34af-101,2020-10-09 23:45:02.442622,2020-10-09 23:48:02.442622,4
34af-39,2020-10-09 23:45:03.569682,2020-10-09 23:48:03.569682,4
34af-215,2020-10-09 23:45:02.575834,2020-10-09 23:48:02.575834,3
34af-429,2020-10-09 23:45:03.149766,2020-10-09 23:48:03.149766,2
34af-73,2020-10-09 23:45:02.416707,2020-10-09 23:48:02.416707,3
34af-394,2020-10-09 23:45:03.116969,2020-10-09 23:48:03.116969,2
34af-384,2020-10-09 23:45:03.099196,2020-10-09 23:48:03.099196,2
34af-46,2020-10-09 23:45:02.380624,2020-10-09 23:48:02.380624,5
34af-485,2020-10-09 23:45:04.639728,2020-10-09 23:48:04.639728,0
34af-260,2020-10-09 23:45:02.589160,2020-10-09 23:48:02.589160,5
34af-228,2020-10-09 23:45:02.562749,2020-10-09 23:48:02.562749,4
34af-262,2020-10-09 23:45:02.582668,2020-10-09 23:48:02.582668,5
34af-97,2020-10-09 23:45:02.443790,2020-10-09 23:48:02.443790,4
34af-95,2020-10-09 23:45:02.445810,2020-10-09 23:48:02.445810,4
34af-385,2020-10-09 23:45:03.739985,2020-10-09 23:48:03.739985,0
34af-199,2020-10-09 23:45:02.511613,2020-10-09 23:48:02.511613,4
34af-120,2020-10-09 23:45:02.473664,2020-10-09 23:48:02.473664,4
34af-461,2020-10-09 23:45:04.603979,2020-10-09 23:48:04.603979,3
34af-202,2020-10-09 23:45:02.571059,2020-10-09 23:48:02.571059,3
34af-305,2020-10-09 23:45:03.478878,2020-10-09 23:48:03.478878,3
34af-467,2020-10-09 23:45:03.189351,2020-10-09 23:48:03.189351,2
34af-287,2020-10-09 23:45:04.068853,2020-10-09 23:48:04.068853,4
34af-155,2020-10-09 23:45:02.487688,2020-10-09 23:48:02.487688,3
34af-51,2020-10-09 23:45:03.983923,2020-10-09 23:48:03.983923,0
34af-366,2020-10-09 23:45:04.306780,2020-10-09 23:48:04.306780,0
34af-179,2020-10-09 23:45:02.522650,2020-10-09 23:48:02.522650,5
34af-254,2020-10-09 23:45:02.582528,2020-10-09 23:48:02.582528,5
34af-435,2020-10-09 23:45:07.760940,2020-10-09 23:48:07.760940,0
34af-235,2020-10-09 23:45:07.418506,2020-10-09 23:48:07.418506,4
34af-133,2020-10-09 23:45:02.477863,2020-10-09 23:48:02.477863,3
34af-272,2020-10-09 23:45:03.748044,2020-10-09 23:48:03.748044,4
34af-126,2020-10-09 23:45:02.466815,2020-10-09 23:48:02.466815,4
34af-358,2020-10-09 23:45:02.860874,2020-10-09 23:48:02.860874,2
34af-178,2020-10-09 23:45:07.409938,2020-10-09 23:48:07.409938,3
34af-288,2020-10-09 23:45:02.638295,2020-10-09 23:48:02.638295,3
34af-268,2020-10-09 23:45:02.599728,2020-10-09 23:48:02.599728,4
34af-174,2020-10-09 23:45:02.521637,2020-10-09 23:48:02.521637,4
34af-243,2020-10-09 23:45:02.584266,2020-10-09 23:48:02.584266,6
34af-313,2020-10-09 23:45:02.678056,2020-10-09 23:48:02.678056,3
34af-8,2020-10-09 23:45:02.300888,2020-10-09 23:48:02.300888,5
34af-4,2020-10-09 23:45:02.288052,2020-10-09 23:48:02.288052,7
34af-425,2020-10-09 23:45:07.752247,2020-10-09 23:48:07.752247,0
34af-453,2020-10-09 23:45:03.163461,2020-10-09 23:48:03.163461,1
34af-239,2020-10-09 23:45:07.423158,2020-10-09 23:48:07.423158,4
34af-162,2020-10-09 23:45:02.501686,2020-10-09 23:48:02.501686,4
34af-349,2020-10-09 23:45:03.886715,2020-10-09 23:48:03.886715,1
34af-35,2020-10-09 23:45:03.509939,2020-10-09 23:48:03.509939,4
34af-5,2020-10-09 23:45:02.290554,2020-10-09 23:48:02.290554,4
34af-194,2020-10-09 23:45:02.545916,2020-10-09 23:48:02.545916,4
34af-195,2020-10-09 23:45:02.556410,2020-10-09 23:48:02.556410,5
34af-452,2020-10-09 23:45:03.163069,2020-10-09 23:48:03.163069,1
34af-466,2020-10-09 23:45:05.074635,2020-10-09 23:48:05.074635,2
34af-276,2020-10-09 23:45:02.635582,2020-10-09 23:48:02.635582,4
34af-401,2020-10-09 23:45:03.916093,2020-10-09 23:48:03.916093,2
34af-226,2020-10-09 23:45:02.557292,2020-10-09 23:48:02.557292,5
34af-75,2020-10-09 23:45:03.241314,2020-10-09 23:48:03.241314,4
34af-147,2020-10-09 23:45:02.502789,2020-10-09 23:48:02.502789,4
34af-261,2020-10-09 23:45:02.586520,2020-10-09 23:48:02.586520,4
34af-89,2020-10-09 23:45:02.473383,2020-10-09 23:48:02.473383,4
34af-402,2020-10-09 23:45:07.731791,2020-10-09 23:48:07.731791,0
34af-3,2020-10-09 23:45:02.289406,2020-10-09 23:48:02.289406,5
34af-315,2020-10-09 23:45:03.497459,2020-10-09 23:48:03.497459,4
34af-28,2020-10-09 23:45:02.336496,2020-10-09 23:48:02.336496,4
34af-21,2020-10-09 23:45:05.447866,2020-10-09 23:48:05.447866,4
34af-256,2020-10-09 23:45:02.578510,2020-10-09 23:48:02.578510,4
34af-198,2020-10-09 23:45:02.555961,2020-10-09 23:48:02.555961,4
34af-290,2020-10-09 23:45:02.622405,2020-10-09 23:48:02.622405,4
34af-310,2020-10-09 23:45:02.667889,2020-10-09 23:48:02.667889,5
34af-468,2020-10-09 23:45:06.024780,2020-10-09 23:48:06.024780,0
34af-269,2020-10-09 23:45:03.466689,2020-10-09 23:48:03.466689,5
34af-387,2020-10-09 23:45:03.110685,2020-10-09 23:48:03.110685,0
34af-69,2020-10-09 23:45:02.414147,2020-10-09 23:48:02.414147,4
34af-167,2020-10-09 23:45:02.513962,2020-10-09 23:48:02.513962,5
34af-338,2020-10-09 23:45:07.544397,2020-10-09 23:48:07.544397,4
34af-105,2020-10-09 23:45:02.468023,2020-10-09 23:48:02.468023,4
34af-420,2020-10-09 23:45:07.749531,2020-10-09 23:48:07.749531,0
34af-351,2020-10-09 23:45:02.829071,2020-10-09 23:48:02.829071,2
34af-489,2020-10-09 23:45:03.989327,2020-10-09 23:48:03.989327,2
34af-117,2020-10-09 23:45:02.472796,2020-10-09 23:48:02.472796,6
34af-121,2020-10-09 23:45:03.315000,2020-10-09 23:48:03.315000,2
34af-285,2020-10-09 23:45:02.637409,2020-10-09 23:48:02.637409,3
34af-160,2020-10-09 23:45:02.502413,2020-10-09 23:48:02.502413,5
34af-336,2020-10-09 23:45:02.788667,2020-10-09 23:48:02.788667,5
34af-64,2020-10-09 23:45:03.228903,2020-10-09 23:48:03.228903,4
34af-2,2020-10-09 23:45:02.277745,2020-10-09 23:48:02.277745,4
34af-170,2020-10-09 23:45:02.511802,2020-10-09 23:48:02.511802,4
34af-442,2020-10-09 23:45:03.814521,2020-10-09 23:48:03.814521,3
34af-79,2020-10-09 23:45:02.412958,2020-10-09 23:48:02.412958,5
34af-326,2020-10-09 23:45:02.697159,2020-10-09 23:48:02.697159,5
34af-267,2020-10-09 23:45:02.606351,2020-10-09 23:48:02.606351,4
34af-34,2020-10-09 23:45:02.388107,2020-10-09 23:48:02.388107,4
34af-66,2020-10-09 23:45:02.420071,2020-10-09 23:48:02.420071,5
34af-99,2020-10-09 23:45:02.463531,2020-10-09 23:48:02.463531,5
34af-29,2020-10-09 23:45:03.523239,2020-10-09 23:48:03.523239,3
34af-10,2020-10-09 23:45:02.297977,2020-10-09 23:48:02.297977,4
34af-230,2020-10-09 23:45:02.561469,2020-10-09 23:48:02.561469,5
34af-257,2020-10-09 23:45:02.568348,2020-10-09 23:48:02.568348,5
34af-350,2020-10-09 23:45:02.860186,2020-10-09 23:48:02.860186,1
34af-390,2020-10-09 23:45:03.117338,2020-10-09 23:48:03.117338,2
34af-187,2020-10-09 23:45:02.535657,2020-10-09 23:48:02.535657,4
34af-488,2020-10-09 23:45:07.811438,2020-10-09 23:48:07.811438,0
34af-318,2020-10-09 23:45:02.670635,2020-10-09 23:48:02.670635,4
34af-481,2020-10-09 23:45:04.757158,2020-10-09 23:48:04.757158,0
34af-48,2020-10-09 23:45:02.357850,2020-10-09 23:48:02.357850,5
34af-462,2020-10-09 23:45:03.807226,2020-10-09 23:48:03.807226,0
34af-118,2020-10-09 23:45:02.473156,2020-10-09 23:48:02.473156,5
34af-183,2020-10-09 23:45:02.552107,2020-10-09 23:48:02.552107,4
34af-204,2020-10-09 23:45:02.514099,2020-10-09 23:48:02.514099,3
34af-55,2020-10-09 23:45:02.394524,2020-10-09 23:48:02.394524,5
34af-319,2020-10-09 23:45:02.669525,2020-10-09 23:48:02.669525,3
34af-148,2020-10-09 23:45:02.472853,2020-10-09 23:48:02.472853,5
34af-455,2020-10-09 23:45:07.778064,2020-10-09 23:48:07.778064,0
34af-291,2020-10-09 23:45:02.638944,2020-10-09 23:48:02.638944,5
34af-323,2020-10-09 23:45:02.702894,2020-10-09 23:48:02.702894,5
34af-65,2020-10-09 23:45:02.408779,2020-10-09 23:48:02.408779,6
34af-143,2020-10-09 23:45:02.481891,2020-10-09 23:48:02.481891,5
34af-378,2020-10-09 23:45:07.701152,2020-10-09 23:48:07.701152,0
34af-333,2020-10-09 23:45:07.547917,2020-10-09 23:48:07.547917,4
34af-159,2020-10-09 23:45:02.511576,2020-10-09 23:48:02.511576,4
34af-264,2020-10-09 23:45:03.452150,2020-10-09 23:48:03.452150,3
34af-344,2020-10-09 23:45:05.781564,2020-10-09 23:48:05.781564,0
34af-331,2020-10-09 23:45:07.546502,2020-10-09 23:48:07.546502,6
34af-274,2020-10-09 23:45:02.608365,2020-10-09 23:48:02.608365,5
34af-213,2020-10-09 23:45:02.554679,2020-10-09 23:48:02.554679,5
34af-330,2020-10-09 23:45:02.761863,2020-10-09 23:48:02.761863,4
34af-192,2020-10-09 23:45:02.551542,2020-10-09 23:48:02.551542,5
34af-149,2020-10-09 23:45:02.504557,2020-10-09 23:48:02.504557,4
34af-188,2020-10-09 23:45:02.510714,2020-10-09 23:48:02.510714,5
34af-136,2020-10-09 23:45:03.497912,2020-10-09 23:48:03.497912,4
34af-417,2020-10-09 23:45:03.143444,2020-10-09 23:48:03.143444,1
34af-214,2020-10-09 23:45:02.578032,2020-10-09 23:48:02.578032,3
34af-308,2020-10-09 23:45:03.632977,2020-10-09 23:48:03.632977,5
34af-353,2020-10-09 23:45:02.832733,2020-10-09 23:48:02.832733,2
34af-418,2020-10-09 23:45:03.130883,2020-10-09 23:48:03.130883,1
34af-248,2020-10-09 23:45:02.583483,2020-10-09 23:48:02.583483,4
34af-135,2020-10-09 23:45:02.483302,2020-10-09 23:48:02.483302,5
34af-209,2020-10-09 23:45:02.511548,2020-10-09 23:48:02.511548,4
34af-158,2020-10-09 23:45:02.498343,2020-10-09 23:48:02.498343,4
34af-205,2020-10-09 23:45:07.399228,2020-10-09 23:48:07.399228,4
34af-185,2020-10-09 23:45:02.521857,2020-10-09 23:48:02.521857,4
34af-224,2020-10-09 23:45:07.414323,2020-10-09 23:48:07.414323,5
34af-109,2020-10-09 23:45:02.469027,2020-10-09 23:48:02.469027,5
34af-173,2020-10-09 23:45:02.542410,2020-10-09 23:48:02.542410,5
34af-361,2020-10-09 23:45:03.832589,2020-10-09 23:48:03.832589,1
34af-32,2020-10-09 23:45:02.374921,2020-10-09 23:48:02.374921,5
34af-24,2020-10-09 23:45:02.409015,2020-10-09 23:48:02.409015,4
34af-375,2020-10-09 23:45:03.013154,2020-10-09 23:48:03.013154,1
34af-140,2020-10-09 23:45:02.489055,2020-10-09 23:48:02.489055,6
34af-22,2020-10-09 23:45:02.396084,2020-10-09 23:48:02.396084,5
34af-180,2020-10-09 23:45:02.553699,2020-10-09 23:48:02.553699,5
34af-374,2020-10-09 23:45:02.999518,2020-10-09 23:48:02.999518,0
