GUID,Inicio,Fim,Contador
3dab-168,2020-10-09 23:45:02.981506,2020-10-09 23:48:02.981506,4
3dab-121,2020-10-09 23:45:02.868944,2020-10-09 23:48:02.868944,6
3dab-481,2020-10-09 23:45:03.314563,2020-10-09 23:48:03.314563,1
3dab-457,2020-10-09 23:45:03.282398,2020-10-09 23:48:03.282398,1
3dab-17,2020-10-09 23:45:02.767524,2020-10-09 23:48:02.767524,3
3dab-373,2020-10-09 23:45:03.227361,2020-10-09 23:48:03.227361,0
3dab-11,2020-10-09 23:45:02.749796,2020-10-09 23:48:02.749796,5
3dab-291,2020-10-09 23:45:03.137489,2020-10-09 23:48:03.137489,4
3dab-9,2020-10-09 23:45:02.741171,2020-10-09 23:48:02.741171,4
3dab-65,2020-10-09 23:45:02.849384,2020-10-09 23:48:02.849384,1
3dab-31,2020-10-09 23:45:03.542598,2020-10-09 23:48:03.542598,5
3dab-10,2020-10-09 23:45:02.722822,2020-10-09 23:48:02.722822,4
3dab-104,2020-10-09 23:45:02.868557,2020-10-09 23:48:02.868557,4
3dab-176,2020-10-09 23:45:03.027532,2020-10-09 23:48:03.027532,4
3dab-379,2020-10-09 23:45:06.061042,2020-10-09 23:48:06.061042,1
3dab-41,2020-10-09 23:45:04.459477,2020-10-09 23:48:04.459477,5
3dab-102,2020-10-09 23:45:02.868418,2020-10-09 23:48:02.868418,4
3dab-62,2020-10-09 23:45:05.787391,2020-10-09 23:48:05.787391,3
3dab-75,2020-10-09 23:45:04.437082,2020-10-09 23:48:04.437082,3
3dab-303,2020-10-09 23:45:03.146520,2020-10-09 23:48:03.146520,3
3dab-156,2020-10-09 23:45:02.918074,2020-10-09 23:48:02.918074,5
3dab-16,2020-10-09 23:45:07.511403,2020-10-09 23:48:07.511403,4
3dab-283,2020-10-09 23:45:05.955484,2020-10-09 23:48:05.955484,7
3dab-141,2020-10-09 23:45:06.537336,2020-10-09 23:48:06.537336,6
3dab-319,2020-10-09 23:45:03.143831,2020-10-09 23:48:03.143831,4
3dab-172,2020-10-09 23:45:07.678552,2020-10-09 23:48:07.678552,4
3dab-153,2020-10-09 23:45:03.818691,2020-10-09 23:48:03.818691,4
3dab-98,2020-10-09 23:45:02.850447,2020-10-09 23:48:02.850447,4
3dab-448,2020-10-09 23:45:07.870482,2020-10-09 23:48:07.870482,0
3dab-485,2020-10-09 23:45:03.336799,2020-10-09 23:48:03.336799,2
3dab-221,2020-10-09 23:45:03.065597,2020-10-09 23:48:03.065597,1
3dab-264,2020-10-09 23:45:03.103701,2020-10-09 23:48:03.103701,3
3dab-77,2020-10-09 23:45:05.824655,2020-10-09 23:48:05.824655,4
3dab-297,2020-10-09 23:45:05.980324,2020-10-09 23:48:05.980324,4
3dab-86,2020-10-09 23:45:04.846861,2020-10-09 23:48:04.846861,4
3dab-495,2020-10-09 23:45:03.336500,2020-10-09 23:48:03.336500,1
3dab-87,2020-10-09 23:45:07.591222,2020-10-09 23:48:07.591222,5
3dab-179,2020-10-09 23:45:07.691227,2020-10-09 23:48:07.691227,5
3dab-66,2020-10-09 23:45:02.848642,2020-10-09 23:48:02.848642,3
3dab-188,2020-10-09 23:45:07.715930,2020-10-09 23:48:07.715930,5
3dab-0,2020-10-09 23:45:02.748467,2020-10-09 23:48:02.748467,4
3dab-390,2020-10-09 23:45:06.065199,2020-10-09 23:48:06.065199,0
3dab-26,2020-10-09 23:45:02.775671,2020-10-09 23:48:02.775671,5
3dab-32,2020-10-09 23:45:07.576757,2020-10-09 23:48:07.576757,3
3dab-344,2020-10-09 23:45:07.790993,2020-10-09 23:48:07.790993,0
3dab-455,2020-10-09 23:45:07.873093,2020-10-09 23:48:07.873093,0
3dab-451,2020-10-09 23:45:04.263142,2020-10-09 23:48:04.263142,0
3dab-50,2020-10-09 23:45:07.598243,2020-10-09 23:48:07.598243,5
3dab-463,2020-10-09 23:45:07.874480,2020-10-09 23:48:07.874480,0
3dab-423,2020-10-09 23:45:03.210260,2020-10-09 23:48:03.210260,2
3dab-449,2020-10-09 23:45:07.872428,2020-10-09 23:48:07.872428,0
3dab-491,2020-10-09 23:45:04.500642,2020-10-09 23:48:04.500642,0
3dab-130,2020-10-09 23:45:07.628108,2020-10-09 23:48:07.628108,5
3dab-37,2020-10-09 23:45:02.854418,2020-10-09 23:48:02.854418,4
3dab-229,2020-10-09 23:45:03.065309,2020-10-09 23:48:03.065309,4
3dab-219,2020-10-09 23:45:07.665717,2020-10-09 23:48:07.665717,4
3dab-42,2020-10-09 23:45:02.800907,2020-10-09 23:48:02.800907,5
3dab-128,2020-10-09 23:45:02.885918,2020-10-09 23:48:02.885918,4
3dab-46,2020-10-09 23:45:02.814930,2020-10-09 23:48:02.814930,6
3dab-21,2020-10-09 23:45:02.795745,2020-10-09 23:48:02.795745,5
3dab-467,2020-10-09 23:45:06.128034,2020-10-09 23:48:06.128034,4
3dab-109,2020-10-09 23:45:03.801791,2020-10-09 23:48:03.801791,4
3dab-211,2020-10-09 23:45:03.013003,2020-10-09 23:48:03.013003,4
3dab-167,2020-10-09 23:45:02.924398,2020-10-09 23:48:02.924398,5
3dab-192,2020-10-09 23:45:07.692952,2020-10-09 23:48:07.692952,5
3dab-224,2020-10-09 23:45:03.011523,2020-10-09 23:48:03.011523,5
3dab-376,2020-10-09 23:45:04.427783,2020-10-09 23:48:04.427783,0
3dab-138,2020-10-09 23:45:02.892582,2020-10-09 23:48:02.892582,4
3dab-205,2020-10-09 23:45:02.974599,2020-10-09 23:48:02.974599,5
3dab-350,2020-10-09 23:45:03.208854,2020-10-09 23:48:03.208854,2
3dab-453,2020-10-09 23:45:07.874135,2020-10-09 23:48:07.874135,0
3dab-371,2020-10-09 23:45:07.824320,2020-10-09 23:48:07.824320,0
3dab-174,2020-10-09 23:45:03.715140,2020-10-09 23:48:03.715140,5
3dab-150,2020-10-09 23:45:02.891991,2020-10-09 23:48:02.891991,4
3dab-218,2020-10-09 23:45:07.702526,2020-10-09 23:48:07.702526,5
3dab-284,2020-10-09 23:45:03.110773,2020-10-09 23:48:03.110773,4
3dab-386,2020-10-09 23:45:07.824448,2020-10-09 23:48:07.824448,0
3dab-91,2020-10-09 23:45:05.811399,2020-10-09 23:48:05.811399,5
3dab-365,2020-10-09 23:45:03.978478,2020-10-09 23:48:03.978478,1
3dab-60,2020-10-09 23:45:02.829151,2020-10-09 23:48:02.829151,4
3dab-79,2020-10-09 23:45:02.833746,2020-10-09 23:48:02.833746,4
3dab-338,2020-10-09 23:45:03.171025,2020-10-09 23:48:03.171025,3
3dab-482,2020-10-09 23:45:07.911838,2020-10-09 23:48:07.911838,0
3dab-119,2020-10-09 23:45:07.607637,2020-10-09 23:48:07.607637,4
3dab-354,2020-10-09 23:45:03.879335,2020-10-09 23:48:03.879335,0
