GUID,Inicio,Fim,Contador
51df-239,2020-10-09 23:45:04.499682,2020-10-09 23:48:04.499682,3
51df-441,2020-10-09 23:45:04.640505,2020-10-09 23:48:04.640505,0
51df-355,2020-10-09 23:45:04.561695,2020-10-09 23:48:04.561695,0
51df-130,2020-10-09 23:45:04.443601,2020-10-09 23:48:04.443601,4
51df-22,2020-10-09 23:45:05.003644,2020-10-09 23:48:05.003644,4
51df-126,2020-10-09 23:45:04.002093,2020-10-09 23:48:04.002093,4
51df-79,2020-10-09 23:45:03.965601,2020-10-09 23:48:03.965601,4
51df-471,2020-10-09 23:45:04.214751,2020-10-09 23:48:04.214751,2
51df-268,2020-10-09 23:45:04.515351,2020-10-09 23:48:04.515351,4
51df-213,2020-10-09 23:45:05.485972,2020-10-09 23:48:05.485972,6
51df-197,2020-10-09 23:45:04.456076,2020-10-09 23:48:04.456076,4
51df-20,2020-10-09 23:45:03.933048,2020-10-09 23:48:03.933048,3
51df-71,2020-10-09 23:45:04.862268,2020-10-09 23:48:04.862268,4
51df-472,2020-10-09 23:45:04.645255,2020-10-09 23:48:04.645255,0
51df-498,2020-10-09 23:45:04.679286,2020-10-09 23:48:04.679286,0
51df-308,2020-10-09 23:45:04.862810,2020-10-09 23:48:04.862810,4
51df-132,2020-10-09 23:45:04.559003,2020-10-09 23:48:04.559003,3
51df-264,2020-10-09 23:45:04.504481,2020-10-09 23:48:04.504481,5
51df-450,2020-10-09 23:45:04.634134,2020-10-09 23:48:04.634134,0
51df-267,2020-10-09 23:45:04.107727,2020-10-09 23:48:04.107727,5
51df-15,2020-10-09 23:45:06.696437,2020-10-09 23:48:06.696437,4
51df-171,2020-10-09 23:45:06.826587,2020-10-09 23:48:06.826587,4
51df-27,2020-10-09 23:45:04.644924,2020-10-09 23:48:04.644924,4
51df-290,2020-10-09 23:45:04.513799,2020-10-09 23:48:04.513799,3
51df-254,2020-10-09 23:45:04.505703,2020-10-09 23:48:04.505703,4
51df-330,2020-10-09 23:45:04.719770,2020-10-09 23:48:04.719770,4
51df-173,2020-10-09 23:45:05.925561,2020-10-09 23:48:05.925561,4
51df-185,2020-10-09 23:45:05.455414,2020-10-09 23:48:05.455414,5
51df-493,2020-10-09 23:45:04.842524,2020-10-09 23:48:04.842524,0
51df-489,2020-10-09 23:45:04.208183,2020-10-09 23:48:04.208183,1
51df-287,2020-10-09 23:45:05.032911,2020-10-09 23:48:05.032911,4
51df-228,2020-10-09 23:45:05.254544,2020-10-09 23:48:05.254544,5
51df-101,2020-10-09 23:45:05.184632,2020-10-09 23:48:05.184632,3
51df-216,2020-10-09 23:45:04.043986,2020-10-09 23:48:04.043986,4
51df-63,2020-10-09 23:45:04.504419,2020-10-09 23:48:04.504419,4
51df-256,2020-10-09 23:45:04.502630,2020-10-09 23:48:04.502630,1
51df-201,2020-10-09 23:45:06.854955,2020-10-09 23:48:06.854955,5
51df-289,2020-10-09 23:45:04.871294,2020-10-09 23:48:04.871294,4
51df-115,2020-10-09 23:45:04.440823,2020-10-09 23:48:04.440823,3
51df-374,2020-10-09 23:45:06.980779,2020-10-09 23:48:06.980779,1
51df-329,2020-10-09 23:45:06.044527,2020-10-09 23:48:06.044527,4
51df-306,2020-10-09 23:45:05.578959,2020-10-09 23:48:05.578959,5
51df-271,2020-10-09 23:45:04.505813,2020-10-09 23:48:04.505813,4
51df-95,2020-10-09 23:45:05.184884,2020-10-09 23:48:05.184884,4
51df-90,2020-10-09 23:45:04.550177,2020-10-09 23:48:04.550177,0
51df-260,2020-10-09 23:45:04.513765,2020-10-09 23:48:04.513765,6
51df-475,2020-10-09 23:45:04.664933,2020-10-09 23:48:04.664933,0
51df-314,2020-10-09 23:45:05.339588,2020-10-09 23:48:05.339588,4
51df-261,2020-10-09 23:45:04.097428,2020-10-09 23:48:04.097428,3
51df-64,2020-10-09 23:45:04.420118,2020-10-09 23:48:04.420118,5
51df-281,2020-10-09 23:45:05.543690,2020-10-09 23:48:05.543690,5
51df-152,2020-10-09 23:45:05.888008,2020-10-09 23:48:05.888008,4
51df-356,2020-10-09 23:45:06.978655,2020-10-09 23:48:06.978655,0
51df-338,2020-10-09 23:45:04.561371,2020-10-09 23:48:04.561371,4
51df-135,2020-10-09 23:45:05.880448,2020-10-09 23:48:05.880448,5
51df-199,2020-10-09 23:45:05.468739,2020-10-09 23:48:05.468739,4
51df-99,2020-10-09 23:45:04.436012,2020-10-09 23:48:04.436012,6
51df-477,2020-10-09 23:45:04.214028,2020-10-09 23:48:04.214028,1
51df-486,2020-10-09 23:45:05.461113,2020-10-09 23:48:05.461113,0
51df-398,2020-10-09 23:45:04.775546,2020-10-09 23:48:04.775546,0
51df-219,2020-10-09 23:45:04.639642,2020-10-09 23:48:04.639642,4
51df-358,2020-10-09 23:45:06.060314,2020-10-09 23:48:06.060314,0
51df-255,2020-10-09 23:45:04.511968,2020-10-09 23:48:04.511968,4
51df-415,2020-10-09 23:45:04.190470,2020-10-09 23:48:04.190470,2
51df-352,2020-10-09 23:45:04.572009,2020-10-09 23:48:04.572009,0
51df-211,2020-10-09 23:45:04.460346,2020-10-09 23:48:04.460346,4
51df-81,2020-10-09 23:45:08.551787,2020-10-09 23:48:08.551787,4
51df-378,2020-10-09 23:45:05.262830,2020-10-09 23:48:05.262830,0
51df-145,2020-10-09 23:45:05.895919,2020-10-09 23:48:05.895919,4
51df-83,2020-10-09 23:45:04.528772,2020-10-09 23:48:04.528772,6
51df-424,2020-10-09 23:45:04.613003,2020-10-09 23:48:04.613003,0
51df-119,2020-10-09 23:45:04.436352,2020-10-09 23:48:04.436352,5
51df-16,2020-10-09 23:45:05.770528,2020-10-09 23:48:05.770528,3
51df-292,2020-10-09 23:45:04.101865,2020-10-09 23:48:04.101865,4
51df-157,2020-10-09 23:45:04.007437,2020-10-09 23:48:04.007437,4
51df-97,2020-10-09 23:45:03.997011,2020-10-09 23:48:03.997011,1
51df-436,2020-10-09 23:45:04.637132,2020-10-09 23:48:04.637132,0
51df-397,2020-10-09 23:45:07.014176,2020-10-09 23:48:07.014176,2
51df-182,2020-10-09 23:45:06.857897,2020-10-09 23:48:06.857897,5
51df-140,2020-10-09 23:45:06.804560,2020-10-09 23:48:06.804560,4
51df-385,2020-10-09 23:45:04.577824,2020-10-09 23:48:04.577824,0
51df-466,2020-10-09 23:45:07.047820,2020-10-09 23:48:07.047820,0
51df-80,2020-10-09 23:45:04.689631,2020-10-09 23:48:04.689631,5
51df-108,2020-10-09 23:45:04.436408,2020-10-09 23:48:04.436408,4
51df-483,2020-10-09 23:45:04.659162,2020-10-09 23:48:04.659162,0
51df-454,2020-10-09 23:45:04.634617,2020-10-09 23:48:04.634617,0
51df-127,2020-10-09 23:45:04.002310,2020-10-09 23:48:04.002310,5
51df-186,2020-10-09 23:45:04.014025,2020-10-09 23:48:04.014025,5
51df-203,2020-10-09 23:45:06.858404,2020-10-09 23:48:06.858404,5
51df-416,2020-10-09 23:45:04.792459,2020-10-09 23:48:04.792459,0
51df-8,2020-10-09 23:45:05.775178,2020-10-09 23:48:05.775178,4
51df-363,2020-10-09 23:45:05.380646,2020-10-09 23:48:05.380646,0
51df-116,2020-10-09 23:45:04.541640,2020-10-09 23:48:04.541640,1
51df-381,2020-10-09 23:45:07.004879,2020-10-09 23:48:07.004879,1
51df-333,2020-10-09 23:45:04.724814,2020-10-09 23:48:04.724814,5
51df-400,2020-10-09 23:45:05.400932,2020-10-09 23:48:05.400932,0
51df-166,2020-10-09 23:45:04.457153,2020-10-09 23:48:04.457153,4
51df-435,2020-10-09 23:45:07.028346,2020-10-09 23:48:07.028346,0
51df-206,2020-10-09 23:45:04.467497,2020-10-09 23:48:04.467497,4
51df-430,2020-10-09 23:45:04.620699,2020-10-09 23:48:04.620699,0
51df-251,2020-10-09 23:45:04.499737,2020-10-09 23:48:04.499737,5
51df-464,2020-10-09 23:45:07.051848,2020-10-09 23:48:07.051848,0
51df-60,2020-10-09 23:45:03.965513,2020-10-09 23:48:03.965513,5
51df-461,2020-10-09 23:45:04.820039,2020-10-09 23:48:04.820039,0
51df-364,2020-10-09 23:45:04.753420,2020-10-09 23:48:04.753420,0
51df-92,2020-10-09 23:45:05.423865,2020-10-09 23:48:05.423865,6
51df-84,2020-10-09 23:45:03.974163,2020-10-09 23:48:03.974163,5
51df-344,2020-10-09 23:45:04.163824,2020-10-09 23:48:04.163824,2
51df-233,2020-10-09 23:45:05.964755,2020-10-09 23:48:05.964755,4
51df-373,2020-10-09 23:45:06.998835,2020-10-09 23:48:06.998835,0
51df-304,2020-10-09 23:45:05.556214,2020-10-09 23:48:05.556214,5
51df-496,2020-10-09 23:45:06.147042,2020-10-09 23:48:06.147042,0
51df-6,2020-10-09 23:45:06.687755,2020-10-09 23:48:06.687755,5
51df-170,2020-10-09 23:45:06.849825,2020-10-09 23:48:06.849825,5
51df-278,2020-10-09 23:45:06.941905,2020-10-09 23:48:06.941905,5
51df-340,2020-10-09 23:45:05.363730,2020-10-09 23:48:05.363730,5
51df-343,2020-10-09 23:45:06.975363,2020-10-09 23:48:06.975363,0
51df-1,2020-10-09 23:45:05.060502,2020-10-09 23:48:05.060502,5
51df-403,2020-10-09 23:45:04.612879,2020-10-09 23:48:04.612879,0
51df-159,2020-10-09 23:45:05.894500,2020-10-09 23:48:05.894500,5
51df-388,2020-10-09 23:45:05.091327,2020-10-09 23:48:05.091327,1
51df-488,2020-10-09 23:45:04.661430,2020-10-09 23:48:04.661430,0
51df-224,2020-10-09 23:45:04.641296,2020-10-09 23:48:04.641296,4
51df-325,2020-10-09 23:45:04.129634,2020-10-09 23:48:04.129634,5
51df-316,2020-10-09 23:45:04.716465,2020-10-09 23:48:04.716465,5
51df-422,2020-10-09 23:45:04.633996,2020-10-09 23:48:04.633996,0
51df-37,2020-10-09 23:45:05.328474,2020-10-09 23:48:05.328474,5
51df-61,2020-10-09 23:45:03.955934,2020-10-09 23:48:03.955934,4
51df-449,2020-10-09 23:45:04.794649,2020-10-09 23:48:04.794649,0
51df-326,2020-10-09 23:45:05.356641,2020-10-09 23:48:05.356641,4
51df-150,2020-10-09 23:45:03.996506,2020-10-09 23:48:03.996506,4
51df-238,2020-10-09 23:45:05.151312,2020-10-09 23:48:05.151312,5
51df-191,2020-10-09 23:45:05.919202,2020-10-09 23:48:05.919202,5
51df-365,2020-10-09 23:45:04.757088,2020-10-09 23:48:04.757088,0
51df-36,2020-10-09 23:45:04.396306,2020-10-09 23:48:04.396306,3
51df-428,2020-10-09 23:45:07.037959,2020-10-09 23:48:07.037959,0
51df-54,2020-10-09 23:45:04.692927,2020-10-09 23:48:04.692927,5
51df-448,2020-10-09 23:45:04.632218,2020-10-09 23:48:04.632218,0
51df-174,2020-10-09 23:45:04.038319,2020-10-09 23:48:04.038319,6
51df-273,2020-10-09 23:45:04.506213,2020-10-09 23:48:04.506213,4
51df-309,2020-10-09 23:45:05.044633,2020-10-09 23:48:05.044633,5
51df-141,2020-10-09 23:45:03.983503,2020-10-09 23:48:03.983503,2
51df-210,2020-10-09 23:45:05.941756,2020-10-09 23:48:05.941756,5
51df-204,2020-10-09 23:45:05.942121,2020-10-09 23:48:05.942121,5
51df-342,2020-10-09 23:45:04.153027,2020-10-09 23:48:04.153027,1
51df-331,2020-10-09 23:45:04.133268,2020-10-09 23:48:04.133268,4
51df-98,2020-10-09 23:45:04.725571,2020-10-09 23:48:04.725571,4
51df-369,2020-10-09 23:45:05.616373,2020-10-09 23:48:05.616373,0
51df-427,2020-10-09 23:45:07.020458,2020-10-09 23:48:07.020458,1
