GUID,Inicio,Fim,Contador
5fe8-59,2020-10-09 23:45:01.968412,2020-10-09 23:48:01.968412,5
5fe8-7,2020-10-09 23:45:01.892074,2020-10-09 23:48:01.892074,4
5fe8-38,2020-10-09 23:45:01.974472,2020-10-09 23:48:01.974472,4
5fe8-16,2020-10-09 23:45:01.907765,2020-10-09 23:48:01.907765,4
5fe8-389,2020-10-09 23:45:02.649196,2020-10-09 23:48:02.649196,1
5fe8-78,2020-10-09 23:45:02.016148,2020-10-09 23:48:02.016148,4
5fe8-55,2020-10-09 23:45:01.972172,2020-10-09 23:48:01.972172,4
5fe8-321,2020-10-09 23:45:02.540620,2020-10-09 23:48:02.540620,3
5fe8-416,2020-10-09 23:45:02.738297,2020-10-09 23:48:02.738297,2
5fe8-91,2020-10-09 23:45:02.074055,2020-10-09 23:48:02.074055,5
5fe8-134,2020-10-09 23:45:02.070857,2020-10-09 23:48:02.070857,5
5fe8-49,2020-10-09 23:45:01.982727,2020-10-09 23:48:01.982727,4
5fe8-488,2020-10-09 23:45:03.005939,2020-10-09 23:48:03.005939,2
5fe8-244,2020-10-09 23:45:02.274749,2020-10-09 23:48:02.274749,3
5fe8-47,2020-10-09 23:45:02.013024,2020-10-09 23:48:02.013024,3
5fe8-286,2020-10-09 23:45:02.482839,2020-10-09 23:48:02.482839,5
5fe8-3,2020-10-09 23:45:01.906248,2020-10-09 23:48:01.906248,4
5fe8-263,2020-10-09 23:45:02.435848,2020-10-09 23:48:02.435848,3
5fe8-99,2020-10-09 23:45:02.028033,2020-10-09 23:48:02.028033,4
5fe8-341,2020-10-09 23:45:02.578549,2020-10-09 23:48:02.578549,1
5fe8-18,2020-10-09 23:45:01.946297,2020-10-09 23:48:01.946297,4
5fe8-5,2020-10-09 23:45:01.876620,2020-10-09 23:48:01.876620,5
5fe8-302,2020-10-09 23:45:02.510603,2020-10-09 23:48:02.510603,5
5fe8-325,2020-10-09 23:45:02.529887,2020-10-09 23:48:02.529887,5
5fe8-432,2020-10-09 23:45:02.794626,2020-10-09 23:48:02.794626,2
5fe8-464,2020-10-09 23:45:02.925267,2020-10-09 23:48:02.925267,2
5fe8-164,2020-10-09 23:45:02.101400,2020-10-09 23:48:02.101400,3
5fe8-160,2020-10-09 23:45:02.086316,2020-10-09 23:48:02.086316,5
5fe8-330,2020-10-09 23:45:02.538611,2020-10-09 23:48:02.538611,5
5fe8-81,2020-10-09 23:45:01.996802,2020-10-09 23:48:01.996802,4
5fe8-31,2020-10-09 23:45:01.944856,2020-10-09 23:48:01.944856,4
5fe8-245,2020-10-09 23:45:02.275631,2020-10-09 23:48:02.275631,4
5fe8-306,2020-10-09 23:45:02.505436,2020-10-09 23:48:02.505436,4
5fe8-207,2020-10-09 23:45:02.154544,2020-10-09 23:48:02.154544,5
5fe8-283,2020-10-09 23:45:02.466474,2020-10-09 23:48:02.466474,5
5fe8-267,2020-10-09 23:45:02.468954,2020-10-09 23:48:02.468954,4
5fe8-192,2020-10-09 23:45:02.146694,2020-10-09 23:48:02.146694,5
5fe8-118,2020-10-09 23:45:02.072571,2020-10-09 23:48:02.072571,5
5fe8-144,2020-10-09 23:45:02.079130,2020-10-09 23:48:02.079130,4
5fe8-177,2020-10-09 23:45:02.116324,2020-10-09 23:48:02.116324,5
5fe8-193,2020-10-09 23:45:02.139890,2020-10-09 23:48:02.139890,4
5fe8-129,2020-10-09 23:45:02.073126,2020-10-09 23:48:02.073126,6
5fe8-485,2020-10-09 23:45:03.702047,2020-10-09 23:48:03.702047,3
5fe8-335,2020-10-09 23:45:02.554801,2020-10-09 23:48:02.554801,5
5fe8-293,2020-10-09 23:45:02.498046,2020-10-09 23:48:02.498046,5
5fe8-60,2020-10-09 23:45:01.966136,2020-10-09 23:48:01.966136,4
5fe8-402,2020-10-09 23:45:02.683550,2020-10-09 23:48:02.683550,0
5fe8-336,2020-10-09 23:45:02.561135,2020-10-09 23:48:02.561135,4
5fe8-48,2020-10-09 23:45:01.979370,2020-10-09 23:48:01.979370,6
5fe8-466,2020-10-09 23:45:02.924848,2020-10-09 23:48:02.924848,0
5fe8-390,2020-10-09 23:45:03.497046,2020-10-09 23:48:03.497046,0
5fe8-378,2020-10-09 23:45:02.627445,2020-10-09 23:48:02.627445,2
5fe8-45,2020-10-09 23:45:01.981071,2020-10-09 23:48:01.981071,3
5fe8-217,2020-10-09 23:45:02.160836,2020-10-09 23:48:02.160836,5
5fe8-185,2020-10-09 23:45:02.122565,2020-10-09 23:48:02.122565,6
5fe8-307,2020-10-09 23:45:02.503516,2020-10-09 23:48:02.503516,4
5fe8-183,2020-10-09 23:45:02.144086,2020-10-09 23:48:02.144086,4
5fe8-315,2020-10-09 23:45:02.532018,2020-10-09 23:48:02.532018,4
5fe8-210,2020-10-09 23:45:02.148620,2020-10-09 23:48:02.148620,5
5fe8-33,2020-10-09 23:45:02.007527,2020-10-09 23:48:02.007527,4
5fe8-61,2020-10-09 23:45:01.965642,2020-10-09 23:48:01.965642,4
5fe8-151,2020-10-09 23:45:02.076030,2020-10-09 23:48:02.076030,5
5fe8-425,2020-10-09 23:45:02.750862,2020-10-09 23:48:02.750862,1
5fe8-406,2020-10-09 23:45:02.671956,2020-10-09 23:48:02.671956,1
5fe8-404,2020-10-09 23:45:02.657813,2020-10-09 23:48:02.657813,2
5fe8-54,2020-10-09 23:45:01.984474,2020-10-09 23:48:01.984474,4
5fe8-319,2020-10-09 23:45:02.530973,2020-10-09 23:48:02.530973,6
5fe8-66,2020-10-09 23:45:01.993892,2020-10-09 23:48:01.993892,4
5fe8-125,2020-10-09 23:45:02.084135,2020-10-09 23:48:02.084135,4
5fe8-408,2020-10-09 23:45:02.703462,2020-10-09 23:48:02.703462,2
5fe8-484,2020-10-09 23:45:02.994813,2020-10-09 23:48:02.994813,0
5fe8-230,2020-10-09 23:45:02.212447,2020-10-09 23:48:02.212447,6
5fe8-46,2020-10-09 23:45:01.935942,2020-10-09 23:48:01.935942,4
5fe8-115,2020-10-09 23:45:02.051261,2020-10-09 23:48:02.051261,5
5fe8-358,2020-10-09 23:45:02.574754,2020-10-09 23:48:02.574754,3
5fe8-20,2020-10-09 23:45:01.930605,2020-10-09 23:48:01.930605,5
5fe8-366,2020-10-09 23:45:02.608908,2020-10-09 23:48:02.608908,2
5fe8-194,2020-10-09 23:45:02.142365,2020-10-09 23:48:02.142365,4
5fe8-444,2020-10-09 23:45:02.831764,2020-10-09 23:48:02.831764,1
5fe8-364,2020-10-09 23:45:02.594342,2020-10-09 23:48:02.594342,2
5fe8-418,2020-10-09 23:45:02.774681,2020-10-09 23:48:02.774681,2
5fe8-95,2020-10-09 23:45:02.047033,2020-10-09 23:48:02.047033,4
5fe8-313,2020-10-09 23:45:02.526977,2020-10-09 23:48:02.526977,5
5fe8-137,2020-10-09 23:45:02.083594,2020-10-09 23:48:02.083594,3
5fe8-203,2020-10-09 23:45:02.148852,2020-10-09 23:48:02.148852,4
5fe8-487,2020-10-09 23:45:03.008545,2020-10-09 23:48:03.008545,2
5fe8-255,2020-10-09 23:45:02.389003,2020-10-09 23:48:02.389003,4
5fe8-305,2020-10-09 23:45:02.495141,2020-10-09 23:48:02.495141,5
5fe8-437,2020-10-09 23:45:02.828111,2020-10-09 23:48:02.828111,2
5fe8-327,2020-10-09 23:45:02.562554,2020-10-09 23:48:02.562554,4
5fe8-333,2020-10-09 23:45:02.550079,2020-10-09 23:48:02.550079,5
5fe8-157,2020-10-09 23:45:02.100936,2020-10-09 23:48:02.100936,5
5fe8-440,2020-10-09 23:45:02.839006,2020-10-09 23:48:02.839006,2
5fe8-62,2020-10-09 23:45:02.005100,2020-10-09 23:48:02.005100,4
5fe8-409,2020-10-09 23:45:02.699016,2020-10-09 23:48:02.699016,1
5fe8-299,2020-10-09 23:45:02.501993,2020-10-09 23:48:02.501993,4
5fe8-41,2020-10-09 23:45:01.975736,2020-10-09 23:48:01.975736,7
5fe8-231,2020-10-09 23:45:02.226580,2020-10-09 23:48:02.226580,4
5fe8-181,2020-10-09 23:45:02.103825,2020-10-09 23:48:02.103825,6
5fe8-229,2020-10-09 23:45:02.218841,2020-10-09 23:48:02.218841,5
5fe8-297,2020-10-09 23:45:02.507855,2020-10-09 23:48:02.507855,4
5fe8-145,2020-10-09 23:45:02.080865,2020-10-09 23:48:02.080865,5
5fe8-377,2020-10-09 23:45:02.630352,2020-10-09 23:48:02.630352,2
5fe8-262,2020-10-09 23:45:02.423658,2020-10-09 23:48:02.423658,4
5fe8-103,2020-10-09 23:45:02.012422,2020-10-09 23:48:02.012422,4
5fe8-150,2020-10-09 23:45:02.082456,2020-10-09 23:48:02.082456,5
5fe8-363,2020-10-09 23:45:02.586037,2020-10-09 23:48:02.586037,0
5fe8-241,2020-10-09 23:45:02.262100,2020-10-09 23:48:02.262100,5
5fe8-190,2020-10-09 23:45:02.114661,2020-10-09 23:48:02.114661,5
5fe8-178,2020-10-09 23:45:02.122544,2020-10-09 23:48:02.122544,4
5fe8-380,2020-10-09 23:45:02.637482,2020-10-09 23:48:02.637482,0
5fe8-186,2020-10-09 23:45:02.127390,2020-10-09 23:48:02.127390,4
5fe8-322,2020-10-09 23:45:02.538397,2020-10-09 23:48:02.538397,3
5fe8-236,2020-10-09 23:45:02.271778,2020-10-09 23:48:02.271778,3
5fe8-459,2020-10-09 23:45:02.899936,2020-10-09 23:48:02.899936,3
5fe8-237,2020-10-09 23:45:02.247428,2020-10-09 23:48:02.247428,5
5fe8-135,2020-10-09 23:45:02.076724,2020-10-09 23:48:02.076724,5
5fe8-460,2020-10-09 23:45:02.903410,2020-10-09 23:48:02.903410,3
5fe8-491,2020-10-09 23:45:03.032138,2020-10-09 23:48:03.032138,3
5fe8-162,2020-10-09 23:45:02.086702,2020-10-09 23:48:02.086702,5
5fe8-447,2020-10-09 23:45:02.849775,2020-10-09 23:48:02.849775,2
5fe8-117,2020-10-09 23:45:02.049773,2020-10-09 23:48:02.049773,4
5fe8-206,2020-10-09 23:45:02.146539,2020-10-09 23:48:02.146539,4
5fe8-52,2020-10-09 23:45:01.952239,2020-10-09 23:48:01.952239,5
5fe8-355,2020-10-09 23:45:02.590522,2020-10-09 23:48:02.590522,3
5fe8-106,2020-10-09 23:45:02.017483,2020-10-09 23:48:02.017483,4
5fe8-174,2020-10-09 23:45:02.118823,2020-10-09 23:48:02.118823,6
5fe8-266,2020-10-09 23:45:02.426640,2020-10-09 23:48:02.426640,4
5fe8-68,2020-10-09 23:45:01.966787,2020-10-09 23:48:01.966787,4
5fe8-274,2020-10-09 23:45:02.475121,2020-10-09 23:48:02.475121,4
5fe8-212,2020-10-09 23:45:02.154216,2020-10-09 23:48:02.154216,5
5fe8-148,2020-10-09 23:45:02.077265,2020-10-09 23:48:02.077265,4
5fe8-122,2020-10-09 23:45:02.082679,2020-10-09 23:48:02.082679,4
5fe8-436,2020-10-09 23:45:02.794957,2020-10-09 23:48:02.794957,2
5fe8-369,2020-10-09 23:45:02.611692,2020-10-09 23:48:02.611692,2
5fe8-387,2020-10-09 23:45:02.649507,2020-10-09 23:48:02.649507,0
5fe8-14,2020-10-09 23:45:01.887780,2020-10-09 23:48:01.887780,5
5fe8-205,2020-10-09 23:45:02.162518,2020-10-09 23:48:02.162518,5
5fe8-26,2020-10-09 23:45:01.960283,2020-10-09 23:48:01.960283,5
5fe8-15,2020-10-09 23:45:01.910559,2020-10-09 23:48:01.910559,4
5fe8-304,2020-10-09 23:45:02.513571,2020-10-09 23:48:02.513571,5
5fe8-370,2020-10-09 23:45:02.607774,2020-10-09 23:48:02.607774,2
5fe8-63,2020-10-09 23:45:02.011368,2020-10-09 23:48:02.011368,3
5fe8-317,2020-10-09 23:45:02.521711,2020-10-09 23:48:02.521711,4
5fe8-189,2020-10-09 23:45:02.127164,2020-10-09 23:48:02.127164,6
5fe8-339,2020-10-09 23:45:03.432756,2020-10-09 23:48:03.432756,2
5fe8-270,2020-10-09 23:45:02.467931,2020-10-09 23:48:02.467931,6
5fe8-497,2020-10-09 23:45:03.039699,2020-10-09 23:48:03.039699,2
5fe8-350,2020-10-09 23:45:02.586505,2020-10-09 23:48:02.586505,1
5fe8-386,2020-10-09 23:45:02.654861,2020-10-09 23:48:02.654861,0
5fe8-218,2020-10-09 23:45:02.159282,2020-10-09 23:48:02.159282,4
5fe8-288,2020-10-09 23:45:02.487164,2020-10-09 23:48:02.487164,4
5fe8-344,2020-10-09 23:45:02.569981,2020-10-09 23:48:02.569981,2
5fe8-97,2020-10-09 23:45:02.034634,2020-10-09 23:48:02.034634,4
5fe8-381,2020-10-09 23:45:02.642754,2020-10-09 23:48:02.642754,0
5fe8-154,2020-10-09 23:45:02.108377,2020-10-09 23:48:02.108377,5
5fe8-311,2020-10-09 23:45:02.531583,2020-10-09 23:48:02.531583,4
5fe8-102,2020-10-09 23:45:02.048009,2020-10-09 23:48:02.048009,4
5fe8-273,2020-10-09 23:45:04.404075,2020-10-09 23:48:04.404075,4
5fe8-290,2020-10-09 23:45:02.491931,2020-10-09 23:48:02.491931,4
5fe8-470,2020-10-09 23:45:02.925151,2020-10-09 23:48:02.925151,1
5fe8-158,2020-10-09 23:45:02.104910,2020-10-09 23:48:02.104910,5
5fe8-496,2020-10-09 23:45:05.927969,2020-10-09 23:48:05.927969,0
5fe8-298,2020-10-09 23:45:02.505209,2020-10-09 23:48:02.505209,4
5fe8-191,2020-10-09 23:45:02.143892,2020-10-09 23:48:02.143892,4
5fe8-268,2020-10-09 23:45:02.439745,2020-10-09 23:48:02.439745,5
5fe8-10,2020-10-09 23:45:01.895600,2020-10-09 23:48:01.895600,5
5fe8-430,2020-10-09 23:45:02.774593,2020-10-09 23:48:02.774593,2
5fe8-419,2020-10-09 23:45:02.712981,2020-10-09 23:48:02.712981,0
5fe8-246,2020-10-09 23:45:02.262219,2020-10-09 23:48:02.262219,4
5fe8-77,2020-10-09 23:45:02.028385,2020-10-09 23:48:02.028385,5
5fe8-403,2020-10-09 23:45:05.691901,2020-10-09 23:48:05.691901,0
5fe8-242,2020-10-09 23:45:02.273087,2020-10-09 23:48:02.273087,5
5fe8-481,2020-10-09 23:45:02.980574,2020-10-09 23:48:02.980574,1
5fe8-365,2020-10-09 23:45:03.445751,2020-10-09 23:48:03.445751,2
5fe8-171,2020-10-09 23:45:02.122358,2020-10-09 23:48:02.122358,3
5fe8-479,2020-10-09 23:45:03.866770,2020-10-09 23:48:03.866770,3
5fe8-258,2020-10-09 23:45:02.404621,2020-10-09 23:48:02.404621,4
5fe8-494,2020-10-09 23:45:03.011930,2020-10-09 23:48:03.011930,1
5fe8-348,2020-10-09 23:45:02.571224,2020-10-09 23:48:02.571224,1
5fe8-98,2020-10-09 23:45:02.030023,2020-10-09 23:48:02.030023,5
5fe8-2,2020-10-09 23:45:01.884230,2020-10-09 23:48:01.884230,5
5fe8-289,2020-10-09 23:45:02.487690,2020-10-09 23:48:02.487690,4
5fe8-394,2020-10-09 23:45:02.634264,2020-10-09 23:48:02.634264,1
5fe8-53,2020-10-09 23:45:02.002438,2020-10-09 23:48:02.002438,5
5fe8-279,2020-10-09 23:45:02.462200,2020-10-09 23:48:02.462200,4
5fe8-475,2020-10-09 23:45:05.872727,2020-10-09 23:48:05.872727,1
5fe8-471,2020-10-09 23:45:02.932114,2020-10-09 23:48:02.932114,3
5fe8-80,2020-10-09 23:45:01.982318,2020-10-09 23:48:01.982318,6
5fe8-271,2020-10-09 23:45:02.450580,2020-10-09 23:48:02.450580,4
5fe8-202,2020-10-09 23:45:02.152176,2020-10-09 23:48:02.152176,5
5fe8-493,2020-10-09 23:45:07.688216,2020-10-09 23:48:07.688216,0
5fe8-259,2020-10-09 23:45:02.403736,2020-10-09 23:48:02.403736,5
5fe8-300,2020-10-09 23:45:02.501492,2020-10-09 23:48:02.501492,4
5fe8-239,2020-10-09 23:45:02.270989,2020-10-09 23:48:02.270989,6
5fe8-226,2020-10-09 23:45:02.196180,2020-10-09 23:48:02.196180,4
5fe8-32,2020-10-09 23:45:01.945848,2020-10-09 23:48:01.945848,3
5fe8-215,2020-10-09 23:45:02.162558,2020-10-09 23:48:02.162558,4
5fe8-211,2020-10-09 23:45:02.159876,2020-10-09 23:48:02.159876,6
5fe8-213,2020-10-09 23:45:02.162781,2020-10-09 23:48:02.162781,4
5fe8-337,2020-10-09 23:45:02.538707,2020-10-09 23:48:02.538707,5
5fe8-196,2020-10-09 23:45:02.145872,2020-10-09 23:48:02.145872,6
5fe8-100,2020-10-09 23:45:02.053938,2020-10-09 23:48:02.053938,4
5fe8-347,2020-10-09 23:45:05.654568,2020-10-09 23:48:05.654568,0
5fe8-426,2020-10-09 23:45:02.770220,2020-10-09 23:48:02.770220,1
5fe8-353,2020-10-09 23:45:02.556999,2020-10-09 23:48:02.556999,0
