GUID,Inicio,Fim,Contador
83ae-23,2020-10-09 23:45:01.571005,2020-10-09 23:48:01.571005,4
83ae-67,2020-10-09 23:45:01.646423,2020-10-09 23:48:01.646423,4
83ae-225,2020-10-09 23:45:01.752063,2020-10-09 23:48:01.752063,4
83ae-190,2020-10-09 23:45:01.711642,2020-10-09 23:48:01.711642,4
83ae-207,2020-10-09 23:45:01.730485,2020-10-09 23:48:01.730485,4
83ae-143,2020-10-09 23:45:01.670022,2020-10-09 23:48:01.670022,5
83ae-288,2020-10-09 23:45:02.009677,2020-10-09 23:48:02.009677,4
83ae-181,2020-10-09 23:45:01.689818,2020-10-09 23:48:01.689818,4
83ae-75,2020-10-09 23:45:01.612840,2020-10-09 23:48:01.612840,4
83ae-230,2020-10-09 23:45:01.786107,2020-10-09 23:48:01.786107,3
83ae-103,2020-10-09 23:45:01.640451,2020-10-09 23:48:01.640451,4
83ae-496,2020-10-09 23:45:02.419523,2020-10-09 23:48:02.419523,2
83ae-135,2020-10-09 23:45:01.670095,2020-10-09 23:48:01.670095,4
83ae-52,2020-10-09 23:45:01.615932,2020-10-09 23:48:01.615932,4
83ae-308,2020-10-09 23:45:02.050736,2020-10-09 23:48:02.050736,4
83ae-249,2020-10-09 23:45:01.901427,2020-10-09 23:48:01.901427,4
83ae-235,2020-10-09 23:45:01.825582,2020-10-09 23:48:01.825582,3
83ae-94,2020-10-09 23:45:01.629404,2020-10-09 23:48:01.629404,3
83ae-388,2020-10-09 23:45:02.189652,2020-10-09 23:48:02.189652,0
83ae-348,2020-10-09 23:45:02.177144,2020-10-09 23:48:02.177144,2
83ae-97,2020-10-09 23:45:01.659055,2020-10-09 23:48:01.659055,3
83ae-101,2020-10-09 23:45:01.677049,2020-10-09 23:48:01.677049,4
83ae-186,2020-10-09 23:45:01.705064,2020-10-09 23:48:01.705064,4
83ae-167,2020-10-09 23:45:01.679022,2020-10-09 23:48:01.679022,5
83ae-56,2020-10-09 23:45:01.614513,2020-10-09 23:48:01.614513,5
83ae-194,2020-10-09 23:45:01.723702,2020-10-09 23:48:01.723702,4
83ae-442,2020-10-09 23:45:02.280269,2020-10-09 23:48:02.280269,0
83ae-486,2020-10-09 23:45:02.413076,2020-10-09 23:48:02.413076,3
83ae-291,2020-10-09 23:45:02.023019,2020-10-09 23:48:02.023019,5
83ae-241,2020-10-09 23:45:01.861782,2020-10-09 23:48:01.861782,5
83ae-257,2020-10-09 23:45:01.953686,2020-10-09 23:48:01.953686,4
83ae-174,2020-10-09 23:45:01.693115,2020-10-09 23:48:01.693115,5
83ae-232,2020-10-09 23:45:01.807676,2020-10-09 23:48:01.807676,4
83ae-192,2020-10-09 23:45:01.732684,2020-10-09 23:48:01.732684,6
83ae-245,2020-10-09 23:45:01.874640,2020-10-09 23:48:01.874640,3
83ae-258,2020-10-09 23:45:01.962181,2020-10-09 23:48:01.962181,3
83ae-460,2020-10-09 23:45:02.333313,2020-10-09 23:48:02.333313,2
83ae-322,2020-10-09 23:45:02.109224,2020-10-09 23:48:02.109224,4
83ae-304,2020-10-09 23:45:02.045700,2020-10-09 23:48:02.045700,5
83ae-449,2020-10-09 23:45:02.309415,2020-10-09 23:48:02.309415,0
83ae-262,2020-10-09 23:45:01.961459,2020-10-09 23:48:01.961459,5
83ae-229,2020-10-09 23:45:01.784493,2020-10-09 23:48:01.784493,3
83ae-471,2020-10-09 23:45:02.373683,2020-10-09 23:48:02.373683,2
83ae-180,2020-10-09 23:45:01.689141,2020-10-09 23:48:01.689141,3
83ae-210,2020-10-09 23:45:01.738184,2020-10-09 23:48:01.738184,4
83ae-124,2020-10-09 23:45:01.664249,2020-10-09 23:48:01.664249,3
83ae-165,2020-10-09 23:45:01.684617,2020-10-09 23:48:01.684617,3
83ae-3,2020-10-09 23:45:01.519966,2020-10-09 23:48:01.519966,5
83ae-295,2020-10-09 23:45:02.045255,2020-10-09 23:48:02.045255,5
83ae-45,2020-10-09 23:45:01.629528,2020-10-09 23:48:01.629528,5
83ae-469,2020-10-09 23:45:02.348684,2020-10-09 23:48:02.348684,1
83ae-431,2020-10-09 23:45:02.242334,2020-10-09 23:48:02.242334,2
83ae-378,2020-10-09 23:45:02.136479,2020-10-09 23:48:02.136479,3
83ae-374,2020-10-09 23:45:02.147396,2020-10-09 23:48:02.147396,2
83ae-220,2020-10-09 23:45:01.737119,2020-10-09 23:48:01.737119,4
83ae-411,2020-10-09 23:45:02.230855,2020-10-09 23:48:02.230855,1
83ae-219,2020-10-09 23:45:01.738276,2020-10-09 23:48:01.738276,3
83ae-113,2020-10-09 23:45:01.665201,2020-10-09 23:48:01.665201,4
83ae-298,2020-10-09 23:45:02.052513,2020-10-09 23:48:02.052513,4
83ae-131,2020-10-09 23:45:01.652581,2020-10-09 23:48:01.652581,4
83ae-368,2020-10-09 23:45:02.162840,2020-10-09 23:48:02.162840,2
83ae-98,2020-10-09 23:45:01.620527,2020-10-09 23:48:01.620527,4
83ae-447,2020-10-09 23:45:02.286294,2020-10-09 23:48:02.286294,0
83ae-491,2020-10-09 23:45:02.409142,2020-10-09 23:48:02.409142,2
83ae-335,2020-10-09 23:45:02.113954,2020-10-09 23:48:02.113954,4
83ae-236,2020-10-09 23:45:01.850553,2020-10-09 23:48:01.850553,5
83ae-246,2020-10-09 23:45:01.859012,2020-10-09 23:48:01.859012,5
83ae-426,2020-10-09 23:45:02.230916,2020-10-09 23:48:02.230916,2
83ae-115,2020-10-09 23:45:01.649120,2020-10-09 23:48:01.649120,4
83ae-185,2020-10-09 23:45:01.688346,2020-10-09 23:48:01.688346,4
83ae-116,2020-10-09 23:45:01.643700,2020-10-09 23:48:01.643700,4
83ae-65,2020-10-09 23:45:01.601462,2020-10-09 23:48:01.601462,4
83ae-408,2020-10-09 23:45:02.218139,2020-10-09 23:48:02.218139,1
83ae-274,2020-10-09 23:45:02.006341,2020-10-09 23:48:02.006341,5
83ae-451,2020-10-09 23:45:02.311506,2020-10-09 23:48:02.311506,2
83ae-281,2020-10-09 23:45:02.014319,2020-10-09 23:48:02.014319,4
83ae-255,2020-10-09 23:45:01.958646,2020-10-09 23:48:01.958646,6
83ae-6,2020-10-09 23:45:01.532220,2020-10-09 23:48:01.532220,4
83ae-345,2020-10-09 23:45:02.168811,2020-10-09 23:48:02.168811,0
83ae-364,2020-10-09 23:45:02.168749,2020-10-09 23:48:02.168749,0
83ae-203,2020-10-09 23:45:01.698543,2020-10-09 23:48:01.698543,3
83ae-253,2020-10-09 23:45:01.935806,2020-10-09 23:48:01.935806,4
83ae-276,2020-10-09 23:45:01.972883,2020-10-09 23:48:01.972883,4
83ae-403,2020-10-09 23:45:02.211992,2020-10-09 23:48:02.211992,1
83ae-92,2020-10-09 23:45:01.653414,2020-10-09 23:48:01.653414,5
83ae-357,2020-10-09 23:45:02.192903,2020-10-09 23:48:02.192903,3
83ae-454,2020-10-09 23:45:02.326499,2020-10-09 23:48:02.326499,3
83ae-215,2020-10-09 23:45:01.746293,2020-10-09 23:48:01.746293,4
83ae-277,2020-10-09 23:45:01.989800,2020-10-09 23:48:01.989800,3
83ae-439,2020-10-09 23:45:02.258053,2020-10-09 23:48:02.258053,3
83ae-429,2020-10-09 23:45:02.257024,2020-10-09 23:48:02.257024,3
83ae-283,2020-10-09 23:45:02.013104,2020-10-09 23:48:02.013104,5
83ae-44,2020-10-09 23:45:01.576209,2020-10-09 23:48:01.576209,4
83ae-93,2020-10-09 23:45:01.613751,2020-10-09 23:48:01.613751,5
83ae-134,2020-10-09 23:45:01.662715,2020-10-09 23:48:01.662715,3
83ae-106,2020-10-09 23:45:01.659787,2020-10-09 23:48:01.659787,4
83ae-13,2020-10-09 23:45:01.546925,2020-10-09 23:48:01.546925,5
83ae-487,2020-10-09 23:45:02.392350,2020-10-09 23:48:02.392350,2
83ae-326,2020-10-09 23:45:02.097575,2020-10-09 23:48:02.097575,4
83ae-301,2020-10-09 23:45:02.047850,2020-10-09 23:48:02.047850,3
83ae-151,2020-10-09 23:45:01.681051,2020-10-09 23:48:01.681051,4
83ae-221,2020-10-09 23:45:01.749026,2020-10-09 23:48:01.749026,4
83ae-114,2020-10-09 23:45:01.686262,2020-10-09 23:48:01.686262,5
83ae-39,2020-10-09 23:45:01.567778,2020-10-09 23:48:01.567778,4
83ae-498,2020-10-09 23:45:02.407160,2020-10-09 23:48:02.407160,0
83ae-400,2020-10-09 23:45:02.211297,2020-10-09 23:48:02.211297,2
83ae-233,2020-10-09 23:45:01.828262,2020-10-09 23:48:01.828262,4
83ae-480,2020-10-09 23:45:02.395179,2020-10-09 23:48:02.395179,0
83ae-71,2020-10-09 23:45:01.616648,2020-10-09 23:48:01.616648,4
83ae-162,2020-10-09 23:45:01.667738,2020-10-09 23:48:01.667738,6
83ae-1,2020-10-09 23:45:01.522891,2020-10-09 23:48:01.522891,4
83ae-317,2020-10-09 23:45:02.074387,2020-10-09 23:48:02.074387,5
83ae-226,2020-10-09 23:45:01.788553,2020-10-09 23:48:01.788553,4
83ae-315,2020-10-09 23:45:02.088283,2020-10-09 23:48:02.088283,4
83ae-172,2020-10-09 23:45:01.686816,2020-10-09 23:48:01.686816,4
83ae-409,2020-10-09 23:45:02.219953,2020-10-09 23:48:02.219953,0
83ae-193,2020-10-09 23:45:01.698516,2020-10-09 23:48:01.698516,4
83ae-470,2020-10-09 23:45:02.346388,2020-10-09 23:48:02.346388,0
83ae-34,2020-10-09 23:45:01.569259,2020-10-09 23:48:01.569259,3
83ae-392,2020-10-09 23:45:02.198363,2020-10-09 23:48:02.198363,0
83ae-227,2020-10-09 23:45:01.758664,2020-10-09 23:48:01.758664,4
83ae-53,2020-10-09 23:45:01.604900,2020-10-09 23:48:01.604900,4
83ae-385,2020-10-09 23:45:02.195771,2020-10-09 23:48:02.195771,1
83ae-28,2020-10-09 23:45:01.581940,2020-10-09 23:48:01.581940,5
83ae-271,2020-10-09 23:45:01.969617,2020-10-09 23:48:01.969617,5
83ae-117,2020-10-09 23:45:01.637505,2020-10-09 23:48:01.637505,4
83ae-319,2020-10-09 23:45:02.088364,2020-10-09 23:48:02.088364,6
83ae-462,2020-10-09 23:45:07.293061,2020-10-09 23:48:07.293061,2
83ae-118,2020-10-09 23:45:01.656573,2020-10-09 23:48:01.656573,5
83ae-178,2020-10-09 23:45:01.703299,2020-10-09 23:48:01.703299,5
83ae-125,2020-10-09 23:45:01.655512,2020-10-09 23:48:01.655512,5
83ae-330,2020-10-09 23:45:02.115658,2020-10-09 23:48:02.115658,5
83ae-323,2020-10-09 23:45:02.099815,2020-10-09 23:48:02.099815,5
83ae-464,2020-10-09 23:45:02.326397,2020-10-09 23:48:02.326397,2
83ae-36,2020-10-09 23:45:01.614058,2020-10-09 23:48:01.614058,4
83ae-129,2020-10-09 23:45:01.672879,2020-10-09 23:48:01.672879,4
83ae-266,2020-10-09 23:45:01.958346,2020-10-09 23:48:01.958346,4
83ae-188,2020-10-09 23:45:01.718497,2020-10-09 23:48:01.718497,5
83ae-111,2020-10-09 23:45:01.651865,2020-10-09 23:48:01.651865,5
83ae-142,2020-10-09 23:45:01.662037,2020-10-09 23:48:01.662037,4
83ae-70,2020-10-09 23:45:01.624386,2020-10-09 23:48:01.624386,6
83ae-382,2020-10-09 23:45:02.153943,2020-10-09 23:48:02.153943,1
83ae-136,2020-10-09 23:45:01.661013,2020-10-09 23:48:01.661013,5
83ae-195,2020-10-09 23:45:01.698575,2020-10-09 23:48:01.698575,5
83ae-0,2020-10-09 23:45:01.539655,2020-10-09 23:48:01.539655,4
83ae-110,2020-10-09 23:45:01.669407,2020-10-09 23:48:01.669407,7
83ae-50,2020-10-09 23:45:01.612756,2020-10-09 23:48:01.612756,4
83ae-316,2020-10-09 23:45:02.097306,2020-10-09 23:48:02.097306,4
83ae-4,2020-10-09 23:45:01.556566,2020-10-09 23:48:01.556566,4
83ae-312,2020-10-09 23:45:02.074842,2020-10-09 23:48:02.074842,3
83ae-433,2020-10-09 23:45:02.262954,2020-10-09 23:48:02.262954,2
83ae-455,2020-10-09 23:45:02.319984,2020-10-09 23:48:02.319984,1
83ae-461,2020-10-09 23:45:02.336424,2020-10-09 23:48:02.336424,2
83ae-268,2020-10-09 23:45:01.971517,2020-10-09 23:48:01.971517,5
83ae-324,2020-10-09 23:45:02.113299,2020-10-09 23:48:02.113299,6
83ae-169,2020-10-09 23:45:01.687824,2020-10-09 23:48:01.687824,4
83ae-234,2020-10-09 23:45:01.837464,2020-10-09 23:48:01.837464,4
83ae-46,2020-10-09 23:45:01.599491,2020-10-09 23:48:01.599491,4
83ae-76,2020-10-09 23:45:01.620764,2020-10-09 23:48:01.620764,5
83ae-159,2020-10-09 23:45:01.659338,2020-10-09 23:48:01.659338,4
83ae-247,2020-10-09 23:45:01.894984,2020-10-09 23:48:01.894984,4
83ae-432,2020-10-09 23:45:02.262589,2020-10-09 23:48:02.262589,2
83ae-395,2020-10-09 23:45:02.184268,2020-10-09 23:48:02.184268,0
83ae-466,2020-10-09 23:45:02.359104,2020-10-09 23:48:02.359104,2
83ae-398,2020-10-09 23:45:02.187307,2020-10-09 23:48:02.187307,1
83ae-263,2020-10-09 23:45:01.960543,2020-10-09 23:48:01.960543,5
83ae-239,2020-10-09 23:45:01.850707,2020-10-09 23:48:01.850707,4
83ae-459,2020-10-09 23:45:02.334169,2020-10-09 23:48:02.334169,2
83ae-300,2020-10-09 23:45:02.036574,2020-10-09 23:48:02.036574,4
83ae-419,2020-10-09 23:45:02.217598,2020-10-09 23:48:02.217598,0
83ae-204,2020-10-09 23:45:01.736712,2020-10-09 23:48:01.736712,3
83ae-389,2020-10-09 23:45:02.191129,2020-10-09 23:48:02.191129,2
83ae-484,2020-10-09 23:45:02.399925,2020-10-09 23:48:02.399925,2
83ae-386,2020-10-09 23:45:02.187872,2020-10-09 23:48:02.187872,1
83ae-492,2020-10-09 23:45:02.405923,2020-10-09 23:48:02.405923,3
83ae-123,2020-10-09 23:45:01.673041,2020-10-09 23:48:01.673041,4
83ae-306,2020-10-09 23:45:02.043647,2020-10-09 23:48:02.043647,3
83ae-205,2020-10-09 23:45:01.738834,2020-10-09 23:48:01.738834,3
83ae-474,2020-10-09 23:45:02.381790,2020-10-09 23:48:02.381790,1
83ae-37,2020-10-09 23:45:01.584679,2020-10-09 23:48:01.584679,6
83ae-189,2020-10-09 23:45:01.700627,2020-10-09 23:48:01.700627,4
83ae-344,2020-10-09 23:45:02.128313,2020-10-09 23:48:02.128313,0
83ae-164,2020-10-09 23:45:01.663664,2020-10-09 23:48:01.663664,4
83ae-26,2020-10-09 23:45:01.671534,2020-10-09 23:48:01.671534,4
83ae-430,2020-10-09 23:45:02.267303,2020-10-09 23:48:02.267303,1
83ae-425,2020-10-09 23:45:02.252540,2020-10-09 23:48:02.252540,1
83ae-343,2020-10-09 23:45:02.147939,2020-10-09 23:48:02.147939,0
83ae-453,2020-10-09 23:45:02.320618,2020-10-09 23:48:02.320618,1
83ae-472,2020-10-09 23:45:02.374016,2020-10-09 23:48:02.374016,1
83ae-405,2020-10-09 23:45:02.196686,2020-10-09 23:48:02.196686,0
83ae-161,2020-10-09 23:45:01.675431,2020-10-09 23:48:01.675431,4
83ae-145,2020-10-09 23:45:01.668636,2020-10-09 23:48:01.668636,4
83ae-55,2020-10-09 23:45:01.604324,2020-10-09 23:48:01.604324,4
83ae-158,2020-10-09 23:45:01.672908,2020-10-09 23:48:01.672908,4
83ae-362,2020-10-09 23:45:02.144171,2020-10-09 23:48:02.144171,1
83ae-224,2020-10-09 23:45:01.758840,2020-10-09 23:48:01.758840,4
83ae-104,2020-10-09 23:45:01.632280,2020-10-09 23:48:01.632280,4
83ae-494,2020-10-09 23:45:02.409541,2020-10-09 23:48:02.409541,2
83ae-467,2020-10-09 23:45:07.294463,2020-10-09 23:48:07.294463,2
83ae-42,2020-10-09 23:45:01.580236,2020-10-09 23:48:01.580236,6
83ae-278,2020-10-09 23:45:01.991423,2020-10-09 23:48:01.991423,6
83ae-457,2020-10-09 23:45:02.333719,2020-10-09 23:48:02.333719,1
83ae-250,2020-10-09 23:45:01.910153,2020-10-09 23:48:01.910153,4
83ae-191,2020-10-09 23:45:01.736437,2020-10-09 23:48:01.736437,5
83ae-407,2020-10-09 23:45:02.203294,2020-10-09 23:48:02.203294,0
83ae-244,2020-10-09 23:45:01.875273,2020-10-09 23:48:01.875273,3
83ae-84,2020-10-09 23:45:01.629127,2020-10-09 23:48:01.629127,3
83ae-24,2020-10-09 23:45:01.634328,2020-10-09 23:48:01.634328,5
83ae-270,2020-10-09 23:45:01.962424,2020-10-09 23:48:01.962424,3
83ae-485,2020-10-09 23:45:07.319137,2020-10-09 23:48:07.319137,0
83ae-237,2020-10-09 23:45:01.861522,2020-10-09 23:48:01.861522,3
83ae-428,2020-10-09 23:45:02.255271,2020-10-09 23:48:02.255271,0
83ae-440,2020-10-09 23:45:02.278913,2020-10-09 23:48:02.278913,2
83ae-31,2020-10-09 23:45:01.564332,2020-10-09 23:48:01.564332,6
83ae-358,2020-10-09 23:45:02.194020,2020-10-09 23:48:02.194020,1
83ae-61,2020-10-09 23:45:01.600949,2020-10-09 23:48:01.600949,4
83ae-285,2020-10-09 23:45:02.010814,2020-10-09 23:48:02.010814,4
83ae-406,2020-10-09 23:45:02.218095,2020-10-09 23:48:02.218095,1
83ae-351,2020-10-09 23:45:02.148331,2020-10-09 23:48:02.148331,1
