GUID,Inicio,Fim,Contador
b0c7-15,2020-10-09 23:45:03.286929,2020-10-09 23:48:03.286929,5
b0c7-471,2020-10-09 23:45:03.683623,2020-10-09 23:48:03.683623,1
b0c7-166,2020-10-09 23:45:04.009443,2020-10-09 23:48:04.009443,4
b0c7-224,2020-10-09 23:45:04.063522,2020-10-09 23:48:04.063522,4
b0c7-16,2020-10-09 23:45:03.284279,2020-10-09 23:48:03.284279,5
b0c7-342,2020-10-09 23:45:03.588611,2020-10-09 23:48:03.588611,2
b0c7-379,2020-10-09 23:45:04.476102,2020-10-09 23:48:04.476102,0
b0c7-312,2020-10-09 23:45:04.225285,2020-10-09 23:48:04.225285,3
b0c7-420,2020-10-09 23:45:04.425376,2020-10-09 23:48:04.425376,0
b0c7-107,2020-10-09 23:45:06.192766,2020-10-09 23:48:06.192766,3
b0c7-58,2020-10-09 23:45:03.342500,2020-10-09 23:48:03.342500,5
b0c7-421,2020-10-09 23:45:04.424875,2020-10-09 23:48:04.424875,0
b0c7-292,2020-10-09 23:45:04.086825,2020-10-09 23:48:04.086825,4
b0c7-490,2020-10-09 23:45:04.855962,2020-10-09 23:48:04.855962,0
b0c7-80,2020-10-09 23:45:03.960064,2020-10-09 23:48:03.960064,4
b0c7-444,2020-10-09 23:45:04.211172,2020-10-09 23:48:04.211172,1
b0c7-124,2020-10-09 23:45:04.566304,2020-10-09 23:48:04.566304,5
b0c7-177,2020-10-09 23:45:03.497698,2020-10-09 23:48:03.497698,4
b0c7-93,2020-10-09 23:45:03.971971,2020-10-09 23:48:03.971971,4
b0c7-409,2020-10-09 23:45:04.185939,2020-10-09 23:48:04.185939,0
b0c7-290,2020-10-09 23:45:08.105284,2020-10-09 23:48:08.105284,4
b0c7-170,2020-10-09 23:45:08.034583,2020-10-09 23:48:08.034583,4
b0c7-238,2020-10-09 23:45:05.385530,2020-10-09 23:48:05.385530,3
b0c7-104,2020-10-09 23:45:07.949799,2020-10-09 23:48:07.949799,4
b0c7-148,2020-10-09 23:45:04.162841,2020-10-09 23:48:04.162841,4
b0c7-151,2020-10-09 23:45:03.446228,2020-10-09 23:48:03.446228,5
b0c7-196,2020-10-09 23:45:06.260982,2020-10-09 23:48:06.260982,4
b0c7-443,2020-10-09 23:45:04.534264,2020-10-09 23:48:04.534264,0
b0c7-347,2020-10-09 23:45:05.004387,2020-10-09 23:48:05.004387,0
b0c7-156,2020-10-09 23:45:08.015689,2020-10-09 23:48:08.015689,5
b0c7-87,2020-10-09 23:45:07.941719,2020-10-09 23:48:07.941719,4
b0c7-144,2020-10-09 23:45:07.990028,2020-10-09 23:48:07.990028,4
b0c7-352,2020-10-09 23:45:05.483329,2020-10-09 23:48:05.483329,0
b0c7-205,2020-10-09 23:45:04.876627,2020-10-09 23:48:04.876627,4
b0c7-436,2020-10-09 23:45:04.515084,2020-10-09 23:48:04.515084,0
b0c7-137,2020-10-09 23:45:07.993336,2020-10-09 23:48:07.993336,3
b0c7-216,2020-10-09 23:45:06.283196,2020-10-09 23:48:06.283196,4
b0c7-39,2020-10-09 23:45:04.050566,2020-10-09 23:48:04.050566,5
b0c7-21,2020-10-09 23:45:03.324281,2020-10-09 23:48:03.324281,4
b0c7-199,2020-10-09 23:45:04.047974,2020-10-09 23:48:04.047974,5
b0c7-43,2020-10-09 23:45:05.215911,2020-10-09 23:48:05.215911,5
b0c7-24,2020-10-09 23:45:05.207744,2020-10-09 23:48:05.207744,4
b0c7-134,2020-10-09 23:45:04.799821,2020-10-09 23:48:04.799821,4
b0c7-401,2020-10-09 23:45:05.030044,2020-10-09 23:48:05.030044,0
b0c7-383,2020-10-09 23:45:06.387553,2020-10-09 23:48:06.387553,0
b0c7-339,2020-10-09 23:45:04.577979,2020-10-09 23:48:04.577979,4
b0c7-74,2020-10-09 23:45:07.921759,2020-10-09 23:48:07.921759,4
b0c7-171,2020-10-09 23:45:03.490990,2020-10-09 23:48:03.490990,4
b0c7-355,2020-10-09 23:45:05.492518,2020-10-09 23:48:05.492518,0
b0c7-403,2020-10-09 23:45:06.406580,2020-10-09 23:48:06.406580,0
b0c7-492,2020-10-09 23:45:06.483880,2020-10-09 23:48:06.483880,0
b0c7-142,2020-10-09 23:45:04.563493,2020-10-09 23:48:04.563493,4
b0c7-225,2020-10-09 23:45:04.051758,2020-10-09 23:48:04.051758,6
b0c7-35,2020-10-09 23:45:07.908307,2020-10-09 23:48:07.908307,3
b0c7-369,2020-10-09 23:45:03.576343,2020-10-09 23:48:03.576343,4
b0c7-92,2020-10-09 23:45:07.955335,2020-10-09 23:48:07.955335,5
b0c7-45,2020-10-09 23:45:07.908418,2020-10-09 23:48:07.908418,5
b0c7-150,2020-10-09 23:45:04.007489,2020-10-09 23:48:04.007489,4
b0c7-431,2020-10-09 23:45:06.456166,2020-10-09 23:48:06.456166,0
b0c7-173,2020-10-09 23:45:04.260502,2020-10-09 23:48:04.260502,4
b0c7-234,2020-10-09 23:45:03.496976,2020-10-09 23:48:03.496976,5
b0c7-442,2020-10-09 23:45:04.432501,2020-10-09 23:48:04.432501,0
b0c7-297,2020-10-09 23:45:04.931954,2020-10-09 23:48:04.931954,3
b0c7-76,2020-10-09 23:45:03.342738,2020-10-09 23:48:03.342738,5
b0c7-464,2020-10-09 23:45:08.245718,2020-10-09 23:48:08.245718,0
b0c7-405,2020-10-09 23:45:05.513071,2020-10-09 23:48:05.513071,1
b0c7-146,2020-10-09 23:45:07.988872,2020-10-09 23:48:07.988872,4
b0c7-310,2020-10-09 23:45:06.328605,2020-10-09 23:48:06.328605,4
b0c7-51,2020-10-09 23:45:07.890849,2020-10-09 23:48:07.890849,3
b0c7-147,2020-10-09 23:45:06.224652,2020-10-09 23:48:06.224652,5
b0c7-65,2020-10-09 23:45:04.071730,2020-10-09 23:48:04.071730,3
b0c7-413,2020-10-09 23:45:03.645300,2020-10-09 23:48:03.645300,1
b0c7-233,2020-10-09 23:45:03.516428,2020-10-09 23:48:03.516428,1
b0c7-456,2020-10-09 23:45:03.663903,2020-10-09 23:48:03.663903,1
b0c7-499,2020-10-09 23:45:05.105200,2020-10-09 23:48:05.105200,1
b0c7-394,2020-10-09 23:45:04.640075,2020-10-09 23:48:04.640075,0
b0c7-73,2020-10-09 23:45:03.960351,2020-10-09 23:48:03.960351,4
b0c7-459,2020-10-09 23:45:04.449141,2020-10-09 23:48:04.449141,0
b0c7-218,2020-10-09 23:45:06.279424,2020-10-09 23:48:06.279424,4
b0c7-70,2020-10-09 23:45:06.165535,2020-10-09 23:48:06.165535,3
