GUID,Inicio,Fim,Contador
f57b-6,2020-10-09 23:45:04.598026,2020-10-09 23:48:04.598026,5
f57b-157,2020-10-09 23:45:04.751151,2020-10-09 23:48:04.751151,3
f57b-44,2020-10-09 23:45:04.193245,2020-10-09 23:48:04.193245,3
f57b-442,2020-10-09 23:45:04.947051,2020-10-09 23:48:04.947051,0
f57b-382,2020-10-09 23:45:04.898162,2020-10-09 23:48:04.898162,0
f57b-56,2020-10-09 23:45:04.205094,2020-10-09 23:48:04.205094,1
f57b-217,2020-10-09 23:45:05.789751,2020-10-09 23:48:05.789751,3
f57b-27,2020-10-09 23:45:04.823986,2020-10-09 23:48:04.823986,4
f57b-459,2020-10-09 23:45:04.974693,2020-10-09 23:48:04.974693,0
f57b-20,2020-10-09 23:45:04.781978,2020-10-09 23:48:04.781978,4
f57b-446,2020-10-09 23:45:04.417112,2020-10-09 23:48:04.417112,0
f57b-271,2020-10-09 23:45:05.834109,2020-10-09 23:48:05.834109,3
f57b-473,2020-10-09 23:45:05.145576,2020-10-09 23:48:05.145576,1
f57b-394,2020-10-09 23:45:05.080029,2020-10-09 23:48:05.080029,1
f57b-23,2020-10-09 23:45:04.811882,2020-10-09 23:48:04.811882,6
f57b-218,2020-10-09 23:45:05.132141,2020-10-09 23:48:05.132141,4
f57b-155,2020-10-09 23:45:04.229083,2020-10-09 23:48:04.229083,5
f57b-458,2020-10-09 23:45:04.425073,2020-10-09 23:48:04.425073,0
f57b-491,2020-10-09 23:45:05.154501,2020-10-09 23:48:05.154501,0
f57b-291,2020-10-09 23:45:05.638853,2020-10-09 23:48:05.638853,4
f57b-318,2020-10-09 23:45:07.262690,2020-10-09 23:48:07.262690,5
f57b-81,2020-10-09 23:45:04.669739,2020-10-09 23:48:04.669739,4
f57b-59,2020-10-09 23:45:06.153276,2020-10-09 23:48:06.153276,4
f57b-233,2020-10-09 23:45:05.576759,2020-10-09 23:48:05.576759,5
f57b-125,2020-10-09 23:45:05.522428,2020-10-09 23:48:05.522428,4
f57b-281,2020-10-09 23:45:04.997886,2020-10-09 23:48:04.997886,4
f57b-239,2020-10-09 23:45:05.457885,2020-10-09 23:48:05.457885,6
f57b-489,2020-10-09 23:45:05.483517,2020-10-09 23:48:05.483517,0
f57b-411,2020-10-09 23:45:05.582935,2020-10-09 23:48:05.582935,0
f57b-106,2020-10-09 23:45:06.231824,2020-10-09 23:48:06.231824,4
f57b-61,2020-10-09 23:45:05.684206,2020-10-09 23:48:05.684206,5
f57b-163,2020-10-09 23:45:04.739130,2020-10-09 23:48:04.739130,4
f57b-493,2020-10-09 23:45:04.995784,2020-10-09 23:48:04.995784,0
f57b-265,2020-10-09 23:45:05.495416,2020-10-09 23:48:05.495416,0
f57b-188,2020-10-09 23:45:04.254474,2020-10-09 23:48:04.254474,5
f57b-77,2020-10-09 23:45:04.831974,2020-10-09 23:48:04.831974,3
f57b-414,2020-10-09 23:45:05.446046,2020-10-09 23:48:05.446046,0
f57b-220,2020-10-09 23:45:04.257756,2020-10-09 23:48:04.257756,5
f57b-451,2020-10-09 23:45:05.129430,2020-10-09 23:48:05.129430,1
f57b-430,2020-10-09 23:45:04.393303,2020-10-09 23:48:04.393303,0
f57b-207,2020-10-09 23:45:05.296734,2020-10-09 23:48:05.296734,4
f57b-483,2020-10-09 23:45:05.641424,2020-10-09 23:48:05.641424,0
f57b-389,2020-10-09 23:45:05.910136,2020-10-09 23:48:05.910136,0
f57b-123,2020-10-09 23:45:06.206308,2020-10-09 23:48:06.206308,4
f57b-148,2020-10-09 23:45:07.133140,2020-10-09 23:48:07.133140,3
f57b-10,2020-10-09 23:45:04.601154,2020-10-09 23:48:04.601154,5
f57b-469,2020-10-09 23:45:05.313190,2020-10-09 23:48:05.313190,0
f57b-436,2020-10-09 23:45:05.108373,2020-10-09 23:48:05.108373,0
f57b-182,2020-10-09 23:45:05.440445,2020-10-09 23:48:05.440445,3
f57b-52,2020-10-09 23:45:06.144013,2020-10-09 23:48:06.144013,4
f57b-235,2020-10-09 23:45:04.800269,2020-10-09 23:48:04.800269,4
f57b-114,2020-10-09 23:45:06.207834,2020-10-09 23:48:06.207834,5
f57b-208,2020-10-09 23:45:05.792153,2020-10-09 23:48:05.792153,6
f57b-260,2020-10-09 23:45:05.821793,2020-10-09 23:48:05.821793,4
f57b-47,2020-10-09 23:45:04.196214,2020-10-09 23:48:04.196214,4
f57b-169,2020-10-09 23:45:04.228688,2020-10-09 23:48:04.228688,5
f57b-60,2020-10-09 23:45:04.661703,2020-10-09 23:48:04.661703,3
f57b-192,2020-10-09 23:45:04.772711,2020-10-09 23:48:04.772711,4
f57b-487,2020-10-09 23:45:05.154771,2020-10-09 23:48:05.154771,1
f57b-140,2020-10-09 23:45:06.210310,2020-10-09 23:48:06.210310,3
f57b-329,2020-10-09 23:45:05.212291,2020-10-09 23:48:05.212291,4
f57b-460,2020-10-09 23:45:04.424754,2020-10-09 23:48:04.424754,0
f57b-358,2020-10-09 23:45:04.369043,2020-10-09 23:48:04.369043,0
f57b-480,2020-10-09 23:45:04.437312,2020-10-09 23:48:04.437312,0
f57b-40,2020-10-09 23:45:05.151366,2020-10-09 23:48:05.151366,6
f57b-453,2020-10-09 23:45:05.142778,2020-10-09 23:48:05.142778,0
f57b-113,2020-10-09 23:45:06.223630,2020-10-09 23:48:06.223630,4
f57b-104,2020-10-09 23:45:05.541639,2020-10-09 23:48:05.541639,4
f57b-307,2020-10-09 23:45:05.023176,2020-10-09 23:48:05.023176,2
f57b-187,2020-10-09 23:45:04.772363,2020-10-09 23:48:04.772363,0
f57b-277,2020-10-09 23:45:05.493728,2020-10-09 23:48:05.493728,4
f57b-323,2020-10-09 23:45:05.653408,2020-10-09 23:48:05.653408,4
f57b-319,2020-10-09 23:45:04.328135,2020-10-09 23:48:04.328135,4
f57b-200,2020-10-09 23:45:06.239988,2020-10-09 23:48:06.239988,5
f57b-266,2020-10-09 23:45:06.308576,2020-10-09 23:48:06.308576,3
f57b-16,2020-10-09 23:45:04.617658,2020-10-09 23:48:04.617658,4
f57b-173,2020-10-09 23:45:05.096594,2020-10-09 23:48:05.096594,5
f57b-495,2020-10-09 23:45:04.993453,2020-10-09 23:48:04.993453,0
f57b-415,2020-10-09 23:45:05.713495,2020-10-09 23:48:05.713495,0
f57b-72,2020-10-09 23:45:04.218111,2020-10-09 23:48:04.218111,5
f57b-273,2020-10-09 23:45:07.234276,2020-10-09 23:48:07.234276,4
f57b-124,2020-10-09 23:45:04.250597,2020-10-09 23:48:04.250597,6
f57b-58,2020-10-09 23:45:04.217377,2020-10-09 23:48:04.217377,4
f57b-391,2020-10-09 23:45:07.291200,2020-10-09 23:48:07.291200,1
f57b-409,2020-10-09 23:45:04.930489,2020-10-09 23:48:04.930489,0
f57b-244,2020-10-09 23:45:04.985589,2020-10-09 23:48:04.985589,3
f57b-149,2020-10-09 23:45:05.097172,2020-10-09 23:48:05.097172,4
f57b-496,2020-10-09 23:45:04.437970,2020-10-09 23:48:04.437970,0
f57b-449,2020-10-09 23:45:04.415294,2020-10-09 23:48:04.415294,0
f57b-494,2020-10-09 23:45:05.001004,2020-10-09 23:48:05.001004,0
f57b-168,2020-10-09 23:45:05.397727,2020-10-09 23:48:05.397727,5
f57b-26,2020-10-09 23:45:06.128028,2020-10-09 23:48:06.128028,4
f57b-11,2020-10-09 23:45:04.762969,2020-10-09 23:48:04.762969,3
f57b-50,2020-10-09 23:45:07.062993,2020-10-09 23:48:07.062993,4
f57b-154,2020-10-09 23:45:04.870386,2020-10-09 23:48:04.870386,3
f57b-311,2020-10-09 23:45:05.534304,2020-10-09 23:48:05.534304,3
f57b-353,2020-10-09 23:45:05.675062,2020-10-09 23:48:05.675062,0
f57b-328,2020-10-09 23:45:04.856699,2020-10-09 23:48:04.856699,5
f57b-447,2020-10-09 23:45:05.140694,2020-10-09 23:48:05.140694,1
f57b-359,2020-10-09 23:45:05.071802,2020-10-09 23:48:05.071802,1
f57b-479,2020-10-09 23:45:04.985615,2020-10-09 23:48:04.985615,0
f57b-231,2020-10-09 23:45:07.197559,2020-10-09 23:48:07.197559,3
f57b-457,2020-10-09 23:45:05.468542,2020-10-09 23:48:05.468542,0
f57b-109,2020-10-09 23:45:04.236971,2020-10-09 23:48:04.236971,5
f57b-12,2020-10-09 23:45:04.609628,2020-10-09 23:48:04.609628,5
f57b-22,2020-10-09 23:45:04.620045,2020-10-09 23:48:04.620045,4
f57b-191,2020-10-09 23:45:04.762429,2020-10-09 23:48:04.762429,5
f57b-25,2020-10-09 23:45:05.003572,2020-10-09 23:48:05.003572,4
f57b-478,2020-10-09 23:45:04.987517,2020-10-09 23:48:04.987517,0
f57b-497,2020-10-09 23:45:05.322860,2020-10-09 23:48:05.322860,0
f57b-303,2020-10-09 23:45:05.013087,2020-10-09 23:48:05.013087,4
f57b-272,2020-10-09 23:45:04.835993,2020-10-09 23:48:04.835993,4
f57b-261,2020-10-09 23:45:04.824301,2020-10-09 23:48:04.824301,1
f57b-236,2020-10-09 23:45:06.260161,2020-10-09 23:48:06.260161,3
f57b-316,2020-10-09 23:45:04.867978,2020-10-09 23:48:04.867978,5
f57b-293,2020-10-09 23:45:05.364053,2020-10-09 23:48:05.364053,4
f57b-257,2020-10-09 23:45:04.977138,2020-10-09 23:48:04.977138,4
f57b-119,2020-10-09 23:45:07.154966,2020-10-09 23:48:07.154966,7
f57b-237,2020-10-09 23:45:04.272273,2020-10-09 23:48:04.272273,1
f57b-326,2020-10-09 23:45:05.022709,2020-10-09 23:48:05.022709,3
f57b-263,2020-10-09 23:45:04.823646,2020-10-09 23:48:04.823646,5
f57b-224,2020-10-09 23:45:05.304258,2020-10-09 23:48:05.304258,6
f57b-304,2020-10-09 23:45:05.012318,2020-10-09 23:48:05.012318,5
f57b-331,2020-10-09 23:45:04.337055,2020-10-09 23:48:04.337055,4
f57b-164,2020-10-09 23:45:04.765347,2020-10-09 23:48:04.765347,5
f57b-420,2020-10-09 23:45:04.383878,2020-10-09 23:48:04.383878,0
f57b-264,2020-10-09 23:45:04.276826,2020-10-09 23:48:04.276826,1
f57b-280,2020-10-09 23:45:04.296062,2020-10-09 23:48:04.296062,4
f57b-286,2020-10-09 23:45:04.298077,2020-10-09 23:48:04.298077,5
f57b-325,2020-10-09 23:45:05.656892,2020-10-09 23:48:05.656892,4
f57b-172,2020-10-09 23:45:05.091493,2020-10-09 23:48:05.091493,5
f57b-289,2020-10-09 23:45:04.851880,2020-10-09 23:48:04.851880,4
f57b-346,2020-10-09 23:45:04.351972,2020-10-09 23:48:04.351972,0
f57b-139,2020-10-09 23:45:04.243480,2020-10-09 23:48:04.243480,5
f57b-363,2020-10-09 23:45:05.687417,2020-10-09 23:48:05.687417,0
f57b-393,2020-10-09 23:45:04.898491,2020-10-09 23:48:04.898491,0
f57b-344,2020-10-09 23:45:05.884991,2020-10-09 23:48:05.884991,1
f57b-174,2020-10-09 23:45:05.753777,2020-10-09 23:48:05.753777,4
f57b-421,2020-10-09 23:45:05.438219,2020-10-09 23:48:05.438219,0
f57b-17,2020-10-09 23:45:07.014192,2020-10-09 23:48:07.014192,5
f57b-5,2020-10-09 23:45:04.586137,2020-10-09 23:48:04.586137,4
f57b-278,2020-10-09 23:45:04.292613,2020-10-09 23:48:04.292613,4
f57b-108,2020-10-09 23:45:06.224047,2020-10-09 23:48:06.224047,3
f57b-143,2020-10-09 23:45:04.938541,2020-10-09 23:48:04.938541,4
f57b-162,2020-10-09 23:45:04.764298,2020-10-09 23:48:04.764298,5
f57b-146,2020-10-09 23:45:04.753926,2020-10-09 23:48:04.753926,5
f57b-152,2020-10-09 23:45:04.248957,2020-10-09 23:48:04.248957,3
f57b-171,2020-10-09 23:45:05.438133,2020-10-09 23:48:05.438133,5
f57b-308,2020-10-09 23:45:05.028034,2020-10-09 23:48:05.028034,5
f57b-295,2020-10-09 23:45:05.193249,2020-10-09 23:48:05.193249,6
f57b-19,2020-10-09 23:45:07.047981,2020-10-09 23:48:07.047981,4
f57b-34,2020-10-09 23:45:04.661289,2020-10-09 23:48:04.661289,4
f57b-222,2020-10-09 23:45:06.249488,2020-10-09 23:48:06.249488,4
f57b-385,2020-10-09 23:45:04.920510,2020-10-09 23:48:04.920510,0
f57b-431,2020-10-09 23:45:04.406433,2020-10-09 23:48:04.406433,0
f57b-223,2020-10-09 23:45:04.271954,2020-10-09 23:48:04.271954,5
f57b-64,2020-10-09 23:45:06.134871,2020-10-09 23:48:06.134871,4
f57b-211,2020-10-09 23:45:07.172168,2020-10-09 23:48:07.172168,5
f57b-121,2020-10-09 23:45:04.753589,2020-10-09 23:48:04.753589,5
f57b-57,2020-10-09 23:45:05.457582,2020-10-09 23:48:05.457582,4
