GUID,Inicio,Fim,Contador
ac3c-12,2020-10-11 15:07:44.760206,2020-10-11 15:10:44.760206,4
ac3c-86,2020-10-11 15:07:44.901144,2020-10-11 15:10:44.901144,6
ac3c-14,2020-10-11 15:07:44.764006,2020-10-11 15:10:44.764006,4
ac3c-9,2020-10-11 15:07:44.752418,2020-10-11 15:10:44.752418,5
ac3c-72,2020-10-11 15:07:44.851567,2020-10-11 15:10:44.851567,4
ac3c-68,2020-10-11 15:07:44.763084,2020-10-11 15:10:44.763084,4
ac3c-13,2020-10-11 15:07:44.760079,2020-10-11 15:10:44.760079,4
ac3c-38,2020-10-11 15:07:44.873840,2020-10-11 15:10:44.873840,4
ac3c-15,2020-10-11 15:07:44.761627,2020-10-11 15:10:44.761627,3
ac3c-25,2020-10-11 15:07:44.875043,2020-10-11 15:10:44.875043,5
ac3c-75,2020-10-11 15:07:44.883057,2020-10-11 15:10:44.883057,4
ac3c-95,2020-10-11 15:07:44.900229,2020-10-11 15:10:44.900229,5
ac3c-18,2020-10-11 15:07:44.761577,2020-10-11 15:10:44.761577,4
ac3c-59,2020-10-11 15:07:44.858451,2020-10-11 15:10:44.858451,3
ac3c-90,2020-10-11 15:07:44.914874,2020-10-11 15:10:44.914874,4
ac3c-34,2020-10-11 15:07:44.860872,2020-10-11 15:10:44.860872,5
ac3c-1,2020-10-11 15:07:44.763107,2020-10-11 15:10:44.763107,4
ac3c-21,2020-10-11 15:07:44.762564,2020-10-11 15:10:44.762564,4
ac3c-52,2020-10-11 15:07:44.860811,2020-10-11 15:10:44.860811,5
ac3c-76,2020-10-11 15:07:44.871198,2020-10-11 15:10:44.871198,4
ac3c-56,2020-10-11 15:07:44.863382,2020-10-11 15:10:44.863382,4
ac3c-96,2020-10-11 15:07:44.899754,2020-10-11 15:10:44.899754,6
ac3c-7,2020-10-11 15:07:44.758592,2020-10-11 15:10:44.758592,4
ac3c-16,2020-10-11 15:07:44.762390,2020-10-11 15:10:44.762390,5
ac3c-82,2020-10-11 15:07:44.873524,2020-10-11 15:10:44.873524,5
ac3c-31,2020-10-11 15:07:44.858551,2020-10-11 15:10:44.858551,4
ac3c-62,2020-10-11 15:07:44.861805,2020-10-11 15:10:44.861805,5
ac3c-51,2020-10-11 15:07:44.858369,2020-10-11 15:10:44.858369,5
ac3c-47,2020-10-11 15:07:44.855075,2020-10-11 15:10:44.855075,4
ac3c-94,2020-10-11 15:07:44.859545,2020-10-11 15:10:44.859545,5
ac3c-83,2020-10-11 15:07:44.861530,2020-10-11 15:10:44.861530,4
ac3c-20,2020-10-11 15:07:44.763369,2020-10-11 15:10:44.763369,3
ac3c-79,2020-10-11 15:07:44.882608,2020-10-11 15:10:44.882608,4
ac3c-3,2020-10-11 15:07:44.763422,2020-10-11 15:10:44.763422,6
ac3c-92,2020-10-11 15:07:44.855935,2020-10-11 15:10:44.855935,5
ac3c-88,2020-10-11 15:07:44.850677,2020-10-11 15:10:44.850677,5
ac3c-66,2020-10-11 15:07:44.761683,2020-10-11 15:10:44.761683,5
ac3c-53,2020-10-11 15:07:44.861590,2020-10-11 15:10:44.861590,5
ac3c-8,2020-10-11 15:07:44.761322,2020-10-11 15:10:44.761322,4
ac3c-85,2020-10-11 15:07:44.865372,2020-10-11 15:10:44.865372,5
ac3c-28,2020-10-11 15:07:44.775754,2020-10-11 15:10:44.775754,5
ac3c-22,2020-10-11 15:07:44.857037,2020-10-11 15:10:44.857037,4
ac3c-24,2020-10-11 15:07:44.757742,2020-10-11 15:10:44.757742,6
ac3c-19,2020-10-11 15:07:44.761477,2020-10-11 15:10:44.761477,4
ac3c-41,2020-10-11 15:07:44.756530,2020-10-11 15:10:44.756530,5
ac3c-55,2020-10-11 15:07:44.864017,2020-10-11 15:10:44.864017,4
ac3c-81,2020-10-11 15:07:44.864678,2020-10-11 15:10:44.864678,6
ac3c-46,2020-10-11 15:07:44.861132,2020-10-11 15:10:44.861132,5
ac3c-39,2020-10-11 15:07:44.851505,2020-10-11 15:10:44.851505,4
ac3c-73,2020-10-11 15:07:44.883321,2020-10-11 15:10:44.883321,4
ac3c-0,2020-10-11 15:07:44.752361,2020-10-11 15:10:44.752361,4
ac3c-4,2020-10-11 15:07:44.749509,2020-10-11 15:10:44.749509,3
ac3c-74,2020-10-11 15:07:44.865259,2020-10-11 15:10:44.865259,5
ac3c-58,2020-10-11 15:07:44.757391,2020-10-11 15:10:44.757391,4
ac3c-57,2020-10-11 15:07:44.857890,2020-10-11 15:10:44.857890,4
ac3c-33,2020-10-11 15:07:44.856551,2020-10-11 15:10:44.856551,5
ac3c-48,2020-10-11 15:07:44.873432,2020-10-11 15:10:44.873432,5
ac3c-89,2020-10-11 15:07:44.882630,2020-10-11 15:10:44.882630,5
ac3c-65,2020-10-11 15:07:44.759607,2020-10-11 15:10:44.759607,6
ac3c-11,2020-10-11 15:07:44.756477,2020-10-11 15:10:44.756477,6
ac3c-27,2020-10-11 15:07:44.758836,2020-10-11 15:10:44.758836,5
ac3c-17,2020-10-11 15:07:44.762228,2020-10-11 15:10:44.762228,4
ac3c-26,2020-10-11 15:07:44.861357,2020-10-11 15:10:44.861357,4
ac3c-80,2020-10-11 15:07:44.763618,2020-10-11 15:10:44.763618,5
ac3c-54,2020-10-11 15:07:44.865117,2020-10-11 15:10:44.865117,4
ac3c-71,2020-10-11 15:07:44.874893,2020-10-11 15:10:44.874893,6
ac3c-87,2020-10-11 15:07:44.863449,2020-10-11 15:10:44.863449,4
ac3c-37,2020-10-11 15:07:44.862255,2020-10-11 15:10:44.862255,4
ac3c-2,2020-10-11 15:07:44.760257,2020-10-11 15:10:44.760257,6
ac3c-60,2020-10-11 15:07:44.881749,2020-10-11 15:10:44.881749,6
ac3c-29,2020-10-11 15:07:44.854834,2020-10-11 15:10:44.854834,3
ac3c-84,2020-10-11 15:07:44.901610,2020-10-11 15:10:44.901610,4
ac3c-67,2020-10-11 15:07:44.865315,2020-10-11 15:10:44.865315,4
ac3c-32,2020-10-11 15:07:44.881834,2020-10-11 15:10:44.881834,5
ac3c-23,2020-10-11 15:07:44.864604,2020-10-11 15:10:44.864604,6
ac3c-78,2020-10-11 15:07:44.874655,2020-10-11 15:10:44.874655,5
ac3c-69,2020-10-11 15:07:44.854074,2020-10-11 15:10:44.854074,5
ac3c-77,2020-10-11 15:07:44.883107,2020-10-11 15:10:44.883107,5
ac3c-36,2020-10-11 15:07:44.856075,2020-10-11 15:10:44.856075,5
ac3c-63,2020-10-11 15:07:44.856815,2020-10-11 15:10:44.856815,4
ac3c-99,2020-10-11 15:07:44.900511,2020-10-11 15:10:44.900511,4
ac3c-42,2020-10-11 15:07:44.862637,2020-10-11 15:10:44.862637,4
ac3c-49,2020-10-11 15:07:44.865178,2020-10-11 15:10:44.865178,4
ac3c-98,2020-10-11 15:07:44.855466,2020-10-11 15:10:44.855466,4
ac3c-70,2020-10-11 15:07:44.861381,2020-10-11 15:10:44.861381,5
ac3c-45,2020-10-11 15:07:44.871604,2020-10-11 15:10:44.871604,5
ac3c-10,2020-10-11 15:07:44.756809,2020-10-11 15:10:44.756809,4
ac3c-43,2020-10-11 15:07:44.760129,2020-10-11 15:10:44.760129,6
ac3c-35,2020-10-11 15:07:44.900101,2020-10-11 15:10:44.900101,5
ac3c-64,2020-10-11 15:07:44.857939,2020-10-11 15:10:44.857939,6
ac3c-61,2020-10-11 15:07:44.762514,2020-10-11 15:10:44.762514,6
ac3c-5,2020-10-11 15:07:44.757885,2020-10-11 15:10:44.757885,4
ac3c-40,2020-10-11 15:07:44.873630,2020-10-11 15:10:44.873630,4
ac3c-91,2020-10-11 15:07:44.865061,2020-10-11 15:10:44.865061,5
ac3c-93,2020-10-11 15:07:44.882406,2020-10-11 15:10:44.882406,5
ac3c-97,2020-10-11 15:07:44.901704,2020-10-11 15:10:44.901704,4
ac3c-44,2020-10-11 15:07:44.854151,2020-10-11 15:10:44.854151,5
ac3c-6,2020-10-11 15:07:44.755844,2020-10-11 15:10:44.755844,5
ac3c-30,2020-10-11 15:07:44.898467,2020-10-11 15:10:44.898467,5
ac3c-50,2020-10-11 15:07:44.848854,2020-10-11 15:10:44.848854,5
TOTAL,,,461
