GUID,Inicio,Fim,Contador
bf83-74,2020-10-11 15:07:44.440056,2020-10-11 15:10:44.440056,4
bf83-11,2020-10-11 15:07:44.384624,2020-10-11 15:10:44.384624,3
bf83-53,2020-10-11 15:07:44.395892,2020-10-11 15:10:44.395892,5
bf83-66,2020-10-11 15:07:44.442921,2020-10-11 15:10:44.442921,4
bf83-40,2020-10-11 15:07:44.417642,2020-10-11 15:10:44.417642,4
bf83-83,2020-10-11 15:07:44.468463,2020-10-11 15:10:44.468463,4
bf83-9,2020-10-11 15:07:44.395594,2020-10-11 15:10:44.395594,4
bf83-89,2020-10-11 15:07:44.459948,2020-10-11 15:10:44.459948,4
bf83-86,2020-10-11 15:07:44.512185,2020-10-11 15:10:44.512185,3
bf83-23,2020-10-11 15:07:44.458067,2020-10-11 15:10:44.458067,4
bf83-15,2020-10-11 15:07:44.394673,2020-10-11 15:10:44.394673,5
bf83-17,2020-10-11 15:07:44.392774,2020-10-11 15:10:44.392774,4
bf83-63,2020-10-11 15:07:44.572334,2020-10-11 15:10:44.572334,4
bf83-51,2020-10-11 15:07:44.440661,2020-10-11 15:10:44.440661,5
bf83-45,2020-10-11 15:07:44.492249,2020-10-11 15:10:44.492249,4
bf83-71,2020-10-11 15:07:44.458523,2020-10-11 15:10:44.458523,5
bf83-94,2020-10-11 15:07:44.521547,2020-10-11 15:10:44.521547,4
bf83-34,2020-10-11 15:07:44.464454,2020-10-11 15:10:44.464454,4
bf83-79,2020-10-11 15:07:44.493309,2020-10-11 15:10:44.493309,6
bf83-27,2020-10-11 15:07:44.464964,2020-10-11 15:10:44.464964,3
bf83-35,2020-10-11 15:07:44.459072,2020-10-11 15:10:44.459072,6
bf83-2,2020-10-11 15:07:44.385602,2020-10-11 15:10:44.385602,5
bf83-48,2020-10-11 15:07:44.394919,2020-10-11 15:10:44.394919,5
bf83-14,2020-10-11 15:07:44.391373,2020-10-11 15:10:44.391373,4
bf83-25,2020-10-11 15:07:44.427923,2020-10-11 15:10:44.427923,4
bf83-70,2020-10-11 15:07:44.391669,2020-10-11 15:10:44.391669,5
bf83-57,2020-10-11 15:07:44.417784,2020-10-11 15:10:44.417784,6
bf83-80,2020-10-11 15:07:44.458332,2020-10-11 15:10:44.458332,6
bf83-29,2020-10-11 15:07:44.416793,2020-10-11 15:10:44.416793,5
bf83-87,2020-10-11 15:07:44.428155,2020-10-11 15:10:44.428155,4
bf83-67,2020-10-11 15:07:44.395496,2020-10-11 15:10:44.395496,4
bf83-30,2020-10-11 15:07:44.417074,2020-10-11 15:10:44.417074,4
bf83-0,2020-10-11 15:07:44.389604,2020-10-11 15:10:44.389604,4
bf83-46,2020-10-11 15:07:44.415206,2020-10-11 15:10:44.415206,5
bf83-59,2020-10-11 15:07:44.415809,2020-10-11 15:10:44.415809,4
bf83-60,2020-10-11 15:07:44.441375,2020-10-11 15:10:44.441375,3
bf83-81,2020-10-11 15:07:44.442078,2020-10-11 15:10:44.442078,4
bf83-32,2020-10-11 15:07:44.428911,2020-10-11 15:10:44.428911,4
bf83-65,2020-10-11 15:07:44.469140,2020-10-11 15:10:44.469140,3
bf83-69,2020-10-11 15:07:44.424943,2020-10-11 15:10:44.424943,5
bf83-36,2020-10-11 15:07:44.414015,2020-10-11 15:10:44.414015,5
bf83-22,2020-10-11 15:07:44.416888,2020-10-11 15:10:44.416888,5
bf83-77,2020-10-11 15:07:44.510000,2020-10-11 15:10:44.510000,6
bf83-12,2020-10-11 15:07:44.390888,2020-10-11 15:10:44.390888,5
bf83-1,2020-10-11 15:07:44.384984,2020-10-11 15:10:44.384984,5
bf83-18,2020-10-11 15:07:44.390946,2020-10-11 15:10:44.390946,3
