GUID,Inicio,Fim,Contador
d92f-31,2020-10-11 15:07:43.257973,2020-10-11 15:10:43.257973,4
d92f-1,2020-10-11 15:07:43.203204,2020-10-11 15:10:43.203204,3
d92f-84,2020-10-11 15:07:43.305347,2020-10-11 15:10:43.305347,5
d92f-95,2020-10-11 15:07:43.283910,2020-10-11 15:10:43.283910,3
d92f-52,2020-10-11 15:07:43.241923,2020-10-11 15:10:43.241923,5
d92f-68,2020-10-11 15:07:43.300895,2020-10-11 15:10:43.300895,3
d92f-38,2020-10-11 15:07:43.259293,2020-10-11 15:10:43.259293,3
d92f-37,2020-10-11 15:07:43.283108,2020-10-11 15:10:43.283108,4
d92f-41,2020-10-11 15:07:43.360858,2020-10-11 15:10:43.360858,4
d92f-61,2020-10-11 15:07:43.339338,2020-10-11 15:10:43.339338,4
d92f-75,2020-10-11 15:07:43.282464,2020-10-11 15:10:43.282464,4
d92f-83,2020-10-11 15:07:43.338346,2020-10-11 15:10:43.338346,3
d92f-80,2020-10-11 15:07:43.355177,2020-10-11 15:10:43.355177,4
d92f-15,2020-10-11 15:07:43.226717,2020-10-11 15:10:43.226717,5
d92f-50,2020-10-11 15:07:43.247048,2020-10-11 15:10:43.247048,3
d92f-7,2020-10-11 15:07:43.211912,2020-10-11 15:10:43.211912,4
d92f-18,2020-10-11 15:07:43.212232,2020-10-11 15:10:43.212232,4
d92f-59,2020-10-11 15:07:43.304266,2020-10-11 15:10:43.304266,4
d92f-78,2020-10-11 15:07:43.332224,2020-10-11 15:10:43.332224,3
d92f-96,2020-10-11 15:07:43.322477,2020-10-11 15:10:43.322477,3
d92f-66,2020-10-11 15:07:43.340971,2020-10-11 15:10:43.340971,4
d92f-16,2020-10-11 15:07:43.205129,2020-10-11 15:10:43.205129,4
d92f-62,2020-10-11 15:07:43.308156,2020-10-11 15:10:43.308156,5
d92f-85,2020-10-11 15:07:43.308003,2020-10-11 15:10:43.308003,5
d92f-69,2020-10-11 15:07:43.265197,2020-10-11 15:10:43.265197,5
d92f-65,2020-10-11 15:07:43.264517,2020-10-11 15:10:43.264517,4
d92f-24,2020-10-11 15:07:43.226913,2020-10-11 15:10:43.226913,4
d92f-14,2020-10-11 15:07:43.227290,2020-10-11 15:10:43.227290,5
d92f-82,2020-10-11 15:07:43.323350,2020-10-11 15:10:43.323350,3
d92f-89,2020-10-11 15:07:43.354306,2020-10-11 15:10:43.354306,5
d92f-22,2020-10-11 15:07:43.226809,2020-10-11 15:10:43.226809,5
d92f-45,2020-10-11 15:07:43.270018,2020-10-11 15:10:43.270018,5
d92f-25,2020-10-11 15:07:43.223802,2020-10-11 15:10:43.223802,5
d92f-29,2020-10-11 15:07:43.246405,2020-10-11 15:10:43.246405,4
d92f-17,2020-10-11 15:07:43.205592,2020-10-11 15:10:43.205592,4
d92f-30,2020-10-11 15:07:43.259042,2020-10-11 15:10:43.259042,4
d92f-8,2020-10-11 15:07:43.214975,2020-10-11 15:10:43.214975,5
d92f-87,2020-10-11 15:07:43.340862,2020-10-11 15:10:43.340862,5
d92f-51,2020-10-11 15:07:43.267002,2020-10-11 15:10:43.267002,3
d92f-97,2020-10-11 15:07:43.324692,2020-10-11 15:10:43.324692,5
d92f-74,2020-10-11 15:07:43.324508,2020-10-11 15:10:43.324508,4
d92f-2,2020-10-11 15:07:43.205192,2020-10-11 15:10:43.205192,4
d92f-46,2020-10-11 15:07:43.320251,2020-10-11 15:10:43.320251,5
d92f-42,2020-10-11 15:07:43.257697,2020-10-11 15:10:43.257697,5
d92f-77,2020-10-11 15:07:43.308209,2020-10-11 15:10:43.308209,4
d92f-5,2020-10-11 15:07:43.212866,2020-10-11 15:10:43.212866,4
d92f-23,2020-10-11 15:07:43.265283,2020-10-11 15:10:43.265283,5
d92f-47,2020-10-11 15:07:43.241530,2020-10-11 15:10:43.241530,5
d92f-93,2020-10-11 15:07:43.324433,2020-10-11 15:10:43.324433,4
d92f-43,2020-10-11 15:07:43.258990,2020-10-11 15:10:43.258990,4
d92f-56,2020-10-11 15:07:43.257919,2020-10-11 15:10:43.257919,4
d92f-54,2020-10-11 15:07:43.283247,2020-10-11 15:10:43.283247,6
d92f-39,2020-10-11 15:07:43.323466,2020-10-11 15:10:43.323466,4
d92f-88,2020-10-11 15:07:43.258301,2020-10-11 15:10:43.258301,4
d92f-76,2020-10-11 15:07:43.324842,2020-10-11 15:10:43.324842,5
d92f-57,2020-10-11 15:07:43.305987,2020-10-11 15:10:43.305987,5
d92f-53,2020-10-11 15:07:43.324794,2020-10-11 15:10:43.324794,4
d92f-72,2020-10-11 15:07:43.325120,2020-10-11 15:10:43.325120,6
d92f-58,2020-10-11 15:07:43.240702,2020-10-11 15:10:43.240702,5
d92f-99,2020-10-11 15:07:43.324181,2020-10-11 15:10:43.324181,4
d92f-60,2020-10-11 15:07:43.337635,2020-10-11 15:10:43.337635,5
d92f-67,2020-10-11 15:07:43.257186,2020-10-11 15:10:43.257186,5
d92f-92,2020-10-11 15:07:43.340602,2020-10-11 15:10:43.340602,4
d92f-27,2020-10-11 15:07:43.246608,2020-10-11 15:10:43.246608,4
d92f-13,2020-10-11 15:07:43.217241,2020-10-11 15:10:43.217241,4
d92f-32,2020-10-11 15:07:43.282429,2020-10-11 15:10:43.282429,4
d92f-26,2020-10-11 15:07:43.241354,2020-10-11 15:10:43.241354,6
d92f-49,2020-10-11 15:07:43.283889,2020-10-11 15:10:43.283889,4
d92f-34,2020-10-11 15:07:43.244429,2020-10-11 15:10:43.244429,7
d92f-35,2020-10-11 15:07:43.308505,2020-10-11 15:10:43.308505,4
d92f-98,2020-10-11 15:07:43.354674,2020-10-11 15:10:43.354674,4
d92f-6,2020-10-11 15:07:43.213275,2020-10-11 15:10:43.213275,5
d92f-90,2020-10-11 15:07:43.339909,2020-10-11 15:10:43.339909,5
d92f-71,2020-10-11 15:07:43.354956,2020-10-11 15:10:43.354956,5
d92f-11,2020-10-11 15:07:43.213072,2020-10-11 15:10:43.213072,4
d92f-40,2020-10-11 15:07:43.324121,2020-10-11 15:10:43.324121,6
d92f-10,2020-10-11 15:07:43.214527,2020-10-11 15:10:43.214527,3
d92f-4,2020-10-11 15:07:43.205646,2020-10-11 15:10:43.205646,5
d92f-9,2020-10-11 15:07:43.223985,2020-10-11 15:10:43.223985,4
d92f-12,2020-10-11 15:07:43.212183,2020-10-11 15:10:43.212183,5
d92f-64,2020-10-11 15:07:43.344577,2020-10-11 15:10:43.344577,4
d92f-55,2020-10-11 15:07:43.283921,2020-10-11 15:10:43.283921,4
d92f-21,2020-10-11 15:07:43.256728,2020-10-11 15:10:43.256728,5
d92f-81,2020-10-11 15:07:43.340915,2020-10-11 15:10:43.340915,4
d92f-94,2020-10-11 15:07:43.308449,2020-10-11 15:10:43.308449,4
d92f-79,2020-10-11 15:07:43.339100,2020-10-11 15:10:43.339100,4
d92f-70,2020-10-11 15:07:43.337964,2020-10-11 15:10:43.337964,3
d92f-86,2020-10-11 15:07:43.244724,2020-10-11 15:10:43.244724,5
d92f-36,2020-10-11 15:07:43.230894,2020-10-11 15:10:43.230894,6
d92f-3,2020-10-11 15:07:43.215296,2020-10-11 15:10:43.215296,7
