GUID,Inicio,Fim,Contador
fa1d-90,2020-10-11 15:07:42.583517,2020-10-11 15:10:42.583517,5
fa1d-61,2020-10-11 15:07:42.506741,2020-10-11 15:10:42.506741,3
fa1d-87,2020-10-11 15:07:42.583606,2020-10-11 15:10:42.583606,5
fa1d-68,2020-10-11 15:07:42.503501,2020-10-11 15:10:42.503501,4
fa1d-33,2020-10-11 15:07:42.451085,2020-10-11 15:10:42.451085,3
fa1d-70,2020-10-11 15:07:42.525473,2020-10-11 15:10:42.525473,6
fa1d-40,2020-10-11 15:07:42.506676,2020-10-11 15:10:42.506676,5
fa1d-39,2020-10-11 15:07:42.490424,2020-10-11 15:10:42.490424,4
fa1d-98,2020-10-11 15:07:42.555924,2020-10-11 15:10:42.555924,4
fa1d-3,2020-10-11 15:07:42.414864,2020-10-11 15:10:42.414864,3
fa1d-75,2020-10-11 15:07:42.498961,2020-10-11 15:10:42.498961,3
fa1d-8,2020-10-11 15:07:42.429737,2020-10-11 15:10:42.429737,4
fa1d-84,2020-10-11 15:07:42.541453,2020-10-11 15:10:42.541453,4
fa1d-58,2020-10-11 15:07:42.491724,2020-10-11 15:10:42.491724,4
fa1d-59,2020-10-11 15:07:42.500351,2020-10-11 15:10:42.500351,4
fa1d-97,2020-10-11 15:07:42.549936,2020-10-11 15:10:42.549936,4
fa1d-50,2020-10-11 15:07:42.506384,2020-10-11 15:10:42.506384,4
fa1d-79,2020-10-11 15:07:42.469942,2020-10-11 15:10:42.469942,4
fa1d-48,2020-10-11 15:07:42.545017,2020-10-11 15:10:42.545017,4
fa1d-34,2020-10-11 15:07:42.436362,2020-10-11 15:10:42.436362,4
fa1d-23,2020-10-11 15:07:42.459432,2020-10-11 15:10:42.459432,3
fa1d-38,2020-10-11 15:07:42.459764,2020-10-11 15:10:42.459764,5
fa1d-43,2020-10-11 15:07:42.468840,2020-10-11 15:10:42.468840,6
fa1d-5,2020-10-11 15:07:42.414446,2020-10-11 15:10:42.414446,5
fa1d-53,2020-10-11 15:07:42.459213,2020-10-11 15:10:42.459213,4
fa1d-41,2020-10-11 15:07:42.457473,2020-10-11 15:10:42.457473,4
fa1d-31,2020-10-11 15:07:42.455545,2020-10-11 15:10:42.455545,4
fa1d-25,2020-10-11 15:07:42.469623,2020-10-11 15:10:42.469623,4
fa1d-6,2020-10-11 15:07:42.414701,2020-10-11 15:10:42.414701,6
fa1d-85,2020-10-11 15:07:42.547541,2020-10-11 15:10:42.547541,6
fa1d-32,2020-10-11 15:07:42.457451,2020-10-11 15:10:42.457451,4
fa1d-62,2020-10-11 15:07:42.545571,2020-10-11 15:10:42.545571,4
fa1d-54,2020-10-11 15:07:42.492381,2020-10-11 15:10:42.492381,4
fa1d-91,2020-10-11 15:07:42.581893,2020-10-11 15:10:42.581893,5
fa1d-26,2020-10-11 15:07:42.430320,2020-10-11 15:10:42.430320,4
fa1d-63,2020-10-11 15:07:42.545443,2020-10-11 15:10:42.545443,4
