GUID,Inicio,Fim,Contador
29cf-29,2020-10-11 16:47:29.316925,2020-10-11 16:50:29.316925,1
29cf-118,2020-10-11 16:47:29.430975,2020-10-11 16:50:29.430975,3
29cf-96,2020-10-11 16:47:29.311513,2020-10-11 16:50:29.311513,1
29cf-424,2020-10-11 16:47:29.959917,2020-10-11 16:50:29.959917,0
29cf-130,2020-10-11 16:47:29.468436,2020-10-11 16:50:29.468436,3
29cf-88,2020-10-11 16:47:29.300094,2020-10-11 16:50:29.300094,1
29cf-438,2020-10-11 16:47:29.971193,2020-10-11 16:50:29.971193,0
29cf-488,2020-10-11 16:47:30.077304,2020-10-11 16:50:30.077304,0
29cf-387,2020-10-11 16:47:29.875021,2020-10-11 16:50:29.875021,0
29cf-395,2020-10-11 16:47:29.869134,2020-10-11 16:50:29.869134,0
29cf-89,2020-10-11 16:47:29.278104,2020-10-11 16:50:29.278104,1
29cf-128,2020-10-11 16:47:29.468411,2020-10-11 16:50:29.468411,4
29cf-26,2020-10-11 16:47:29.310262,2020-10-11 16:50:29.310262,1
29cf-10,2020-10-11 16:47:32.219269,2020-10-11 16:50:32.219269,2
29cf-358,2020-10-11 16:47:29.902523,2020-10-11 16:50:29.902523,0
29cf-229,2020-10-11 16:47:29.599566,2020-10-11 16:50:29.599566,3
29cf-464,2020-10-11 16:47:30.031517,2020-10-11 16:50:30.031517,0
29cf-49,2020-10-11 16:47:29.316770,2020-10-11 16:50:29.316770,3
29cf-254,2020-10-11 16:47:29.678454,2020-10-11 16:50:29.678454,4
29cf-259,2020-10-11 16:47:29.640513,2020-10-11 16:50:29.640513,5
29cf-78,2020-10-11 16:47:29.316365,2020-10-11 16:50:29.316365,4
29cf-277,2020-10-11 16:47:29.691123,2020-10-11 16:50:29.691123,1
29cf-47,2020-10-11 16:47:29.316800,2020-10-11 16:50:29.316800,1
29cf-493,2020-10-11 16:47:30.077997,2020-10-11 16:50:30.077997,0
29cf-352,2020-10-11 16:47:31.753511,2020-10-11 16:50:31.753511,0
29cf-446,2020-10-11 16:47:29.999940,2020-10-11 16:50:29.999940,0
29cf-440,2020-10-11 16:47:29.970538,2020-10-11 16:50:29.970538,0
29cf-227,2020-10-11 16:47:33.287786,2020-10-11 16:50:33.287786,3
29cf-411,2020-10-11 16:47:29.828485,2020-10-11 16:50:29.828485,0
29cf-497,2020-10-11 16:47:33.491100,2020-10-11 16:50:33.491100,0
29cf-123,2020-10-11 16:47:29.431156,2020-10-11 16:50:29.431156,5
29cf-364,2020-10-11 16:47:29.874305,2020-10-11 16:50:29.874305,0
29cf-344,2020-10-11 16:47:29.875042,2020-10-11 16:50:29.875042,0
29cf-447,2020-10-11 16:47:29.999995,2020-10-11 16:50:29.999995,0
29cf-375,2020-10-11 16:47:30.936893,2020-10-11 16:50:30.936893,0
29cf-45,2020-10-11 16:47:29.313246,2020-10-11 16:50:29.313246,3
