GUID,Inicio,Fim,Contador
611c-91,2020-10-11 16:47:30.161558,2020-10-11 16:50:30.161558,3
611c-83,2020-10-11 16:47:30.122040,2020-10-11 16:50:30.122040,1
611c-3,2020-10-11 16:47:30.039249,2020-10-11 16:50:30.039249,1
611c-37,2020-10-11 16:47:30.171092,2020-10-11 16:50:30.171092,1
611c-72,2020-10-11 16:47:30.162713,2020-10-11 16:50:30.162713,4
611c-35,2020-10-11 16:47:30.145787,2020-10-11 16:50:30.145787,4
611c-53,2020-10-11 16:47:33.680250,2020-10-11 16:50:33.680250,3
611c-11,2020-10-11 16:47:30.058701,2020-10-11 16:50:30.058701,4
611c-67,2020-10-11 16:47:30.121420,2020-10-11 16:50:30.121420,1
611c-12,2020-10-11 16:47:30.060776,2020-10-11 16:50:30.060776,5
611c-42,2020-10-11 16:47:30.109214,2020-10-11 16:50:30.109214,5
611c-46,2020-10-11 16:47:30.135303,2020-10-11 16:50:30.135303,4
611c-79,2020-10-11 16:47:30.154166,2020-10-11 16:50:30.154166,4
611c-68,2020-10-11 16:47:30.154804,2020-10-11 16:50:30.154804,1
611c-18,2020-10-11 16:47:30.069197,2020-10-11 16:50:30.069197,1
611c-38,2020-10-11 16:47:30.170690,2020-10-11 16:50:30.170690,0
611c-1,2020-10-11 16:47:30.039083,2020-10-11 16:50:30.039083,5
611c-25,2020-10-11 16:47:30.108826,2020-10-11 16:50:30.108826,4
611c-15,2020-10-11 16:47:30.068574,2020-10-11 16:50:30.068574,2
611c-70,2020-10-11 16:47:30.146283,2020-10-11 16:50:30.146283,5
611c-55,2020-10-11 16:47:31.491822,2020-10-11 16:50:31.491822,1
611c-4,2020-10-11 16:47:30.039811,2020-10-11 16:50:30.039811,2
611c-61,2020-10-11 16:47:30.122248,2020-10-11 16:50:30.122248,1
611c-47,2020-10-11 16:47:30.109191,2020-10-11 16:50:30.109191,4
611c-9,2020-10-11 16:47:30.059285,2020-10-11 16:50:30.059285,4
611c-80,2020-10-11 16:47:30.154359,2020-10-11 16:50:30.154359,3
611c-95,2020-10-11 16:47:54.444410,2020-10-11 16:50:54.444410,5
611c-8,2020-10-11 16:47:30.068513,2020-10-11 16:50:30.068513,2
611c-32,2020-10-11 16:47:39.300534,2020-10-11 16:50:39.300534,2
611c-87,2020-10-11 16:47:33.670614,2020-10-11 16:50:33.670614,6
611c-39,2020-10-11 16:47:33.616712,2020-10-11 16:50:33.616712,4
611c-85,2020-10-11 16:47:46.536353,2020-10-11 16:50:46.536353,6
611c-6,2020-10-11 16:47:30.050841,2020-10-11 16:50:30.050841,1
611c-50,2020-10-11 16:47:30.108891,2020-10-11 16:50:30.108891,2
611c-414,2020-10-11 16:48:12.199912,2020-10-11 16:51:12.199912,1
611c-60,2020-10-11 16:47:30.135419,2020-10-11 16:50:30.135419,2
611c-49,2020-10-11 16:47:30.146035,2020-10-11 16:50:30.146035,6
611c-10,2020-10-11 16:47:36.482468,2020-10-11 16:50:36.482468,0
611c-110,2020-10-11 16:48:10.980365,2020-10-11 16:51:10.980365,2
611c-17,2020-10-11 16:47:30.069115,2020-10-11 16:50:30.069115,2
611c-57,2020-10-11 16:47:30.153653,2020-10-11 16:50:30.153653,0
611c-21,2020-10-11 16:47:33.657844,2020-10-11 16:50:33.657844,0
611c-89,2020-10-11 16:47:54.443299,2020-10-11 16:50:54.443299,4
611c-452,2020-10-11 16:48:12.199977,2020-10-11 16:51:12.199977,0
611c-74,2020-10-11 16:47:30.162800,2020-10-11 16:50:30.162800,3
611c-88,2020-10-11 16:47:30.171335,2020-10-11 16:50:30.171335,4
611c-0,2020-10-11 16:47:30.040177,2020-10-11 16:50:30.040177,4
611c-52,2020-10-11 16:47:30.135569,2020-10-11 16:50:30.135569,5
611c-81,2020-10-11 16:48:10.980469,2020-10-11 16:51:10.980469,3
611c-13,2020-10-11 16:47:30.061053,2020-10-11 16:50:30.061053,5
611c-112,2020-10-11 16:48:10.981342,2020-10-11 16:51:10.981342,4
611c-14,2020-10-11 16:47:30.070048,2020-10-11 16:50:30.070048,2
611c-416,2020-10-11 16:48:12.199379,2020-10-11 16:51:12.199379,0
611c-148,2020-10-11 16:48:11.204882,2020-10-11 16:51:11.204882,1
611c-23,2020-10-11 16:47:33.679864,2020-10-11 16:50:33.679864,3
611c-66,2020-10-11 16:47:30.109270,2020-10-11 16:50:30.109270,4
611c-77,2020-10-11 16:47:31.491892,2020-10-11 16:50:31.491892,3
611c-154,2020-10-11 16:48:11.205946,2020-10-11 16:51:11.205946,6
611c-105,2020-10-11 16:47:54.444129,2020-10-11 16:50:54.444129,5
611c-146,2020-10-11 16:48:11.205316,2020-10-11 16:51:11.205316,3
611c-109,2020-10-11 16:48:10.981400,2020-10-11 16:51:10.981400,2
611c-26,2020-10-11 16:47:54.444287,2020-10-11 16:50:54.444287,6
611c-437,2020-10-11 16:48:12.199662,2020-10-11 16:51:12.199662,3
611c-153,2020-10-11 16:48:11.205907,2020-10-11 16:51:11.205907,4
611c-145,2020-10-11 16:49:50.407425,2020-10-11 16:52:50.407425,5
611c-496,2020-10-11 16:50:03.080951,2020-10-11 16:53:03.080951,0
611c-206,2020-10-11 16:50:41.406705,2020-10-11 16:53:41.406705,4
611c-176,2020-10-11 16:50:41.407074,2020-10-11 16:53:41.407074,1
611c-288,2020-10-11 16:51:21.370044,2020-10-11 16:54:21.370044,4
611c-332,2020-10-11 16:51:21.374533,2020-10-11 16:54:21.374533,4
611c-423,2020-10-11 16:51:21.374322,2020-10-11 16:54:21.374322,0
611c-299,2020-10-11 16:51:21.250196,2020-10-11 16:54:21.250196,4
611c-272,2020-10-11 16:51:21.250417,2020-10-11 16:54:21.250417,5
611c-333,2020-10-11 16:51:21.373845,2020-10-11 16:54:21.373845,3
611c-304,2020-10-11 16:51:21.248230,2020-10-11 16:54:21.248230,4
611c-285,2020-10-11 16:51:21.369856,2020-10-11 16:54:21.369856,5
611c-316,2020-10-11 16:51:21.371886,2020-10-11 16:54:21.371886,5
611c-327,2020-10-11 16:51:21.249168,2020-10-11 16:54:21.249168,3
611c-317,2020-10-11 16:51:21.372016,2020-10-11 16:54:21.372016,5
611c-308,2020-10-11 16:51:21.374560,2020-10-11 16:54:21.374560,4
611c-277,2020-10-11 16:51:21.249695,2020-10-11 16:54:21.249695,5
611c-301,2020-10-11 16:51:21.251152,2020-10-11 16:54:21.251152,4
611c-313,2020-10-11 16:51:21.251286,2020-10-11 16:54:21.251286,6
611c-211,2020-10-11 16:52:17.063536,2020-10-11 16:55:17.063536,0
611c-419,2020-10-11 16:52:17.073062,2020-10-11 16:55:17.073062,1
611c-291,2020-10-11 16:52:35.408209,2020-10-11 16:55:35.408209,3
611c-207,2020-10-11 16:52:17.072841,2020-10-11 16:55:17.072841,0
611c-193,2020-10-11 16:52:17.063175,2020-10-11 16:55:17.063175,0
611c-382,2020-10-11 16:53:07.834115,2020-10-11 16:56:07.834115,0
611c-102,2020-10-11 16:52:35.408135,2020-10-11 16:55:35.408135,0
611c-337,2020-10-11 16:53:50.435171,2020-10-11 16:56:50.435171,3
611c-365,2020-10-11 16:53:50.435320,2020-10-11 16:56:50.435320,0
611c-113,2020-10-11 16:54:28.414959,2020-10-11 16:57:28.414959,3
611c-71,2020-10-11 16:54:28.416026,2020-10-11 16:57:28.416026,4
611c-86,2020-10-11 16:54:28.414853,2020-10-11 16:57:28.414853,6
611c-235,2020-10-11 16:54:29.030350,2020-10-11 16:57:29.030350,4
611c-129,2020-10-11 16:54:28.416208,2020-10-11 16:57:28.416208,4
611c-254,2020-10-11 16:54:29.031631,2020-10-11 16:57:29.031631,5
611c-40,2020-10-11 16:54:50.200130,2020-10-11 16:57:50.200130,5
611c-205,2020-10-11 16:54:29.031709,2020-10-11 16:57:29.031709,5
611c-124,2020-10-11 16:54:28.415377,2020-10-11 16:57:28.415377,6
611c-247,2020-10-11 16:55:38.335429,2020-10-11 16:58:38.335429,4
611c-130,2020-10-11 16:55:41.256042,2020-10-11 16:58:41.256042,4
611c-390,2020-10-11 16:55:25.564657,2020-10-11 16:58:25.564657,0
611c-376,2020-10-11 16:55:54.545607,2020-10-11 16:58:54.545607,0
611c-351,2020-10-11 16:55:42.319046,2020-10-11 16:58:42.319046,0
611c-336,2020-10-11 16:55:25.564428,2020-10-11 16:58:25.564428,3
611c-369,2020-10-11 16:55:25.564858,2020-10-11 16:58:25.564858,0
611c-78,2020-10-11 16:56:24.529585,2020-10-11 16:59:24.529585,5
611c-400,2020-10-11 16:55:54.546164,2020-10-11 16:58:54.546164,0
