GUID,Inicio,Fim,Contador
7f49-243,2020-10-11 16:47:56.113798,2020-10-11 16:50:56.113798,3
7f49-255,2020-10-11 16:47:56.113949,2020-10-11 16:50:56.113949,5
7f49-250,2020-10-11 16:47:56.114532,2020-10-11 16:50:56.114532,5
7f49-252,2020-10-11 16:47:56.114808,2020-10-11 16:50:56.114808,4
7f49-451,2020-10-11 16:48:13.812937,2020-10-11 16:51:13.812937,0
7f49-253,2020-10-11 16:47:56.113378,2020-10-11 16:50:56.113378,4
7f49-202,2020-10-11 16:49:28.036004,2020-10-11 16:52:28.036004,3
7f49-256,2020-10-11 16:49:28.035615,2020-10-11 16:52:28.035615,3
7f49-183,2020-10-11 16:49:35.947597,2020-10-11 16:52:35.947597,5
7f49-398,2020-10-11 16:49:54.544345,2020-10-11 16:52:54.544345,0
7f49-336,2020-10-11 16:49:54.542698,2020-10-11 16:52:54.542698,5
7f49-440,2020-10-11 16:51:04.896133,2020-10-11 16:54:04.896133,0
7f49-434,2020-10-11 16:51:04.898072,2020-10-11 16:54:04.898072,0
7f49-214,2020-10-11 16:50:49.314514,2020-10-11 16:53:49.314514,4
7f49-432,2020-10-11 16:51:04.898016,2020-10-11 16:54:04.898016,0
7f49-490,2020-10-11 16:50:43.488598,2020-10-11 16:53:43.488598,1
7f49-368,2020-10-11 16:51:04.896755,2020-10-11 16:54:04.896755,0
7f49-409,2020-10-11 16:51:04.897982,2020-10-11 16:54:04.897982,0
7f49-497,2020-10-11 16:52:17.081169,2020-10-11 16:55:17.081169,1
7f49-7,2020-10-11 16:52:10.569932,2020-10-11 16:55:10.569932,0
7f49-41,2020-10-11 16:53:22.332910,2020-10-11 16:56:22.332910,6
7f49-21,2020-10-11 16:54:12.560434,2020-10-11 16:57:12.560434,2
7f49-53,2020-10-11 16:54:13.248303,2020-10-11 16:57:13.248303,5
7f49-82,2020-10-11 16:54:12.556460,2020-10-11 16:57:12.556460,5
7f49-35,2020-10-11 16:54:12.525936,2020-10-11 16:57:12.525936,5
7f49-24,2020-10-11 16:54:12.525768,2020-10-11 16:57:12.525768,5
7f49-101,2020-10-11 16:54:12.534150,2020-10-11 16:57:12.534150,5
7f49-51,2020-10-11 16:54:30.968006,2020-10-11 16:57:30.968006,4
7f49-192,2020-10-11 16:54:58.730717,2020-10-11 16:57:58.730717,5
7f49-220,2020-10-11 16:54:58.730558,2020-10-11 16:57:58.730558,3
7f49-40,2020-10-11 16:55:27.387446,2020-10-11 16:58:27.387446,4
7f49-203,2020-10-11 16:55:50.581867,2020-10-11 16:58:50.581867,4
7f49-391,2020-10-11 16:56:09.221647,2020-10-11 16:59:09.221647,0
7f49-67,2020-10-11 16:57:22.152320,2020-10-11 17:00:22.152320,4
7f49-65,2020-10-11 16:57:21.743336,2020-10-11 17:00:21.743336,4
7f49-441,2020-10-11 16:58:54.934915,2020-10-11 17:01:54.934915,0
7f49-22,2020-10-11 16:58:59.515566,2020-10-11 17:01:59.515566,4
7f49-420,2020-10-11 16:58:54.935106,2020-10-11 17:01:54.935106,0
7f49-345,2020-10-11 16:59:54.422076,2020-10-11 17:02:54.422076,0
7f49-355,2020-10-11 16:59:54.422389,2020-10-11 17:02:54.422389,0
7f49-10,2020-10-11 17:01:44.469481,2020-10-11 17:04:44.469481,6
7f49-412,2020-10-11 17:02:42.863968,2020-10-11 17:05:42.863968,0
7f49-9,2020-10-11 17:02:43.111906,2020-10-11 17:05:43.111906,4
7f49-436,2020-10-11 17:02:42.864085,2020-10-11 17:05:42.864085,0
7f49-311,2020-10-11 17:02:42.864211,2020-10-11 17:05:42.864211,0
7f49-358,2020-10-11 17:02:42.864724,2020-10-11 17:05:42.864724,0
7f49-452,2020-10-11 17:02:42.863817,2020-10-11 17:05:42.863817,0
7f49-0,2020-10-11 17:04:22.550112,2020-10-11 17:07:22.550112,4
7f49-317,2020-10-11 17:04:46.146645,2020-10-11 17:07:46.146645,4
7f49-411,2020-10-11 17:04:45.539776,2020-10-11 17:07:45.539776,0
7f49-489,2020-10-11 17:04:50.146520,2020-10-11 17:07:50.146520,0
7f49-44,2020-10-11 17:04:53.838278,2020-10-11 17:07:53.838278,4
7f49-230,2020-10-11 17:04:54.017241,2020-10-11 17:07:54.017241,5
7f49-291,2020-10-11 17:04:54.016037,2020-10-11 17:07:54.016037,5
7f49-139,2020-10-11 17:04:54.015773,2020-10-11 17:07:54.015773,5
7f49-303,2020-10-11 17:04:54.311884,2020-10-11 17:07:54.311884,0
7f49-14,2020-10-11 17:04:45.971456,2020-10-11 17:07:45.971456,4
7f49-4,2020-10-11 17:04:45.970457,2020-10-11 17:07:45.970457,5
7f49-108,2020-10-11 17:04:45.997718,2020-10-11 17:07:45.997718,4
7f49-37,2020-10-11 17:04:45.996924,2020-10-11 17:07:45.996924,4
7f49-464,2020-10-11 17:04:50.146588,2020-10-11 17:07:50.146588,0
7f49-364,2020-10-11 17:04:50.147356,2020-10-11 17:07:50.147356,0
7f49-121,2020-10-11 17:04:45.971293,2020-10-11 17:07:45.971293,6
7f49-350,2020-10-11 17:04:45.538377,2020-10-11 17:07:45.538377,0
7f49-404,2020-10-11 17:04:54.312326,2020-10-11 17:07:54.312326,0
7f49-335,2020-10-11 17:04:54.312580,2020-10-11 17:07:54.312580,0
7f49-265,2020-10-11 17:04:54.015737,2020-10-11 17:07:54.015737,4
7f49-189,2020-10-11 17:04:54.277420,2020-10-11 17:07:54.277420,4
7f49-383,2020-10-11 17:04:54.310668,2020-10-11 17:07:54.310668,0
7f49-217,2020-10-11 17:04:46.146420,2020-10-11 17:07:46.146420,4
